timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,16.1800,21.8900,16.0860,20.7300,20.7300,14812723,0.0000
2019-04-05,13.6300,16.5600,13.4600,16.3100,16.3100,10977575,0.0000
2019-03-29,12.5200,13.4800,12.1450,12.9600,12.9600,8100774,0.0000
2019-03-22,14.5200,14.7300,12.5300,12.5700,12.5700,12054437,0.0000
2019-03-15,15.0100,15.3000,13.8700,13.9700,13.9700,12819391,0.0000
2019-03-08,19.3800,19.5100,15.0800,15.1600,15.1600,9800557,0.0000
2019-03-01,21.2500,21.5900,19.1000,19.2800,19.2800,6585542,0.0000
2019-02-22,20.2200,21.4100,19.9300,21.0900,21.0900,4965368,0.0000
2019-02-15,17.6100,20.4400,17.1400,20.3800,20.3800,8968413,0.0000
2019-02-08,19.9200,21.4800,16.3700,17.8100,17.8100,14705082,0.0000
2019-02-01,19.1100,20.3200,18.5600,20.0700,20.0700,9676756,0.0000
2019-01-25,19.5900,19.8900,17.4200,19.6000,19.6000,7405779,0.0000
2019-01-18,17.7800,19.9000,16.4900,19.7800,19.7800,14816467,0.0000
2019-01-11,15.2100,19.7200,14.5184,18.0500,18.0500,20692642,0.0000
2019-01-04,15.6200,16.1300,14.8000,15.1800,15.1800,12400257,0.0000
2018-12-28,16.2500,16.8400,14.9400,15.6400,15.6400,10104797,0.0000
2018-12-21,18.0600,18.8223,16.1000,16.3800,16.3800,20413651,0.0000
2018-12-14,20.6900,21.1681,17.8000,18.1600,18.1600,9825172,0.0000
2018-12-07,24.3100,25.1600,20.8400,21.0000,21.0000,6562291,0.0000
2018-11-30,24.8900,25.8600,22.7700,23.6800,23.6800,7581981,0.0000
2018-11-23,23.5900,25.0600,22.8900,24.8100,24.8100,5415770,0.0000
2018-11-16,21.4700,25.0100,21.0900,23.9600,23.9600,14475636,0.0000
2018-11-09,32.2500,32.5900,21.4200,21.5200,21.5200,14699752,0.0000
2018-11-02,31.2500,33.3000,30.0900,32.2500,32.2500,9646621,0.0000
2018-10-26,30.3900,32.0500,28.2400,29.6700,29.6700,8154169,0.2750
2018-10-19,30.0000,32.0100,29.0400,30.1900,29.9299,7631501,0.0000
2018-10-12,33.6500,34.7300,29.5500,30.1800,29.9200,9972527,0.0000
2018-10-05,39.8000,39.9500,33.9000,34.1000,33.8063,7700101,0.0000
2018-09-28,43.8700,44.1500,38.8600,39.3100,38.9714,5407841,0.0000
2018-09-21,42.9400,45.1700,41.0600,44.1800,43.7994,9067278,0.0000
2018-09-14,40.8500,43.4000,40.0800,43.0600,42.6891,7055786,0.0000
2018-09-07,43.3600,43.4900,40.0900,40.6400,40.2899,9101680,0.0000
2018-08-31,45.5800,47.0600,42.3900,43.2900,42.9171,7644778,0.0000
2018-08-24,45.6000,46.4300,44.5000,45.4000,45.0089,24026108,0.0000
2018-08-17,42.8000,46.3700,42.0400,45.6700,45.2766,10271780,0.0000
2018-08-10,46.8900,47.1850,42.8300,43.0700,42.6990,3857265,0.0000
2018-08-03,48.3700,49.5700,44.8100,47.1200,46.7141,9810586,0.0000
2018-07-27,46.2500,49.3700,43.1000,48.5500,48.1318,8003990,0.0000
2018-07-20,48.4600,49.8900,46.2401,46.4300,46.0301,3636193,0.2750
2018-07-13,50.0200,50.8800,48.1700,48.5800,47.8930,4025453,0.0000
2018-07-06,48.5200,50.8900,47.3000,50.0400,49.3323,2514809,0.0000
2018-06-29,49.8400,50.5300,48.2700,49.1900,48.4943,4819150,0.0000
2018-06-22,47.7500,50.3100,47.5110,50.0700,49.3619,3947053,0.0000
2018-06-15,51.0000,51.7000,47.0301,48.1100,47.4296,16453977,0.0000
2018-06-08,53.8900,58.1700,53.2500,56.9800,56.1742,4826650,0.0000
2018-06-01,53.5400,54.5000,52.5200,53.8200,53.0589,1901893,0.0000
2018-05-25,56.6000,56.7400,53.8800,54.0100,53.2462,2383214,0.0000
2018-05-18,55.8600,57.3800,55.1900,56.0100,55.2179,2125437,0.0000
2018-05-11,54.9800,57.0200,54.7000,55.8400,55.0503,5958487,0.0000
2018-05-04,62.4600,62.9500,54.1132,54.9900,54.2123,9187827,0.0000
2018-04-27,62.5000,64.0600,61.7600,62.0600,61.1823,2733300,0.0000
2018-04-20,66.4000,67.1000,61.9300,62.5000,61.6161,2964575,0.2750
2018-04-13,64.3000,66.6700,63.4500,65.2600,64.0662,2864411,0.0000
2018-04-06,59.6500,64.5400,58.4400,63.9200,62.7507,3852760,0.0000
2018-03-29,58.4600,60.1300,57.7350,59.7600,58.6668,2710421,0.0000
2018-03-23,59.7100,61.3300,57.4000,57.5800,56.5267,2992295,0.0000
