timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,0.7900,0.7900,0.7200,0.7200,0.7200,25643,0.0000
2019-04-12,0.8000,0.8000,0.7000,0.7511,0.7511,202219,0.0000
2019-04-05,0.7800,0.8000,0.7000,0.7900,0.7900,407703,0.0000
2019-03-29,0.8100,0.8480,0.7400,0.7500,0.7500,474413,0.0000
2019-03-22,0.9100,0.9600,0.7850,0.8105,0.8105,1459248,0.0000
2019-03-15,0.8000,0.9300,0.8000,0.8200,0.8200,449651,0.0000
2019-03-08,0.9000,0.9644,0.7900,0.8000,0.8000,295937,0.0000
2019-03-01,0.8842,0.9845,0.8300,0.9026,0.9026,337363,0.0000
2019-02-22,0.9700,1.0225,0.8500,0.8802,0.8802,252823,0.0000
2019-02-15,0.9700,1.0200,0.9200,0.9500,0.9500,219524,0.0000
2019-02-08,1.0600,1.1500,0.9600,0.9700,0.9700,485062,0.0000
2019-02-01,0.9500,1.1000,0.9500,1.0600,1.0600,220246,0.0000
2019-01-25,0.9900,1.0500,0.9000,0.9703,0.9703,438281,0.0000
2019-01-18,0.8000,1.1000,0.8000,0.9870,0.9870,1314740,0.0000
2019-01-11,0.6200,0.8500,0.6000,0.8491,0.8491,301524,0.0000
2019-01-04,0.6720,0.6720,0.6020,0.6480,0.6480,97168,0.0000
2018-12-28,0.6000,0.6800,0.6000,0.6360,0.6360,150677,0.0000
2018-12-21,0.7200,0.7500,0.6000,0.6200,0.6200,294054,0.0000
2018-12-14,0.7800,0.7800,0.6550,0.7500,0.7500,103974,0.0000
2018-12-07,0.7600,0.7850,0.6501,0.7500,0.7500,216134,0.0000
2018-11-30,0.8442,0.8500,0.7426,0.7600,0.7600,216272,0.0000
2018-11-23,0.8075,0.8995,0.8075,0.8280,0.8280,87901,0.0000
2018-11-16,0.9200,0.9654,0.8145,0.8210,0.8210,292168,0.0000
2018-11-09,0.8900,0.9450,0.8500,0.9300,0.9300,454464,0.0000
2018-11-02,0.8800,0.9000,0.8270,0.8700,0.8700,341034,0.0000
2018-10-26,0.8590,0.9200,0.8001,0.8500,0.8500,399807,0.0000
2018-10-19,0.9000,0.9200,0.8300,0.8590,0.8590,377262,0.0000
2018-10-12,1.0200,1.0500,0.9000,0.9291,0.9291,561237,0.0000
2018-10-05,1.0800,1.0800,0.9800,1.0200,1.0200,444903,0.0000
2018-09-28,1.0200,1.1000,0.9500,1.0600,1.0600,464650,0.0000
2018-09-21,1.0000,1.0700,0.9800,1.0100,1.0100,317860,0.0000
2018-09-14,1.1300,1.1400,1.0000,1.0000,1.0000,433584,0.0000
2018-09-07,1.1400,1.1800,1.1200,1.1400,1.1400,212133,0.0000
2018-08-31,1.1800,1.2400,1.1300,1.1300,1.1300,399834,0.0000
2018-08-24,1.2000,1.2592,1.1400,1.1800,1.1800,335197,0.0000
2018-08-17,1.2600,1.3100,1.1700,1.1800,1.1800,492967,0.0000
2018-08-10,1.2000,1.2800,1.1601,1.2300,1.2300,517135,0.0000
2018-08-03,1.1800,1.2600,1.1400,1.2100,1.2100,380886,0.0000
2018-07-27,1.1900,1.2300,1.0800,1.2000,1.2000,806369,0.0000
2018-07-20,1.2000,1.3400,1.1600,1.1799,1.1799,1320849,0.0000
2018-07-13,1.2000,1.5800,1.1367,1.3000,1.3000,4942213,0.0000
2018-07-06,1.1000,1.2790,1.0800,1.2042,1.2042,374130,0.0000
2018-06-29,1.1200,1.2700,1.0800,1.1300,1.1300,791174,0.0000
2018-06-22,1.1600,1.1600,0.9875,1.1268,1.1268,716582,0.0000
2018-06-15,1.3400,1.3500,1.1000,1.1200,1.1200,920488,0.0000
2018-06-08,1.2200,1.3700,1.1201,1.3000,1.3000,909222,0.0000
2018-06-01,1.0000,1.3200,0.9850,1.1700,1.1700,2376966,0.0000
2018-05-25,1.0100,1.1800,0.9500,1.0100,1.0100,1269350,0.0000
2018-05-18,0.9800,1.0299,0.9502,1.0100,1.0100,466462,0.0000
2018-05-11,0.9850,1.1600,0.9357,0.9650,0.9650,1169745,0.0000
2018-05-04,1.0000,1.0400,0.9300,0.9900,0.9900,432114,0.0000
2018-04-27,0.8500,1.1500,0.8111,1.0100,1.0100,1276697,0.0000
2018-04-20,0.9000,0.9529,0.8500,0.8890,0.8890,486968,0.0000
2018-04-13,0.9186,0.9500,0.8600,0.9130,0.9130,1200364,0.0000
2018-04-06,1.1100,1.2500,0.8100,0.9186,0.9186,6217817,0.0000
2018-03-29,1.1000,1.3400,1.0500,1.1000,1.1000,2071740,0.0000
2018-03-23,1.2400,1.2754,1.0600,1.1000,1.1000,1351392,0.0000
2018-03-16,1.3700,1.4700,1.1700,1.2600,1.2600,1892732,0.0000
2018-03-09,1.0900,1.3700,1.0900,1.3476,1.3476,2265727,0.0000
2018-03-02,1.0900,1.2500,1.0500,1.1000,1.1000,1833857,0.0000
2018-02-23,1.1000,1.1895,1.0300,1.0790,1.0790,1426420,0.0000
2018-02-16,1.1000,1.2700,1.0600,1.1000,1.1000,2320224,0.0000
2018-02-09,1.1700,1.3400,0.9900,1.1100,1.1100,4320835,0.0000
