timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,0.5300,0.5412,0.5000,0.5100,0.5100,1907213,0.0000
2019-04-05,0.5756,0.5780,0.5000,0.5293,0.5293,2116283,0.0000
2019-03-29,0.5411,0.6119,0.5411,0.5620,0.5620,1878972,0.0000
2019-03-22,0.6500,0.6800,0.5550,0.5700,0.5700,2489872,0.0000
2019-03-15,0.6200,0.6800,0.6106,0.6800,0.6800,1631365,0.0000
2019-03-08,0.6460,0.7400,0.6110,0.6126,0.6126,3186831,0.0000
2019-03-01,0.6500,0.6865,0.6050,0.6600,0.6600,2283965,0.0000
2019-02-22,0.6100,0.6953,0.6010,0.6402,0.6402,2689529,0.0000
2019-02-15,0.5990,0.6450,0.5722,0.6092,0.6092,2889997,0.0000
2019-02-08,0.5400,0.6949,0.5199,0.5978,0.5978,6048002,0.0000
2019-02-01,0.5000,0.5405,0.4650,0.5271,0.5271,2361060,0.0000
2019-01-25,0.5100,0.5300,0.4810,0.4929,0.4929,2008958,0.0000
2019-01-18,0.4900,0.5182,0.4651,0.5100,0.5100,1995578,0.0000
2019-01-11,0.4385,0.5450,0.4181,0.4964,0.4964,4318080,0.0000
2019-01-04,0.4000,0.4500,0.3802,0.4303,0.4303,2703061,0.0000
2018-12-28,0.4290,0.4400,0.3820,0.4000,0.4000,3244969,0.0000
2018-12-21,0.4010,0.4748,0.3900,0.4297,0.4297,5432772,0.0000
2018-12-14,0.6370,0.6370,0.3600,0.4001,0.4001,12526723,0.0000
2018-12-07,0.6804,0.7800,0.6001,0.6301,0.6301,10620949,0.0000
2018-11-30,0.5700,0.7090,0.5700,0.6362,0.6362,10840992,0.0000
2018-11-23,0.5900,0.5952,0.5300,0.5801,0.5801,1922022,0.0000
2018-11-16,0.5800,0.6100,0.5300,0.5772,0.5772,3789439,0.0000
2018-11-09,0.4700,0.7090,0.4600,0.5700,0.5700,16401392,0.0000
2018-11-02,0.4600,0.4799,0.4300,0.4643,0.4643,2689437,0.0000
2018-10-26,0.4549,0.5200,0.4240,0.4531,0.4531,3678508,0.0000
2018-10-19,0.4990,0.5000,0.4104,0.4372,0.4372,5887034,0.0000
2018-10-12,0.5500,0.5600,0.4650,0.4815,0.4815,5755038,0.0000
2018-10-05,0.5126,0.7500,0.4600,0.5700,0.5700,15895033,0.0000
2018-09-28,0.5702,0.5849,0.4850,0.5080,0.5080,7003203,0.0000
2018-09-21,0.5800,0.5929,0.4700,0.5420,0.5420,6815730,0.0000
2018-09-14,0.5449,0.6000,0.4840,0.5781,0.5781,6078579,0.0000
2018-09-07,0.6300,0.6400,0.5000,0.5322,0.5322,6008866,0.0000
2018-08-31,0.6000,0.6650,0.5808,0.6290,0.6290,6096746,0.0000
2018-08-24,0.5000,0.7600,0.4690,0.6100,0.6100,21286616,0.0000
2018-08-17,0.5688,0.5688,0.4025,0.4730,0.4730,15009305,0.0000
2018-08-10,2.7500,3.0050,0.3511,0.5516,0.5516,54311671,0.0000
2018-08-03,2.9600,3.0900,2.5000,2.5700,2.5700,4483374,0.0000
2018-07-27,2.8600,3.2000,2.7200,2.9000,2.9000,8153478,0.0000
2018-07-20,2.3500,2.7900,2.1100,2.6300,2.6300,4720728,0.0000
2018-07-13,2.3700,2.4700,2.2300,2.3100,2.3100,1868550,0.0000
2018-07-06,2.2100,2.5600,2.0200,2.3400,2.3400,2107325,0.0000
2018-06-29,1.9800,2.6000,1.9700,2.2000,2.2000,5223679,0.0000
2018-06-22,1.7700,2.5500,1.6100,2.1600,2.1600,12219557,0.0000
2018-06-15,1.8600,1.9600,1.7700,1.7900,1.7900,1731732,0.0000
2018-06-08,1.8900,1.9600,1.8100,1.9000,1.9000,1635253,0.0000
2018-06-01,2.0300,2.0600,1.5800,1.9100,1.9100,4060894,0.0000
2018-05-25,2.5300,2.5400,1.9300,2.0500,2.0500,4197249,0.0000
2018-05-18,2.4400,2.6550,2.4000,2.5100,2.5100,2051393,0.0000
2018-05-11,2.7200,2.7800,2.3700,2.4800,2.4800,2755936,0.0000
2018-05-04,2.8600,2.9400,2.5500,2.7400,2.7400,2114734,0.0000
2018-04-27,3.2200,3.2350,2.8010,2.8900,2.8900,3183425,0.0000
2018-04-20,2.8800,3.2000,2.7600,3.1500,3.1500,3697110,0.0000
2018-04-13,3.6000,3.7600,2.8100,2.8600,2.8600,8723702,0.0000
2018-04-06,3.4200,3.8900,3.3600,3.6000,3.6000,6061644,0.0000
2018-03-29,2.9000,3.4200,2.6600,3.4000,3.4000,4227128,0.0000
2018-03-23,2.6600,3.0500,2.4600,2.9300,2.9300,4495246,0.0000
2018-03-16,2.4000,2.6700,2.2200,2.6500,2.6500,3285994,0.0000
2018-03-09,2.2600,2.6700,2.2600,2.4200,2.4200,4160660,0.0000
2018-03-02,2.5900,2.6000,2.1100,2.3000,2.3000,4434488,0.0000
2018-02-23,2.8500,2.9800,2.2600,2.5700,2.5700,5511292,0.0000
2018-02-16,3.0000,3.5700,2.8100,2.9600,2.9600,8441075,0.0000
2018-02-09,3.0600,3.1500,2.6000,2.9300,2.9300,3963490,0.0000
2018-02-02,2.7600,3.1400,2.5889,3.0500,3.0500,3870417,0.0000
2018-01-26,2.9600,2.9900,2.5000,2.7200,2.7200,3690933,0.0000
