timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,0.3400,0.3800,0.3300,0.3520,0.3520,2181314,0.0000
2019-04-12,0.2750,0.3666,0.2629,0.3460,0.3460,5536644,0.0000
2019-04-05,0.3200,0.3200,0.2600,0.2731,0.2731,996714,0.0000
2019-03-29,0.3500,0.3500,0.2501,0.3010,0.3010,2068708,0.0000
2019-03-22,0.3399,0.3500,0.3100,0.3300,0.3300,2638495,0.0000
2019-03-15,0.3400,0.3800,0.3000,0.3300,0.3300,5362635,0.0000
2019-03-08,0.2646,0.3499,0.2550,0.3244,0.3244,3699594,0.0000
2019-03-01,0.2598,0.2701,0.2500,0.2585,0.2585,843689,0.0000
2019-02-22,0.2800,0.2800,0.2500,0.2560,0.2560,1484526,0.0000
2019-02-15,0.2577,0.2800,0.2375,0.2537,0.2537,1487054,0.0000
2019-02-08,0.2625,0.2650,0.2410,0.2500,0.2500,1511843,0.0000
2019-02-01,0.2565,0.2625,0.2400,0.2500,0.2500,1012240,0.0000
2019-01-25,0.2685,0.2685,0.2310,0.2350,0.2350,554955,0.0000
2019-01-18,0.2850,0.2850,0.2200,0.2585,0.2585,1393638,0.0000
2019-01-11,0.2900,0.2900,0.2400,0.2670,0.2670,1902503,0.0000
2019-01-04,0.2150,0.3070,0.2050,0.2740,0.2740,4404028,0.0000
2018-12-28,0.2110,0.2300,0.1730,0.2045,0.2045,1349239,0.0000
2018-12-21,0.1800,0.2350,0.1539,0.2350,0.2350,3077970,0.0000
2018-12-14,0.2150,0.2350,0.1821,0.1821,0.1821,1808065,0.0000
2018-12-07,0.2800,0.2800,0.2118,0.2118,0.2118,1304521,0.0000
2018-11-30,0.2500,0.2887,0.2100,0.2700,0.2700,1775030,0.0000
2018-11-23,0.2950,0.2950,0.2211,0.2511,0.2511,934991,0.0000
2018-11-16,0.3000,0.3116,0.2351,0.2500,0.2500,2893547,0.0000
2018-11-09,0.3108,0.3173,0.2821,0.2985,0.2985,1119445,0.0000
2018-11-02,0.3000,0.3200,0.2500,0.3080,0.3080,3112453,0.0000
2018-10-26,0.3405,0.3405,0.2900,0.2900,0.2900,2547216,0.0000
2018-10-19,0.3500,0.3500,0.3100,0.3235,0.3235,5728342,0.0000
2018-10-12,1.0300,1.0300,0.3161,0.3495,0.3495,15828358,0.0000
2018-10-05,1.0500,1.3700,0.9538,1.0073,1.0073,2258047,0.0000
2018-09-28,0.9500,1.0300,0.9307,1.0100,1.0100,436111,0.0000
2018-09-21,1.0500,1.0500,0.7600,0.9179,0.9179,1695929,0.0000
2018-09-14,0.9600,1.0500,0.9300,0.9500,0.9500,549595,0.0000
2018-09-07,0.9880,1.0200,0.9500,0.9603,0.9603,371685,0.0000
2018-08-31,0.9500,1.0400,0.9500,0.9866,0.9866,755311,0.0000
2018-08-24,1.1800,1.1900,0.9188,0.9600,0.9600,963391,0.0000
2018-08-17,1.1000,1.1800,1.0700,1.1600,1.1600,268738,0.0000
2018-08-10,1.0601,1.1000,1.0000,1.1000,1.1000,252285,0.0000
2018-08-03,1.0400,1.1100,0.9100,1.0700,1.0700,633808,0.0000
2018-07-27,1.1100,1.1300,1.0000,1.0310,1.0310,534388,0.0000
