timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-17,3.3500,3.4700,3.3500,3.4700,3.4700,4406,0.0000
2019-04-12,3.5300,3.6000,3.3000,3.4000,3.4000,16666,0.0000
2019-04-05,3.6200,3.6500,3.4750,3.5605,3.5605,18015,0.0000
2019-03-29,3.7800,3.8273,3.5300,3.6200,3.6200,174281,0.0000
2019-03-22,3.7200,3.9500,3.7100,3.7200,3.7200,6942,0.0000
2019-03-15,3.8600,4.0000,3.7000,3.7700,3.7700,49852,0.0000
2019-03-08,4.0400,4.1400,3.7400,3.7600,3.7600,23626,0.0000
2019-03-01,3.7000,4.0900,3.7000,4.0200,4.0200,32792,0.0000
2019-02-22,3.7600,3.8800,3.6900,3.7200,3.7200,36190,0.0000
2019-02-15,3.5700,3.8500,3.5700,3.7000,3.7000,16146,0.0000
2019-02-08,3.5200,3.8500,3.5200,3.6700,3.6700,49545,0.0000
2019-02-01,3.5500,3.7264,3.4170,3.4700,3.4700,32417,0.0000
2019-01-25,3.6300,3.7700,3.5550,3.5700,3.5700,27102,0.0000
2019-01-18,3.7522,3.7522,3.5500,3.6000,3.6000,26913,0.0000
2019-01-11,3.6700,3.7800,3.5500,3.7777,3.7777,7372,0.0000
2019-01-04,3.5191,3.8000,3.5100,3.7100,3.7100,23028,0.0000
2018-12-28,3.4600,3.8000,3.4250,3.7000,3.7000,32962,0.0000
2018-12-21,3.4300,3.7700,3.4000,3.5700,3.5700,123038,0.0000
2018-12-14,3.5100,3.6600,3.4000,3.4000,3.4000,71462,0.0000
2018-12-07,3.5900,3.8800,3.4775,3.5000,3.5000,25324,0.0000
2018-11-30,3.5000,3.8900,3.3400,3.6500,3.6500,69556,0.0000
2018-11-23,3.5200,3.5600,3.3173,3.5200,3.5200,42335,0.0000
2018-11-16,3.7500,3.7619,3.3500,3.5000,3.5000,24676,0.0000
2018-11-09,3.8900,3.9500,3.7000,3.7000,3.7000,30343,0.0000
2018-11-02,3.5800,4.0000,3.4700,3.9000,3.9000,46053,0.0000
2018-10-26,3.7230,3.7400,3.4000,3.6000,3.6000,30638,0.0000
2018-10-19,3.6000,3.7300,3.4000,3.4720,3.4720,16953,0.0000
2018-10-12,3.6000,3.7500,3.6000,3.7400,3.7400,14479,0.0000
2018-10-05,3.6000,3.8300,3.6000,3.6300,3.6300,21444,0.0000
2018-09-28,3.6602,3.8000,3.6000,3.6000,3.6000,18469,0.0000
2018-09-21,3.6000,3.8000,3.6000,3.7000,3.7000,40552,0.0000
2018-09-14,3.6500,3.8500,3.4000,3.6000,3.6000,42537,0.0000
2018-09-07,3.5500,4.0000,3.5000,3.6010,3.6010,49794,0.0000
2018-08-31,3.5000,3.7500,3.5000,3.5500,3.5500,26322,0.0000
2018-08-24,3.6000,3.6500,3.5000,3.5000,3.5000,26246,0.0000
2018-08-17,3.6500,3.9000,3.5000,3.6000,3.6000,23747,0.0000
2018-08-10,3.6500,3.9000,3.0000,3.7500,3.7500,29688,0.0000
2018-08-03,3.7500,3.9000,3.6500,3.7000,3.7000,25468,0.0000
2018-07-27,4.0000,4.0500,3.6500,3.7623,3.7623,62345,0.0000
2018-07-20,4.0000,4.0000,3.9500,4.0000,4.0000,25758,0.0000
2018-07-13,4.0015,4.1000,3.9500,4.0250,4.0250,19247,0.0000
2018-07-06,3.9531,4.1000,3.9000,4.0500,4.0500,63139,0.0000
2018-06-29,3.9205,4.5780,3.7500,4.0500,4.0500,249802,0.0000
2018-06-22,3.9500,4.0000,3.8500,3.9500,3.9500,54765,0.0000
2018-06-15,3.9000,4.0000,3.8500,3.9500,3.9500,16191,0.0000
2018-06-08,3.9000,4.0000,3.9000,3.9000,3.9000,26634,0.0000
2018-06-01,3.9500,4.0500,3.9000,3.9500,3.9500,21205,0.0000
2018-05-25,4.0000,4.0000,3.8500,3.9500,3.9500,32954,0.0000
2018-05-18,4.1000,4.2250,4.0000,4.0500,4.0500,13896,0.0000
2018-05-11,4.1000,4.2490,4.0000,4.2000,4.2000,36801,0.0000
2018-05-04,3.9000,4.2000,3.9000,4.2000,4.2000,33671,0.0000
2018-04-27,4.0500,4.2000,3.9000,3.9500,3.9500,47577,0.0000
2018-04-20,4.0500,4.2500,4.0500,4.1250,4.1250,34404,0.0000
2018-04-13,4.1000,4.2000,4.0000,4.0500,4.0500,133537,0.0000
2018-04-06,4.1000,4.2500,4.0000,4.1500,4.1500,107804,0.0000
2018-03-29,4.2000,4.2500,4.1250,4.1500,4.1500,43802,0.0000
2018-03-23,4.2500,4.2500,4.0540,4.2000,4.2000,43762,0.0000
2018-03-16,4.2500,4.2500,4.1500,4.2500,4.2500,24931,0.0000
2018-03-09,4.2000,4.2500,4.1000,4.2000,4.2000,56238,0.0000
2018-03-02,4.2000,4.3500,4.0510,4.2000,4.2000,186342,0.0000
2018-02-23,4.6000,4.6000,4.2500,4.2500,4.2500,47169,0.0000
2018-02-16,4.3095,4.6000,4.2501,4.5300,4.5300,75266,0.0000
2018-02-09,4.3500,4.4999,3.7000,4.3500,4.3500,46500,0.0000
2018-02-02,4.4000,4.6500,4.3000,4.3500,4.3500,72874,0.0000
2018-01-26,4.3500,4.4500,4.2500,4.4500,4.4500,64236,0.0000
2018-01-19,4.6000,4.6000,4.2500,4.3500,4.3500,68602,0.0000
2018-01-12,4.4000,4.6500,4.3000,4.6338,4.6338,104635,0.0000
2018-01-05,4.4500,4.5000,4.2500,4.4000,4.4000,111542,0.0000
2017-12-29,4.5500,4.6000,4.4000,4.5000,4.5000,147023,0.0000
2017-12-22,4.5500,4.5500,4.4000,4.5500,4.5500,62538,0.0000
2017-12-15,4.4500,4.5000,4.3500,4.5000,4.5000,99493,0.0000
