timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,6.2100,6.2600,5.5000,5.5500,5.5500,382098,0.0000
2019-04-05,6.0900,6.2700,5.9500,6.2400,6.2400,455624,0.0000
2019-03-29,5.5700,6.1790,5.5200,6.1000,6.1000,899866,0.0000
2019-03-22,5.3900,5.7400,5.3100,5.5500,5.5500,1254545,0.0000
2019-03-15,5.3300,6.5000,5.0000,5.3800,5.3800,2556553,0.0000
2019-03-08,5.4000,5.4000,5.1000,5.3100,5.3100,245050,0.0000
2019-03-01,5.1500,5.4700,5.0400,5.4000,5.4000,339321,0.0000
2019-02-22,5.0300,5.2500,5.0100,5.1400,5.1400,442568,0.0000
2019-02-15,5.0000,5.1048,4.9000,5.0300,5.0300,161071,0.0000
2019-02-08,4.6600,5.2300,4.5900,5.0200,5.0200,255483,0.0000
2019-02-01,5.1800,5.2600,4.6000,4.6300,4.6300,183018,0.0000
2019-01-25,5.1700,5.3700,4.9500,5.2100,5.2100,160345,0.0000
2019-01-18,4.3300,5.2400,4.2819,5.1400,5.1400,257661,0.0000
2019-01-11,4.2100,4.8600,4.1716,4.3700,4.3700,303059,0.0000
2019-01-04,3.8800,4.4600,3.8600,4.2200,4.2200,338717,0.0000
2018-12-28,4.0000,4.1808,3.7500,3.8800,3.8800,582560,0.0000
2018-12-21,4.4900,4.7800,4.0300,4.0300,4.0300,509957,0.0000
2018-12-14,5.0300,5.1700,4.3700,4.5200,4.5200,426375,0.0000
2018-12-07,6.1300,6.1595,4.9300,5.0000,5.0000,590604,0.0000
2018-11-30,7.7500,7.9750,6.0500,6.1000,6.1000,707693,0.0000
2018-11-23,7.5600,7.9000,7.2600,7.7500,7.7500,394484,0.0000
2018-11-16,8.0200,8.4800,7.5000,7.5000,7.5000,248682,0.0000
2018-11-09,8.7900,8.7900,8.1000,8.4100,8.4100,310852,0.0000
2018-11-02,8.2400,8.9500,8.2400,8.8100,8.8100,300310,0.0000
2018-10-26,8.0800,8.4500,7.9100,8.2500,8.2500,224867,0.0000
2018-10-19,8.4400,8.4600,8.0200,8.1000,8.1000,236905,0.0000
2018-10-12,8.2000,8.5621,7.9300,8.1700,8.1700,397954,0.0000
2018-10-05,9.0200,9.0300,8.1500,8.2100,8.2100,325032,0.0000
2018-09-28,8.9500,9.3500,8.7000,9.0500,9.0500,284888,0.0000
2018-09-21,8.9000,9.2000,8.8000,9.0000,9.0000,299121,0.0000
2018-09-14,8.9000,9.0500,8.5000,8.9500,8.9500,446945,0.0000
2018-09-07,9.2500,9.3500,8.7500,8.8000,8.8000,423401,0.0000
2018-08-31,8.6500,9.2500,7.8500,9.2000,9.2000,1180723,0.0000
2018-08-24,8.4000,8.9000,8.3500,8.7500,8.7500,430041,0.0000
2018-08-17,8.2500,8.7000,8.0501,8.4000,8.4000,471870,0.0000
2018-08-10,8.0500,8.3500,8.0500,8.2500,8.2500,279530,0.0000
2018-08-03,7.9500,8.2001,7.8000,8.1000,8.1000,332858,0.0000
2018-07-27,7.8500,8.0500,7.7500,7.8000,7.8000,305245,0.0000
2018-07-20,8.5000,8.5500,7.7000,7.8000,7.8000,560956,0.0000
2018-07-13,7.6500,8.6500,7.5500,8.1500,8.1500,663311,0.0000
2018-07-06,7.5500,7.7500,7.3500,7.6500,7.6500,335279,0.0000
2018-06-29,7.8000,8.2500,7.5000,7.6000,7.6000,527316,0.0000
2018-06-22,7.7500,8.0000,7.6500,7.7500,7.7500,2044830,0.0000
2018-06-15,7.7500,8.0000,7.7000,7.7500,7.7500,390492,0.0000
2018-06-08,7.6500,7.9250,7.4000,7.7500,7.7500,685738,0.0000
2018-06-01,9.1000,9.5500,7.6000,7.7000,7.7000,863588,0.0000
2018-05-25,9.1455,9.3500,8.9000,9.1000,9.1000,337963,0.0000
2018-05-18,8.8000,9.4000,8.6500,9.2000,9.2000,293841,0.0000
2018-05-11,8.9000,9.2000,8.6500,8.8000,8.8000,275661,0.0000
2018-05-04,9.4000,9.4000,8.5500,8.8000,8.8000,299684,0.0000
2018-04-27,9.5500,9.7000,9.1000,9.3500,9.3500,319440,0.0000
2018-04-20,9.6500,9.9000,9.4500,9.5500,9.5500,197318,0.0000
2018-04-13,9.4500,10.0000,9.2500,9.5500,9.5500,375111,0.0000
2018-04-06,9.2000,9.6000,8.6000,9.4500,9.4500,439441,0.0000
2018-03-29,8.6500,9.5500,8.5500,9.1500,9.1500,481728,0.0000
2018-03-23,8.8500,9.1000,8.4500,8.4500,8.4500,321494,0.0000
2018-03-16,8.9000,9.0000,8.5000,8.8500,8.8500,345812,0.0000
2018-03-09,9.1500,9.3000,8.7000,8.9500,8.9500,370795,0.0000
2018-03-02,9.9500,10.0500,8.9500,9.2500,9.2500,502597,0.0000
2018-02-23,9.1500,10.4500,9.0000,9.8000,9.8000,1278663,0.0000
2018-02-16,8.3500,9.5500,7.6500,9.1000,9.1000,1285604,0.0000
2018-02-09,8.3500,8.6000,8.0000,8.3500,8.3500,671430,0.0000
2018-02-02,8.9000,9.0000,8.3000,8.3500,8.3500,432761,0.0000
2018-01-26,8.4500,9.1500,8.4500,8.9500,8.9500,459069,0.0000
2018-01-19,8.2500,8.6000,8.2500,8.5000,8.5000,567115,0.0000
2018-01-12,9.1000,9.3500,7.7500,8.2500,8.2500,1565329,0.0000
2018-01-05,9.2500,9.7000,9.1000,9.1500,9.1500,404631,0.0000
2017-12-29,9.8500,10.0000,9.1000,9.2000,9.2000,628260,0.0000
2017-12-22,9.5000,10.0500,9.2000,9.9000,9.9000,703508,0.0000
2017-12-15,8.8108,9.2000,8.4000,9.1500,9.1500,740334,0.0000
2017-12-08,8.3500,8.9000,8.2500,8.8000,8.8000,412978,0.0000
2017-12-01,8.4000,8.6500,7.9501,8.2500,8.2500,416095,0.0000
2017-11-24,8.3000,8.5500,8.0500,8.3500,8.3500,217646,0.0000
2017-11-17,7.8000,8.6500,7.6500,8.3500,8.3500,318138,0.0000
2017-11-10,7.7500,8.0000,7.2500,7.8000,7.8000,480300,0.0000
2017-11-03,8.2000,8.2500,7.6500,7.9000,7.9000,573334,0.0000
2017-10-27,8.3000,8.7500,7.9000,8.3000,8.3000,960933,0.0000
2017-10-20,8.7000,8.8200,8.1000,8.2500,8.2500,465505,0.0000
2017-10-13,9.4000,9.4000,8.4500,8.7000,8.7000,275443,0.0000
2017-10-06,9.2500,9.6000,9.1000,9.5000,9.5000,294709,0.0000
2017-09-29,9.0000,9.4000,8.7500,9.1500,9.1500,437982,0.0000
2017-09-22,8.9500,9.1500,8.7500,9.0500,9.0500,504529,0.0000
