timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,35.1400,35.9600,34.4900,35.8900,35.8900,2938933,0.2100
2019-04-05,33.8000,35.2400,33.7350,35.1900,34.9799,3179014,0.0000
2019-03-29,32.1800,34.3400,31.9000,33.4000,33.2006,4486744,0.0000
2019-03-22,35.7000,36.3800,31.8300,32.1500,31.9581,4370850,0.0000
2019-03-15,35.1800,36.0000,34.9800,35.6300,35.4173,5475100,0.0000
2019-03-08,36.6100,36.9100,34.8500,35.0000,34.7911,3159411,0.0000
2019-03-01,37.3200,37.3200,36.2300,36.6500,36.4312,3150135,0.0000
2019-02-22,36.1900,37.0000,36.1000,36.9600,36.7394,3065054,0.0000
2019-02-15,35.3400,36.4500,35.2000,36.3500,36.1330,4329910,0.0000
2019-02-08,34.7600,35.8700,34.2900,35.2100,34.9998,3377491,0.0000
2019-02-01,33.7100,34.6500,33.0300,34.5400,34.3338,3370424,0.0000
2019-01-25,33.6400,34.4500,32.3700,33.9200,33.7175,5361972,0.0000
2019-01-18,31.9400,33.9500,31.7100,33.8900,33.6877,5055930,0.0000
2019-01-11,31.7300,33.2500,31.3900,32.1500,31.9581,4598718,0.2100
2019-01-04,30.0400,31.8100,29.0800,31.7200,31.3260,2857539,0.0000
2018-12-28,28.2300,30.3600,28.0500,30.0600,29.6867,3328836,0.0000
2018-12-21,29.7000,30.7750,28.2500,28.5700,28.2152,7231971,0.0000
2018-12-14,32.2500,32.3300,29.7800,29.8500,29.4793,3977549,0.0000
2018-12-07,34.9600,34.9779,31.0200,32.4100,32.0075,4185326,0.0000
2018-11-30,33.3700,34.6700,32.5100,34.5400,34.1110,3784691,0.0000
2018-11-23,33.5100,34.2100,32.4500,33.1300,32.7185,3182988,0.0000
2018-11-16,34.3600,34.9900,32.7700,33.4300,33.0148,4677558,0.0000
2018-11-09,32.8600,35.0900,32.8500,34.5000,34.0715,5792902,0.0000
