timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,24.9800,25.1876,24.9000,25.1300,25.1300,411294,0.0000
2019-04-05,24.8400,25.1000,24.7900,24.9700,24.9700,702312,0.0000
2019-03-29,24.8000,24.9100,24.7300,24.8300,24.8300,1238047,0.0000
2019-03-22,24.8000,24.8850,24.6000,24.8000,24.8000,1441095,0.0000
2019-03-15,24.6300,24.8500,24.6300,24.8000,24.8000,3110940,0.0000
2018-01-11,0.2524,0.2524,0.2222,0.2224,0.2224,7372,0.0000
2018-01-05,0.2390,0.2390,0.2390,0.2390,0.2390,1200,0.0000
2018-01-02,0.2670,0.2670,0.2670,0.2670,0.2670,2000,0.0000
2017-12-27,0.2610,0.2620,0.2610,0.2620,0.2620,2525,0.0000
2017-12-22,0.2341,0.2368,0.2341,0.2368,0.2368,1600,0.0000
2017-12-18,0.2000,0.2000,0.2000,0.2000,0.2000,100,0.0000
2017-12-04,0.2570,0.2570,0.2570,0.2570,0.2570,2000,0.0000
2017-12-01,0.2260,0.2300,0.2260,0.2280,0.2280,17500,0.0000
2017-11-28,0.1827,0.2300,0.1827,0.2108,0.2108,10500,0.0000
2017-11-20,0.1574,0.1574,0.1574,0.1574,0.1574,661,0.0000
2017-11-16,0.2062,0.2062,0.1511,0.1511,0.1511,25715,0.0000
2017-11-10,0.2218,0.2218,0.2218,0.2218,0.2218,1111,0.0000
2017-11-06,0.2250,0.2250,0.2250,0.2250,0.2250,1500,0.0000
