timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,0.5900,0.6065,0.5300,0.5750,0.5750,638104,0.0000
2019-04-05,0.4700,0.7500,0.4695,0.5847,0.5847,3668395,0.0000
2019-03-29,0.5800,0.5890,0.4499,0.4663,0.4663,1412532,0.0000
2019-03-22,0.5020,0.6078,0.5020,0.5900,0.5900,1067632,0.0000
2019-03-15,0.4410,0.5599,0.4400,0.5103,0.5103,1032262,0.0000
2019-03-08,0.4649,0.4900,0.4400,0.4550,0.4550,573473,0.0000
2019-03-01,0.4350,0.4891,0.4151,0.4700,0.4700,531430,0.0000
2019-02-22,0.4220,0.4500,0.4100,0.4181,0.4181,455401,0.0000
2019-02-15,0.4679,0.4780,0.4001,0.4280,0.4280,797954,0.0000
2019-02-08,0.4920,0.5847,0.4601,0.4625,0.4625,912280,0.0000
2019-02-01,0.5000,0.5500,0.4332,0.5000,0.5000,1277627,0.0000
2019-01-25,0.6800,0.7400,0.5000,0.5002,0.5002,9873991,0.0000
2019-01-18,0.6100,0.7100,0.5540,0.6650,0.6650,347367,0.0000
2019-01-11,0.5200,0.7000,0.5101,0.6005,0.6005,473451,0.0000
2019-01-04,0.3700,0.5400,0.3700,0.5101,0.5101,538337,0.0000
2018-12-28,0.4720,0.4720,0.3100,0.3701,0.3701,1389234,0.0000
2018-12-21,0.5250,0.6000,0.4414,0.5013,0.5013,738222,0.0000
2018-12-14,0.6900,0.7000,0.5000,0.5300,0.5300,1474277,0.0000
2018-12-07,0.8100,0.8100,0.6680,0.6866,0.6866,459976,0.0000
2018-11-30,0.8262,0.8500,0.7615,0.7720,0.7720,389944,0.0000
2018-11-23,0.9400,0.9450,0.7600,0.8400,0.8400,239884,0.0000
2018-11-16,0.9700,1.0000,0.7700,0.9201,0.9201,316001,0.0000
2018-11-09,1.1100,1.1400,0.9702,0.9803,0.9803,443605,0.0000
2018-11-02,0.7000,1.1500,0.6950,1.0700,1.0700,1500386,0.0000
2018-10-26,0.8750,0.9011,0.6577,0.6680,0.6680,1195439,0.0000
2018-10-19,0.9300,0.9400,0.8510,0.8750,0.8750,380255,0.0000
2018-10-12,1.0600,1.0793,0.8800,0.9221,0.9221,905768,0.0000
2018-10-05,1.0600,1.0946,1.0300,1.0700,1.0700,481027,0.0000
2018-09-28,1.0500,1.1400,1.0400,1.0500,1.0500,524266,0.0000
2018-09-21,1.1800,1.1902,1.0600,1.0800,1.0800,543263,0.0000
2018-09-14,1.1400,1.2010,1.1373,1.1700,1.1700,361368,0.0000
2018-09-07,1.2300,1.2300,1.0910,1.1400,1.1400,309049,0.0000
2018-08-31,1.1300,1.2294,1.1109,1.2100,1.2100,616212,0.0000
2018-08-24,1.0200,1.1400,1.0200,1.1000,1.1000,384066,0.0000
2018-08-17,1.0900,1.1190,0.9700,1.0400,1.0400,689871,0.0000
2018-08-10,1.1800,1.2231,1.0800,1.1000,1.1000,631640,0.0000
2018-08-03,1.2300,1.2500,1.0900,1.1800,1.1800,784026,0.0000
2018-07-27,1.3100,1.3300,1.2100,1.2300,1.2300,1146420,0.0000
2018-07-20,1.5500,1.5800,1.3000,1.3000,1.3000,2345141,0.0000
2018-07-13,1.3200,1.5399,1.2900,1.4900,1.4900,2920722,0.0000
2018-07-06,1.3500,1.3500,1.2836,1.3100,1.3100,336746,0.0000
2018-06-29,1.4100,1.4105,1.2800,1.3400,1.3400,744325,0.0000
2018-06-22,1.4400,1.4700,1.3200,1.4100,1.4100,861622,0.0000
2018-06-15,1.3000,1.5700,1.3000,1.4300,1.4300,3268136,0.0000
2018-06-08,1.3500,1.3500,1.2500,1.2600,1.2600,741649,0.0000
2018-06-01,1.3400,1.3500,1.3000,1.3300,1.3300,450840,0.0000
2018-05-25,1.3900,1.4000,1.3100,1.3400,1.3400,466201,0.0000
2018-05-18,1.3100,1.3900,1.2800,1.3800,1.3800,690314,0.0000
2018-05-11,1.3400,1.3800,1.2700,1.3100,1.3100,722953,0.0000
2018-05-04,1.4100,1.4200,1.2100,1.3200,1.3200,801434,0.0000
2018-04-27,1.3900,1.4383,1.3100,1.3500,1.3500,802822,0.0000
2018-04-20,1.6500,1.6700,1.3700,1.3700,1.3700,1292777,0.0000
2018-04-13,1.3200,1.6200,1.2500,1.5800,1.5800,2180765,0.0000
2018-04-06,1.3800,1.4200,1.2600,1.2800,1.2800,656788,0.0000
2018-03-29,1.5400,1.5835,1.2000,1.3600,1.3600,1290489,0.0000
2018-03-23,1.8200,1.8200,1.3905,1.5100,1.5100,1863340,0.0000
2018-03-16,1.9500,1.9500,1.7000,1.8100,1.8100,1782863,0.0000
2018-03-09,1.7400,1.9400,1.7096,1.8600,1.8600,1143512,0.0000
2018-03-02,1.8000,1.8400,1.7000,1.7600,1.7600,791363,0.0000
2018-02-23,1.8100,1.9300,1.7000,1.8100,1.8100,1479259,0.0000
2018-02-16,1.7400,2.2000,1.7000,1.8500,1.8500,4247598,0.0000
2018-02-09,2.2000,2.2500,1.6100,1.7300,1.7300,5269238,0.0000
