timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-18,3.2300,3.3950,3.1300,3.3000,3.3000,617017,0.0000
2019-04-12,3.1800,3.5100,3.0800,3.2100,3.2100,1205486,0.0000
2019-04-05,2.9500,3.2200,2.8300,3.1600,3.1600,880721,0.0000
2019-03-29,3.1300,3.2000,2.8500,2.8700,2.8700,924557,0.0000
2019-03-22,3.2700,3.4200,3.1100,3.1100,3.1100,721906,0.0000
2019-03-15,3.1800,3.3800,3.1100,3.2500,3.2500,909182,0.0000
2019-03-08,3.3500,3.3500,3.1000,3.1600,3.1600,1210823,0.0000
2019-03-01,3.6500,3.7900,3.2000,3.3400,3.3400,1250777,0.0000
2019-02-22,3.6000,3.8300,3.5000,3.6300,3.6300,983242,0.0000
2019-02-15,3.4800,3.6500,3.2900,3.6000,3.6000,1093749,0.0000
2019-02-08,3.4100,3.4799,3.2800,3.4600,3.4600,760482,0.0000
2019-02-01,3.4100,3.5700,3.2300,3.4300,3.4300,868423,0.0000
2019-01-25,3.6400,3.6400,3.2600,3.4700,3.4700,741305,0.0000
2019-01-18,3.8700,4.1500,3.5100,3.6400,3.6400,1315877,0.0000
2019-01-11,4.1100,4.1900,3.8100,3.9100,3.9100,1028492,0.0000
2019-01-04,4.4600,4.5600,3.8100,4.0700,4.0700,1360221,0.0000
2018-12-28,3.7700,4.5800,3.7501,4.4000,4.4000,3681933,0.0000
2018-12-21,4.2800,4.5000,3.7400,3.8100,3.8100,2830560,0.0000
2018-12-14,3.9400,4.4900,3.7400,4.2500,4.2500,1593242,0.0000
2018-12-07,5.0000,5.1999,3.8500,3.9000,3.9000,2357639,0.0000
2018-11-30,4.0400,4.5300,3.7200,4.3300,4.3300,1707042,0.0000
2018-11-23,4.1000,4.2500,3.6200,4.0400,4.0400,1253677,0.0000
2018-11-16,3.3800,4.2700,3.1300,4.1000,4.1000,1601681,0.0000
2018-11-09,3.5500,4.0700,3.3800,3.4300,3.4300,1320163,0.0000
2018-11-02,2.8000,3.7890,2.7800,3.5500,3.5500,2346022,0.0000
2018-10-26,3.0300,4.2000,2.7300,2.7700,2.7700,4210589,0.0000
2018-10-19,3.5000,3.5500,3.0500,3.0600,3.0600,968844,0.0000
2018-10-12,3.8400,3.9200,3.4000,3.5100,3.5100,1293761,0.0000
2018-10-05,4.7100,4.8000,3.7084,3.8300,3.8300,2067658,0.0000
2018-09-28,5.6800,5.9169,4.6300,4.6700,4.6700,1778454,0.0000
2018-09-21,6.1500,6.2300,5.4100,5.7000,5.7000,2100707,0.0000
2018-09-14,6.6000,6.9490,6.0100,6.2200,6.2200,1369798,0.0000
2018-09-07,6.9600,7.1800,6.3400,6.5200,6.5200,906724,0.0000
2018-08-31,7.3800,7.5100,6.6500,6.9500,6.9500,1112977,0.0000
2018-08-24,7.7300,8.2000,7.2900,7.3400,7.3400,1122926,0.0000
2018-08-17,8.0000,8.8916,7.2000,7.6300,7.6300,2103014,0.0000
2018-08-10,7.3000,8.1900,7.0000,7.8900,7.8900,1483826,0.0000
2018-08-03,7.1600,7.4500,6.8700,7.3300,7.3300,1193248,0.0000
2018-07-27,7.4000,7.4500,6.9000,7.1300,7.1300,1143717,0.0000
2018-07-20,7.2000,7.5000,6.9200,7.3500,7.3500,1574729,0.0000
2018-07-13,7.7500,7.8900,6.9600,7.3000,7.3000,1924714,0.0000
2018-07-06,8.1000,8.3988,7.6100,7.7700,7.7700,2874359,0.0000
2018-06-29,5.3800,8.3310,5.3750,8.2300,8.2300,5454990,0.0000
2018-06-22,5.8800,7.5000,5.1600,6.2800,6.2800,12878314,0.0000
2018-06-15,6.4500,6.5890,5.1900,5.9400,5.9400,3132299,0.0000
2018-06-08,6.4600,6.7400,6.2600,6.4400,6.4400,994495,0.0000
2018-06-01,6.7900,6.8929,6.1300,6.4700,6.4700,1439165,0.0000
2018-05-25,7.2300,7.3490,6.6100,6.7900,6.7900,1339231,0.0000
2018-05-18,8.0600,8.1300,6.7000,7.2100,7.2100,2389607,0.0000
2018-05-11,7.9900,8.3800,7.6500,8.0900,8.0900,1994445,0.0000
2018-05-04,6.7400,8.4200,6.6400,7.8800,7.8800,4523037,0.0000
