timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,121.2500,123.6800,120.3500,123.0000,123.0000,1186041,0.0000
2019-04-05,112.9500,121.4100,112.9500,121.2600,121.2600,1043100,0.0000
2019-03-29,110.0100,112.7100,106.3800,111.9600,111.9600,1359565,0.0000
2019-03-22,111.7000,116.1600,110.1900,110.6500,110.6500,1560797,0.4200
2019-03-15,109.7600,112.7600,109.4200,111.4900,111.0721,1653083,0.0000
2019-03-08,114.0000,114.7400,107.9400,109.1400,108.7309,1152019,0.0000
2019-03-01,107.8600,115.6100,107.5900,113.6600,113.2340,2094971,0.0000
2019-02-22,100.0200,106.7500,99.2000,106.4200,106.0211,1784037,0.0000
2019-02-15,98.0300,100.7400,96.2800,99.9100,99.5355,1697014,0.0000
2019-02-08,102.8800,104.0000,95.1500,97.7100,97.3438,1537399,0.0000
2019-02-01,97.4300,103.6600,97.4300,102.7700,102.3848,807085,0.0000
2019-01-25,96.2900,100.3400,93.6600,99.5600,99.1868,713797,0.0000
2019-01-18,94.6900,98.1400,92.9200,97.2900,96.9254,1264975,0.0000
2019-01-11,90.8900,96.5300,90.1400,95.6700,95.3114,1378739,0.0000
2019-01-04,95.0000,96.2500,88.0500,91.3100,90.9678,929576,0.0000
2018-12-28,84.7400,95.8300,82.2400,94.0400,93.6875,894805,0.0000
2018-12-21,94.3200,96.5200,85.3500,85.6000,85.2792,1505325,0.4000
2018-12-14,96.6800,99.9848,93.1050,94.3200,93.5404,1142437,0.0000
2018-12-07,110.0400,111.3000,96.5100,96.6600,95.8611,766814,0.0000
2018-11-30,101.8700,107.5800,100.2550,107.4800,106.5917,961172,0.0000
2018-11-23,102.1800,102.1800,94.8561,100.0700,99.2429,811806,0.0000
2018-11-16,102.2600,103.9900,97.4400,102.1800,101.3355,1820173,0.0000
2018-11-09,103.5300,104.9500,100.3500,103.1700,102.3173,862934,0.0000
2018-11-02,98.7500,103.8900,94.8600,103.1400,102.2875,918711,0.0000
2018-10-26,94.8900,99.6914,89.1900,96.7000,95.9008,1382923,0.0000
2018-10-19,94.2500,102.4100,93.9950,94.5000,93.7189,768147,0.0000
2018-10-12,99.8000,100.1900,93.9400,94.4400,93.6594,1128894,0.0000
2018-10-05,103.4300,104.0700,98.7550,100.0700,99.2429,928855,0.4000
2018-09-28,104.1600,105.2500,101.1650,103.1700,101.9099,995916,0.0000
