timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,3.9500,5.9100,3.9200,5.5700,5.5700,3121006,0.0000
2019-04-05,3.9800,4.0480,3.8601,3.9150,3.9150,26984,0.0000
2019-03-29,3.9800,3.9800,3.9200,3.9300,3.9300,6073,0.0000
2019-03-22,4.0500,4.1003,3.9600,3.9800,3.9800,38767,0.0000
2019-03-15,4.1500,4.1500,3.9396,4.0247,4.0247,66287,0.0000
2019-03-08,4.0000,4.2300,4.0000,4.1000,4.1000,47869,0.0000
2019-03-01,3.9601,4.2000,3.9601,4.0200,4.0200,10994,0.0000
2019-02-22,4.0404,4.1608,3.9600,4.0001,4.0001,35430,0.0000
2019-02-15,3.9200,4.2700,3.8500,4.1200,4.1200,22326,0.0000
2019-02-08,4.1000,4.2150,3.8500,3.9300,3.9300,32601,0.0000
2019-02-01,4.2300,4.3500,3.8500,4.1000,4.1000,53977,0.0000
2019-01-25,4.4300,4.4300,4.4250,4.4250,4.4250,3,0.0000
2019-01-18,4.1805,4.4300,3.7001,4.4250,4.4250,28317,0.0000
2019-01-11,4.7400,4.8000,4.0006,4.2550,4.2550,19988,0.0000
2019-01-04,3.7800,5.4900,3.6094,4.7500,4.7500,54163,0.0000
2018-12-28,3.6500,3.9900,3.5500,3.7722,3.7722,18723,0.0000
2018-12-21,4.3100,4.3100,3.9404,4.0500,4.0500,2525,0.0000
2018-12-14,4.0000,4.3100,3.7000,4.3100,4.3100,30525,0.0000
2018-12-07,3.9500,4.1000,3.9300,4.1000,4.1000,2932,0.0000
2018-11-30,3.7185,4.2450,3.7185,3.9700,3.9700,14470,0.0000
2018-11-23,4.1400,4.2243,3.6683,4.0000,4.0000,29636,0.0000
2018-11-16,4.2200,4.3470,3.4300,4.3470,4.3470,47284,0.0000
2018-11-09,5.0449,5.0881,3.6200,4.2000,4.2000,101451,0.0000
2018-11-02,5.1900,5.1900,4.9001,5.1200,5.1200,32893,0.0000
2018-10-26,5.5900,5.6010,5.2100,5.2100,5.2100,19142,0.0000
2018-10-19,5.4800,5.6000,5.4300,5.6000,5.6000,19273,0.0000
2018-10-12,5.5200,5.7500,5.3600,5.4350,5.4350,15056,0.0000
2018-10-05,5.6900,5.9100,5.4300,5.4600,5.4600,20576,0.0000
2018-09-28,5.3500,5.8700,5.3500,5.6700,5.6700,58273,0.0000
2018-09-21,6.1000,6.3000,5.2000,5.3100,5.3100,135054,0.0000
2018-09-14,5.6400,6.2900,5.6000,5.8300,5.8300,138675,0.0000
2018-09-07,5.6000,5.6500,5.3220,5.6086,5.6086,91553,0.0000
2018-08-31,5.3200,5.6500,5.2660,5.3100,5.3100,68634,0.0000
2018-08-24,5.2810,5.4270,5.0000,5.3500,5.3500,92999,0.0000
2018-08-17,5.8000,6.2500,4.9810,5.5700,5.5700,68839,0.0000
2018-08-10,5.8453,5.9800,5.6199,5.7910,5.7910,29250,0.0000
2018-08-03,5.9500,6.2600,5.7500,5.9910,5.9910,94153,0.0000
