timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,7.6500,7.7900,7.5200,7.6100,7.6100,365367,0.0000
2019-04-05,7.3100,7.8100,7.1400,7.6000,7.6000,449898,0.0000
2019-03-29,7.2600,7.6200,7.0100,7.2000,7.2000,456108,0.0000
2019-03-22,7.5400,7.8661,7.2300,7.2900,7.2900,502614,0.0000
2019-03-15,7.3200,7.9200,7.2152,7.5400,7.5400,622073,0.0000
2019-03-08,7.8300,7.9700,6.8500,7.2400,7.2400,372291,0.0000
2019-03-01,7.5200,7.8400,7.4800,7.8400,7.8400,311465,0.0000
2019-02-22,7.4000,7.5400,7.1500,7.4900,7.4900,262143,0.0000
2019-02-15,6.9193,7.4750,6.9193,7.3800,7.3800,499380,0.0000
2019-02-08,6.9500,7.1800,6.8900,6.9800,6.9800,265755,0.0000
2019-02-01,6.8000,7.0500,6.5000,6.9400,6.9400,454284,0.0000
2019-01-25,6.9900,7.1000,6.8100,6.8400,6.8400,224676,0.0000
2019-01-18,7.1800,7.5100,7.0000,7.0600,7.0600,305459,0.0000
2019-01-11,6.8800,7.3600,6.8500,7.3000,7.3000,377381,0.0000
2019-01-04,6.6700,7.0000,6.5203,6.8900,6.8900,403252,0.0000
2018-12-28,6.6600,6.8300,6.4400,6.6000,6.6000,366218,0.0000
2018-12-21,7.3700,7.7200,6.7500,6.8100,6.8100,640370,0.0000
2018-12-14,8.0100,8.1400,7.2600,7.3800,7.3800,494748,0.0000
2018-12-07,8.3800,8.6900,7.7500,8.0200,8.0200,757239,0.0000
2018-11-30,8.1700,8.5000,7.6800,8.3100,8.3100,575643,0.0000
2018-11-23,8.3900,8.4000,7.9700,8.1300,8.1300,264764,0.0000
2018-11-16,7.8300,8.5400,7.6300,8.3500,8.3500,539938,0.0000
2018-11-09,7.6400,8.5800,7.5600,7.8200,7.8200,537867,0.0000
2018-11-02,7.3300,7.6600,7.1500,7.6100,7.6100,189902,0.0000
2018-10-26,7.3600,7.5000,6.9600,7.2200,7.2200,212255,0.0000
2018-10-19,7.3800,7.9700,7.2500,7.3500,7.3500,326537,0.0000
2018-10-12,7.7900,7.9800,7.3685,7.3700,7.3700,410151,0.0000
2018-10-05,7.9100,8.1600,7.5600,7.7900,7.7900,286604,0.0000
2018-09-28,8.0800,8.0800,7.7200,7.8800,7.8800,237282,0.0000
2018-09-21,8.2500,8.3600,7.9900,8.1000,8.1000,368655,0.0000
2018-09-14,8.5000,8.5000,8.1100,8.2000,8.2000,241035,0.0000
2018-09-07,8.4200,8.5550,8.1700,8.4700,8.4700,274708,0.0000
2018-08-31,8.5500,8.5900,8.1700,8.4400,8.4400,372503,0.0000
2018-08-24,8.7800,8.9300,8.3278,8.5300,8.5300,450365,0.0000
2018-08-17,8.6800,9.1800,8.4600,8.7900,8.7900,796668,0.0000
2018-08-10,6.7400,8.7100,6.6900,8.6200,8.6200,1016810,0.0000
2018-08-03,6.5900,7.0100,6.5500,6.7400,6.7400,302600,0.0000
2018-07-27,6.8200,6.9400,6.5300,6.5800,6.5800,362558,0.0000
2018-07-20,6.6900,7.0600,6.4399,6.7800,6.7800,617745,0.0000
2018-07-13,6.5000,6.6900,6.4000,6.6550,6.6550,312457,0.0000
2018-07-06,6.1100,6.5500,6.0800,6.4700,6.4700,246704,0.0000
2018-06-29,6.0800,6.4600,5.8300,6.1400,6.1400,516017,0.0000
2018-06-22,6.1300,6.3300,5.9650,6.0800,6.0800,655932,0.0000
2018-06-15,6.3700,6.4500,5.8600,6.1500,6.1500,634581,0.0000
2018-06-08,5.8500,7.0250,5.8100,6.3400,6.3400,858115,0.0000
2018-06-01,5.9400,6.0000,5.6700,5.8400,5.8400,478835,0.0000
2018-05-25,6.3600,6.4700,5.9000,5.9700,5.9700,492613,0.0000
2018-05-18,5.8600,6.6800,5.7600,6.3400,6.3400,1346255,0.0000
2018-05-11,4.6700,6.0300,4.4300,5.8650,5.8650,1936419,0.0000
2018-05-04,4.6200,4.8100,4.5700,4.6800,4.6800,481474,0.0000
2018-04-27,4.9200,4.9500,4.4700,4.6200,4.6200,491623,0.0000
2018-04-20,4.7000,4.9900,4.5800,4.9000,4.9000,655744,0.0000
2018-04-13,4.6700,4.7400,4.5500,4.6700,4.6700,423670,0.0000
2018-04-06,4.4200,4.7434,4.3700,4.6400,4.6400,910856,0.0000
2018-03-29,4.7600,4.8100,4.4350,4.4500,4.4500,776881,0.0000
2018-03-23,5.1200,5.1600,4.6600,4.7000,4.7000,648281,0.0000
2018-03-16,4.6500,5.4200,4.6500,5.1100,5.1100,1220598,0.0000
2018-03-09,4.1700,4.6500,4.0200,4.6200,4.6200,855599,0.0000
2018-03-02,4.4200,4.4635,4.0000,4.1800,4.1800,433331,0.0000
2018-02-23,4.4400,4.5400,4.2500,4.3900,4.3900,260484,0.0000
2018-02-16,4.2500,4.5900,4.0800,4.4800,4.4800,548566,0.0000
2018-02-09,4.2500,5.2900,4.0207,4.2300,4.2300,1874916,0.0000
2018-02-02,4.9000,4.9492,4.2900,4.2900,4.2900,915757,0.0000
2018-01-26,5.0500,5.1438,4.9000,4.9300,4.9300,685673,0.0000
2018-01-19,5.2600,5.3367,5.0400,5.0700,5.0700,488235,0.0000
2018-01-12,5.2600,5.4200,5.0550,5.2200,5.2200,904156,0.0000
2018-01-05,5.1400,5.3300,5.0800,5.2900,5.2900,616399,0.0000
2017-12-29,5.0500,5.2450,4.9300,5.1300,5.1300,992528,0.0000
2017-12-22,4.8600,5.3000,4.8600,5.0900,5.0900,1264040,0.0000
2017-12-15,4.7300,5.2400,4.6800,4.8000,4.8000,1504942,0.0000
2017-12-08,5.2900,5.3400,4.6800,4.7000,4.7000,1169713,0.0000
2017-12-01,5.5000,5.6000,5.1200,5.2100,5.2100,874272,0.0000
2017-11-24,5.5700,5.6400,5.1700,5.5200,5.5200,961601,0.0000
2017-11-17,5.9700,6.0300,5.1500,5.5400,5.5400,1293126,0.0000
2017-11-10,8.5700,8.6500,5.4000,5.9600,5.9600,3404111,0.0000
2017-11-03,8.8000,8.8400,8.4200,8.5600,8.5600,491812,0.0000
2017-10-27,9.0200,9.4100,8.6700,8.8300,8.8300,707421,0.0000
2017-10-20,8.6700,9.1100,8.5000,8.9600,8.9600,600006,0.0000
2017-10-13,8.5400,8.8800,8.5300,8.6300,8.6300,640503,0.0000
2017-10-06,8.4700,8.8200,8.3800,8.5500,8.5500,681750,0.0000
2017-09-29,8.4100,8.7600,8.2900,8.4600,8.4600,745622,0.0000
2017-09-22,7.9200,8.4800,7.9000,8.3800,8.3800,738118,0.0000
2017-09-15,7.6000,8.0600,7.5600,7.9200,7.9200,595861,0.0750
2017-09-08,7.4600,7.7300,7.4400,7.5600,7.4883,382048,0.0000
2017-09-01,7.3100,7.5100,7.1200,7.5000,7.4288,407638,0.0000
2017-08-25,6.9600,7.2900,6.9400,7.2700,7.2010,490202,0.0000
2017-08-18,7.4700,7.5500,6.9700,7.0000,6.9336,1523270,0.0000
