timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,10.4000,10.4500,10.3400,10.3600,10.3600,2460763,0.0000
2019-04-12,10.2800,10.4300,10.2400,10.4200,10.4200,7411294,0.0000
2019-04-05,10.2000,10.2300,10.1400,10.1800,10.1800,1142703,0.0000
2019-03-29,10.1500,10.2000,10.1400,10.1800,10.1800,878451,0.0000
2019-03-22,10.1500,10.1500,10.1200,10.1500,10.1500,1452877,0.0000
2019-03-15,10.1300,10.2000,10.1200,10.1500,10.1500,1033982,0.0000
2019-03-08,10.1200,10.2000,10.1144,10.1700,10.1700,12967,0.0000
2019-03-01,10.0700,10.1000,10.0700,10.1000,10.1000,4406,0.0000
2019-02-21,10.1200,10.1200,10.0400,10.0700,10.0700,10427,0.0000
2019-02-15,10.1000,10.1200,10.0700,10.1200,10.1200,86697,0.0000
2019-02-08,10.0800,10.1200,10.0800,10.1200,10.1200,48718,0.0000
2019-02-01,10.1000,10.1000,10.0300,10.0800,10.0800,700,0.0000
2019-01-25,10.0300,10.1200,10.0200,10.1000,10.1000,32903,0.0000
2019-01-18,9.9900,10.0500,9.9900,10.0290,10.0290,303326,0.0000
2019-01-11,9.9800,10.0500,9.9500,9.9900,9.9900,1037462,0.0000
2019-01-04,9.9960,10.0000,9.9960,10.0000,10.0000,5439,0.0000
2018-12-31,9.9955,9.9955,9.9955,9.9955,9.9955,100,0.0000
2018-12-28,9.9800,9.9900,9.9700,9.9900,9.9900,1421,0.0000
2018-12-21,9.9300,9.9900,9.9000,9.9800,9.9800,278515,0.0000
2018-12-14,10.0000,10.0200,9.9000,10.0000,10.0000,1504,0.0000
2018-12-07,10.0000,10.0200,10.0000,10.0200,10.0200,6885,0.0000
2018-11-30,9.9800,10.0000,9.9600,10.0000,10.0000,437,0.0000
2018-11-21,9.9800,9.9800,9.9800,9.9800,9.9800,232,0.0000
2018-11-16,10.0000,10.0000,10.0000,10.0000,10.0000,1385,0.0000
2018-11-09,10.0000,10.0000,9.9500,10.0000,10.0000,713873,0.0000
2018-11-02,9.9805,10.0000,9.9000,10.0000,10.0000,17727,0.0000
2018-10-26,10.0000,10.0600,9.9400,9.9805,9.9805,19974,0.0000
2018-10-19,9.9000,9.9700,9.9000,9.9700,9.9700,376356,0.0000
2018-10-12,9.9100,9.9500,9.9100,9.9500,9.9500,40310,0.0000
2018-10-05,9.9100,9.9200,9.9100,9.9100,9.9100,103525,0.0000
2018-09-28,9.9000,9.9100,9.9000,9.9100,9.9100,173134,0.0000
2018-09-21,9.8790,9.9000,9.8790,9.9000,9.9000,3260,0.0000
2018-09-14,9.8800,9.9000,9.8800,9.8800,9.8800,39106,0.0000
2018-09-07,9.8600,9.9000,9.8500,9.8800,9.8800,423530,0.0000
2018-08-31,9.8700,9.8700,9.8500,9.8600,9.8600,209271,0.0000
2018-08-24,9.8400,9.8700,9.8400,9.8700,9.8700,116921,0.0000
2018-08-17,9.8700,9.8700,9.8400,9.8400,9.8400,132,0.0000
2018-08-10,9.8700,9.8700,9.8500,9.8700,9.8700,32237,0.0000
2018-08-03,9.8490,9.8700,9.8400,9.8700,9.8700,317645,0.0000
2018-07-27,9.8500,9.8600,9.8300,9.8490,9.8490,37628,0.0000
2018-07-20,9.8600,9.9200,9.8300,9.8500,9.8500,1356524,0.0000
2018-07-13,9.8700,9.8701,9.8501,9.8600,9.8600,3200,0.0000
2018-07-06,9.8601,9.9000,9.8601,9.9000,9.9000,1400,0.0000
2018-06-29,9.8500,9.9000,9.8400,9.8700,9.8700,23949,0.0000
2018-06-22,9.8000,9.8500,9.8000,9.8500,9.8500,239486,0.0000
2018-06-15,9.7600,9.7900,9.7600,9.7900,9.7900,12647,0.0000
2018-06-08,9.7999,9.8000,9.7600,9.7600,9.7600,1553,0.0000
2018-06-01,9.8000,9.8000,9.8000,9.8000,9.8000,200,0.0000
2018-05-25,9.7900,9.8200,9.7900,9.8000,9.8000,119703,0.0000
2018-05-18,9.8000,9.8000,9.8000,9.8000,9.8000,230,0.0000
2018-05-11,9.8000,9.8000,9.8000,9.8000,9.8000,159011,0.0000
2018-05-04,9.7900,9.7900,9.7900,9.7900,9.7900,1484,0.0000
2018-04-27,9.7500,9.8000,9.7500,9.7900,9.7900,10760,0.0000
2018-04-20,9.6700,9.6700,9.6700,9.6700,9.6700,4,0.0000
2018-04-13,9.6900,9.6900,9.6700,9.6700,9.6700,1182,0.0000
2018-04-06,9.6700,9.6900,9.6500,9.6900,9.6900,502,0.0000
2018-03-29,9.6700,9.6700,9.6700,9.6700,9.6700,24,0.0000
2018-03-23,9.6800,9.7000,9.6700,9.6700,9.6700,205780,0.0000
2018-03-16,9.6800,9.6801,9.6700,9.6800,9.6800,51549,0.0000
2018-03-09,9.6700,9.6900,9.6700,9.6800,9.6800,100369,0.0000
2018-03-02,9.6800,9.6800,9.6700,9.6700,9.6700,576495,0.0000
2018-02-23,9.7300,9.7300,9.6800,9.6800,9.6800,2248,0.0000
2018-02-16,9.7000,9.7500,9.6700,9.7500,9.7500,198361,0.0000
2018-02-09,9.7135,9.7135,9.6900,9.7000,9.7000,32800,0.0000
2018-02-02,9.6700,9.7300,9.6700,9.7300,9.7300,528721,0.0000
2018-01-26,9.6900,9.7000,9.6700,9.6700,9.6700,63000,0.0000
2018-01-19,9.6700,9.6900,9.6700,9.6900,9.6900,100300,0.0000
2018-01-12,9.6837,9.7100,9.6600,9.7000,9.7000,855300,0.0000
2018-01-05,9.6800,9.6800,9.6800,9.6800,9.6800,0,0.0000
2017-12-29,9.7200,9.7200,9.6800,9.6800,9.6800,300,0.0000
2017-12-22,9.6600,9.7000,9.6500,9.6500,9.6500,700,0.0000
2017-12-15,9.6900,9.6900,9.6600,9.6600,9.6600,100,0.0000
2017-12-08,9.6700,9.7500,9.6700,9.6900,9.6900,2157692,0.0000
2017-12-01,9.6700,10.1000,9.6700,9.7500,9.7500,8135,0.0000
2017-11-24,9.7200,9.7200,9.6700,9.6700,9.6700,29200,0.0000
2017-11-17,9.7200,9.7200,9.7200,9.7200,9.7200,0,0.0000
2017-11-10,9.7020,9.7500,9.7000,9.7200,9.7200,393898,0.0000
2017-11-03,9.7900,9.7900,9.6000,9.7500,9.7500,12700,0.0000
2017-10-27,9.7300,9.7900,9.6500,9.7900,9.7900,401402,0.0000
2017-10-20,9.7800,9.8500,9.7300,9.7300,9.7300,223300,0.0000
2017-10-13,9.8000,9.8500,9.7750,9.7800,9.7800,640100,0.0000
