timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,0.7900,0.7900,0.6359,0.6563,0.6563,3626567,0.0000
2019-04-12,1.1000,1.1457,0.9200,0.9365,0.9365,3056617,0.0000
2019-04-05,1.0200,1.1099,0.9800,1.0500,1.0500,2075137,0.0000
2019-03-29,0.9800,1.1800,0.9300,0.9749,0.9749,5324798,0.0000
2019-03-22,0.9300,1.0400,0.9300,0.9799,0.9799,2366517,0.0000
2019-03-15,1.0100,1.0343,0.9010,0.9550,0.9550,1206546,0.0000
2019-03-08,1.1000,1.2100,0.9100,0.9949,0.9949,6156389,0.0000
2019-03-01,1.0500,1.4700,0.8800,1.0100,1.0100,8584256,0.0000
2019-02-22,1.0000,1.2200,0.9741,1.0400,1.0400,2622149,0.0000
2019-02-15,1.0300,1.0700,0.9285,0.9898,0.9898,1257668,0.0000
2019-02-08,1.1200,1.1600,1.0000,1.0300,1.0300,1293854,0.0000
2019-02-01,0.8800,1.3000,0.8500,1.1300,1.1300,7573188,0.0000
2019-01-25,0.8660,0.8868,0.7402,0.8451,0.8451,936764,0.0000
2019-01-18,0.9124,0.9900,0.8300,0.8575,0.8575,2600716,0.0000
2019-01-11,0.8300,0.9500,0.7500,0.8843,0.8843,1614309,0.0000
2019-01-04,0.6689,1.0000,0.6120,0.7480,0.7480,5076381,0.0000
2018-12-28,0.6100,0.7299,0.6000,0.6689,0.6689,210307,0.0000
2018-12-21,1.0000,1.0250,0.5600,0.5934,0.5934,956246,0.0000
2018-12-14,1.0200,1.0700,1.0000,1.0050,1.0050,618969,0.0000
2018-12-07,1.1600,1.1600,1.0100,1.0250,1.0250,484676,0.0000
2018-11-30,1.0900,1.1200,1.0200,1.0700,1.0700,702602,0.0000
2018-11-23,1.1100,1.1100,1.0000,1.0900,1.0900,1005023,0.0000
2018-11-16,1.2200,1.2494,1.0500,1.1300,1.1300,2181981,0.0000
2018-11-09,1.2800,1.3300,1.1800,1.2100,1.2100,1892895,0.0000
2018-11-02,1.9000,2.0000,1.2200,1.3000,1.3000,5553820,0.0000
2018-10-26,1.4800,1.7152,1.2500,1.5900,1.5900,2877368,0.0000
2018-10-19,1.1800,2.6000,1.1000,1.5200,1.5200,10393708,0.0000
2018-10-12,1.1900,1.3200,1.1200,1.1563,1.1563,459718,0.0000
2018-10-05,1.1800,1.3600,1.1300,1.2100,1.2100,673803,0.0000
2018-09-28,1.1900,1.2000,1.1200,1.1600,1.1600,255117,0.0000
2018-09-21,1.1800,1.2000,1.1200,1.1700,1.1700,203693,0.0000
2018-09-14,1.2100,1.2500,1.1400,1.1834,1.1834,364270,0.0000
2018-09-07,1.3600,1.5500,1.1600,1.2000,1.2000,880491,0.0000
