timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-15,16.7400,17.1200,15.4700,15.7800,15.7800,9575806,0.0000
2019-04-12,18.3500,18.4200,16.6000,17.0400,17.0400,29358134,0.0000
2019-04-05,18.6000,18.7600,17.8800,18.4000,18.4000,20899484,0.0000
2019-03-29,19.3300,21.1000,17.2400,18.4300,18.4300,70664846,0.0000
2019-03-22,21.0000,22.0400,19.2200,19.2300,19.2300,35503952,0.0000
2019-03-15,21.3900,22.3400,20.3600,21.0000,21.0000,44356348,0.0000
2019-03-08,21.6900,24.3700,20.6700,21.7400,21.7400,64393442,0.0000
2019-03-01,21.2000,22.2700,19.5000,21.7100,21.7100,62177250,0.0000
2019-02-22,21.1000,22.9600,21.0400,21.9200,21.9200,59112098,0.0000
2019-02-15,20.2300,21.8400,18.8600,21.2900,21.2900,94792137,0.0000
2019-02-08,21.8200,25.1000,18.7200,19.5500,19.5500,223447676,0.0000
2019-02-01,16.0100,21.7900,15.7300,20.8100,20.8100,178938447,0.0000
2019-01-25,15.2000,16.3000,14.0900,16.0200,16.0200,61533165,0.0000
2019-01-18,13.6500,15.1900,12.7500,14.9000,14.9000,53162515,0.0000
2019-01-11,11.8800,13.9900,11.7144,13.6700,13.6700,38956037,0.0000
2019-01-04,10.6100,12.1900,10.2500,11.7800,11.7800,24658014,0.0000
2018-12-28,9.6000,10.6700,9.5600,10.4200,10.4200,15012726,0.0000
2018-12-21,11.1800,11.8100,10.0000,10.2100,10.2100,32516612,0.0000
2018-12-14,12.9300,13.1500,11.0600,11.2800,11.2800,58841954,0.0000
2018-12-07,9.2500,13.9500,8.5100,12.7200,12.7200,139031461,0.0000
2018-11-30,8.8500,9.2200,8.0900,9.1500,9.1500,22809899,0.0000
2018-11-23,8.6600,8.8600,7.7000,8.8100,8.8100,17322593,0.0000
2018-11-16,8.7500,9.0800,7.5200,8.5600,8.5600,38260899,0.0000
2018-11-09,8.0500,9.9500,7.7600,8.5500,8.5500,59973099,0.0000
2018-11-02,7.9400,8.0750,6.5000,8.0600,8.0600,40551308,0.0000
2018-10-26,9.6900,9.8800,7.5100,7.7800,7.7800,53883466,0.0000
2018-10-19,10.4100,13.0000,9.6100,9.7100,9.7100,126593675,0.0000
2018-10-12,9.3700,10.0800,8.6800,9.8600,9.8600,44578815,0.0000
2018-10-05,11.9000,11.9900,9.4000,9.7700,9.7700,52525518,0.0000
2018-09-28,11.8000,12.5500,10.8200,11.1200,11.1200,67665024,0.0000
2018-09-21,10.6400,15.3000,10.0600,12.5100,12.5100,259985179,0.0000
2018-09-14,12.3500,12.4600,9.2600,10.3800,10.3800,102256357,0.0000
2018-09-07,10.9000,13.3900,10.6100,11.9900,11.9900,183795504,0.0000
2018-08-31,11.8200,12.8900,8.5400,9.8800,9.8800,278059213,0.0000
2018-08-24,6.7100,10.1000,6.6260,9.9400,9.9400,109113989,0.0000
2018-08-17,6.0200,6.6900,5.6100,6.5400,6.5400,18590652,0.0000
2018-08-10,5.8800,6.1000,5.6400,5.9600,5.9600,7825818,0.0000
2018-08-03,6.2200,6.3350,5.6400,5.8600,5.8600,9426472,0.0000
2018-07-27,6.5000,6.6800,6.1000,6.2300,6.2300,8836368,0.0000
2018-07-20,7.1000,7.1000,6.5100,6.5400,6.5400,8317167,0.0000
2018-07-13,6.9500,7.1900,6.8100,7.0600,7.0600,8921096,0.0000
2018-07-06,6.6200,7.0407,6.5500,6.9600,6.9600,7911669,0.0000
2018-06-29,7.3000,7.3000,6.0900,6.5200,6.5200,19161384,0.0000
2018-06-22,6.9800,8.1100,6.5100,7.2400,7.2400,29214713,0.0000
2018-06-15,7.2300,7.3200,6.6200,7.0200,7.0200,18075860,0.0000
2018-06-08,6.9100,8.1500,6.6800,7.2300,7.2300,38396315,0.0000
2018-06-01,6.0000,6.8400,5.8800,6.8400,6.8400,10993815,0.0000
2018-05-25,6.2900,6.6800,5.9000,6.0100,6.0100,12235030,0.0000
2018-05-18,6.2600,6.8500,5.7600,6.2300,6.2300,18339900,0.0000
2018-05-11,5.8800,6.2500,5.5000,6.1200,6.1200,9592617,0.0000
2018-05-04,7.0000,7.1300,5.7500,5.8800,5.8800,11046421,0.0000
2018-04-27,7.3300,7.3900,6.6601,6.8000,6.8000,6280744,0.0000
2018-04-20,7.5000,7.9400,7.1700,7.3700,7.3700,12972721,0.0000
2018-04-13,5.7000,7.4500,5.2600,7.1200,7.1200,14489539,0.0000
2018-04-06,6.7300,6.7300,5.1200,5.6300,5.6300,12136080,0.0000
2018-03-29,7.5500,7.6500,6.3445,6.7300,6.7300,6237714,0.0000
2018-03-23,8.1200,9.0800,7.3000,7.4700,7.4700,16681803,0.0000
2018-03-16,9.3000,9.3200,7.8100,7.8200,7.8200,11205018,0.0000
2018-03-09,9.6700,10.3900,9.0900,9.3200,9.3200,20288179,0.0000
2018-03-02,7.5500,10.0500,7.1700,9.4000,9.4000,28859672,0.0000
2018-02-23,7.2350,7.5406,6.8100,7.0113,7.0113,1061400,0.0000
2018-02-16,7.5800,8.0000,7.1500,7.2200,7.2200,1759017,0.0000
2018-02-09,4.8170,8.3749,4.7500,7.3400,7.3400,5008000,0.0000
2018-02-02,8.3920,8.4505,5.3071,5.5128,5.5128,4901240,0.0000
2018-01-26,8.0100,9.5900,7.7300,8.1840,8.1840,4160749,0.0000
2018-01-19,8.2799,8.6627,7.7240,7.9600,7.9600,3052041,0.0000
2018-01-12,9.0400,11.9000,7.0510,7.1800,7.1800,9022417,0.0000
2018-01-05,7.7411,8.9100,7.0600,8.4800,8.4800,6004632,0.0000
2017-12-29,4.7000,8.3012,4.6300,7.7292,7.7292,5370696,0.0000
2017-12-22,3.8560,4.6000,3.7500,4.5338,4.5338,2051659,0.0000
2017-12-15,3.5412,4.1141,3.5100,3.7500,3.7500,1611255,0.0000
2017-12-08,3.3770,3.5200,3.1842,3.4885,3.4885,1193173,0.0000
2017-12-01,3.3300,3.8200,2.9850,3.3092,3.3092,2144363,0.0000
2017-11-24,3.1740,3.3400,3.1100,3.2300,3.2300,675319,0.0000
2017-11-17,2.8420,3.5150,2.8190,3.0829,3.0829,2093753,0.0000
2017-11-10,2.4900,2.8000,2.4600,2.7000,2.7000,778233,0.0000
2017-11-03,2.5660,2.6980,2.4281,2.4900,2.4900,700370,0.0000
2017-10-27,2.5629,2.7100,2.4100,2.4502,2.4502,345041,0.0000
2017-10-20,2.6408,2.8400,2.3938,2.5000,2.5000,1315241,0.0000
2017-10-13,2.3750,2.6500,2.0900,2.6000,2.6000,821272,0.0000
2017-10-06,2.0890,2.4700,2.0650,2.3710,2.3710,587275,0.0000
2017-09-29,2.3450,2.3450,1.7000,2.1030,2.1030,269210,0.0000
2017-09-22,1.5000,2.3500,1.5000,2.1200,2.1200,576833,0.0000
2017-09-15,1.8886,2.0100,1.8200,1.9966,1.9966,455246,0.0000
2017-09-08,1.9750,1.9750,1.8294,1.8465,1.8465,304433,0.0000
2017-09-01,1.8700,1.9217,1.8000,1.9006,1.9006,240532,0.0000
2017-08-25,1.8813,1.9800,1.8000,1.8331,1.8331,330350,0.0000
2017-08-18,1.6400,2.2500,1.5800,1.8100,1.8100,1061002,0.0000
2017-08-11,1.7700,2.2000,1.6000,1.6350,1.6350,68310,0.0000
2017-08-04,1.8200,1.9000,1.1700,1.6900,1.6900,64339,0.0000
2017-07-28,1.7700,2.0500,1.7241,1.8030,1.8030,118608,0.0000
