timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,6.3900,7.5000,5.5100,5.7400,5.7400,11503000,0.0000
2019-04-05,4.1800,5.6462,3.8000,5.5000,5.5000,6946781,0.0000
2019-03-29,3.0200,3.5517,2.8100,3.5400,3.5400,2343305,0.0000
2019-03-22,3.1200,3.3699,2.8800,3.0400,3.0400,1461944,0.0000
2019-03-15,2.8500,3.1900,2.8400,2.9000,2.9000,1317998,0.0000
2019-03-08,2.7200,3.0000,2.5300,2.8700,2.8700,1259960,0.0000
2019-03-01,2.9000,2.9000,2.3668,2.7200,2.7200,1851450,0.0000
2019-02-22,2.8400,2.9636,2.7200,2.8800,2.8800,807945,0.0000
2019-02-15,2.8600,2.9300,2.7600,2.7600,2.7600,822077,0.0000
2019-02-08,2.9400,3.0000,2.7600,2.8200,2.8200,997156,0.0000
2019-02-01,2.7800,3.0274,2.6500,2.8800,2.8800,1221160,0.0000
2019-01-25,2.7500,2.8850,2.5700,2.7500,2.7500,851508,0.0000
2019-01-18,2.7700,3.1900,2.6000,2.7200,2.7200,2546303,0.0000
2019-01-11,2.7000,3.1100,2.5300,2.7600,2.7600,1662797,0.0000
2019-01-04,2.9500,3.1000,2.5850,2.6300,2.6300,1419144,0.0000
2018-12-28,2.8900,3.1300,2.7600,2.8900,2.8900,699141,0.0000
2018-12-21,3.0800,3.0899,2.6901,2.8400,2.8400,954619,0.0000
2018-12-14,3.1500,3.3000,2.9100,3.0500,3.0500,912078,0.0000
2018-12-07,3.3700,3.5300,3.0600,3.0800,3.0800,920523,0.0000
2018-11-30,3.2200,3.3700,3.0600,3.2800,3.2800,804257,0.0000
2018-11-23,3.0000,3.3200,2.7700,3.2200,3.2200,728916,0.0000
2018-11-16,2.9100,3.0800,2.6200,3.0100,3.0100,1225322,0.0000
2018-11-09,3.4000,3.4899,2.7600,2.8300,2.8300,1157893,0.0000
2018-11-02,2.7700,3.6400,2.6800,3.3400,3.3400,1836772,0.0000
2018-10-26,3.5900,3.5900,2.6000,2.7300,2.7300,2297725,0.0000
2018-10-19,3.7800,3.9000,3.4700,3.5200,3.5200,1307019,0.0000
2018-10-12,4.0100,4.0500,3.3000,3.7700,3.7700,2064377,0.0000
2018-10-05,4.1400,4.3910,3.6000,3.9900,3.9900,2735895,0.0000
2018-09-28,3.8500,4.4100,3.7100,4.0500,4.0500,4817852,0.0000
2018-09-21,3.5500,4.2500,3.3700,3.8300,3.8300,7426310,0.0000
2018-09-14,3.6300,4.0700,3.0300,3.5900,3.5900,9651053,0.0000
2018-09-07,2.6200,4.4400,2.6000,3.6100,3.6100,12247883,0.0000
2018-08-31,1.6700,3.0600,1.5301,2.6800,2.6800,15136857,0.0000
2018-08-24,1.2400,1.6900,1.0600,1.5500,1.5500,8373311,0.0000
2018-08-17,0.8600,1.2000,0.8300,1.1800,1.1800,4983753,0.0000
2018-08-10,0.8800,0.8800,0.8165,0.8300,0.8300,658883,0.0000
2018-08-03,0.9163,0.9500,0.8400,0.8462,0.8462,832233,0.0000
2018-07-27,0.9000,0.9500,0.8808,0.8996,0.8996,1313029,0.0000
2018-07-20,0.9900,0.9900,0.8800,0.8804,0.8804,2242351,0.0000
2018-07-13,0.8900,1.2900,0.8340,1.0400,1.0400,10531420,0.0000
2018-07-06,0.9480,0.9900,0.8301,0.8385,0.8385,1932202,0.0000
2018-06-29,3.3000,3.3200,0.8337,0.9200,0.9200,9091251,0.0000
2018-06-22,3.6000,3.6600,3.0000,3.3000,3.3000,1938208,0.0000
2018-06-15,2.8000,3.4200,2.6501,3.3500,3.3500,1224198,0.0000
2018-06-08,3.0500,3.1400,2.7000,2.8000,2.8000,1099991,0.0000
2018-06-01,3.2000,3.2020,2.8000,2.9900,2.9900,1115763,0.0000
2018-05-25,2.9100,3.2990,2.7500,3.2000,3.2000,1377830,0.0000
2018-05-18,3.3000,3.3000,2.4600,2.7600,2.7600,2774171,0.0000
2018-05-11,2.3400,3.3500,2.3200,3.1600,3.1600,3566354,0.0000
2018-05-04,2.3000,2.4800,2.0000,2.3400,2.3400,1189097,0.0000
2018-04-27,1.8400,2.4200,1.8200,2.4100,2.4100,1064238,0.0000
2018-04-20,1.8300,2.0600,1.7500,1.8300,1.8300,1247590,0.0000
2018-04-13,1.4000,1.8800,1.3600,1.8000,1.8000,921649,0.0000
2018-04-06,1.4100,1.4100,1.3400,1.4100,1.4100,489685,0.0000
2018-03-29,1.5000,1.5075,1.3000,1.4100,1.4100,494058,0.0000
2018-03-23,1.9000,1.9000,1.4610,1.5000,1.5000,1172379,0.0000
2018-03-16,1.9300,1.9300,1.7800,1.9000,1.9000,337270,0.0000
2018-03-09,1.9000,1.9400,1.8500,1.8800,1.8800,348430,0.0000
2018-03-02,1.8200,1.9800,1.7600,1.8500,1.8500,296449,0.0000
2018-02-23,1.8200,1.8500,1.7300,1.8000,1.8000,332406,0.0000
2018-02-16,1.8200,1.8500,1.7000,1.7900,1.7900,454554,0.0000
2018-02-09,1.8900,1.9800,1.5200,1.8200,1.8200,782620,0.0000
2018-02-02,2.2500,2.3490,1.8156,1.9200,1.9200,1448497,0.0000
2018-01-26,2.0000,2.5000,1.9800,2.2700,2.2700,1980700,0.0000
2018-01-19,2.1500,2.1500,1.8700,1.9600,1.9600,591382,0.0000
2018-01-12,1.8900,2.2300,1.8700,2.1500,2.1500,1511868,0.0000
2018-01-05,1.8800,2.1000,1.8500,1.9500,1.9500,1755147,0.0000
2017-12-29,1.8700,1.9217,1.8100,1.8898,1.8898,351554,0.0000
2017-12-22,1.9400,2.0900,1.7900,1.8900,1.8900,1102221,0.0000
2017-12-15,1.7900,1.9242,1.7700,1.8401,1.8401,702779,0.0000
2017-12-08,1.8500,1.9099,1.7300,1.8050,1.8050,613777,0.0000
2017-12-01,1.8600,1.8790,1.7300,1.8500,1.8500,425836,0.0000
2017-11-24,1.9400,2.0400,1.7500,1.8800,1.8800,1125345,0.0000
2017-11-17,1.8000,1.9400,1.7200,1.9000,1.9000,880163,0.0000
2017-11-10,1.6700,1.8800,1.6400,1.8200,1.8200,571467,0.0000
2017-11-03,1.6500,1.7500,1.6000,1.7100,1.7100,319567,0.0000
2017-10-27,1.8800,1.9800,1.6100,1.6500,1.6500,924680,0.0000
2017-10-20,1.8000,1.9200,1.7200,1.8700,1.8700,891442,0.0000
2017-10-13,1.7000,2.1400,1.6700,1.8300,1.8300,3095735,0.0000
2017-10-06,1.7000,1.8400,1.6500,1.7100,1.7100,1239922,0.0000
2017-09-29,1.7400,1.7900,1.6000,1.6600,1.6600,469278,0.0000
2017-09-22,1.6200,1.8000,1.5900,1.7300,1.7300,613339,0.0000
2017-09-15,1.7700,1.8100,1.5700,1.5900,1.5900,714222,0.0000
2017-09-08,1.8100,1.8500,1.7500,1.7700,1.7700,285481,0.0000
2017-09-01,1.9500,1.9500,1.7500,1.8100,1.8100,501842,0.0000
2017-08-25,2.4600,2.4900,1.8600,1.9200,1.9200,1158231,0.0000
2017-08-18,3.5000,3.6900,2.3300,2.4400,2.4400,4873164,0.0000
2017-08-11,2.3700,2.4000,2.1000,2.3100,2.3100,186364,0.0000
2017-08-04,2.1500,2.3900,2.1000,2.3700,2.3700,185254,0.0000
2017-07-28,2.3500,2.4000,2.0700,2.1700,2.1700,273443,0.0000
2017-07-21,2.4000,2.4800,2.2900,2.2900,2.2900,344126,0.0000
2017-07-14,2.2500,2.5000,2.1000,2.4000,2.4000,522685,0.0000
2017-07-07,2.5800,2.9500,2.1000,2.2500,2.2500,1434199,0.0000
2017-06-30,1.8200,2.4700,1.7500,2.2300,2.2300,1263754,0.0000
2017-06-23,1.6200,1.8400,1.4600,1.7500,1.7500,892348,0.0000
2017-06-16,0.1000,2.0500,0.0700,1.6300,1.6300,19419132,0.0000
2017-06-09,0.0900,0.1200,0.0800,0.1100,2.7500,32583313,0.0000
2017-06-02,0.0900,0.0900,0.0700,0.0800,2.0000,10184631,0.0000
2017-05-26,0.1100,0.1200,0.0600,0.0900,2.2500,40512408,0.0000
2017-05-19,0.1100,0.1100,0.1000,0.1100,2.7500,9527472,0.0000
2017-05-12,0.1100,0.1100,0.1100,0.1100,2.7500,11631334,0.0000
2017-05-05,0.1100,0.1200,0.1000,0.1100,2.7500,27421613,0.0000
2017-04-28,0.0900,0.1600,0.0900,0.1200,3.0000,15889642,0.0000
2017-04-21,0.1100,0.1100,0.0900,0.0900,2.2500,7731812,0.0000
2017-04-13,0.0800,0.1100,0.0800,0.1000,2.5000,12530748,0.0000
2017-04-07,0.0900,0.0900,0.0800,0.0800,2.0000,9626139,0.0000
2017-03-31,0.0900,0.1000,0.0800,0.0900,2.2500,10412725,0.0000
2017-03-24,0.0900,0.1000,0.0800,0.0800,2.0000,13253949,0.0000
2017-03-17,0.1000,0.1100,0.0900,0.0900,2.2500,13280649,0.0000
2017-03-10,0.1200,0.1300,0.1000,0.1000,2.5000,17898837,0.0000
2017-03-03,0.1000,0.1200,0.0900,0.1100,2.7500,10983239,0.0000
2017-02-24,0.1000,0.1100,0.0900,0.1000,2.5000,14656857,0.0000
2017-02-17,0.1300,0.1500,0.0900,0.1000,2.5000,27928075,0.0000
2017-02-10,0.1100,0.1300,0.1100,0.1300,3.2500,7633212,0.0000
2017-02-03,0.1250,0.1299,0.1052,0.1100,2.7500,4579125,0.0000
2017-01-27,0.1090,0.1249,0.0941,0.1208,3.0200,6155389,0.0000
