timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,9.4700,9.4900,9.4300,9.4500,9.4500,39290,0.0000
2019-04-05,9.4100,9.5200,9.3900,9.4400,9.4400,120976,0.0000
2019-03-29,9.3500,9.4200,9.2500,9.3900,9.3900,95173,0.0000
2019-03-22,9.2800,9.3500,9.2100,9.3100,9.3100,45125,0.0000
2019-03-15,9.4200,9.4300,9.2500,9.2500,9.2500,72252,0.0370
2019-03-08,9.4300,9.4600,9.3700,9.3900,9.3528,40400,0.0000
2019-03-01,9.3300,9.4600,9.2900,9.4000,9.3628,121585,0.0000
2019-02-22,9.3500,9.4800,9.3200,9.3800,9.3428,60946,0.0000
2019-02-15,9.4300,9.4315,9.3100,9.3500,9.3129,27653,0.0375
2019-02-08,9.4500,9.5000,9.4000,9.4200,9.3452,30938,0.0000
2019-02-01,9.3700,9.5000,9.2700,9.4600,9.3849,99091,0.0000
2019-01-25,9.2200,9.3500,9.2200,9.3000,9.2262,45323,0.0000
2019-01-18,9.2400,9.3800,9.2200,9.2210,9.1478,89650,0.0380
2019-01-11,9.1200,9.2800,9.0500,9.2100,9.0998,74519,0.0000
2019-01-04,8.8400,9.1000,8.7201,9.0550,8.9466,175710,0.0000
2018-12-28,8.7500,8.8500,8.6900,8.7700,8.6651,117119,0.0000
2018-12-21,8.7900,8.8000,8.6228,8.7100,8.6058,126985,0.0385
2018-12-14,8.9600,8.9853,8.8000,8.8099,8.6663,71196,0.0000
2018-12-07,8.8000,9.0000,8.8000,8.9600,8.8139,108093,0.0000
2018-11-30,8.6800,8.8100,8.6600,8.8000,8.6565,128567,0.0000
2018-11-23,8.7600,8.7900,8.6700,8.6700,8.5286,71177,0.0000
2018-11-16,8.8000,8.8000,8.7200,8.7405,8.5980,38541,0.0390
2018-11-09,8.7700,8.7900,8.7100,8.7700,8.5888,36562,0.0000
2018-11-02,8.7300,8.7750,8.6400,8.7700,8.5888,90347,0.0000
2018-10-26,8.6200,8.7800,8.5900,8.7400,8.5594,93306,0.0000
