timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,142.3500,143.0000,139.4100,142.2000,142.2000,38107,0.0000
2019-04-12,146.9000,147.4600,140.3100,142.1700,142.1700,35741,0.0000
2019-04-05,140.6400,148.5435,138.7824,146.9900,146.9900,70646,0.0000
2019-03-29,133.4200,140.8400,132.5300,140.0000,140.0000,95588,0.0000
2019-03-22,139.5000,142.3000,133.5200,133.5200,133.5200,57172,0.0000
2019-03-15,138.0600,143.0000,132.5100,138.9400,138.9400,141149,0.0000
2019-03-08,141.1600,142.6000,136.0101,138.2700,138.2700,58236,0.0000
2019-03-01,145.0700,148.1900,136.7500,142.7000,142.7000,79488,0.0000
2019-02-22,151.1100,157.2400,144.9300,145.0000,145.0000,43717,0.0000
2019-02-15,155.1300,155.6800,149.4230,151.4100,151.4100,84028,0.0000
2019-02-08,153.5316,157.1000,150.4200,154.8000,154.8000,66938,0.0000
2019-02-01,156.9400,161.6200,153.7972,154.5400,154.5400,49264,0.0000
2019-01-25,157.1800,160.5350,153.5200,157.2700,157.2700,55535,0.0000
2019-01-18,155.6000,167.7300,153.5000,157.8700,157.8700,41474,0.0000
2019-01-11,153.2900,158.5000,152.1624,156.3500,156.3500,82700,0.0000
2019-01-04,148.2300,158.0000,147.7900,153.8900,153.8900,58804,0.0000
2018-12-28,141.4000,153.1577,139.5000,149.1400,149.1400,69251,0.0000
2018-12-21,152.9800,158.1150,145.6100,146.0500,146.0500,91583,0.0000
2018-12-14,154.9400,156.7600,144.0000,153.1300,153.1300,79398,0.0000
2018-12-07,163.1600,169.7500,153.4435,155.0600,155.0600,55564,0.0000
2018-11-30,177.0000,177.0000,166.1500,168.3000,168.3000,49960,8.0000
2018-11-23,175.0100,178.3399,171.4400,175.9000,167.9182,30051,0.0000
2018-11-16,176.8154,179.5097,170.7601,175.5300,167.5649,43208,0.0000
2018-11-09,171.4850,177.8500,157.5500,173.8500,165.9612,31323,0.0000
2018-11-02,173.8999,174.0000,167.5500,170.5700,162.8300,42032,0.0000
2018-10-26,171.0000,173.9576,166.0501,169.2900,161.6081,48737,0.0000
2018-10-19,166.9500,175.1008,166.5000,171.6000,163.8133,51031,0.0000
2018-10-12,166.0000,172.1000,165.6100,166.8500,159.2788,61769,0.0000
2018-10-05,167.0000,170.4551,162.7845,166.0000,158.4674,55014,0.0000
2018-09-28,164.0300,170.0000,161.5198,165.3900,157.8851,74998,0.0000
2018-09-21,171.5000,173.4700,161.1000,164.0000,156.5581,69033,0.0000
2018-09-14,180.5300,182.6520,168.0000,169.7000,161.9995,72479,0.0000
2018-09-07,185.5800,187.5600,177.1483,180.0000,171.8321,30417,0.0000
2018-08-31,187.5000,188.7500,185.6400,186.5900,178.1231,35033,0.0000
2018-08-24,189.1400,189.1400,183.7854,186.4400,177.9799,41765,0.0000
2018-08-17,186.3800,189.0053,183.0850,188.8900,180.3187,31246,0.0000
2018-08-10,190.2400,190.2400,183.4500,184.5400,176.1661,55385,0.0000
2018-08-03,191.0000,196.8099,189.9900,190.2000,181.5693,37331,0.0000
2018-07-27,195.1000,196.8100,190.4400,190.4400,181.7984,28826,0.0000
2018-07-20,191.8400,199.9500,187.1200,195.1600,186.3042,41912,0.0000
2018-07-13,195.6000,198.9696,187.4400,193.7000,184.9104,37589,0.0000
2018-07-06,193.7600,196.5853,192.0500,195.4600,186.5906,18933,0.0000
2018-06-29,197.5300,199.4800,192.5500,194.4300,185.6073,43532,0.0000
2018-06-22,199.3500,200.9900,195.5000,198.1400,189.1490,67429,0.0000
2018-06-15,200.0600,200.9899,198.4100,200.4900,191.3923,57021,0.0000
2018-06-08,198.0000,202.9400,196.2778,199.1500,190.1131,42390,0.0000
2018-06-01,200.4900,202.0000,194.8400,198.0000,189.0153,62885,0.0000
2018-05-25,201.0000,202.0900,197.0000,201.0000,191.8792,38560,0.0000
2018-05-18,198.9000,200.9999,193.9750,200.2000,191.1155,64847,0.0000
2018-05-11,192.0400,197.5000,188.0400,195.8400,186.9533,63346,0.0000
2018-05-04,196.9100,200.0200,183.3400,192.0000,183.2876,55333,0.0000
2018-04-27,200.0200,203.0000,195.5900,197.5000,188.5380,49957,0.0000
2018-04-20,200.5400,203.9000,198.9900,200.1000,191.0200,50916,0.0000
2018-04-13,200.3000,204.3000,199.8900,199.9800,190.9055,34451,0.0000
2018-04-06,204.2550,206.0000,198.0000,200.9200,191.8028,46824,0.0000
2018-03-29,201.0200,209.6900,200.6512,206.5600,197.1869,31563,0.0000
2018-03-23,208.1300,210.4200,198.7500,198.9100,189.8840,33195,0.0000
2018-03-16,212.7800,212.8000,206.3600,208.8100,199.3348,44479,0.0000
2018-03-09,207.3600,212.8000,205.1810,212.7900,203.1342,33065,0.0000
2018-03-02,208.3700,212.0000,200.1650,207.3600,197.9506,53589,0.0000
2018-02-23,207.4500,216.0000,204.3600,207.9400,198.5043,48954,0.0000
2018-02-16,204.0100,205.8000,197.3500,205.8000,196.4614,34480,0.0000
2018-02-09,212.4950,213.1525,197.5500,202.2000,193.0247,46875,0.0000
2018-02-02,214.8054,216.1322,206.5100,211.3500,201.7595,36549,0.0000
2018-01-26,214.8550,216.9300,208.8485,214.1400,204.4229,28317,0.0000
2018-01-19,213.8500,217.0000,210.8550,213.3400,203.6592,29530,0.0000
2018-01-12,207.6900,213.4750,207.6900,213.4600,203.7738,25912,0.0000
2018-01-05,207.0000,209.9100,204.1961,207.8000,198.3706,36591,0.0000
2017-12-29,204.1800,209.1800,203.8400,206.6600,197.2823,28488,0.0000
2017-12-22,209.2000,209.2000,203.7000,205.0000,195.6977,44400,0.0000
2017-12-15,206.8000,210.3600,206.7700,208.0000,198.5615,51745,0.0000
2017-12-08,213.4500,213.9900,206.7400,206.7400,197.3587,64989,0.0000
2017-12-01,214.3600,219.6800,205.0000,211.3400,201.7500,89585,7.0000
2017-11-24,207.5000,214.9500,207.2865,213.8500,197.5927,38284,0.0000
2017-11-17,207.0000,209.7950,204.3900,207.8100,192.0119,44670,0.0000
2017-11-10,212.5500,212.5500,205.4300,206.8800,191.1526,48656,0.0000
2017-11-03,219.3000,219.3000,210.6000,212.0900,195.9665,70927,0.0000
2017-10-27,211.5200,219.9000,209.0010,217.8300,201.2702,55732,0.0000
2017-10-20,213.9450,213.9450,208.6550,210.9900,194.9502,54871,0.0000
2017-10-13,215.6600,215.9100,211.0200,212.6100,196.4470,40085,0.0000
2017-10-06,213.3000,215.3025,211.9100,213.0000,196.8074,63013,0.0000
2017-09-29,204.3500,215.7500,203.5335,212.3500,196.2068,65904,0.0000
