timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,4.8000,5.1300,4.7100,5.0000,5.0000,617735,0.0000
2019-04-12,4.9000,4.9050,4.5000,4.7600,4.7600,852463,0.0000
2019-04-05,4.5200,4.9600,4.4200,4.9400,4.9400,764255,0.0000
2019-03-29,5.1700,5.1900,4.4000,4.4900,4.4900,1378807,0.0000
2019-03-22,4.6500,5.4900,4.6000,5.1700,5.1700,2076843,0.0000
2019-03-15,4.3800,4.8900,4.3200,4.5400,4.5400,1191116,0.0000
2019-03-08,4.4400,4.6700,4.3500,4.3900,4.3900,722170,0.0000
2019-03-01,4.4700,4.5900,4.4000,4.4700,4.4700,691085,0.0000
2019-02-22,4.5200,4.6525,4.4000,4.4500,4.4500,422718,0.0000
2019-02-15,4.4400,4.6900,4.4300,4.5200,4.5200,691908,0.0000
2019-02-08,4.4000,4.7300,4.3400,4.4500,4.4500,967326,0.0000
2019-02-01,4.4400,4.4900,4.0100,4.3900,4.3900,1391076,0.0000
2019-01-25,4.5000,4.6400,4.2700,4.5300,4.5300,837157,0.0000
2019-01-18,4.2600,4.6000,4.1350,4.5000,4.5000,995090,0.0000
2019-01-11,4.1200,4.3900,4.0500,4.3100,4.3100,835853,0.0000
2019-01-04,3.9600,4.3000,3.8100,4.1100,4.1100,1026641,0.0000
2018-12-28,3.6000,4.2300,3.5500,3.9900,3.9900,1041518,0.0000
2018-12-21,4.3500,4.3900,3.5800,3.6000,3.6000,2060752,0.0000
2018-12-14,4.4700,4.6499,4.1850,4.3300,4.3300,1188513,0.0000
2018-12-07,4.7300,4.7600,4.3900,4.4900,4.4900,810347,0.0000
2018-11-30,4.9200,5.0100,4.6300,4.6700,4.6700,834329,0.0000
2018-11-23,5.0000,5.0400,4.6100,4.9000,4.9000,939087,0.0000
2018-11-16,5.8200,5.8200,4.7800,5.0200,5.0200,1443591,0.0000
2018-11-09,5.5600,6.6209,5.4400,5.8400,5.8400,2878499,0.0000
2018-11-02,5.2800,5.6900,5.1200,5.5400,5.5400,1903974,0.0000
2018-10-26,5.3800,5.5100,5.1100,5.2500,5.2500,1424463,0.0000
2018-10-19,5.0300,5.5400,4.9800,5.3400,5.3400,1329985,0.0000
2018-10-12,5.1100,5.4300,4.8500,5.0500,5.0500,1263004,0.0000
2018-10-05,6.0000,6.0000,4.9137,5.1500,5.1500,1756525,0.0000
2018-09-28,5.8200,6.0000,5.7800,5.9600,5.9600,944608,0.0000
2018-09-21,6.1500,6.2000,5.7500,5.8600,5.8600,1058509,0.0000
2018-09-14,5.9300,6.2500,5.8100,6.1600,6.1600,991244,0.0000
2018-09-07,6.1800,6.1800,5.8500,5.8800,5.8800,867801,0.0000
2018-08-31,5.8400,6.3000,5.8400,6.2000,6.2000,1104936,0.0000
2018-08-24,5.8900,5.9300,5.5800,5.8500,5.8500,1253984,0.0000
2018-08-17,6.0100,6.1261,5.4900,5.8600,5.8600,1300839,0.0000
2018-08-10,5.3000,6.0900,4.9500,6.0200,6.0200,2541956,0.0000
2018-08-03,6.2100,6.5400,5.3100,5.3200,5.3200,2697803,0.0000
2018-07-27,7.0000,7.0000,6.1900,6.2200,6.2200,1330152,0.0000
2018-07-20,7.2500,7.4457,6.9800,7.0600,7.0600,1038362,0.0000
2018-07-13,7.7500,8.0300,7.1400,7.2800,7.2800,2499453,0.0000
2018-07-06,7.6000,7.8700,7.5510,7.7400,7.7400,839049,0.0000
2018-06-29,7.8000,7.9100,7.1200,7.7200,7.7200,2393098,0.0000
2018-06-22,7.0200,8.0600,6.9500,7.8500,7.8500,4235683,0.0000
2018-06-15,6.5000,7.1800,6.4400,7.1200,7.1200,3182275,0.0000
2018-06-08,6.5200,6.6100,6.3100,6.5000,6.5000,1628614,0.0000
2018-06-01,6.4600,6.9000,6.4000,6.5800,6.5800,1656186,0.0000
2018-05-25,6.8000,6.9400,6.1900,6.4700,6.4700,2261773,0.0000
2018-05-18,5.2300,6.9400,5.1700,6.7500,6.7500,4171708,0.0000
2018-05-11,5.1500,5.2950,5.1000,5.2100,5.2100,1350490,0.0000
2018-05-04,5.3400,5.5200,5.0500,5.1300,5.1300,1630191,0.0000
2018-04-27,5.1800,5.4100,5.1400,5.3100,5.3100,1075431,0.0000
2018-04-20,5.0400,5.2750,4.9300,5.1800,5.1800,2868036,0.0000
2018-04-13,4.9500,5.0800,4.8300,4.9900,4.9900,1394907,0.0000
2018-04-06,4.7800,5.0300,4.5500,4.9100,4.9100,1618562,0.0000
2018-03-29,4.6000,4.8400,4.5590,4.7800,4.7800,2688133,0.0000
2018-03-23,4.9100,4.9200,4.4200,4.5600,4.5600,1800315,0.0000
2018-03-16,4.9400,5.0600,4.7300,4.9300,4.9300,2222049,0.0000
2018-03-09,5.2100,5.3000,4.8600,4.9500,4.9500,1961140,0.0000
2018-03-02,5.2500,5.2979,4.9502,5.2600,5.2600,1000604,0.0000
2018-02-23,5.1500,5.3500,5.1300,5.2500,5.2500,823647,0.0000
2018-02-16,5.0500,5.3090,4.9400,5.1700,5.1700,1462664,0.0000
2018-02-09,4.9200,5.0600,4.5000,5.0300,5.0300,2054807,0.0000
2018-02-02,5.1900,5.2900,4.8661,4.9700,4.9700,1180786,0.0000
2018-01-26,5.3500,5.5000,5.2000,5.2700,5.2700,1021729,0.0000
2018-01-19,5.6500,5.7100,5.2700,5.3800,5.3800,1241217,0.0000
2018-01-12,5.2900,5.7500,5.0500,5.6100,5.6100,1591478,0.0000
2018-01-05,5.5800,5.7500,5.0200,5.3000,5.3000,2160140,0.0000
2017-12-29,5.7500,5.7600,5.5000,5.5300,5.5300,1067656,0.0000
2017-12-22,5.8100,6.0200,5.5601,5.7900,5.7900,2691766,0.0000
2017-12-15,5.8500,5.9600,5.2100,5.8100,5.8100,3942722,0.0000
2017-12-08,6.2700,6.2850,5.7900,5.8300,5.8300,3476082,0.0000
2017-12-01,5.9900,6.4900,5.9600,6.2000,6.2000,4934604,0.0000
2017-11-24,5.2000,6.2000,5.1200,5.9400,5.9400,5976677,0.0000
2017-11-17,4.0400,5.1900,4.0400,5.1400,5.1400,4701924,0.0000
2017-11-10,3.9200,4.0700,3.8400,4.0700,4.0700,3239008,0.0000
2017-11-03,3.7000,3.9000,3.5400,3.8100,3.8100,1316125,0.0000
2017-10-27,3.6700,3.7950,3.5700,3.7200,3.7200,1657177,0.0000
2017-10-20,3.7100,3.7550,3.6400,3.6700,3.6700,1366202,0.0000
2017-10-13,3.7000,3.8000,3.5800,3.7100,3.7100,1787413,0.0000
2017-10-06,3.6600,3.8300,3.6200,3.7100,3.7100,3244939,0.0000
2017-09-29,3.2000,3.6400,3.1400,3.6100,3.6100,3114047,0.0000
2017-09-22,2.9100,3.2100,2.8700,3.1900,3.1900,3096287,0.0000
2017-09-15,2.7400,2.9100,2.7200,2.9100,2.9100,2121921,0.0000
2017-09-08,2.7500,2.7700,2.6600,2.7400,2.7400,1157345,0.0000
2017-09-01,2.6200,2.7400,2.5400,2.7200,2.7200,1843125,0.0000
2017-08-25,2.4900,2.6400,2.4100,2.6100,2.6100,2404040,0.0000
2017-08-18,2.6300,2.6600,2.4600,2.4900,2.4900,2846890,0.0000
2017-08-11,2.8000,2.8900,2.6000,2.6300,2.6300,2779974,0.0000
2017-08-04,3.0100,3.1200,2.7500,2.7900,2.7900,3387845,0.0000
2017-07-28,3.0100,3.1500,2.9764,3.0100,3.0100,1898455,0.0000
2017-07-21,3.0900,3.1450,2.9500,3.0200,3.0200,1974983,0.0000
2017-07-14,3.1100,3.1500,3.0400,3.0700,3.0700,1840528,0.0000
2017-07-07,3.1700,3.1800,2.9900,3.0200,3.0200,1604692,0.0000
2017-06-30,3.2000,3.3400,2.9500,3.1500,3.1500,3835250,0.0000
2017-06-23,2.9700,3.3000,2.8800,3.2000,3.2000,9399381,0.0000
2017-06-16,3.2700,3.3300,2.8900,2.9700,2.9700,4760659,0.0000
2017-06-09,3.1500,3.3200,3.0700,3.3100,3.3100,2608542,0.0000
2017-06-02,3.4700,3.4700,3.1400,3.1800,3.1800,1728291,0.0000
2017-05-26,3.4500,3.5700,3.3300,3.4700,3.4700,2070616,0.0000
2017-05-19,3.7500,3.7750,3.4600,3.4700,3.4700,2154170,0.0000
2017-05-12,3.9700,3.9900,3.5800,3.7600,3.7600,2490218,0.0000
2017-05-05,4.1000,4.1200,3.9500,3.9700,3.9700,1749845,0.0000
2017-04-28,4.1800,4.2564,4.0500,4.0800,4.0800,2193666,0.0000
2017-04-21,4.0200,4.1900,4.0110,4.1800,4.1800,2167817,0.0000
2017-04-13,3.9700,4.0700,3.9600,4.0200,4.0200,1151074,0.0000
2017-04-07,4.1300,4.1800,3.9600,3.9800,3.9800,1975390,0.0000
2017-03-31,4.0600,4.1900,3.9600,4.1500,4.1500,3256184,0.0000
2017-03-24,4.1400,4.1850,4.0000,4.0600,4.0600,2280261,0.0000
2017-03-17,4.1500,4.2400,4.0200,4.1400,4.1400,4684430,0.0000
2017-03-10,4.2300,4.3000,4.0200,4.1800,4.1800,3165313,0.0000
2017-03-03,4.3100,4.3400,4.1000,4.2600,4.2600,4606910,0.0000
2017-02-24,4.3400,4.3850,4.2000,4.3100,4.3100,2140154,0.0000
2017-02-17,4.3700,4.3800,4.2400,4.3100,4.3100,1486393,0.0000
