timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-18,2.9300,2.9300,2.4800,2.6600,2.6600,36273,0.0000
2019-04-12,2.9900,3.4900,2.9100,2.9500,2.9500,293916,0.0000
2019-04-05,3.2901,3.3100,2.9900,2.9900,2.9900,2119,0.0000
2019-03-29,3.2100,3.4300,3.2000,3.3299,3.3299,2474,0.0000
2019-03-22,3.7358,3.8600,3.3299,3.4400,3.4400,9284,0.0000
2019-03-14,3.6900,3.8300,3.5600,3.5601,3.5601,961,0.0000
2019-03-08,3.7000,3.8700,3.3700,3.6400,3.6400,14950,0.0000
2019-03-01,3.2500,3.8400,3.1050,3.6800,3.6800,39122,0.0000
2019-02-22,3.1200,3.5000,3.1200,3.2200,3.2200,2581,0.0000
2019-02-15,3.0501,3.2300,3.0100,3.0998,3.0998,21057,0.0000
2019-02-08,2.9400,3.9100,2.9400,3.1000,3.1000,93313,0.0000
2019-02-01,2.6900,3.4800,2.5800,2.9896,2.9896,59963,0.0000
2019-01-25,2.5400,2.6886,2.5400,2.6886,2.6886,6236,0.0000
2019-01-18,2.6700,3.2400,2.4000,2.5400,2.5400,44690,0.0000
2019-01-11,2.0400,3.5500,2.0400,2.5043,2.5043,19834,0.0000
2019-01-04,1.8964,2.2700,1.7919,2.0400,2.0400,34058,0.0000
2018-12-28,2.6506,2.7000,1.8000,1.8000,1.8000,31569,0.0000
2018-12-21,3.2600,3.4900,2.2600,2.6506,2.6506,23928,0.0000
2018-12-14,3.5200,3.6549,3.5200,3.6200,3.6200,1145,0.0000
2018-12-07,3.5200,3.8400,3.2200,3.3500,3.3500,23533,0.0000
2018-11-30,3.3400,3.8501,3.3400,3.6627,3.6627,12059,0.0000
2018-11-23,3.9275,3.9275,3.2275,3.6800,3.6800,13574,0.0000
2018-11-16,3.6400,4.1200,3.3800,3.8900,3.8900,28411,0.0000
2018-11-09,3.7275,4.1901,3.4000,3.9800,3.9800,24129,0.0000
2018-11-02,3.7800,4.0200,3.5000,3.7500,3.7500,8351,0.0000
2018-10-26,3.9700,4.1800,3.7101,3.8000,3.8000,6697,0.0000
2018-10-19,3.0600,4.9299,3.0600,4.0382,4.0382,78279,0.0000
2018-10-12,3.5396,3.6245,3.0000,3.0601,3.0601,29772,0.0000
2018-10-05,3.8733,3.8817,3.5171,3.6550,3.6550,1609,0.0000
2018-09-28,4.5200,4.5200,3.6500,3.9565,3.9565,14111,0.0000
2018-09-21,5.5000,5.5000,4.3200,4.5219,4.5219,49580,0.0000
2018-09-14,5.8476,5.9000,4.9700,5.3800,5.3800,30206,0.0000
2018-09-07,5.1800,5.6127,4.7000,5.6100,5.6100,11948,0.0000
2018-08-31,5.5838,6.2110,5.1800,5.1800,5.1800,10666,0.0000
2018-08-24,6.2000,6.2400,5.4734,5.9884,5.9884,17991,0.0000
2018-08-17,6.0501,6.2800,5.3000,6.2500,6.2500,22306,0.0000
2018-08-10,6.0200,6.0800,6.0200,6.0776,6.0776,554,0.0000
2018-08-03,6.2600,6.2800,6.0500,6.0516,6.0516,1772,0.0000
2018-07-27,6.1400,6.2800,5.9500,6.0687,6.0687,5600,0.0000
2018-07-20,6.1700,6.1800,5.8200,5.8550,5.8550,6164,0.0000
2018-07-13,6.2700,6.2800,5.5300,6.1800,6.1800,18149,0.0000
2018-07-06,6.1700,6.1700,6.1160,6.1160,6.1160,207,0.0000
2018-06-29,5.5200,6.2800,5.3342,6.1700,6.1700,20110,0.0000
2018-06-22,5.3400,5.8499,5.2337,5.8499,5.8499,46853,0.0000
2018-06-15,5.8499,5.8499,5.1266,5.7252,5.7252,16694,0.0000
2018-06-08,5.8387,5.8400,5.6100,5.7302,5.7302,5977,0.0000
2018-06-01,5.5089,5.8300,5.4500,5.8113,5.8113,26057,0.0000
2018-05-25,5.8500,5.8807,5.1840,5.4500,5.4500,25148,0.0000
2018-05-18,5.4000,5.8332,4.9400,5.7100,5.7100,9658,0.0000
2018-05-11,5.6500,6.0000,5.0400,5.3900,5.3900,13111,0.0000
2018-05-04,5.7700,5.8800,5.0317,5.7546,5.7546,23852,0.0000
2018-04-27,5.1700,5.7897,4.6124,5.4800,5.4800,34895,0.0000
2018-04-20,5.1800,5.7300,5.1800,5.7300,5.7300,18302,0.0000
2018-04-13,5.7900,5.9800,5.1600,5.7444,5.7444,45032,0.0000
2018-04-06,5.3900,6.0000,5.0500,5.8200,5.8200,33822,0.0000
2018-03-29,5.2000,5.2046,5.1500,5.1797,5.1797,2029,0.0000
2018-03-23,5.1501,5.2919,5.1500,5.2046,5.2046,2936,0.0000
2018-03-16,4.8642,5.5000,4.8642,5.1601,5.1601,4989,0.0000
2018-03-09,5.1500,5.1500,4.5101,5.1000,5.1000,13614,0.0000
