timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,0.6351,0.6997,0.6038,0.6800,0.6800,68946,0.0000
2019-04-12,0.5000,0.6800,0.4975,0.6500,0.6500,1728688,0.0000
2019-04-05,0.5499,0.5499,0.4801,0.4900,0.4900,326128,0.0000
2019-03-29,0.7753,0.8000,0.4800,0.5101,0.5101,691957,0.0000
2019-03-22,0.7597,0.7700,0.7000,0.7515,0.7515,69262,0.0000
2019-03-15,0.7921,0.8298,0.7597,0.7600,0.7600,112684,0.0000
2019-03-08,0.8300,0.8600,0.7902,0.7921,0.7921,42547,0.0000
2019-03-01,0.8524,0.8998,0.7900,0.8227,0.8227,34920,0.0000
2019-02-22,0.7800,0.9000,0.7800,0.8800,0.8800,27250,0.0000
2019-02-15,0.8389,0.8400,0.7600,0.7990,0.7990,62102,0.0000
2019-02-08,0.7750,0.8200,0.7400,0.8000,0.8000,39389,0.0000
2019-02-01,0.7421,0.7998,0.7400,0.7998,0.7998,22505,0.0000
2019-01-25,0.7995,0.7995,0.7300,0.7502,0.7502,36906,0.0000
2019-01-18,0.7438,0.8000,0.6973,0.7797,0.7797,103447,0.0000
2019-01-11,0.7700,0.7963,0.7350,0.7400,0.7400,26002,0.0000
2019-01-04,0.7000,0.8028,0.5701,0.7420,0.7420,137486,0.0000
2018-12-28,0.6800,0.7400,0.5232,0.6775,0.6775,154742,0.0000
2018-12-21,0.7499,0.7795,0.6520,0.6800,0.6800,75454,0.0000
2018-12-14,0.8101,0.8348,0.7001,0.7096,0.7096,161188,0.0000
2018-12-07,0.9199,0.9199,0.8100,0.8101,0.8101,116978,0.0000
2018-11-30,0.8800,0.9300,0.8443,0.8649,0.8649,88518,0.0000
2018-11-23,0.8700,0.8900,0.8401,0.8501,0.8501,27854,0.0000
2018-11-16,0.8800,0.9500,0.8400,0.9055,0.9055,38052,0.0000
2018-11-09,0.8300,0.8800,0.8100,0.8798,0.8798,196093,0.0000
2018-11-02,0.8400,0.8800,0.8102,0.8300,0.8300,43946,0.0000
2018-10-26,0.8830,0.9300,0.8000,0.8667,0.8667,127040,0.0000
2018-10-19,1.0000,1.0200,0.8000,0.9235,0.9235,302754,0.0000
2018-10-12,0.9900,1.0400,0.9500,0.9900,0.9900,63509,0.0000
2018-10-05,1.0100,1.0500,0.9800,0.9900,0.9900,108486,0.0000
2018-09-28,1.0200,1.0400,0.9900,1.0200,1.0200,102727,0.0000
2018-09-21,1.0100,1.0690,1.0000,1.0000,1.0000,36016,0.0000
2018-09-14,1.0100,1.0700,0.9800,1.0273,1.0273,58604,0.0000
2018-09-07,1.0400,1.0500,0.9843,0.9901,0.9901,54104,0.0000
2018-08-31,1.0300,1.0800,0.9800,1.0400,1.0400,138201,0.0000
2018-08-24,1.0200,1.0600,1.0000,1.0100,1.0100,53225,0.0000
2018-08-17,1.0300,1.1200,1.0000,1.0200,1.0200,162406,0.0000
2018-08-10,1.3000,1.3398,0.9000,1.0198,1.0198,400937,0.0000
2018-08-03,1.2800,1.3325,1.2000,1.3100,1.3100,75579,0.0000
2018-07-27,1.3200,1.3200,1.2000,1.2401,1.2401,103673,0.0000
2018-07-20,1.2900,1.4200,1.2300,1.3200,1.3200,116724,0.0000
2018-07-13,1.2400,1.4090,1.1924,1.3152,1.3152,271485,0.0000
2018-07-06,1.2600,1.2800,1.2000,1.2500,1.2500,73100,0.0000
2018-06-29,1.1500,1.3800,1.1000,1.2900,1.2900,427730,0.0000
2018-06-22,1.2500,1.3300,1.1400,1.1400,1.1400,221629,0.0000
2018-06-15,1.3800,1.4664,1.2400,1.2400,1.2400,216903,0.0000
2018-06-08,1.2900,1.4700,1.2300,1.3900,1.3900,683196,0.0000
2018-06-01,1.1800,1.3000,1.0601,1.3000,1.3000,681163,0.0000
2018-05-25,0.9800,1.4300,0.8800,1.1600,1.1600,2797278,0.0000
2018-05-18,0.9500,1.0000,0.8100,0.9600,0.9600,207531,0.0000
2018-05-11,0.8100,0.9500,0.8000,0.9500,0.9500,187005,0.0000
2018-05-04,0.8500,0.8750,0.7820,0.8400,0.8400,78493,0.0000
2018-04-27,0.8600,0.8675,0.8200,0.8500,0.8500,56882,0.0000
2018-04-20,0.8300,0.8800,0.8000,0.8700,0.8700,35838,0.0000
2018-04-13,0.8200,0.8429,0.8000,0.8290,0.8290,55793,0.0000
2018-04-06,0.8300,0.8470,0.7500,0.8149,0.8149,99864,0.0000
2018-03-29,0.8650,0.9000,0.8320,0.8320,0.8320,68954,0.0000
2018-03-23,0.9200,0.9200,0.8400,0.8800,0.8800,161072,0.0000
2018-03-16,0.8400,0.9900,0.8200,0.9100,0.9100,304117,0.0000
2018-03-09,0.8100,0.8300,0.7700,0.8200,0.8200,88771,0.0000
2018-03-02,0.8200,0.8200,0.7550,0.7900,0.7900,39766,0.0000
2018-02-23,0.8300,0.8700,0.7920,0.8100,0.8100,97344,0.0000
2018-02-16,0.8200,0.8200,0.7500,0.8056,0.8056,77926,0.0000
2018-02-09,0.8000,0.8500,0.7500,0.7600,0.7600,191054,0.0000
2018-02-02,0.8700,0.8875,0.8000,0.8010,0.8010,175413,0.0000
2018-01-26,0.8814,0.9500,0.8143,0.8600,0.8600,151726,0.0000
2018-01-19,0.8600,0.9596,0.8350,0.9044,0.9044,268068,0.0000
2018-01-12,0.8400,0.9200,0.8100,0.8736,0.8736,120067,0.0000
2018-01-05,0.9000,0.9200,0.8400,0.8405,0.8405,122945,0.0000
2017-12-29,0.8900,0.9100,0.8400,0.8700,0.8700,179014,0.0000
2017-12-22,0.8200,0.8900,0.8000,0.8900,0.8900,235512,0.0000
2017-12-15,0.7900,0.8499,0.7321,0.8000,0.8000,175711,0.0000
2017-12-08,0.7800,0.8474,0.7500,0.8380,0.8380,369016,0.0000
2017-12-01,0.8500,0.9000,0.7520,0.8086,0.8086,312734,0.0000
2017-11-24,0.7900,0.9900,0.7300,0.8800,0.8800,319066,0.0000
2017-11-17,0.8800,0.8800,0.7700,0.8100,0.8100,149602,0.0000
2017-11-10,0.9000,0.9100,0.8000,0.8400,0.8400,269491,0.0000
2017-11-03,1.2600,1.2800,0.8000,0.9000,0.9000,295289,0.0000
2017-10-27,1.1600,1.2900,1.1300,1.2500,1.2500,108609,0.0000
2017-10-20,1.1800,1.2200,1.1200,1.1600,1.1600,151150,0.0000
2017-10-13,1.2300,1.2300,1.1400,1.2200,1.2200,48627,0.0000
2017-10-06,1.2400,1.3000,1.1900,1.2400,1.2400,104511,0.0000
2017-09-29,1.3900,1.4400,1.2400,1.2700,1.2700,35674,0.0000
2017-09-22,1.3900,1.4000,1.3000,1.4000,1.4000,125109,0.0000
2017-09-15,1.2700,1.3900,1.2000,1.3900,1.3900,126856,0.0000
2017-09-08,1.2500,1.3300,1.2300,1.3000,1.3000,77029,0.0000
2017-09-01,1.1200,1.3200,1.1200,1.2800,1.2800,293203,0.0000
2017-08-25,1.1700,1.1700,1.1000,1.1200,1.1200,120045,0.0000
2017-08-18,1.1900,1.3000,1.1200,1.1700,1.1700,257215,0.0000
2017-08-11,1.2700,1.4000,1.1200,1.2000,1.2000,240352,0.0000
2017-08-04,1.2500,1.4000,1.2300,1.2800,1.2800,124489,0.0000
2017-07-28,1.3000,1.3500,1.2000,1.2700,1.2700,229846,0.0000
2017-07-21,1.1500,1.4600,1.1232,1.2800,1.2800,860208,0.0000
2017-07-14,1.2200,1.2300,1.1500,1.1600,1.1600,144262,0.0000
2017-07-07,1.2800,1.2900,1.2000,1.2300,1.2300,102134,0.0000
2017-06-30,1.1900,1.3900,1.1300,1.2900,1.2900,230156,0.0000
2017-06-23,1.1400,1.1900,1.0600,1.1900,1.1900,285474,0.0000
2017-06-16,1.2800,1.3700,1.1300,1.1500,1.1500,176078,0.0000
2017-06-09,1.1900,1.3500,1.1600,1.2400,1.2400,105258,0.0000
2017-06-02,1.2700,1.2700,1.1600,1.1800,1.1800,189891,0.0000
2017-05-26,1.3900,1.4000,1.2600,1.3000,1.3000,213859,0.0000
2017-05-19,1.3500,1.4200,1.3000,1.4000,1.4000,181434,0.0000
2017-05-12,1.4800,1.5500,1.3500,1.3600,1.3600,311400,0.0000
2017-05-05,1.6400,1.7000,1.4200,1.5000,1.5000,181000,0.0000
2017-04-28,1.6600,1.7900,1.5700,1.6100,1.6100,196600,0.0000
2017-04-21,1.5000,1.7400,1.4500,1.6600,1.6600,291700,0.0000
2017-04-13,1.7900,1.8800,1.4500,1.4900,1.4900,385900,0.0000
2017-04-07,1.8500,1.9200,1.7000,1.7800,1.7800,222400,0.0000
2017-03-31,1.7300,1.9400,1.6600,1.8500,1.8500,142300,0.0000
2017-03-24,1.8700,1.8900,1.6200,1.7200,1.7200,293600,0.0000
2017-03-17,2.0200,2.0400,1.8600,1.9000,1.9000,279600,0.0000
2017-03-10,2.2200,2.3800,1.9000,2.0000,2.0000,604300,0.0000
2017-03-03,2.2500,2.5200,2.2500,2.2800,2.2800,429600,0.0000
2017-02-24,2.5500,2.5500,2.0700,2.1800,2.1800,547800,0.0000
2017-02-17,2.8900,2.9900,2.5000,2.5500,2.5500,664400,0.0000
2017-02-10,2.6800,3.1000,2.6500,2.8100,2.8100,1292400,0.0000
2017-02-03,2.8200,2.8500,2.6450,2.6900,2.6900,514800,0.0000
2017-01-27,2.2400,2.9600,2.1600,2.8800,2.8800,1413100,0.0000
2017-01-20,2.2300,2.4300,2.0500,2.3300,2.3300,339700,0.0000
2017-01-13,2.6100,2.6600,1.9900,2.3550,2.3550,905600,0.0000
2017-01-06,2.4900,2.8900,2.4300,2.5200,2.5200,1428700,0.0000
2016-12-30,1.9500,2.7200,1.9500,2.3900,2.3900,2280200,0.0000
2016-12-23,1.6500,2.1000,1.6449,1.9200,1.9200,771100,0.0000
2016-12-16,1.9500,1.9500,1.5200,1.6300,1.6300,370900,0.0000
2016-12-09,1.4000,1.8500,1.3600,1.8000,1.8000,750500,0.0000
2016-12-02,1.3200,1.5200,1.2400,1.3600,1.3600,532900,0.0000
2016-11-25,1.3100,1.3500,1.2300,1.2900,1.2900,75600,0.0000
2016-11-18,1.3800,1.4772,1.2000,1.3000,1.3000,137400,0.0000
2016-11-11,1.3200,1.4500,1.3200,1.4000,1.4000,180900,0.0000
2016-11-04,1.3800,1.4400,1.3000,1.3200,1.3200,68600,0.0000
2016-10-28,1.4992,1.5000,1.3930,1.3930,1.3930,54700,0.0000
2016-10-21,1.4900,1.5300,1.4601,1.4900,1.4900,50300,0.0000
2016-10-14,1.6000,1.6000,1.4500,1.4700,1.4700,71900,0.0000
2016-10-07,1.4617,1.5900,1.4617,1.5900,1.5900,74500,0.0000
2016-09-30,1.6500,1.6500,1.4400,1.5100,1.5100,154400,0.0000
2016-09-23,1.5500,1.7236,1.5101,1.6300,1.6300,214000,0.0000
2016-09-16,1.4200,1.5500,1.4000,1.5500,1.5500,193100,0.0000
2016-09-09,1.4900,1.5400,1.4000,1.4200,1.4200,102900,0.0000
2016-09-02,1.4300,1.5000,1.3600,1.5000,1.5000,116600,0.0000
2016-08-26,1.2700,1.4500,1.2667,1.4500,1.4500,208900,0.0000
2016-08-19,1.2800,1.3500,1.2400,1.2700,1.2700,246900,0.0000
2016-08-12,1.1700,1.5100,1.1700,1.2999,1.2999,347300,0.0000
2016-08-05,1.5200,1.5600,1.1500,1.1641,1.1641,302200,0.0000
2016-07-29,1.2100,1.5800,1.0900,1.4800,1.4800,601200,0.0000
2016-07-22,1.1950,1.2900,1.0700,1.2199,1.2199,179100,0.0000
2016-07-15,1.2600,1.3500,1.2000,1.2075,1.2075,63400,0.0000
2016-07-08,1.2100,1.2500,1.1900,1.2499,1.2499,77300,0.0000
2016-07-01,1.1600,1.3500,1.1500,1.2480,1.2480,71900,0.0000
2016-06-24,1.2900,1.3300,1.1600,1.1800,1.1800,75700,0.0000
2016-06-17,1.2700,1.2900,1.2000,1.2900,1.2900,44700,0.0000
2016-06-10,1.1100,1.3200,1.0600,1.3000,1.3000,158200,0.0000
2016-06-03,1.1100,1.1400,0.9700,1.1100,1.1100,50700,0.0000
2016-05-27,1.1000,1.1900,1.1000,1.1001,1.1001,40900,0.0000
2016-05-20,1.1900,1.2100,1.0700,1.1000,1.1000,76800,0.0000
