timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-17,9.8800,9.8800,8.2400,9.1600,9.1600,11991,0.0000
2019-04-12,11.3592,11.5500,7.9100,9.9300,9.9300,78304,0.0000
2019-04-05,12.4200,12.4200,10.7405,11.1100,11.1100,74478,0.0000
2019-03-29,10.8200,12.8800,9.7682,12.4000,12.4000,251107,0.0000
2019-03-22,10.8000,11.7400,9.7799,10.7800,10.7800,43394,0.0000
2019-03-15,12.5000,12.5000,10.0000,10.7200,10.7200,131249,0.0000
2019-03-08,1.3100,16.0000,1.2500,12.6000,12.6000,347043,0.0000
2019-03-01,1.4700,1.5500,1.2300,1.3200,10.5600,411022,0.0000
2019-02-22,1.7400,2.1700,1.2300,1.4100,11.2800,8364434,0.0000
2019-02-15,1.1241,1.3200,1.0800,1.1708,9.3664,204118,0.0000
2019-02-08,1.0600,1.3000,1.0400,1.1500,9.2000,139326,0.0000
2019-02-01,1.0400,1.1879,1.0000,1.1400,9.1200,44459,0.0000
2019-01-25,1.0200,1.1500,0.9300,1.0700,8.5600,101105,0.0000
2019-01-18,1.0000,1.1900,0.9600,1.0349,8.2792,223867,0.0000
2019-01-11,1.0000,1.1400,0.9000,1.0100,8.0800,106967,0.0000
2019-01-04,0.8700,1.0200,0.7738,0.9900,7.9200,39964,0.0000
2018-12-28,0.8800,0.9800,0.8500,0.8500,6.8000,50101,0.0000
2018-12-21,1.1200,1.1256,0.8500,0.9000,7.2000,165420,0.0000
2018-12-14,1.2200,1.2500,1.0500,1.1171,8.9368,180597,0.0000
2018-12-07,1.2700,1.3000,1.1301,1.2300,9.8400,112457,0.0000
2018-11-30,1.2800,1.4300,1.1700,1.2700,10.1600,171031,0.0000
2018-11-23,1.1800,1.7600,1.1500,1.2800,10.2400,3261099,0.0000
2018-11-16,1.4000,1.4804,1.1000,1.1900,9.5200,180855,0.0000
2018-11-09,1.4529,1.8800,1.3000,1.3600,10.8800,1519490,0.0000
2018-11-02,1.3500,1.5300,1.2500,1.4800,11.8400,106783,0.0000
2018-10-26,1.6100,1.6200,1.2800,1.3800,11.0400,186188,0.0000
2018-10-19,1.2700,2.3000,1.2101,1.6000,12.8000,1777971,0.0000
2018-10-12,1.6000,1.6327,1.2000,1.2600,10.0800,144398,0.0000
2018-10-05,1.2800,1.8900,1.2500,1.5000,12.0000,1027210,0.0000
2018-09-28,1.2325,1.5200,1.2300,1.3500,10.8000,481151,0.0000
2018-09-21,1.2439,1.4700,1.2101,1.2500,10.0000,253454,0.0000
2018-09-14,1.2565,1.3200,1.1700,1.2300,9.8400,48513,0.0000
2018-09-07,1.3300,1.3400,1.1701,1.2700,10.1600,47550,0.0000
2018-08-31,1.1900,1.3700,1.1700,1.2640,10.1120,92637,0.0000
2018-08-24,1.1258,1.3435,1.0400,1.2200,9.7600,331511,0.0000
2018-08-17,1.0500,1.3400,1.0500,1.1100,8.8800,206066,0.0000
2018-08-10,1.2800,1.2800,1.0300,1.1400,9.1200,399316,0.0000
2018-08-03,1.2500,1.3000,1.0600,1.2800,10.2400,313701,0.0000
2018-07-27,1.4900,1.5300,1.0800,1.1100,8.8800,329927,0.0000
2018-07-20,1.6500,1.6700,1.4300,1.5400,12.3200,230155,0.0000
2018-07-13,1.7300,2.2000,1.6000,1.6001,12.8008,856411,0.0000
2018-07-06,1.5742,1.8652,1.5600,1.7300,13.8400,208603,0.0000
2018-06-29,1.8000,1.8500,1.5300,1.6390,13.1120,328616,0.0000
2018-06-22,1.9600,1.9729,1.6700,1.8100,14.4800,333615,0.0000
2018-06-15,2.2400,2.3800,1.9800,2.0000,16.0000,134938,0.0000
2018-06-08,2.2700,2.3945,2.2100,2.2500,18.0000,247935,0.0000
2018-06-01,2.1610,2.4500,2.1500,2.2500,18.0000,177030,0.0000
2018-05-25,2.5500,2.5500,2.1200,2.1900,17.5200,411271,0.0000
2018-05-18,2.4700,3.7500,2.2600,2.2600,18.0800,6150660,0.0000
2018-05-11,2.1000,2.8000,2.1000,2.5000,20.0000,239708,0.0000
2018-05-04,2.1452,2.4500,2.0100,2.0100,16.0800,80105,0.0000
2018-04-27,2.2579,2.2579,2.0110,2.1900,17.5200,57325,0.0000
2018-04-20,2.0400,2.2900,1.8700,2.2725,18.1800,121034,0.0000
2018-04-13,1.9995,2.2890,1.9300,2.0400,16.3200,123994,0.0000
2018-04-06,1.9940,2.0899,1.8600,1.8700,14.9600,96167,0.0000
2018-03-29,2.3500,2.3800,1.8710,1.9800,15.8400,172585,0.0000
2018-03-23,2.8000,2.8000,2.3032,2.3100,18.4800,265837,0.0000
2018-03-16,2.9000,3.1400,2.6550,2.6900,21.5200,147510,0.0000
2018-03-09,2.6100,3.3100,2.5300,2.9100,23.2800,401400,0.0000
2018-03-02,2.6100,2.9553,2.5300,2.6300,21.0400,261750,0.0000
2018-02-23,3.0300,3.0300,2.7000,2.7600,22.0800,52849,0.0000
2018-02-16,2.6700,3.0500,2.6500,2.8400,22.7200,111616,0.0000
2018-02-09,2.6800,2.9000,2.6300,2.6524,21.2192,232744,0.0000
2018-02-02,2.9600,3.1000,2.6510,2.8400,22.7200,529134,0.0000
2018-01-26,2.9400,3.5500,2.8500,2.9800,23.8400,1131190,0.0000
2018-01-19,2.6410,5.9900,2.3800,3.0000,24.0000,10980311,0.0000
2018-01-12,2.6200,2.8000,2.4001,2.5900,20.7200,228161,0.0000
2018-01-05,2.2300,2.9940,2.1900,2.5800,20.6400,580869,0.0000
2017-12-29,2.3500,2.5500,2.1900,2.2860,18.2880,100079,0.0000
2017-12-22,1.9700,3.3500,1.9700,2.4000,19.2000,1991355,0.0000
2017-12-15,1.9500,2.1926,1.8100,1.8600,14.8800,166713,0.0000
2017-12-08,2.2000,2.2600,1.9000,1.9600,15.6800,210037,0.0000
2017-12-01,2.3947,3.0552,2.1000,2.2110,17.6880,644038,0.0000
2017-11-24,2.2000,2.4500,2.0200,2.2600,18.0800,278687,0.0000
2017-11-17,1.9000,2.7199,1.8400,2.2400,17.9200,518203,0.0000
2017-11-10,2.1800,2.1900,1.8201,1.9500,15.6000,144833,0.0000
2017-11-03,2.3900,2.7200,2.1410,2.1700,17.3600,275736,0.0000
2017-10-27,2.2000,2.8781,2.1100,2.3900,19.1200,333633,0.0000
2017-10-20,2.5900,2.9700,2.1000,2.1700,17.3600,134511,0.0000
2017-10-13,2.1200,3.9800,2.1000,2.5700,20.5600,1498746,0.0000
2017-10-06,2.3700,2.3700,2.0200,2.2100,17.6800,98204,0.0000
2017-09-29,1.5500,2.7400,1.4900,2.1650,17.3200,450324,0.0000
2017-09-22,0.6000,0.6000,0.4375,0.4786,19.1440,283374,0.0000
2017-09-15,0.6500,0.6500,0.5388,0.5818,23.2720,464116,0.0000
2017-09-08,0.5800,0.6600,0.5420,0.5700,22.8000,163635,0.0000
2017-09-01,0.5700,0.6290,0.5100,0.5900,23.6000,257092,0.0000
2017-08-25,0.5489,0.6098,0.5039,0.5700,22.8000,87175,0.0000
2017-08-18,0.5420,0.6500,0.5411,0.5700,22.8000,239824,0.0000
2017-08-11,0.6500,0.6699,0.5316,0.6300,25.2000,137746,0.0000
2017-08-04,0.6697,0.8300,0.5300,0.6400,25.6000,1082809,0.0000
2017-07-28,0.6285,0.6949,0.6100,0.6600,26.4000,235432,0.0000
2017-07-21,0.6600,0.7000,0.5800,0.6560,26.2400,146116,0.0000
2017-07-14,0.5600,0.7800,0.5000,0.6600,26.4000,738805,0.0000
2017-07-07,0.7200,0.7200,0.5220,0.5728,22.9120,651475,0.0000
2017-06-30,0.4400,0.7900,0.4400,0.6700,26.8000,1773872,0.0000
2017-06-23,0.4600,0.5100,0.4200,0.4330,17.3200,437015,0.0000
2017-06-16,0.4790,0.4790,0.4101,0.4300,17.2000,127516,0.0000
2017-06-09,0.4589,0.5000,0.4300,0.4300,17.2000,259848,0.0000
2017-06-02,0.4630,0.4800,0.4305,0.4700,18.8000,35511,0.0000
2017-05-26,0.5200,0.5260,0.4103,0.4501,18.0040,154563,0.0000
2017-05-19,0.5200,0.5300,0.4224,0.5200,20.8000,125211,0.0000
2017-05-12,0.5020,0.5395,0.4800,0.5000,20.0000,108159,0.0000
2017-05-05,0.5600,0.6199,0.5100,0.5100,20.4000,149564,0.0000
2017-04-28,0.5300,0.6474,0.5300,0.5600,22.4000,155905,0.0000
2017-04-21,0.5346,0.5900,0.5100,0.5500,22.0000,254326,0.0000
2017-04-13,0.5650,0.6643,0.5120,0.5401,21.6040,428516,0.0000
2017-04-07,0.7900,0.8180,0.5071,0.5500,22.0000,1064619,0.0000
2017-03-31,0.8600,0.9000,0.7500,0.7600,30.4000,301132,0.0000
2017-03-24,0.8700,0.9400,0.8500,0.8900,35.6000,111007,0.0000
2017-03-17,1.0000,1.0000,0.8100,0.9000,36.0000,413767,0.0000
2017-03-10,0.9328,1.0700,0.9000,0.9999,39.9960,1331538,0.0000
2017-03-03,1.1400,1.1400,0.9400,0.9650,38.6000,595455,0.0000
2017-02-24,1.1700,1.2100,1.1200,1.1302,45.2080,167471,0.0000
2017-02-17,1.2200,1.3700,1.1500,1.1700,46.8000,434948,0.0000
2017-02-10,1.4000,1.4300,1.1800,1.2600,50.4000,424256,0.0000
2017-02-03,1.4000,1.5500,1.3000,1.3800,55.2000,905971,0.0000
2017-01-27,1.1700,1.5500,1.0800,1.3733,54.9320,1288399,0.0000
2017-01-20,1.2000,1.4500,1.1000,1.1600,46.4000,482722,0.0000
2017-01-13,1.1700,1.2390,1.1100,1.1800,47.2000,131995,0.0000
2017-01-06,1.0500,1.1800,1.0101,1.1600,46.4000,164926,0.0000
2016-12-30,1.1874,1.1900,0.9700,1.0400,41.6000,419391,0.0000
2016-12-23,1.0300,1.1934,1.0100,1.1200,44.8000,302895,0.0000
2016-12-16,0.9600,1.1000,0.9500,1.0500,42.0000,364926,0.0000
2016-12-09,1.4399,1.4675,0.9202,0.9801,39.2040,904129,0.0000
2016-12-02,1.5377,1.7100,1.3000,1.4500,58.0000,555223,0.0000
2016-11-25,1.5500,1.6000,1.4900,1.5300,61.2000,50111,0.0000
2016-11-18,1.5400,1.5600,1.4500,1.5400,61.6000,88691,0.0000
