timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-02,0.8500,0.8500,0.8500,0.8500,0.8500,5430,0.0000
2019-03-14,0.6600,0.9000,0.6000,0.9000,0.9000,3500,0.0000
2019-03-06,0.6301,1.0000,0.6300,1.0000,1.0000,960,0.0000
2019-02-19,1.0000,1.0000,1.0000,1.0000,1.0000,500,0.0000
2019-02-15,0.9500,1.4000,0.7100,0.9000,0.9000,6022,0.0000
2019-02-08,0.8500,0.9300,0.7500,0.9300,0.9300,18172,0.0000
2019-01-31,0.7500,0.9600,0.7500,0.9500,0.9500,5199,0.0000
2019-01-22,0.8900,0.8900,0.8900,0.8900,0.8900,34,0.0000
2019-01-16,0.7500,0.8900,0.7500,0.8900,0.8900,1876,0.0000
2019-01-09,0.3200,0.7500,0.3200,0.6000,0.6000,2856,0.0000
2018-12-19,0.3000,0.9800,0.3000,0.9800,0.9800,1820,0.0000
2018-12-13,0.8859,0.9800,0.8000,0.9800,0.9800,6481,0.0000
2018-12-04,0.9000,0.9000,0.9000,0.9000,0.9000,79,0.0000
2018-11-15,0.9000,0.9800,0.5500,0.9000,0.9000,13283,0.0000
2018-11-08,0.8399,0.9000,0.8399,0.9000,0.9000,2513,0.0000
2018-10-31,0.8000,0.8000,0.8000,0.8000,0.8000,900,0.0000
2018-10-23,0.7501,0.9499,0.7500,0.9499,0.9499,2900,0.0000
2018-10-18,0.9300,0.9900,0.8996,0.9865,0.9865,6320,0.0000
2018-10-15,0.6100,0.9400,0.6100,0.9400,0.9400,474,0.0000
2018-10-08,0.9500,0.9500,0.9500,0.9500,0.9500,225,0.0000
2018-10-04,0.8800,0.9500,0.6000,0.9464,0.9464,3546,0.0000
2018-09-28,0.6000,0.8800,0.6000,0.8400,0.8400,3675,0.0000
2018-09-19,0.7500,0.8900,0.7200,0.8900,0.8900,1448,0.0000
2018-09-14,0.9500,0.9500,0.7200,0.9400,0.9400,763,0.0000
2018-09-07,0.7200,0.8000,0.7200,0.8000,0.8000,1101,0.0000
2018-09-04,0.9000,0.9000,0.9000,0.9000,0.9000,4337,0.0000
2018-08-31,0.6200,0.9500,0.6200,0.9500,0.9500,1556,0.0000
2018-08-27,0.8000,0.8900,0.8000,0.8900,0.8900,1792,0.0000
2018-08-21,0.6000,0.9900,0.6000,0.9400,0.9400,2000,0.0000
2018-08-17,0.8000,1.0000,0.6300,1.0000,1.0000,665,0.0000
2018-08-10,0.8800,1.0000,0.6100,0.9900,0.9900,64697,0.0000
2018-08-01,0.8400,0.8800,0.8400,0.8800,0.8800,7618,0.0000
2018-07-27,0.6500,1.0000,0.5011,1.0000,1.0000,13694,0.0000
2018-07-20,1.0000,1.0000,0.5200,0.8800,0.8800,44311,0.0000
2018-07-13,0.9400,1.1600,0.9200,0.9649,0.9649,23073,0.0000
2018-07-06,1.2000,1.2000,0.7600,1.1000,1.1000,6897,0.0000
