timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,99.1200,106.4800,97.3900,105.3100,105.3100,21843786,0.0000
2019-04-05,96.1900,98.7600,92.9200,98.6300,98.6300,19534027,0.0000
2019-03-29,93.5500,96.5800,91.9800,95.1800,95.1800,13649869,0.0000
2019-03-22,89.0200,97.2300,88.8150,93.6800,93.6800,32423077,0.0000
2019-03-15,86.7700,90.3600,86.1400,88.8500,88.8500,35942830,0.0000
2019-03-08,96.7100,97.6300,86.1900,86.4400,86.4400,22637550,0.0000
2019-03-01,95.1300,98.4000,92.9700,96.4200,96.4200,28559184,0.0000
2019-02-22,99.0000,100.2800,94.5700,95.5300,95.5300,14248381,0.0000
2019-02-15,91.6300,100.2600,91.6100,100.2500,100.2500,14860597,0.0000
2019-02-08,97.7500,99.6500,89.9400,92.5000,92.5000,13022120,0.0000
2019-02-01,97.4300,100.8500,96.4900,98.8500,98.8500,13942389,0.0000
2019-01-25,99.7600,100.3000,95.7900,99.1000,99.1000,12615971,0.0000
2019-01-18,95.6600,101.3700,95.2800,101.0500,101.0500,14728365,0.2200
2019-01-11,94.4900,99.5100,92.2200,96.8700,96.6545,19317275,0.0000
2019-01-04,88.2100,94.3000,85.2000,93.9200,93.7111,14270092,0.0000
2018-12-28,86.2300,89.3300,82.0400,87.5200,87.3253,14892008,0.0000
2018-12-21,99.5400,100.2700,86.8200,87.2600,87.0659,26734068,0.0000
2018-12-14,102.0500,106.6000,99.0600,100.0800,99.8574,16299407,0.0000
2018-12-07,107.1100,108.7800,99.5600,103.6100,103.3795,17488066,0.0000
2018-11-30,101.7000,106.5900,100.7600,103.3100,103.0802,18730897,0.0000
2018-11-23,103.9900,107.5700,99.3750,100.7000,100.4760,18641011,0.0000
2018-11-16,106.8400,106.9500,96.8100,105.2000,104.9660,23395240,0.0000
2018-11-09,104.5400,110.2000,102.5000,105.5100,105.2753,20426875,0.0000
2018-11-02,106.9500,108.7200,100.6300,102.3500,102.1223,22971792,0.0000
2018-10-26,118.1000,118.3399,103.4900,106.5600,106.3229,19417061,0.0000
2018-10-19,122.9500,123.5600,117.0800,117.6700,117.4082,12925446,0.2200
2018-10-12,129.9800,133.5278,120.3848,122.1800,121.6892,15736822,0.0000
2018-10-05,127.9300,131.1000,127.7800,131.0500,130.5236,13942415,0.0000
2018-09-28,121.4200,129.0900,121.1700,127.5700,127.0576,16223387,0.0000
2018-09-21,118.3200,120.9900,117.0700,119.4600,118.9801,12954793,0.0000
2018-09-14,115.0000,119.0900,114.0800,117.8200,117.3467,10258164,0.0000
2018-09-07,119.0400,119.3500,113.7000,114.4700,114.0102,9055687,0.0000
2018-08-31,117.5900,119.7250,117.2700,118.2300,117.7551,9974955,0.0000
2018-08-24,115.2200,118.9900,114.6300,117.4600,116.9882,12895579,0.0000
2018-08-17,122.7900,123.5683,114.0500,114.7700,114.3090,15431034,0.0000
2018-08-10,123.1800,126.2900,121.3700,122.7700,122.2768,11465674,0.0000
2018-08-03,130.4500,131.6000,120.8400,122.4100,121.9183,15675007,0.0000
2018-07-27,123.1600,130.4900,122.2900,129.1500,128.6312,12877737,0.0000
2018-07-20,124.7700,125.4400,121.1610,122.3500,121.8585,14789539,0.1850
2018-07-13,125.0000,127.9600,123.1003,125.9600,125.2681,9423362,0.0000
2018-07-06,123.8100,125.4000,121.1100,124.3500,123.6669,7672531,0.0000
2018-06-29,118.8400,126.3200,115.9100,124.4300,123.7465,14828029,0.0000
2018-06-22,114.4000,120.9500,114.0000,118.5100,117.8590,14381601,0.0000
2018-06-15,117.9600,119.7300,113.9300,114.1800,113.5528,16021653,0.0000
2018-06-08,120.0600,121.0500,114.8000,117.6700,117.0236,18426840,0.0000
2018-06-01,116.1000,120.2200,115.1600,118.3500,117.6999,12612789,0.0000
2018-05-25,126.8800,128.0300,115.3100,117.7600,117.1131,16465228,0.0000
2018-05-18,118.1100,126.4800,118.0900,125.7900,125.0990,18522175,0.0000
2018-05-11,115.8100,120.0000,112.1900,117.4100,116.7650,23026605,0.0000
2018-05-04,116.5900,119.7100,111.4800,114.6600,114.0301,20454416,0.0000
2018-04-27,113.6500,117.8100,112.8100,116.7900,116.1484,13965662,0.0000
2018-04-20,111.6500,114.7100,110.3600,113.9700,113.3439,19650258,0.0000
2018-04-13,102.4800,111.2500,101.8250,111.0200,110.4101,21270954,0.1850
2018-04-06,104.9400,105.3800,98.8000,101.9300,101.2014,21793048,0.0000
2018-03-29,106.8700,107.9100,103.2600,105.2700,104.5175,18900394,0.0000
2018-03-23,99.8800,106.7300,97.4400,105.8600,105.1033,25303278,0.0000
2018-03-16,102.5000,102.8200,98.1800,100.4500,99.7320,18595825,0.0000
2018-03-09,100.9100,102.9400,99.3300,102.8000,102.0652,15116654,0.0000
2018-03-02,109.5600,110.1600,99.4000,101.4500,100.7249,24309628,0.0000
2018-02-23,107.7800,109.1100,105.7800,108.8300,108.0521,12387258,0.0000
2018-02-16,101.5400,108.7400,101.3300,107.6400,106.8706,15812172,0.0000
2018-02-09,111.7000,113.8800,96.5400,100.0700,99.3547,22371822,0.0000
2018-02-02,117.1200,118.1300,112.4100,112.8300,112.0235,12491707,0.0000
2018-01-26,114.5300,119.0000,114.4100,117.7600,116.9183,11959022,0.0000
2018-01-19,115.8200,116.4400,112.1400,114.3700,113.5525,15496000,0.1675
2018-01-12,112.4400,116.4700,111.5400,115.7000,114.7036,14468403,0.0000
2018-01-05,108.6700,112.3000,108.2200,112.1700,111.2040,9299338,0.0000
2017-12-29,107.2400,109.6600,107.0000,107.9100,106.9806,6877105,0.0000
2017-12-22,98.8500,107.8800,98.6800,107.1100,106.1875,12634509,0.0000
2017-12-15,100.4900,102.3400,98.4700,98.5500,97.7013,12233828,0.0000
2017-12-08,102.6900,103.0300,98.4910,100.3900,99.5254,10376890,0.0000
2017-12-01,101.5700,104.4200,99.1100,102.9100,102.0237,15329530,0.0000
2017-11-24,101.3800,102.8200,100.7000,101.6600,100.7845,9281951,0.0000
2017-11-17,104.2000,105.0000,100.0800,101.6400,100.7646,12200229,0.0000
2017-11-10,105.1500,107.9530,103.2100,104.5800,103.6793,18412671,0.0000
2017-11-03,98.6600,105.0700,96.7100,104.5000,103.6000,17719030,0.0000
2017-10-27,97.0700,98.5600,95.6700,98.4700,97.6219,11150467,0.0000
2017-10-20,97.1300,98.4600,95.3600,96.8400,96.0060,9836527,0.1675
