timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,11.4776,12.0500,11.4776,11.9200,11.9200,5846,0.0000
2019-04-12,12.3400,12.3500,11.3490,11.6100,11.6100,37211,0.0000
2019-04-05,11.1100,12.4900,11.1100,12.4000,12.4000,45764,0.0000
2019-03-29,11.5100,11.8300,11.1100,11.1700,11.1700,32380,0.0000
2019-03-22,11.7200,12.3125,11.4900,11.5300,11.5300,62847,0.0000
2019-03-15,11.6381,11.9700,11.4100,11.6500,11.6500,63338,0.0000
2019-03-08,12.1300,12.1300,11.3400,11.3600,11.3600,46951,0.1250
2019-03-01,12.7208,12.7350,11.0401,12.1500,12.0178,66824,0.0000
2019-02-22,12.0000,13.0000,12.0000,12.8300,12.6904,75819,0.0000
2019-02-15,11.4600,12.1200,11.3700,11.9400,11.8100,68685,0.0000
2019-02-08,11.1607,11.5290,10.9343,11.3400,11.2166,51527,0.0000
2019-02-01,11.6500,11.8600,11.0100,11.4500,11.3254,43295,0.0000
2019-01-25,11.5900,11.9000,11.5000,11.5600,11.4342,32772,0.0000
2019-01-18,12.3781,12.4232,11.5700,11.6800,11.5529,55147,0.0000
2019-01-11,11.5200,12.8300,11.0000,12.5600,12.4233,37175,0.0000
2019-01-04,11.5800,11.6000,11.1200,11.5900,11.4639,24845,0.0000
2018-12-28,11.5000,11.7800,10.5000,11.4400,11.3155,53032,0.0000
2018-12-21,11.1100,11.9700,11.0000,11.4800,11.3551,99369,0.0000
2018-12-14,11.1300,11.8100,11.0200,11.0400,10.9198,52368,0.0000
2018-12-07,12.0800,12.1999,11.2900,11.3800,11.2561,38173,0.1250
2018-11-30,12.0000,12.2900,11.6900,11.8500,11.5937,35828,0.0000
2018-11-23,11.7093,12.0000,11.5000,12.0000,11.7404,26897,0.0000
2018-11-16,12.1000,12.2800,11.6600,11.7600,11.5056,24030,0.0000
2018-11-09,11.8500,12.4200,11.7500,12.1600,11.8970,53333,0.0000
2018-11-02,11.3100,12.8500,11.0700,12.3600,12.0926,39599,0.0000
2018-10-26,11.1200,12.2300,11.1200,11.1500,10.9088,37578,0.0000
2018-10-19,11.9370,12.1700,11.8200,11.8600,11.6035,44194,0.0000
2018-10-12,12.5394,12.6500,11.6552,11.9100,11.6524,53738,0.0000
2018-10-05,12.8500,12.8912,12.5000,12.5000,12.2296,61573,0.0000
2018-09-28,12.6500,12.9500,12.3000,12.8500,12.5720,34571,0.0000
2018-09-21,13.0000,13.3000,12.0500,12.9500,12.6699,101795,0.0000
