timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-17,3.8700,4.0600,3.6900,4.0100,4.0100,4918246,0.0000
2019-04-12,4.2600,4.3400,3.8500,3.8700,3.8700,7804247,0.0000
2019-04-05,4.3200,4.4300,4.2000,4.2900,4.2900,7931712,0.0000
2019-03-29,3.9500,4.3400,3.8750,4.2800,4.2800,8507990,0.0000
2019-03-22,4.2700,4.3700,3.9200,3.9300,3.9300,12447059,0.0000
2019-03-15,4.8900,5.0700,4.2200,4.3000,4.3000,21813749,0.0000
2019-03-08,5.3600,5.4400,4.8100,4.8900,4.8900,7622214,0.0000
2019-03-01,5.2500,5.5400,5.0400,5.3100,5.3100,8335691,0.0000
2019-02-22,5.2900,5.4000,5.0300,5.2100,5.2100,4510099,0.0000
2019-02-15,5.2000,5.5700,5.1400,5.2900,5.2900,6317166,0.0000
2019-02-08,5.3000,5.5000,5.0700,5.2000,5.2000,5122163,0.0000
2019-02-01,5.3300,5.6400,5.2000,5.2800,5.2800,11265540,0.0000
2019-01-25,5.3800,5.5200,5.0650,5.3700,5.3700,7491198,0.0000
2019-01-18,5.3100,5.4700,5.1000,5.4000,5.4000,8181829,0.0000
2019-01-11,5.4700,5.7500,4.9500,5.3500,5.3500,13875639,0.0000
2019-01-04,5.1900,5.5650,5.0000,5.4300,5.4300,8023549,0.0000
2018-12-28,4.9300,5.4600,4.8300,5.1500,5.1500,7250667,0.0000
2018-12-21,5.5200,5.7600,4.9650,4.9900,4.9900,13409255,0.0000
2018-12-14,5.8800,6.0000,5.5000,5.5800,5.5800,10419596,0.0000
2018-12-07,6.3300,6.5900,5.7800,5.8400,5.8400,13970949,0.0000
2018-11-30,7.7600,7.9100,5.6600,6.2400,6.2400,32313537,0.0000
2018-11-23,8.0600,8.2100,7.3200,7.6500,7.6500,7743107,0.0000
2018-11-16,9.2400,9.4200,8.0300,8.0900,8.0900,10430461,0.0000
2018-11-09,9.3200,9.6400,8.9700,9.2000,9.2000,8128670,0.0000
2018-11-02,8.5500,9.3500,8.4000,9.3000,9.3000,11230711,0.0000
2018-10-26,8.4400,8.6900,8.0300,8.4700,8.4700,12346981,0.0000
2018-10-19,8.3800,8.8700,8.3700,8.4200,8.4200,11136091,0.0000
2018-10-12,9.6500,9.6500,8.2150,8.4000,8.4000,13771174,0.0000
2018-10-05,11.1600,11.1600,9.5400,9.6600,9.6600,8408982,0.0000
2018-09-28,10.9400,11.3200,10.6950,11.0600,11.0600,6353776,0.0000
2018-09-21,10.4500,11.1700,10.2100,10.9100,10.9100,12300831,0.0000
2018-09-14,10.5100,10.7500,10.3050,10.4100,10.4100,7723184,0.0000
2018-09-07,11.2200,11.6850,10.3400,10.3900,10.3900,12223235,0.0000
2018-08-31,10.4200,11.2800,9.0410,11.2200,11.2200,26861772,0.0000
2018-08-24,10.2700,10.9000,9.9800,10.4100,10.4100,7757067,0.0000
2018-08-17,10.5700,10.7500,9.9000,10.3600,10.3600,6835572,0.0000
2018-08-10,9.8000,10.6300,9.7400,10.5300,10.5300,4612404,0.0000
2018-08-03,9.5100,9.9600,9.2400,9.7800,9.7800,6038708,0.0000
2018-07-27,9.8500,10.4000,9.5000,9.5200,9.5200,6783730,0.0000
2018-07-20,9.3900,10.3500,9.2500,9.8300,9.8300,6437935,0.0000
2018-07-13,9.7500,9.8001,9.0500,9.3800,9.3800,9174335,0.0000
2018-07-06,9.0700,9.7850,8.9300,9.6700,9.6700,4516485,0.0000
2018-06-29,10.4900,10.5500,9.1300,9.1500,9.1500,9463317,0.0000
2018-06-22,9.2900,10.5700,9.2800,10.5000,10.5000,10223238,0.0000
2018-06-15,10.4900,10.8000,9.3000,9.3600,9.3600,14466998,0.0000
2018-06-08,9.2300,10.5300,8.9800,10.5000,10.5000,12946961,0.0000
2018-06-01,8.8900,10.5000,8.2400,9.1500,9.1500,19018669,0.0000
