timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,6.3000,6.3300,6.1600,6.2100,6.2100,6703334,0.0000
2019-04-05,6.0800,6.3400,6.0800,6.3100,6.3100,11632888,0.0000
2019-03-29,6.0500,6.1400,5.9800,6.0500,6.0500,8529489,0.0000
2019-03-22,6.4500,6.4700,6.0200,6.0400,6.0400,10197750,0.1900
2019-03-15,6.3500,6.5000,6.3400,6.5000,6.3052,10404028,0.0000
2019-03-08,6.4500,6.5200,6.3000,6.3800,6.1888,8710890,0.0000
2019-03-01,6.5900,6.6400,6.3900,6.4300,6.2373,9510892,0.0000
2019-02-22,6.4000,6.6200,6.4000,6.5900,6.3925,7773661,0.0000
2019-02-15,6.1900,6.4200,6.1600,6.4000,6.2082,7312985,0.0000
2019-02-08,6.3300,6.4000,6.1200,6.1900,6.0045,7094665,0.0000
2019-02-01,6.2700,6.4024,6.1950,6.3200,6.1306,9414975,0.0000
2019-01-25,5.9100,6.2900,5.9100,6.2600,6.0724,8700158,0.0000
2019-01-18,5.9000,5.9500,5.7900,5.9000,5.7232,8868320,0.0000
2019-01-11,5.5600,6.0700,5.5500,5.9900,5.8105,15221962,0.0000
2019-01-04,5.2500,5.6500,5.1300,5.5800,5.4128,18654029,0.0000
2018-12-28,5.3000,5.4000,5.0900,5.3300,5.1703,18691767,0.0000
2018-12-21,5.6700,5.7100,5.1000,5.3100,5.1509,18307656,0.0000
2018-12-14,6.0400,6.1000,5.6400,5.6700,5.5001,7414506,0.1900
2018-12-07,6.0500,6.1500,5.9500,6.0500,5.6822,7272206,0.0000
2018-11-30,6.1100,6.1700,5.9000,5.9700,5.6071,5019406,0.0000
2018-11-23,6.2000,6.2150,5.9200,6.0700,5.7010,3822147,0.0000
2018-11-16,6.5500,6.5700,6.1500,6.1800,5.8043,5199572,0.0900
2018-11-09,6.3700,6.8500,6.3700,6.5700,6.0820,5788248,0.0000
2018-11-02,6.3500,6.5100,6.2250,6.3500,5.8784,7185326,0.0000
2018-10-26,6.6700,6.6790,6.2600,6.3200,5.8506,6020891,0.0000
2018-10-19,6.7500,6.8689,6.6250,6.6600,6.1654,5537289,0.0000
2018-10-12,6.8400,6.9300,6.7600,6.8000,6.2950,6433235,0.0000
2018-10-05,7.0700,7.1500,6.8200,6.8800,6.3690,9039609,0.0000
2018-09-28,7.1500,7.2000,7.0500,7.0500,6.5264,4358844,0.0000
