timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,4.5300,4.6300,4.2500,4.3900,4.3900,541152,0.0000
2019-04-05,4.7500,5.3400,4.4500,4.4500,4.4500,1488506,0.0000
2019-03-29,4.9400,4.9400,4.3200,4.8000,4.8000,585816,0.0000
2019-03-22,4.0900,5.2800,3.7600,5.0000,5.0000,3453560,0.0000
2019-03-15,4.3800,4.4792,4.1600,4.1600,4.1600,246271,0.0000
2019-03-08,4.5400,4.6000,4.2300,4.3300,4.3300,461140,0.0000
2019-03-01,4.2500,4.7100,4.1000,4.4400,4.4400,1126412,0.0000
2019-02-22,4.7800,5.4000,4.0400,4.2600,4.2600,3014536,0.0000
2019-02-15,3.3000,7.3500,3.2000,4.8800,4.8800,11874920,0.0000
2019-02-08,3.1100,3.4900,3.0001,3.2500,3.2500,83266,0.0000
2019-02-01,3.2800,3.2800,3.0001,3.1000,3.1000,54366,0.0000
2019-01-25,3.4900,3.4900,3.1900,3.2200,3.2200,65550,0.0000
2019-01-18,3.4000,3.7500,3.3200,3.5400,3.5400,230597,0.0000
2019-01-11,3.1500,3.5000,3.0000,3.3750,3.3750,186236,0.0000
2019-01-04,2.6500,3.8500,2.6400,2.9900,2.9900,239306,0.0000
2018-12-28,2.0700,2.4300,1.7500,2.3900,2.3900,140075,0.0000
2018-12-21,2.4500,2.4500,1.9300,1.9300,1.9300,102084,0.0000
2018-12-14,2.2700,2.3875,1.5530,2.1500,2.1500,230839,0.0000
2018-12-07,2.1900,2.6400,2.1400,2.1800,2.1800,161833,0.0000
2018-11-30,2.1400,2.3200,2.0000,2.1500,2.1500,268887,0.0000
2018-11-23,2.9100,2.9248,2.0900,2.1100,2.1100,393382,0.0000
2018-11-16,2.9500,3.0400,2.7500,2.9400,2.9400,117620,0.0000
2018-11-09,3.1400,3.2000,2.8425,2.9160,2.9160,159640,0.0000
2018-11-02,3.3400,3.7500,2.9510,3.0600,3.0600,238505,0.0000
2018-10-26,3.6000,3.9289,3.1500,3.2300,3.2300,216961,0.0000
2018-10-19,3.8600,3.8900,3.4350,3.5900,3.5900,175426,0.0000
2018-10-12,3.7100,3.9800,3.4800,3.8373,3.8373,116406,0.0000
2018-10-05,3.6500,3.8373,3.5000,3.6900,3.6900,102756,0.0000
2018-09-28,4.1900,4.2700,3.4800,3.7000,3.7000,152981,0.0000
2018-09-21,4.2200,4.4000,3.9000,3.9200,3.9200,177168,0.0000
2018-09-14,4.0300,4.4000,4.0100,4.1500,4.1500,162382,0.0000
2018-09-07,4.3700,4.4250,3.8001,4.1268,4.1268,168841,0.0000
2018-08-31,4.3100,4.4900,4.2500,4.3300,4.3300,99502,0.0000
2018-08-24,4.0000,4.5100,3.8700,4.4000,4.4000,250549,0.0000
2018-08-17,3.8700,4.0000,3.6500,4.0000,4.0000,102821,0.0000
2018-08-10,3.6900,3.9500,3.6000,3.9000,3.9000,76645,0.0000
2018-08-03,3.6100,3.7500,3.5301,3.7000,3.7000,62898,0.0000
2018-07-27,4.0800,4.0800,3.5900,3.5900,3.5900,75143,0.0000
2018-07-20,4.1300,4.1300,3.7500,4.0800,4.0800,98917,0.0000
2018-07-13,4.6800,4.7882,3.7010,4.1000,4.1000,151244,0.0000
2018-07-06,4.2700,5.3200,4.1100,4.6800,4.6800,155702,0.0000
2018-06-29,4.0700,4.4990,4.0500,4.2600,4.2600,152840,0.0000
2018-06-22,3.2500,5.0000,2.9000,4.1100,4.1100,611871,0.0000
2018-06-15,3.1500,3.2500,2.2600,3.2300,3.2300,593722,0.0000
2018-06-08,3.1500,3.2600,3.0000,3.0100,3.0100,98166,0.0000
2018-06-01,3.1700,3.2000,2.9100,3.1400,3.1400,81769,0.0000
2018-05-25,4.0000,4.0000,2.9700,3.1300,3.1300,98888,0.0000
2018-05-18,2.8500,3.1000,2.7100,2.9500,2.9500,93757,0.0000
2018-05-11,2.7500,2.9900,2.5000,2.9600,2.9600,96609,0.0000
2018-05-04,3.0800,3.0800,2.7000,2.7100,2.7100,51805,0.0000
2018-04-27,2.8900,3.0400,2.8000,2.8500,2.8500,49923,0.0000
2018-04-20,2.9700,3.0402,2.6600,2.8100,2.8100,83050,0.0000
2018-04-13,3.2500,3.4000,2.9500,2.9700,2.9700,111399,0.0000
2018-04-06,3.3100,3.4600,3.0900,3.1400,3.1400,84409,0.0000
2018-03-29,3.2000,3.5128,3.0800,3.2500,3.2500,48396,0.0000
2018-03-23,3.2500,3.2500,3.0100,3.2000,3.2000,47356,0.0000
2018-03-16,3.2500,3.3800,3.0000,3.3800,3.3800,83728,0.0000
2018-03-09,3.5000,3.5000,2.8800,3.0900,3.0900,57403,0.0000
