timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-18,3.4700,3.5400,3.3800,3.4700,3.4700,106056,0.0000
2019-04-12,3.5200,3.5400,3.3900,3.3900,3.3900,340310,0.0000
2019-04-05,3.4600,3.5400,3.4100,3.5100,3.5100,259877,0.0000
2019-03-29,3.4900,3.5600,3.3567,3.5000,3.5000,221051,0.0000
2019-03-22,3.0600,3.5000,3.0400,3.4900,3.4900,789262,0.0000
2019-03-15,3.0600,3.1500,3.0300,3.0600,3.0600,130702,0.0000
2019-03-08,3.2500,3.3300,3.0200,3.0700,3.0700,656240,0.0000
2019-03-01,3.3200,3.4000,3.2300,3.2500,3.2500,216839,0.0000
2019-02-22,3.3400,3.4700,3.1600,3.3100,3.3100,458382,0.0000
2019-02-15,3.1300,3.4200,3.0900,3.3200,3.3200,203325,0.0000
2019-02-08,3.4100,3.4732,3.0700,3.1101,3.1101,144658,0.0000
2019-02-01,3.1400,3.4800,3.0000,3.4000,3.4000,326899,0.0000
2019-01-25,3.1500,3.2500,2.8800,3.0500,3.0500,199916,0.0000
2019-01-18,2.9650,3.2800,2.9400,3.2100,3.2100,268948,0.0000
2019-01-11,2.8700,3.0700,2.8700,2.9900,2.9900,157259,0.0000
2019-01-04,2.8000,3.0000,2.7300,2.9000,2.9000,300303,0.0000
2018-12-28,2.8397,2.9800,2.7600,2.8100,2.8100,224858,0.0000
2018-12-21,3.2200,3.2400,2.8000,2.8000,2.8000,499551,0.0000
2018-12-14,3.3300,3.3900,3.2200,3.2200,3.2200,207981,0.0000
2018-12-07,3.5714,3.5900,3.2408,3.3200,3.3200,298339,0.0000
2018-11-30,3.5200,3.6884,3.4200,3.5000,3.5000,480511,0.0000
2018-11-23,3.4900,3.5200,3.2000,3.5200,3.5200,225446,0.0000
2018-11-16,3.4300,3.5400,3.3700,3.4700,3.4700,272493,0.0000
2018-11-09,3.4100,3.5150,3.3001,3.4100,3.4100,216370,0.0000
2018-11-02,3.3900,3.6100,3.2500,3.4200,3.4200,398587,0.0000
2018-10-26,3.5200,3.5500,3.3350,3.3700,3.3700,299715,0.0000
2018-10-19,3.4500,3.6400,3.4100,3.4900,3.4900,344252,0.0000
2018-10-12,3.4500,3.5324,3.3000,3.4500,3.4500,1116300,0.0000
2018-10-05,3.6000,3.6176,3.4400,3.4400,3.4400,108771,0.0000
2018-09-28,3.5900,3.6400,3.4400,3.5600,3.5600,147362,0.0000
2018-09-21,3.6700,3.7000,3.5700,3.6000,3.6000,117565,0.0000
2018-09-14,3.5900,3.6700,3.5400,3.6700,3.6700,155851,0.0000
2018-09-07,3.5300,3.7300,3.5300,3.5500,3.5500,118353,0.0000
2018-08-31,3.5100,3.7700,3.3800,3.5500,3.5500,382242,0.0000
2018-08-24,3.6100,3.8400,3.4800,3.4800,3.4800,386591,0.0000
2018-08-17,3.5700,3.7000,3.5000,3.6000,3.6000,129501,0.0000
2018-08-10,3.7000,3.7100,3.5672,3.6000,3.6000,140375,0.0000
2018-08-03,3.7000,3.8200,3.6400,3.6700,3.6700,72527,0.0000
2018-07-27,3.7800,3.7800,3.6100,3.6900,3.6900,118026,0.0000
2018-07-20,3.7700,3.8400,3.7000,3.7800,3.7800,80489,0.0000
2018-07-13,4.0500,4.1458,3.7000,3.7750,3.7750,313285,0.0000
2018-07-06,3.9500,4.1800,3.8610,4.0100,4.0100,142573,0.0000
2018-06-29,3.9200,3.9700,3.7508,3.9700,3.9700,164245,0.0000
2018-06-22,3.7700,3.9800,3.7350,3.9300,3.9300,126049,0.0000
2018-06-15,3.9200,4.0100,3.7900,3.7900,3.7900,159349,0.0000
