timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,20.4000,20.4013,20.4000,20.4000,20.4000,1093,0.0000
2019-04-12,20.4000,20.5100,20.4000,20.4000,20.4000,1213,0.0700
2019-04-05,20.1800,20.4000,20.1800,20.4000,20.3304,9511,0.0000
2019-03-29,20.5000,20.5000,20.3500,20.4300,20.3603,4311,0.0000
2019-03-22,20.6000,20.6000,20.5000,20.5075,20.4375,2852,0.0000
2019-03-14,20.5200,20.6750,20.5000,20.6000,20.5297,4255,0.0700
2019-03-08,20.6000,20.6000,20.5000,20.5200,20.3809,2200,0.0000
2019-03-01,20.5000,20.5000,20.4000,20.4000,20.2618,600,0.0000
2019-02-22,20.7424,20.9500,20.3000,20.3000,20.1624,8990,0.0000
2019-02-15,20.7500,20.8200,20.6600,20.7100,20.5697,17426,0.0700
2019-02-08,20.2227,20.7700,20.2000,20.7533,20.5436,15353,0.0000
2019-02-01,20.2340,20.2340,20.1000,20.2000,19.9959,7609,0.0000
2019-01-25,19.9500,20.1316,19.9500,20.1316,19.9281,3051,0.0000
2019-01-18,19.8700,20.0000,19.7010,19.7700,19.5702,4394,0.0000
2019-01-11,19.6000,19.8733,19.5100,19.8733,19.6725,8607,0.0000
2019-01-04,19.5100,19.5100,19.5100,19.5100,19.3128,700,0.0000
2018-12-28,19.5500,19.7500,19.5100,19.7500,19.5504,1322,0.0000
2018-12-21,19.7000,19.8500,19.5323,19.5500,19.3524,7074,0.0000
2018-12-14,19.8100,20.1412,19.7000,19.7000,19.5009,5930,0.0680
2018-12-07,20.4000,20.4000,19.7100,19.8100,19.5428,15940,0.0000
2018-11-30,20.9000,21.3000,19.9625,19.9625,19.6933,8220,0.0000
2018-11-23,20.8100,20.9000,20.8100,20.9000,20.6181,202,0.0000
2018-11-16,21.0800,21.1500,20.8100,20.8100,20.5294,16950,0.0670
2018-11-09,21.0700,21.2159,21.0700,21.1300,20.7784,3579,0.0000
2018-11-02,21.0500,21.1100,21.0500,21.0733,20.7227,5209,0.0000
2018-10-26,21.3012,21.5828,21.0500,21.0500,20.6998,7589,0.0000
2018-10-19,21.1700,21.3300,20.7500,21.3000,20.9456,9200,0.0000
2018-10-12,21.2500,21.2615,21.0100,21.1700,20.8178,18270,0.0640
2018-10-05,21.6120,21.8000,21.2500,21.2500,20.8332,9578,0.0000
2018-09-28,21.3775,21.9800,21.3500,21.9800,21.5489,6323,0.0000
2018-09-21,21.4800,24.8900,21.1500,21.6700,21.2450,39092,0.0000
2018-09-14,21.3600,21.4800,21.3600,21.4800,21.0587,1200,0.0620
2018-09-07,21.1700,21.3600,21.0800,21.3600,20.8805,3500,0.0000
2018-08-31,21.3900,21.3900,21.1100,21.1100,20.6361,2300,0.0000
2018-08-24,21.2850,21.3890,21.1500,21.3890,20.9089,5100,0.0000
2018-08-17,21.2800,21.3300,21.0800,21.2850,20.8072,9500,0.0600
2018-08-10,21.2617,21.3500,21.2600,21.3500,20.8119,3025,0.0000
2018-08-03,21.2011,21.3124,21.2000,21.2617,20.7258,11328,0.0000
2018-07-27,21.0800,21.2500,21.0800,21.2400,20.7046,9003,0.0000
2018-07-20,21.1800,21.1800,21.0800,21.0800,20.5487,1537,0.0000
2018-07-13,20.8700,21.1800,20.8500,21.1800,20.6461,8066,0.0590
2018-07-06,20.9600,20.9600,20.9575,20.9575,20.3719,488,0.0000
2018-06-29,21.1300,21.2400,20.9500,21.1000,20.5104,6378,0.0000
2018-06-22,20.8500,21.1800,20.8500,21.1500,20.5590,3774,0.0000
2018-06-15,20.9400,20.9400,20.7000,20.9000,20.3160,5095,0.0590
2018-06-08,20.9400,20.9400,20.9400,20.9400,20.2975,148,0.0000
2018-06-01,21.1035,21.1035,20.7500,20.9000,20.2588,14500,0.0000
