timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-18,9.7400,9.7750,9.6000,9.6150,9.6150,545159,0.0893
2019-04-12,9.7700,9.8500,9.6923,9.7300,9.6405,594159,0.0000
2019-04-05,9.7000,9.8500,9.6700,9.7600,9.6702,616950,0.0000
2019-03-29,9.5600,9.7000,9.5000,9.6600,9.5711,587761,0.0000
2019-03-22,9.7500,9.8500,9.5800,9.5800,9.4918,510060,0.0882
2019-03-15,9.5500,9.9800,9.5000,9.7500,9.5731,584217,0.0000
2019-03-08,9.7300,9.7900,9.4600,9.5224,9.3497,595619,0.0000
2019-03-01,9.6000,9.6800,9.5500,9.6700,9.4946,511778,0.0000
2019-02-22,9.4300,9.5800,9.3900,9.5500,9.3768,437538,0.0000
2019-02-15,9.4300,9.5400,9.3500,9.4700,9.2982,441265,0.0835
2019-02-08,9.2300,9.4900,9.2148,9.3700,9.1196,526194,0.0000
2019-02-01,8.9800,9.3700,8.9800,9.3400,9.0904,581190,0.0000
2019-01-25,9.0300,9.0858,8.8800,9.0500,8.8082,300489,0.0000
2019-01-18,8.8800,9.1400,8.6500,9.0700,8.8276,641778,0.0829
2019-01-11,8.4300,8.9200,8.4200,8.8550,8.5403,1066034,0.0000
2019-01-04,8.3700,8.5599,8.1500,8.4300,8.1304,948905,0.0000
2018-12-28,7.9200,8.3200,7.6300,8.2500,7.9568,1269576,0.0000
2018-12-21,8.8000,8.8300,7.8400,7.8600,7.5807,1329359,0.0878
2018-12-14,9.2800,9.2963,8.8300,8.8300,8.4250,1210974,0.0000
2018-12-07,9.7200,9.9000,9.2700,9.3400,8.9116,463426,0.0000
2018-11-30,9.2100,9.6800,9.1900,9.6400,9.1979,734832,0.0000
2018-11-23,9.3800,9.4400,8.8300,9.1700,8.7494,512446,0.0913
2018-11-16,9.8500,9.8554,9.4500,9.4700,8.9477,628553,0.0000
2018-11-09,9.7600,10.0400,9.6600,9.8900,9.3446,562746,0.0000
2018-11-02,9.6600,9.8806,9.3400,9.7400,9.2028,752281,0.0000
2018-10-26,10.0500,10.0650,9.4761,9.5600,9.0328,921775,0.0000
2018-10-19,10.0800,10.3000,9.9800,10.0400,9.4863,789729,0.0995
2018-10-12,10.3100,10.3100,9.8000,10.0600,9.4114,1112442,0.0000
2018-10-05,10.9000,10.9100,10.2300,10.3200,9.6546,1180959,0.0000
2018-09-28,11.0200,11.0200,10.8400,10.8400,10.1411,623381,0.0000
2018-09-21,11.0700,11.1500,11.0300,11.0300,10.3188,608441,0.1012
2018-09-14,11.2300,11.2700,11.1100,11.1250,10.3134,1000908,0.0000
2018-09-07,11.3400,11.3800,11.2100,11.2200,10.4015,544009,0.0000
2018-08-31,11.3100,11.3900,11.3055,11.3400,10.5127,763301,0.0000
2018-08-24,11.2300,11.4000,11.2200,11.2700,10.4478,588932,0.1007
2018-08-17,11.3400,11.4400,11.2000,11.3200,10.4010,667312,0.0000
2018-08-10,11.2700,11.4900,11.2400,11.3600,10.4377,483680,0.0000
2018-08-03,11.2300,11.3000,11.1000,11.2350,10.3229,608198,0.0000
