timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,7.3000,7.7200,7.1200,7.5100,7.5100,1443570,0.0000
2019-04-05,7.1700,7.3442,6.8735,7.3100,7.3100,1068183,0.0000
2019-03-29,7.2700,7.3500,6.9100,7.0900,7.0900,799813,0.0000
2019-03-22,7.0500,7.7000,7.0013,7.3000,7.3000,1748467,0.0000
2019-03-15,7.0800,7.3000,6.8800,7.0300,7.0300,2258588,0.0000
2019-03-08,7.7800,7.8200,6.9400,7.0500,7.0500,1451406,0.0000
2019-03-01,6.7800,8.0000,6.7800,7.7800,7.7800,2938236,0.0000
2019-02-22,6.3200,8.3700,6.1600,7.3100,7.3100,3095479,0.0000
2019-02-15,5.8400,6.4800,5.7800,6.3100,6.3100,2941109,0.0000
2019-02-08,6.2600,6.3800,5.7800,5.8100,5.8100,1587158,0.0000
2019-02-01,6.1700,6.7400,6.0600,6.2500,6.2500,1919455,0.0000
2019-01-25,5.9400,6.2800,5.6900,6.2600,6.2600,1353554,0.0000
2019-01-18,6.2400,6.2400,5.7900,6.0100,6.0100,1338482,0.0000
2019-01-11,5.1800,6.6400,5.1000,6.3200,6.3200,1778515,0.0000
2019-01-04,4.8100,5.3100,4.5500,5.2200,5.2200,1910756,0.0000
2018-12-28,3.7400,4.9600,3.6600,4.7800,4.7800,1318610,0.0000
2018-12-21,4.5400,4.5700,3.5800,3.7400,3.7400,3149279,0.0000
2018-12-14,5.0400,5.1100,4.4900,4.5800,4.5800,1679274,0.0000
2018-12-07,5.3100,5.3400,5.0000,5.0300,5.0300,1326393,0.0000
2018-11-30,5.0800,5.3600,4.9500,5.2100,5.2100,1270150,0.0000
2018-11-23,4.9900,5.1400,4.8400,5.0200,5.0200,1325395,0.0000
2018-11-16,4.8300,5.0200,4.3800,5.0000,5.0000,2395603,0.0000
2018-11-09,4.8500,5.0000,4.4000,4.8500,4.8500,6330616,0.0000
2018-11-02,5.2500,5.6000,4.7400,4.9000,4.9000,2861985,0.0000
2018-10-26,5.8400,5.9700,5.0600,5.1900,5.1900,1702969,0.0000
