timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-23,5.6100,5.6400,5.5160,5.6000,5.6000,331424,0.0000
2019-04-18,5.4900,5.6300,5.3939,5.6300,5.6300,728012,0.0000
2019-04-12,5.3000,5.6000,5.2100,5.4700,5.4700,805471,0.0000
2019-04-05,4.8200,5.1800,4.8200,5.1400,5.1400,789893,0.0000
2019-03-29,5.0200,5.0600,4.7500,4.7700,4.7700,887616,0.0000
2019-03-22,4.9500,5.3900,4.8400,5.1200,5.1200,1554087,0.0000
2019-03-15,4.6400,5.2100,4.6100,5.0600,5.0600,1179404,0.0000
2019-03-08,5.0000,5.2700,4.6200,4.6800,4.6800,1586389,0.0500
2019-03-01,5.3000,5.3700,4.8650,4.8800,4.8313,1635005,0.0000
2019-02-22,5.1100,5.3900,5.0800,5.3100,5.2570,943698,0.0000
2019-02-15,5.1300,5.4100,5.0700,5.3800,5.3263,675378,0.0000
2019-02-08,5.1800,5.2100,5.0000,5.1500,5.0986,1260398,0.0000
2019-02-01,5.3700,5.5000,4.9600,5.3100,5.2570,2162643,0.0000
2019-01-25,6.1800,6.2200,5.7900,5.9600,5.9005,1233910,0.0000
2019-01-18,6.3700,6.7200,6.2400,6.7100,6.6430,544878,0.0000
2019-01-11,6.5700,7.0700,6.5300,6.6000,6.5341,608487,0.0000
2019-01-04,6.1500,6.5600,5.8999,6.4900,6.4252,483719,0.0000
2018-12-28,6.0900,6.1800,5.7000,6.1200,6.0589,627117,0.0000
2018-12-21,6.9800,6.9900,5.7500,6.0400,5.9797,954422,0.0000
2018-12-14,6.7500,7.3200,6.6200,7.0000,6.9301,616357,0.0000
2018-12-07,7.3700,7.4900,6.6700,6.9800,6.9103,756290,0.1500
2018-11-30,7.1200,7.5800,6.8700,7.0400,6.8204,1230062,0.0000
2018-11-23,6.8800,6.9700,6.2400,6.9500,6.7332,884919,0.0000
2018-11-16,7.1900,7.2000,6.4200,6.8900,6.6751,863072,0.0000
2018-11-09,7.9500,7.9800,7.0400,7.0900,6.8688,981649,0.0000
2018-11-02,7.6500,8.1000,7.1600,7.8500,7.6051,1107646,0.0000
2018-10-26,8.4000,8.5300,7.4100,7.6100,7.3726,858840,0.0000
2018-10-19,9.0500,9.0600,8.4100,8.5600,8.2930,432115,0.0000
2018-10-12,9.0900,9.3000,8.6100,9.0700,8.7871,515466,0.0000
2018-10-05,9.8300,10.0500,9.1900,9.2400,8.9518,709006,0.0000
2018-09-28,9.4800,9.8800,9.3500,9.8600,9.5524,509920,0.0000
2018-09-21,9.1600,9.4900,9.0300,9.4600,9.1649,436244,0.0000
2018-09-14,8.8000,9.2000,8.6600,9.1700,8.8839,471848,0.0000
2018-09-07,9.2800,9.3500,8.7300,8.8200,8.5449,561564,0.1000
2018-08-31,9.5700,9.6800,9.2400,9.2500,8.8628,447214,0.0000
2018-08-24,9.3500,9.9400,9.0800,9.6200,9.2173,1564773,0.0000
2018-08-17,8.7800,9.0800,8.3500,9.0100,8.6328,611456,0.0000
2018-08-10,9.1900,9.2900,8.7200,8.8000,8.4316,489933,0.0000
2018-08-03,9.0000,9.4000,8.9900,9.2200,8.8340,854060,0.0000
2018-07-27,8.7600,9.0900,8.6500,8.9400,8.5657,713441,0.0000
2018-07-20,8.6000,8.8000,8.4500,8.6900,8.3262,612559,0.0000
2018-07-13,8.6800,8.7900,8.4100,8.5100,8.1537,559661,0.0000
