timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,3.5000,3.5700,3.4150,3.5500,3.5500,5135305,0.0000
2019-04-12,3.5400,3.6100,3.4600,3.5000,3.5000,13540337,0.0000
2019-04-05,3.5500,3.6100,3.4600,3.5600,3.5600,14347201,0.0000
2019-03-29,3.3900,3.5600,3.3500,3.5500,3.5500,20767679,0.0000
2019-03-22,3.5500,3.5650,3.3800,3.3800,3.3800,19697560,0.0000
2019-03-15,3.3600,3.5700,3.3500,3.5300,3.5300,20846410,0.0000
2019-03-08,3.3700,3.4800,3.2300,3.3600,3.3600,27574348,0.0000
2019-03-01,3.3700,3.4400,3.2500,3.3700,3.3700,32644570,0.0000
2019-02-22,3.4200,3.5900,3.3000,3.3600,3.3600,26415208,0.0000
2019-02-15,3.6500,3.9800,3.3100,3.4900,3.4900,71167820,0.0000
2019-02-08,3.7700,3.8000,3.5300,3.6000,3.6000,31715434,0.0000
2019-02-01,3.7200,3.8100,3.6100,3.7800,3.7800,25831383,0.0000
2019-01-25,3.7700,3.8300,3.5400,3.7700,3.7700,33221473,0.0000
2019-01-18,3.5500,3.8700,3.5200,3.7900,3.7900,21870921,0.0000
2019-01-11,3.4300,3.6100,3.4200,3.5900,3.5900,22488356,0.0000
2019-01-04,3.2100,3.5100,3.1500,3.4400,3.4400,22498621,0.0000
2018-12-28,2.8600,3.2200,2.8100,3.2000,3.2000,23174314,0.0000
2018-12-21,3.1500,3.1500,2.8700,2.9000,2.9000,50815034,0.0000
2018-12-14,3.0700,3.3300,3.0300,3.1400,3.1400,50651014,0.0000
2018-12-07,3.1200,3.2000,2.9800,3.1000,3.1000,31290368,0.0000
2018-11-30,3.0200,3.2100,2.9800,3.0700,3.0700,24592273,0.0000
2018-11-23,3.0000,3.0400,2.8200,2.9700,2.9700,22491071,0.0000
2018-11-16,2.9300,3.1200,2.8000,3.0200,3.0200,40528425,0.0000
2018-11-09,3.3600,3.5200,2.8900,2.9600,2.9600,70562786,0.0000
2018-11-02,3.1900,3.4400,3.0400,3.3600,3.3600,29555622,0.0000
2018-10-26,3.2600,3.3300,3.0600,3.1600,3.1600,27715133,0.0000
2018-10-19,3.4800,3.6500,3.1800,3.2200,3.2200,38806843,0.0000
2018-10-12,3.7500,3.8400,3.3100,3.4800,3.4800,48634109,0.0000
2018-10-05,3.8100,4.0000,3.6700,3.7600,3.7600,30443501,0.0000
2018-09-28,3.8700,3.8900,3.6500,3.7700,3.7700,32643056,0.0000
2018-09-21,3.9600,4.0299,3.8700,3.9000,3.9000,35995132,0.0000
2018-09-14,4.0300,4.0500,3.7200,4.0000,4.0000,44583308,0.0000
2018-09-07,4.2600,4.2750,3.9500,4.0200,4.0200,27233969,0.0000
2018-08-31,4.5300,4.5600,4.2500,4.2700,4.2700,31442437,0.0000
2018-08-24,4.4400,4.7000,4.4000,4.5400,4.5400,27267133,0.0000
2018-08-17,4.3500,4.7500,4.3100,4.4100,4.4100,44318472,0.0000
2018-08-10,4.7800,4.8100,4.3400,4.3500,4.3500,65048535,0.0000
2018-08-03,4.8000,4.9700,4.2500,4.8600,4.8600,81675257,0.0000
2018-07-27,4.6800,5.5190,4.5800,4.8400,4.8400,79845483,0.0000
2018-07-20,4.6800,4.7700,4.5400,4.7000,4.7000,27576265,0.0000
2018-07-13,4.8100,4.9600,4.5300,4.6700,4.6700,105593928,0.0000
2018-07-06,4.2500,4.4300,4.2000,4.3600,4.3600,23593996,0.0000
2018-06-29,4.4800,4.4800,4.1300,4.3000,4.3000,40266738,0.0000
2018-06-22,4.6500,4.7800,4.4000,4.5000,4.5000,50691288,0.0000
2018-06-15,4.7100,4.7100,4.4200,4.6800,4.6800,42828807,0.0000
