timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,0.7850,0.7850,0.7500,0.7500,0.7500,12500,0.0000
2019-04-12,0.7100,0.8000,0.7000,0.7850,0.7850,95694,0.0000
2019-04-05,0.6200,0.7538,0.6000,0.7500,0.7500,187363,0.0000
2019-03-29,0.5800,0.6500,0.5700,0.6030,0.6030,284315,0.0000
2019-03-22,0.5500,0.6232,0.5500,0.5700,0.5700,1548426,0.0000
2019-03-15,0.6200,0.6200,0.4505,0.5500,0.5500,263386,0.0000
2019-03-08,0.5700,0.7000,0.4770,0.6229,0.6229,75091,0.0000
2019-03-01,0.7500,0.7695,0.5000,0.5700,0.5700,1610877,0.0000
2019-02-22,1.0500,1.0900,0.7500,0.7500,0.7500,51015,0.0000
2019-02-15,0.6100,1.1500,0.3690,1.0500,1.0500,38475,0.0000
2019-02-06,0.5000,1.1000,0.5000,0.6800,0.6800,51149,0.0000
2019-02-01,0.5900,0.5920,0.5208,0.5787,0.5787,73891,0.0000
2019-01-24,0.7500,0.8000,0.6500,0.6500,0.6500,52256,0.0000
2019-01-18,0.7100,0.7100,0.6800,0.6900,0.6900,56528,0.0000
2019-01-11,0.9400,0.9400,0.5500,0.7000,0.7000,99058,0.0000
2019-01-04,0.7790,0.9400,0.7790,0.9400,0.9400,2500,0.0000
2018-12-28,0.7390,0.7390,0.7390,0.7390,0.7390,100,0.0000
2018-12-24,0.6900,0.6900,0.6900,0.6900,0.6900,100,0.0000
2018-12-21,0.7966,0.8000,0.6650,0.7500,0.7500,11700,0.0000
2018-12-12,1.0000,1.0000,0.8790,0.8790,0.8790,1300,0.0000
2018-11-07,1.6500,1.6500,1.4000,1.4000,1.4000,500,0.0000
2018-11-02,1.4400,1.6000,1.2700,1.5200,1.5200,35272,0.0000
2018-10-26,1.6200,1.7500,1.4300,1.4500,1.4500,800565,0.0000
2018-10-18,1.2500,1.2896,1.2500,1.2896,1.2896,14819,0.0000
2018-10-12,1.2900,1.3000,1.2509,1.2900,1.2900,167007,0.0000
2018-10-04,1.2600,1.3000,1.2600,1.3000,1.3000,217870,0.0000
2018-09-28,1.1000,1.2599,1.1000,1.2500,1.2500,2448638,0.0000
2018-09-21,1.2000,1.2400,1.1000,1.1000,1.1000,823727,0.0000
2018-09-14,1.1850,1.2800,1.1500,1.2400,1.2400,6380615,0.0000
2018-09-07,1.1900,1.2000,1.1600,1.1836,1.1836,34300,0.0000
2018-08-31,1.2000,1.2100,1.1200,1.1500,1.1500,390591,0.0000
2018-08-24,1.2500,1.2600,1.1800,1.2100,1.2100,432132,0.0000
2018-08-17,1.2500,1.3500,1.1900,1.2300,1.2300,303276,0.0000
2018-08-02,1.1800,1.1900,1.1700,1.1900,1.1900,1977,0.0000
2018-07-27,1.2500,1.2500,1.1501,1.1501,1.1501,1200,0.0000
2018-07-18,1.3501,1.4000,1.2300,1.2300,1.2300,10100,0.0000
2018-07-10,1.2500,1.3001,1.2500,1.3000,1.3000,153827,0.0000
2018-07-05,1.2500,1.2500,1.2500,1.2500,1.2500,10000,0.0000
2018-06-29,1.2000,1.2500,1.1600,1.2500,1.2500,195428,0.0000
2018-06-22,1.1200,1.2500,1.1100,1.2000,1.2000,1503,0.0000
2018-06-14,1.1100,1.2500,1.1100,1.2500,1.2500,1781,0.0000
2018-05-30,1.1100,1.2600,1.1100,1.2600,1.2600,1000,0.0000
2018-05-24,1.2000,1.2000,1.1000,1.1000,1.1000,1710,0.0000
2018-05-18,1.2000,1.2000,1.1500,1.2000,1.2000,9007,0.0000
2018-05-10,1.1200,1.3000,1.0400,1.3000,1.3000,430771,0.0000
2018-05-03,1.2500,1.2500,1.1000,1.1200,1.1200,11365,0.0000
2018-04-27,1.2601,1.2601,1.1800,1.1800,1.1800,27399,0.0000
2018-04-16,1.2500,1.5000,1.2000,1.5000,1.5000,18706,0.0000
2018-04-13,1.3200,1.5000,1.0000,1.5000,1.5000,8747,0.0000
2018-04-05,1.2400,1.2400,1.2400,1.2400,1.2400,1332,0.0000
2018-03-29,1.3000,1.3000,1.2400,1.2400,1.2400,15300,0.0000
2018-03-22,1.0400,1.2000,1.0100,1.1880,1.1880,77863,0.0000
2018-03-16,1.1100,1.2000,1.0407,1.2000,1.2000,82296,0.0000
2018-03-12,1.0000,1.0000,0.9800,1.0000,1.0000,111766,0.0000
2018-03-09,1.2000,1.4000,0.2513,1.1000,1.1000,84124,0.0000
2018-03-02,1.2200,1.2200,1.2000,1.2000,1.2000,4665,0.0000
2018-02-26,1.3500,1.3600,1.3500,1.3500,1.3500,5100,0.0000
2018-02-22,1.2300,1.3900,1.2000,1.3500,1.3500,416374,0.0000
2018-02-15,1.2000,1.5000,1.2000,1.5000,1.5000,45396,0.0000
2018-02-09,1.2600,1.2600,1.2000,1.2500,1.2500,24921,0.0000
2018-01-31,1.2300,1.4000,1.2200,1.3810,1.3810,619,0.0000
2018-01-26,1.3500,1.3500,1.3500,1.3500,1.3500,97,0.0000
2018-01-23,1.2200,1.3500,1.2200,1.3500,1.3500,628957,0.0000
2018-01-19,1.3500,1.3500,1.2200,1.2900,1.2900,59183,0.0000
2018-01-12,1.2300,1.3000,1.2000,1.3000,1.3000,75985,0.0000
2018-01-04,1.3000,1.3100,0.9800,1.3000,1.3000,99365,0.0000
2017-12-26,1.3500,1.3500,1.3500,1.3500,1.3500,100,0.0000
2017-12-22,1.3000,1.3000,1.2900,1.3000,1.3000,11170,0.0000
2017-12-19,1.2600,1.4650,1.2600,1.2700,1.2700,50765,0.0000
2017-12-15,1.3000,1.3000,1.2600,1.2900,1.2900,11700,0.0000
2017-12-08,1.3000,1.3000,1.2845,1.3000,1.3000,600,0.0000
2017-12-05,1.3000,1.3000,1.2000,1.3000,1.3000,505,0.0000
2017-11-30,1.3000,1.3500,1.1300,1.2800,1.2800,40800,0.0000
2017-11-24,1.2600,1.2800,1.2000,1.2000,1.2000,15827,0.0000
2017-11-17,1.3000,1.3000,1.2500,1.3000,1.3000,22853,0.0000
2017-11-09,1.3000,1.3000,1.2500,1.2500,1.2500,17216,0.0000
2017-11-01,1.3000,1.3600,1.3000,1.3347,1.3347,12577,0.0000
2017-10-27,1.2800,1.3200,1.2700,1.3000,1.3000,13247,0.0000
2017-10-20,1.2600,1.4850,1.2600,1.4042,1.4042,14073,0.0000
2017-10-13,1.3000,1.3500,1.2600,1.3500,1.3500,20721,0.0000
2017-10-06,1.2200,1.4400,1.2200,1.4000,1.4000,66975,0.0000
2017-09-29,1.1900,1.3100,1.1600,1.1700,1.1700,37794,0.0000
2017-09-21,1.1500,1.1900,1.1500,1.1900,1.1900,399,0.0000
2017-09-14,1.1500,1.1500,1.1500,1.1500,1.1500,120,0.0000
2017-09-08,1.4400,1.4400,1.1000,1.1500,1.1500,10460,0.0000
2017-09-01,1.4400,1.4400,1.2500,1.4400,1.4400,1343,0.0000
2017-08-25,1.3600,1.4400,1.3600,1.4400,1.4400,1293,0.0000
2017-08-18,1.2500,1.3600,1.2500,1.3600,1.3600,903,0.0000
2017-08-11,1.2500,1.3000,1.2500,1.2500,1.2500,51975,0.0000
2017-08-04,1.3300,1.7500,1.3300,1.3500,1.3500,7245,0.0000
2017-07-28,1.7500,1.7500,1.4100,1.7500,1.7500,11784,0.0000
2017-07-21,1.4000,1.7500,1.4000,1.7500,1.7500,886,0.0000
2017-07-14,1.8000,1.8000,1.1000,1.5200,1.5200,6716,0.0000
2017-07-07,1.8000,1.8000,1.8000,1.8000,1.8000,300,0.0000
2017-06-30,1.9000,1.9000,1.3300,1.8000,1.8000,300,0.0000
2017-06-23,1.5000,2.0200,1.2000,1.9000,1.9000,2760,0.0000
2017-06-16,1.5000,1.5000,1.5000,1.5000,1.5000,0,0.0000
2017-06-09,1.5000,1.5000,1.5000,1.5000,1.5000,0,0.0000
2017-06-02,1.1900,1.5300,1.1853,1.5000,1.5000,40400,0.0000
2017-05-26,1.0500,1.2000,1.0354,1.2000,1.2000,41736,0.0000
2017-05-19,1.1000,1.1000,1.0500,1.0500,1.0500,22900,0.0000
2017-05-12,1.1000,1.1000,1.0982,1.1000,1.1000,18800,0.0000
2017-05-05,1.1500,1.1500,1.1000,1.1000,1.1000,608696,0.0000
2017-04-28,1.2000,1.2000,1.1900,1.2000,1.2000,85000,0.0000
2017-04-21,1.1300,1.2000,1.1300,1.2000,1.2000,37980,0.0000
2017-04-13,1.1399,1.1399,1.1399,1.1399,1.1399,0,0.0000
2017-04-07,1.1520,1.1600,1.1285,1.1399,1.1399,26782,0.0000
2017-03-31,1.1500,1.1600,1.1100,1.1500,1.1500,35498,0.0000
2017-03-24,1.3000,1.3600,1.1500,1.1500,1.1500,14338,0.0000
2017-03-17,1.3341,1.3600,1.3000,1.3600,1.3600,3700,0.0000
2017-03-10,1.3600,1.3600,1.3600,1.3600,1.3600,0,0.0000
