timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-08,0.2800,0.2800,0.2500,0.2500,0.2500,3200,0.0000
2019-04-05,0.2500,0.2800,0.2500,0.2700,0.2700,3800,0.0000
2019-03-29,0.2800,0.2800,0.2500,0.2500,0.2500,300,0.0000
2019-03-20,0.2800,0.2800,0.2800,0.2800,0.2800,100,0.0000
2019-03-14,0.2700,0.2700,0.2500,0.2500,0.2500,67300,0.0000
2019-03-08,0.3100,0.3100,0.2600,0.2600,0.2600,800,0.0000
2019-03-04,0.2800,0.2814,0.2800,0.2813,0.2813,3000,0.0000
2019-02-28,0.2500,0.2900,0.2400,0.2900,0.2900,10100,0.0000
2019-02-11,0.3000,0.3000,0.3000,0.3000,0.3000,3000,0.0000
2019-01-31,0.3200,0.3200,0.3000,0.3000,0.3000,515,0.0000
2019-01-25,0.3100,0.3400,0.3100,0.3300,0.3300,239700,0.0000
2019-01-18,0.3400,0.3800,0.3400,0.3400,0.3400,18100,0.0000
2019-01-15,0.3100,0.3100,0.3100,0.3100,0.3100,2000,0.0000
2019-01-08,0.3100,0.3100,0.3100,0.3100,0.3100,60000,0.0000
2018-12-21,0.3500,0.3500,0.3000,0.3000,0.3000,10400,0.0000
2018-12-10,0.3500,0.3501,0.3500,0.3501,0.3501,200,0.0000
2018-12-03,0.3900,0.3900,0.3900,0.3900,0.3900,100,0.0000
2018-11-20,0.3200,0.4000,0.3200,0.4000,0.4000,28000,0.0000
2018-11-07,0.3500,0.3800,0.3500,0.3800,0.3800,91870,0.0000
2018-10-22,0.4000,0.4000,0.4000,0.4000,0.4000,100,0.0000
2018-10-18,0.3701,0.3701,0.3700,0.3700,0.3700,40000,0.0000
2018-10-15,0.3701,0.3701,0.3500,0.3700,0.3700,172995,0.0000
2018-10-12,0.3601,0.3619,0.3601,0.3619,0.3619,3000,0.0000
2018-10-02,0.3601,0.3619,0.3601,0.3619,0.3619,1000,0.0000
2018-09-28,0.3900,0.3999,0.3601,0.3601,0.3601,275600,0.0000
2018-09-21,0.4000,0.4000,0.3801,0.3900,0.3900,5800,0.0000
2018-09-13,0.4100,0.4100,0.4000,0.4100,0.4100,5400,0.0000
2018-09-07,0.4100,0.4100,0.3600,0.4099,0.4099,36800,0.0000
2018-08-31,0.4100,0.4200,0.3810,0.3900,0.3900,600,0.0000
2018-08-27,0.4201,0.4400,0.3500,0.4400,0.4400,168400,0.0000
2018-08-21,0.9400,1.0400,0.4200,0.4200,0.4200,18115,0.0000
2018-08-16,0.4000,0.4300,0.4000,0.4300,0.4300,600,0.0000
2018-08-13,0.4500,0.4500,0.4500,0.4500,0.4500,100,0.0000
2018-07-30,0.4000,0.4700,0.4000,0.4500,0.4500,161900,0.0000
2018-07-26,0.3600,0.7469,0.3500,0.4000,0.4000,195800,0.0000
