timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,2.0800,2.1300,1.4900,1.5199,1.5199,3248264,0.0000
2019-04-05,1.9300,2.1649,1.8500,2.0700,2.0700,2959989,0.0000
2019-03-29,2.0000,2.1000,1.8000,1.9300,1.9300,1678085,0.0000
2019-03-22,1.9900,2.2500,1.9200,2.0200,2.0200,1865593,0.0000
2019-03-15,1.7000,2.0000,1.5600,1.9600,1.9600,2044959,0.0000
2019-03-08,1.2200,1.7800,1.1700,1.7200,1.7200,2631157,0.0000
2019-03-01,1.2700,1.6070,1.1500,1.2400,1.2400,1620782,0.0000
2019-02-22,1.2000,1.3700,1.1600,1.2500,1.2500,554702,0.0000
2019-02-15,1.1200,1.2400,1.0769,1.1900,1.1900,622742,0.0000
2019-02-08,1.1500,1.1950,1.0900,1.1100,1.1100,732752,0.0000
2019-02-01,1.2100,1.2700,1.1000,1.1400,1.1400,950186,0.0000
2019-01-25,1.1400,1.2700,1.1200,1.2000,1.2000,635638,0.0000
2019-01-18,1.1800,1.2000,1.0900,1.1600,1.1600,860788,0.0000
2019-01-11,1.1600,1.3564,1.1300,1.1800,1.1800,1532828,0.0000
2019-01-04,0.8750,1.2800,0.8385,1.1100,1.1100,1787540,0.0000
2018-12-28,0.9847,1.0000,0.7800,0.8571,0.8571,2138249,0.0000
2018-12-21,1.2700,1.3100,0.9455,0.9921,0.9921,2916320,0.0000
2018-12-14,1.7400,1.7600,1.2700,1.2700,1.2700,2172449,0.0000
2018-12-07,1.5500,2.1390,1.4000,1.7550,1.7550,12596023,0.0000
2018-11-30,1.1400,1.1400,1.0400,1.0900,1.0900,1114109,0.0000
2018-11-23,0.9821,1.1500,0.9500,1.1200,1.1200,493672,0.0000
2018-11-16,0.9980,1.1700,0.7010,0.9850,0.9850,3265169,0.0000
2018-11-09,1.0300,1.2800,0.9340,1.2100,1.2100,1894643,0.0000
2018-11-02,0.7700,1.0700,0.7500,1.0200,1.0200,1529992,0.0000
2018-10-26,0.8500,0.9500,0.7300,0.7628,0.7628,1222630,0.0000
2018-10-19,1.0400,1.2600,0.7327,0.8363,0.8363,4811894,0.0000
2018-10-12,1.1600,1.3400,1.0000,1.0500,1.0500,2313762,0.0000
2018-10-05,1.2900,1.3000,1.1300,1.1700,1.1700,1692290,0.0000
2018-09-28,1.3300,1.4400,1.2500,1.2800,1.2800,1549745,0.0000
2018-09-21,1.4000,1.4700,1.2200,1.3400,1.3400,2197604,0.0000
2018-09-14,1.7800,1.8200,1.3850,1.3900,1.3900,2828803,0.0000
2018-09-07,1.8600,1.9300,1.7500,1.7800,1.7800,779926,0.0000
2018-08-31,1.8000,1.8900,1.6900,1.8700,1.8700,1043821,0.0000
2018-08-24,1.7600,1.8400,1.6700,1.7900,1.7900,2038659,0.0000
2018-08-17,1.8200,2.0000,1.7400,1.7600,1.7600,2180143,0.0000
2018-08-10,1.8800,2.1590,1.5800,1.8300,1.8300,4559121,0.0000
2018-08-03,1.7100,1.9450,1.6600,1.8800,1.8800,1778986,0.0000
2018-07-27,1.9100,1.9100,1.6600,1.7100,1.7100,2522665,0.0000
2018-07-20,2.1600,2.1800,1.7550,1.8900,1.8900,3391927,0.0000
2018-07-13,2.1800,2.3900,2.1200,2.1600,2.1600,2309602,0.0000
2018-07-06,2.0100,2.1800,1.9800,2.1700,2.1700,1386144,0.0000
2018-06-29,2.2100,2.2800,1.9300,2.0100,2.0100,3369801,0.0000
2018-06-22,2.1700,2.5000,2.1600,2.2000,2.2000,6873278,0.0000
2018-06-15,2.3200,2.4390,2.1500,2.1900,2.1900,3826880,0.0000
2018-06-08,2.1000,2.4652,2.0800,2.3100,2.3100,5067609,0.0000
2018-06-01,2.5100,2.5860,2.0800,2.1000,2.1000,3314952,0.0000
2018-05-25,2.4900,2.7299,2.0542,2.5100,2.5100,5970160,0.0000
2018-05-18,2.6000,2.7500,2.4510,2.4900,2.4900,3477025,0.0000
2018-05-11,4.0000,4.1900,2.5600,2.6250,2.6250,8092400,0.0000
2018-05-04,4.4700,4.5400,3.6500,3.9600,3.9600,2633669,0.0000
2018-04-27,4.3800,4.5000,4.1501,4.4800,4.4800,1202419,0.0000
2018-04-20,4.4500,4.6000,4.2800,4.3800,4.3800,1507531,0.0000
2018-04-13,4.6900,4.7700,4.3900,4.4200,4.4200,1199573,0.0000
2018-04-06,4.9300,4.9700,4.6300,4.6700,4.6700,1557728,0.0000
2018-03-29,4.5900,4.9900,4.3950,4.9400,4.9400,1946660,0.0000
2018-03-23,5.4000,5.4300,4.5700,4.5900,4.5900,3425426,0.0000
2018-03-16,5.4300,5.5500,5.3500,5.4000,5.4000,2347391,0.0000
2018-03-09,6.2100,6.3800,5.3680,5.4350,5.4350,3638993,0.0000
2018-03-02,6.1000,6.2600,5.9400,6.2100,6.2100,1045240,0.0000
2018-02-23,6.1300,6.2800,6.0000,6.0700,6.0700,827612,0.0000
2018-02-16,5.8100,6.2200,5.6500,6.1300,6.1300,1197540,0.0000
2018-02-09,6.0300,6.1100,5.6100,5.8100,5.8100,1352087,0.0000
2018-02-02,6.6100,6.6400,6.0200,6.0900,6.0900,1748142,0.0000
2018-01-26,6.2600,6.9790,6.1300,6.6200,6.6200,2137697,0.0000
2018-01-19,6.3700,6.4700,6.1500,6.3000,6.3000,766167,0.0000
2018-01-12,6.2600,6.6200,6.0800,6.3700,6.3700,2110044,0.0000
2018-01-05,6.1000,6.3700,6.0000,6.2500,6.2500,1614398,0.0000
2017-12-29,5.8900,6.2300,5.8800,6.0700,6.0700,1884985,0.0000
2017-12-22,5.7200,6.3290,5.6700,5.9200,5.9200,3007188,0.0000
2017-12-15,5.6100,5.9850,5.5800,5.7200,5.7200,2959859,0.0000
2017-12-08,5.6900,5.7400,5.4000,5.6100,5.6100,2399009,0.0000
2017-12-01,5.6600,5.8200,5.5100,5.6600,5.6600,1866555,0.0000
2017-11-24,5.8000,5.9600,5.6000,5.6700,5.6700,1653990,0.0000
2017-11-17,6.1100,6.3000,5.5400,5.7600,5.7600,2862132,0.0000
