timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,6.8300,6.8900,6.3750,6.3900,6.3900,135112,0.0000
2019-04-05,6.6900,6.8800,6.6101,6.7850,6.7850,147311,0.0000
2019-03-29,6.9600,7.1000,6.6000,6.7200,6.7200,121588,0.0000
2019-03-22,7.4500,7.4500,6.9100,7.0000,7.0000,212691,0.0000
2019-03-15,7.0400,7.5000,6.8600,7.5000,7.5000,148574,0.0000
2019-03-08,7.4100,7.4500,7.0500,7.1300,7.1300,127416,0.0000
2019-03-01,7.3600,7.8500,7.0900,7.3450,7.3450,122545,0.0000
2019-02-22,7.7000,7.8450,7.3500,7.3800,7.3800,211147,0.0000
2019-02-15,6.9400,7.8796,6.9200,7.7400,7.7400,183200,0.0000
2019-02-08,6.8900,7.3600,6.8300,6.9400,6.9400,154907,0.0000
2019-02-01,7.0000,7.4500,6.6512,6.8300,6.8300,216747,0.0000
2019-01-25,6.9600,7.3800,6.7000,7.2200,7.2200,100976,0.0000
2019-01-18,7.3000,7.7900,7.1300,7.1300,7.1300,195577,0.0000
2019-01-11,7.5900,7.7151,6.7500,7.2600,7.2600,264512,0.0000
2019-01-04,5.8900,7.7052,5.8000,7.5800,7.5800,257361,0.0000
2018-12-28,5.5500,6.2500,5.4500,5.7800,5.7800,275613,0.0000
2018-12-21,6.2700,6.5500,5.5500,5.5500,5.5500,194348,0.0000
2018-12-14,6.9400,7.1852,6.2700,6.3600,6.3600,115440,0.0000
2018-12-07,7.4500,7.4500,6.4300,6.7400,6.7400,105963,0.0000
2018-11-30,6.3900,7.2490,6.1027,6.9500,6.9500,181805,0.0000
2018-11-23,6.5200,6.6400,6.2000,6.6400,6.6400,75558,0.0000
2018-11-16,7.1100,7.1220,6.3500,6.4800,6.4800,99804,0.0000
2018-11-09,6.9600,7.2200,6.5200,7.1600,7.1600,192747,0.0000
2018-11-02,7.1100,7.4100,6.0000,7.0600,7.0600,179057,0.0000
2018-10-26,7.4100,7.6743,7.0200,7.2100,7.2100,86663,0.0000
2018-10-19,7.4800,8.0000,7.3000,7.4100,7.4100,91633,0.0000
2018-10-12,7.7800,7.8000,7.3600,7.4000,7.4000,165433,0.0000
2018-10-05,7.7100,7.9200,7.7000,7.8200,7.8200,202646,0.0000
2018-09-28,7.5000,7.9000,7.5000,7.7500,7.7500,249017,0.0000
2018-09-21,7.9500,8.5000,7.3500,7.3500,7.3500,250488,0.0000
2018-09-14,8.2000,8.3500,7.8600,7.9000,7.9000,181813,0.0000
2018-09-07,8.6500,8.7500,8.3000,8.3000,8.3000,153098,0.0000
2018-08-31,8.6500,8.9500,8.3000,8.7500,8.7500,168143,0.0000
2018-08-24,8.9500,9.3000,8.4500,8.6500,8.6500,254892,0.0000
2018-08-17,8.8500,9.2500,8.7500,8.9500,8.9500,253130,0.0000
2018-08-10,8.0500,9.4450,7.9000,8.8500,8.8500,600845,0.0000
2018-08-03,7.3000,8.3000,7.1500,7.8500,7.8500,281474,0.0000
2018-07-27,7.3000,7.5500,7.2250,7.4000,7.4000,149751,0.0000
2018-07-20,7.4000,8.0000,7.3500,7.3500,7.3500,224849,0.0000
2018-07-13,7.3500,7.5500,7.1500,7.3000,7.3000,99874,0.0000
2018-07-06,7.3000,7.4500,7.0500,7.4500,7.4500,83306,0.0000
2018-06-29,7.0000,7.3000,6.9500,7.3000,7.3000,131560,0.0000
2018-06-22,7.1000,7.2500,7.0000,7.1000,7.1000,155501,0.0000
2018-06-15,7.0500,7.2000,7.0500,7.1000,7.1000,119699,0.0000
2018-06-08,7.1500,7.4000,7.0500,7.1000,7.1000,113924,0.0000
2018-06-01,7.8500,7.8500,7.2500,7.3500,7.3500,192763,0.0000
2018-05-25,6.8000,7.8500,6.7500,7.8000,7.8000,276404,0.0000
2018-05-18,7.0500,7.1500,6.7000,6.8500,6.8500,260218,0.0000
2018-05-11,7.5000,7.5656,7.1000,7.1500,7.1500,203403,0.0000
2018-05-04,7.2000,7.8000,7.0500,7.2500,7.2500,291947,0.0000
2018-04-27,7.2000,7.3500,6.9500,7.2000,7.2000,232330,0.0000
2018-04-20,7.2500,7.5000,6.9500,7.2000,7.2000,389899,0.0000
2018-04-13,6.0500,7.4500,5.7500,7.3500,7.3500,1525048,0.0000
2018-04-06,6.6000,6.9750,6.5000,6.6250,6.6250,358783,0.0000
2018-03-29,7.2000,7.5500,6.4000,6.6500,6.6500,442162,0.0000
2018-03-23,8.0500,8.2500,7.2500,7.2500,7.2500,344949,0.0000
2018-03-16,8.8000,8.8000,7.7500,8.3500,8.3500,602239,0.0000
2018-03-09,7.5500,8.9500,7.3968,8.6500,8.6500,440835,0.0000
2018-03-02,7.6000,7.9500,7.3500,7.5000,7.5000,281117,0.0000
2018-02-23,7.8000,8.0000,7.5000,7.6500,7.6500,246915,0.0000
2018-02-16,7.6500,8.1000,7.6500,7.8500,7.8500,168624,0.0000
2018-02-09,8.7000,8.7900,7.3100,7.6000,7.6000,381932,0.0000
2018-02-02,9.1500,9.1500,8.7000,8.8500,8.8500,211044,0.0000
2018-01-26,8.8500,9.0500,8.6000,9.0500,9.0500,317345,0.0000
2018-01-19,9.2000,9.3500,8.5500,9.1000,9.1000,228568,0.0000
2018-01-12,9.1500,9.5000,8.7000,8.9000,8.9000,417905,0.0000
2018-01-05,8.7500,9.3000,8.6500,9.1000,9.1000,199675,0.0000
2017-12-29,8.7500,8.7500,8.4000,8.6500,8.6500,166486,0.0000
2017-12-22,9.2000,9.2700,8.5500,8.8000,8.8000,306218,0.0000
2017-12-15,8.5500,9.0000,8.3500,8.6500,8.6500,302218,0.0000
2017-12-08,8.9000,9.1000,8.3000,8.6000,8.6000,291479,0.0000
2017-12-01,9.3000,9.5000,8.5000,8.9500,8.9500,293055,0.0000
2017-11-24,9.1500,9.7900,9.0500,9.5000,9.5000,433013,0.0000
2017-11-17,8.7500,9.6500,8.3000,9.2000,9.2000,474573,0.0000
2017-11-10,8.0000,9.6000,7.9000,8.8500,8.8500,721150,0.0000
2017-11-03,8.7500,8.9900,7.7000,8.1000,8.1000,614147,0.0000
2017-10-27,9.3000,9.3500,8.4000,8.8500,8.8500,981231,0.0000
2017-10-20,9.8000,10.0500,8.9000,8.9400,8.9400,1289109,0.0000
2017-10-13,9.5500,10.2500,9.4000,9.6500,9.6500,1776756,0.0000
2017-10-06,8.3000,8.8000,7.9900,8.5000,8.5000,401012,0.0000
2017-09-29,8.2500,8.4500,8.1500,8.3000,8.3000,240115,0.0000
2017-09-22,7.9500,8.2500,7.8500,8.2000,8.2000,123600,0.0000
2017-09-15,7.7000,7.9500,7.3500,7.9500,7.9500,197843,0.0000
2017-09-08,7.6500,7.7000,7.3400,7.5300,7.5300,129190,0.0000
2017-09-01,7.1500,7.7000,7.0000,7.6000,7.6000,156544,0.0000
2017-08-25,7.0000,7.3800,6.7500,7.2000,7.2000,165366,0.0000
2017-08-18,7.3500,7.6500,6.7500,6.9500,6.9500,260451,0.0000
2017-08-11,6.7500,7.9500,6.5781,7.2500,7.2500,386432,0.0000
2017-08-04,8.7000,9.4500,6.4000,7.1000,7.1000,604305,0.0000
2017-07-28,7.6000,9.5000,7.4100,8.5000,8.5000,684706,0.0000
2017-07-21,7.4500,7.9500,7.0500,7.6000,7.6000,420634,0.0000
2017-07-14,6.6500,7.3000,6.5600,7.2600,7.2600,1220684,0.0000
2017-07-07,6.7000,6.8000,6.5000,6.7500,6.7500,181320,0.0000
2017-06-30,6.9500,7.2500,6.6400,6.6500,6.6500,343283,0.0000
2017-06-23,6.8500,7.4500,6.6000,7.0000,7.0000,506665,0.0000
2017-06-16,8.1000,8.3000,6.8000,6.8000,6.8000,548437,0.0000
2017-06-09,8.2500,8.9500,7.9000,8.1500,8.1500,496190,0.0000
2017-06-02,7.5000,8.7000,7.5000,8.2050,8.2050,567774,0.0000
2017-05-26,8.0000,8.0500,7.1000,7.7000,7.7000,377497,0.0000
2017-05-19,8.0000,8.3500,7.5100,8.0000,8.0000,693459,0.0000
2017-05-12,7.4000,8.0000,7.2950,7.9000,7.9000,666808,0.0000
2017-05-05,7.1000,7.8000,6.7000,7.3000,7.3000,581463,0.0000
2017-04-28,6.9000,7.2500,6.6050,6.9500,6.9500,415106,0.0000
2017-04-21,6.3000,7.0000,6.0000,6.5500,6.5500,173221,0.0000
2017-04-13,6.3000,6.3500,6.0000,6.2750,6.2750,78887,0.0000
2017-04-07,6.3000,6.7000,5.9550,6.2000,6.2000,356121,0.0000
2017-03-31,6.3500,6.4500,6.0600,6.4000,6.4000,104458,0.0000
2017-03-24,6.3000,6.5000,5.5500,6.3000,6.3000,269937,0.0000
2017-03-17,6.6000,6.7500,6.0500,6.4000,6.4000,459838,0.0000
2017-03-10,5.2000,6.8500,4.7500,6.5000,6.5000,664881,0.0000
2017-03-03,5.0500,5.3000,4.8000,5.1849,5.1849,117217,0.0000
