timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,128.0100,131.3500,126.7600,129.6800,129.6800,944692,0.0000
2019-04-12,124.2400,129.9972,121.5900,128.0400,128.0400,2179183,0.0000
2019-04-05,118.3100,124.8900,115.4400,124.3600,124.3600,2397467,0.0000
2019-03-29,118.2300,123.3300,114.4000,117.6900,117.6900,4884469,0.0000
2019-03-22,125.2300,128.0800,118.8800,119.2500,119.2500,2727904,0.0000
2019-03-15,122.2000,127.3681,120.6400,124.7100,124.7100,3188654,0.0000
2019-03-08,130.3200,132.8800,118.6200,122.2000,122.2000,3953925,0.0000
2019-03-01,121.9400,129.9550,119.7550,129.5600,129.5600,3839844,0.0000
2019-02-22,117.4000,122.8900,115.2200,120.5000,120.5000,3661289,0.0000
2019-02-15,105.5000,119.4000,104.1000,119.3900,119.3900,5842198,0.0000
2019-02-08,89.2000,108.2000,87.8000,104.1700,104.1700,8977990,0.0000
2019-02-01,85.4900,92.4700,83.2900,89.0100,89.0100,3783803,0.0000
2019-01-25,89.1100,89.1100,84.2100,86.0200,86.0200,2117689,0.0000
2019-01-18,85.1000,90.8300,83.3700,89.5500,89.5500,2652064,0.0000
2019-01-11,83.7000,90.0300,83.7000,86.4400,86.4400,2363294,0.0000
2019-01-04,82.2700,84.2700,77.9800,83.3200,83.3200,2446641,0.0000
2018-12-28,73.6300,84.0499,73.0112,81.3200,81.3200,2253500,0.0000
2018-12-21,86.0000,87.9425,74.5500,75.4500,75.4500,3632981,0.0000
2018-12-14,90.5300,93.3800,84.6100,86.3700,86.3700,2929035,0.0000
2018-12-07,100.0000,103.6300,86.3000,90.8300,90.8300,3819746,0.0000
2018-11-30,93.3300,96.7100,86.4500,95.4000,95.4000,2986433,0.0000
2018-11-23,92.3200,93.1600,84.5000,91.9100,91.9100,1801494,0.0000
2018-11-16,94.8700,95.0418,86.4600,92.8500,92.8500,3493484,0.0000
2018-11-09,97.7400,101.2200,93.7500,96.0100,96.0100,3158215,0.0000
2018-11-02,81.5700,97.8250,76.1100,95.9800,95.9800,5497264,0.0000
2018-10-26,89.5200,94.4000,76.5000,79.7800,79.7800,11460775,0.0000
2018-10-19,91.0400,95.1000,88.1500,89.1100,89.1100,3133200,0.0000
2018-10-12,102.5000,104.0000,86.7800,90.6100,90.6100,4678766,0.0000
2018-10-05,111.3300,114.2200,102.7200,106.0600,106.0600,2761426,0.0000
2018-09-28,103.4300,111.6600,102.0300,109.9200,109.9200,2657429,0.0000
2018-09-21,108.8800,114.6800,103.8300,104.1100,104.1100,5536154,0.0000
2018-09-14,104.6300,109.8900,101.0000,108.7200,108.7200,3063932,0.0000
2018-09-07,111.1000,116.5200,99.7301,103.3900,103.3900,4586302,0.0000
2018-08-31,108.9000,118.7500,108.2200,113.5000,113.5000,5640829,0.0000
2018-08-24,94.7500,108.1600,93.2400,108.0700,108.0700,5727305,0.0000
2018-08-17,86.2000,95.0700,85.3600,94.7700,94.7700,2916147,0.0000
2018-08-10,81.5500,88.4900,81.5500,86.5000,86.5000,3177249,0.0000
2018-08-03,79.8700,83.4700,76.0900,81.7400,81.7400,3262519,0.0000
