timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,3.4700,3.4700,3.2600,3.3800,3.3800,30936,0.0000
2019-04-05,3.0400,3.4700,3.0100,3.4600,3.4600,97805,0.0000
2019-03-29,3.1000,3.1600,3.0100,3.0100,3.0100,10833,0.0000
2019-03-22,2.9500,3.1600,2.7500,3.1300,3.1300,38992,0.0000
2019-03-15,3.0986,3.2200,2.8200,2.8200,2.8200,13616,0.0000
2019-03-08,3.1400,3.1400,3.0100,3.0300,3.0300,35166,0.0000
2019-03-01,3.1100,3.1500,3.0100,3.1300,3.1300,37078,0.0000
2019-02-22,2.6600,3.1100,2.6600,3.1100,3.1100,57375,0.0000
2019-02-15,2.4625,2.8000,2.4000,2.6500,2.6500,93137,0.0000
2019-02-08,2.1700,2.4500,2.1200,2.3900,2.3900,102061,0.0000
2019-02-01,2.1400,2.2292,2.0479,2.1900,2.1900,153432,0.0000
2019-01-25,2.1700,2.1900,2.0800,2.1000,2.1000,112562,0.0000
2019-01-18,2.1600,2.3100,2.1300,2.1600,2.1600,53100,0.0000
2019-01-11,2.2300,2.3600,2.0900,2.1900,2.1900,63688,0.0000
2019-01-04,2.0963,2.3800,2.0900,2.2100,2.2100,89675,0.0000
2018-12-28,2.1200,2.2500,2.0700,2.1723,2.1723,120549,0.0000
2018-12-21,2.0400,2.2689,2.0200,2.1200,2.1200,191197,0.0000
2018-12-14,2.0300,2.1900,2.0200,2.1798,2.1798,296277,0.0000
2018-12-07,2.0700,2.1494,2.0270,2.0500,2.0500,93326,0.0000
2018-11-30,2.1000,2.2500,2.0200,2.0500,2.0500,63635,0.0000
2018-11-23,2.1300,2.2200,2.0500,2.1400,2.1400,26294,0.0000
2018-11-16,2.3000,2.3400,2.0900,2.1200,2.1200,171781,0.0000
2018-11-09,2.4200,2.4200,2.3117,2.3357,2.3357,44436,0.0000
2018-11-02,2.4500,2.4500,2.3700,2.3700,2.3700,48289,0.0000
2018-10-26,2.4100,2.4500,2.3600,2.4280,2.4280,53563,0.0000
2018-10-19,2.4900,2.5000,2.4200,2.4394,2.4394,74244,0.0000
2018-10-12,2.4500,2.6501,2.4200,2.4679,2.4679,101032,0.0000
2018-10-05,2.5800,2.5800,2.3800,2.4800,2.4800,68722,0.0000
2018-09-28,2.6090,2.6099,2.4500,2.5400,2.5400,84339,0.0000
2018-09-21,2.5300,2.6199,2.4500,2.5900,2.5900,52171,0.0000
2018-09-14,2.6200,2.6900,2.4900,2.5400,2.5400,64104,0.0000
2018-09-07,2.7218,2.7400,2.6200,2.6537,2.6537,15297,0.0000
2018-08-31,2.6900,2.8500,2.6532,2.6900,2.6900,14633,0.0000
2018-08-24,2.6117,2.8300,2.5000,2.7100,2.7100,126642,0.0000
2018-08-17,2.6600,2.7000,2.4700,2.6000,2.6000,101925,0.0000
2018-08-10,2.9000,2.9800,2.4601,2.6800,2.6800,115136,0.0000
2018-08-03,2.9700,3.0000,2.9000,2.9000,2.9000,30542,0.0000
2018-07-27,2.9600,2.9900,2.9514,2.9900,2.9900,10785,0.0000
2018-07-20,3.0003,3.0500,2.9400,2.9900,2.9900,26076,0.0000
2018-07-13,2.9800,3.0500,2.9000,3.0500,3.0500,44570,0.0000
2018-07-06,2.9300,3.0300,2.9200,2.9600,2.9600,6292,0.0000
2018-06-29,2.9000,2.9627,2.8750,2.9100,2.9100,27973,0.0000
2018-06-22,2.8814,3.0300,2.8500,3.0000,3.0000,62734,0.0000
2018-06-15,2.9000,2.9554,2.8500,2.8600,2.8600,59110,0.0000
2018-06-08,2.8600,3.0400,2.8600,2.9100,2.9100,63343,0.0000
2018-06-01,2.9500,2.9700,2.8000,2.9400,2.9400,49187,0.0000
2018-05-25,3.0000,3.0200,2.8600,2.9800,2.9800,64492,0.0000
2018-05-18,3.0800,3.0800,2.8500,2.9600,2.9600,86244,0.0000
2018-05-11,3.3300,3.4400,2.8000,3.0494,3.0494,149673,0.0000
2018-05-04,3.5500,3.7500,3.2100,3.4900,3.4900,47990,0.0000
2018-04-27,3.7700,3.7900,3.5500,3.5700,3.5700,31452,0.0000
2018-04-20,3.5900,3.7900,3.5200,3.7400,3.7400,101663,0.0000
2018-04-13,3.4700,3.5600,3.4600,3.5400,3.5400,26945,0.0000
2018-04-06,3.5601,3.6200,3.4601,3.5300,3.5300,53072,0.0000
2018-03-29,3.6300,3.7000,3.5110,3.5300,3.5300,19197,0.0000
2018-03-23,3.6700,3.7400,3.5200,3.6100,3.6100,36596,0.0000
2018-03-16,3.7000,3.8000,3.6500,3.6500,3.6500,79531,0.0000
2018-03-09,3.2500,3.7000,3.2500,3.6300,3.6300,90774,0.0000
2018-03-02,3.1900,3.2700,3.1700,3.2700,3.2700,70894,0.0000
2018-02-23,3.2400,3.2400,2.9951,3.1400,3.1400,41699,0.0000
2018-02-16,2.9710,3.3300,2.9200,3.1800,3.1800,202691,0.0000
2018-02-09,2.9900,3.1100,2.9000,2.9500,2.9500,54849,0.0000
2018-02-02,3.0700,3.1600,2.9500,3.1000,3.1000,90246,0.0000
2018-01-26,3.0600,3.1900,2.9500,3.0200,3.0200,76174,0.0000
2018-01-19,3.2101,3.3100,2.9613,3.0700,3.0700,31067,0.0000
2018-01-12,3.0500,3.3000,3.0471,3.2100,3.2100,111885,0.0000
2018-01-05,2.9400,3.1800,2.9055,3.1500,3.1500,133478,0.0000
2017-12-29,2.9200,2.9700,2.8200,2.9400,2.9400,122721,0.0000
2017-12-22,2.6400,2.9200,2.6400,2.9200,2.9200,164855,0.0000
2017-12-15,3.0700,3.1500,2.6000,2.6200,2.6200,538014,0.0000
2017-12-08,3.0100,3.1500,2.8901,3.0600,3.0600,196509,0.0000
2017-12-01,3.1000,3.1000,2.8400,3.0800,3.0800,66072,0.0000
2017-11-24,3.0300,3.2400,2.9600,3.0900,3.0900,49424,0.0000
