timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,0.5200,0.6400,0.5200,0.5801,0.5801,583941,0.0000
2019-04-12,0.7140,0.7198,0.5000,0.5230,0.5230,550980,0.0000
2019-04-05,0.9200,0.9637,0.6035,0.6800,0.6800,463602,0.0000
2019-03-29,1.0000,1.0400,0.8800,0.9100,0.9100,266862,0.0000
2019-03-22,1.0600,1.1000,0.9550,0.9900,0.9900,203817,0.0000
2019-03-15,1.0000,1.2300,0.9500,1.0000,1.0000,426644,0.0000
2019-03-08,1.0000,1.0000,0.9250,0.9700,0.9700,82996,0.0000
2019-03-01,0.9800,0.9990,0.9250,0.9700,0.9700,58887,0.0000
2019-02-22,0.9000,1.0000,0.8800,0.9800,0.9800,97179,0.0000
2019-02-15,0.9892,1.0400,0.8800,0.9300,0.9300,328481,0.0000
2019-02-08,1.1000,1.1600,0.9268,0.9750,0.9750,107722,0.0000
2019-02-01,1.1000,1.1992,1.0000,1.0500,1.0500,141091,0.0000
2019-01-25,1.1400,1.2500,1.1000,1.1000,1.1000,42621,0.0000
2019-01-18,1.2200,1.2800,1.1000,1.1800,1.1800,120135,0.0000
2019-01-11,1.3200,1.3590,1.1100,1.2500,1.2500,71597,0.0000
2019-01-04,1.0700,1.5000,1.0101,1.2900,1.2900,84556,0.0000
2018-12-28,1.4600,1.5079,1.0700,1.0700,1.0700,220088,0.0000
2018-12-21,1.5500,1.5900,1.4500,1.5050,1.5050,43616,0.0000
2018-12-14,1.5900,1.6000,1.4500,1.5200,1.5200,43847,0.0000
2018-12-07,1.5000,1.6325,1.4500,1.5450,1.5450,53139,0.0000
2018-11-30,1.6300,1.6700,1.5000,1.5000,1.5000,95600,0.0000
2018-11-23,1.6900,1.7600,1.6000,1.6500,1.6500,34763,0.0000
2018-11-16,1.8000,1.9000,1.6539,1.6800,1.6800,50040,0.0000
2018-11-09,1.9000,2.2356,1.4566,1.8200,1.8200,234088,0.0000
2018-11-02,1.8808,1.9993,1.7600,1.9100,1.9100,93813,0.0000
2018-10-26,2.0179,2.1203,1.8510,1.9000,1.9000,57126,0.0000
2018-10-19,2.2800,2.3391,2.0900,2.0900,2.0900,96831,0.0000
2018-10-12,2.2300,2.3500,2.1200,2.2900,2.2900,58924,0.0000
2018-10-05,2.3200,2.4900,2.1599,2.2700,2.2700,73674,0.0000
2018-09-28,2.4000,2.5000,2.2500,2.3000,2.3000,101589,0.0000
2018-09-21,2.5000,2.5500,2.4000,2.4000,2.4000,107954,0.0000
2018-09-14,2.5500,2.5800,2.4050,2.4500,2.4500,181684,0.0000
2018-09-07,2.5500,2.5500,2.4000,2.5000,2.5000,61235,0.0000
2018-08-31,2.5500,2.5500,2.4000,2.5500,2.5500,88853,0.0000
2018-08-24,2.5500,2.5500,2.5000,2.5500,2.5500,113732,0.0000
2018-08-17,2.4000,2.6000,2.3500,2.5500,2.5500,160287,0.0000
2018-08-10,2.3000,2.5500,2.3000,2.4000,2.4000,199667,0.0000
2018-08-03,2.3000,2.3500,2.3000,2.3000,2.3000,52723,0.0000
2018-07-27,2.3750,2.4000,2.2750,2.3500,2.3500,45835,0.0000
2018-07-20,2.4500,2.4500,2.3000,2.4000,2.4000,39914,0.0000
2018-07-13,2.6400,2.7000,2.3950,2.4000,2.4000,60367,0.0000
2018-07-06,2.3500,2.6500,2.3500,2.6250,2.6250,79168,0.0000
2018-06-29,2.2000,2.4500,2.2000,2.3500,2.3500,126589,0.0000
2018-06-22,2.3000,2.5000,2.2500,2.2500,2.2500,149070,0.0000
2018-06-15,2.9000,2.9000,2.1500,2.3000,2.3000,673317,0.0000
2018-06-08,2.8000,2.9500,2.7000,2.9000,2.9000,167639,0.0000
2018-06-01,2.8500,2.8500,2.7000,2.7500,2.7500,142525,0.0000
2018-05-25,2.9000,3.0000,2.5050,2.8000,2.8000,313740,0.0000
2018-05-18,2.6500,3.0000,2.5550,2.9000,2.9000,626925,0.0000
2018-05-11,2.0000,2.6500,1.9000,2.6000,2.6000,707882,0.0000
2018-05-04,1.7500,2.9500,1.5500,2.0500,2.0500,2099190,0.0000
2018-04-27,1.7500,1.8000,1.7000,1.7000,1.7000,69438,0.0000
2018-04-20,1.9000,1.9000,1.6130,1.7500,1.7500,242188,0.0000
2018-04-13,1.9000,1.9500,1.8000,1.8550,1.8550,78918,0.0000
2018-04-06,1.9450,1.9500,1.8000,1.8500,1.8500,104460,0.0000
2018-03-29,1.9500,1.9500,1.7500,1.9000,1.9000,119160,0.0000
2018-03-23,2.2000,2.3100,1.8000,1.9000,1.9000,218721,0.0000
2018-03-16,2.0500,2.2500,2.0000,2.2000,2.2000,152282,0.0000
2018-03-09,1.9500,2.2000,1.8705,2.0500,2.0500,246377,0.0000
2018-03-02,2.1000,2.1500,1.7500,1.9500,1.9500,271078,0.0000
2018-02-23,1.9500,2.2000,1.9000,2.0950,2.0950,309100,0.0000
2018-02-16,1.6000,1.9500,1.5500,1.9250,1.9250,269351,0.0000
2018-02-09,1.6500,1.7000,1.5500,1.5500,1.5500,230849,0.0000
2018-02-02,1.7500,1.8000,1.6500,1.6500,1.6500,180554,0.0000
2018-01-26,1.6500,1.7600,1.6000,1.7500,1.7500,286684,0.0000
2018-01-19,1.8500,1.8500,1.6000,1.7000,1.7000,356861,0.0000
2018-01-12,1.8500,1.8500,1.7000,1.8000,1.8000,405466,0.0000
2018-01-05,1.8000,1.9250,1.7500,1.8000,1.8000,458060,0.0000
2017-12-29,1.9500,2.0000,1.7000,1.7500,1.7500,1411395,0.0000
2017-12-22,1.9000,1.9500,1.6250,1.8750,1.8750,1375189,0.0000
2017-12-15,1.9500,2.0500,1.9000,1.9500,1.9500,478919,0.0000
2017-12-08,2.1500,2.2000,1.9000,1.9250,1.9250,384705,0.0000
2017-12-01,2.1000,2.2288,1.9500,2.1250,2.1250,414292,0.0000
2017-11-24,2.2000,2.3400,1.9000,2.0000,2.0000,517513,0.0000
2017-11-17,2.1500,2.1500,1.9000,2.1000,2.1000,479222,0.0000
2017-11-10,2.9000,3.0000,2.0000,2.0500,2.0500,607955,0.0000
2017-11-03,3.5500,3.6000,2.6500,2.9000,2.9000,183845,0.0000
2017-10-27,3.5500,3.6000,3.2000,3.5000,3.5000,245557,0.0000
2017-10-20,3.7500,4.0500,3.5000,3.5000,3.5000,249608,0.0000
2017-10-13,3.7500,4.0000,3.7500,3.8000,3.8000,179880,0.0000
2017-10-06,3.8000,4.0500,3.7500,3.7500,3.7500,266765,0.0000
2017-09-29,4.3000,4.4000,3.8000,3.8000,3.8000,268015,0.0000
2017-09-22,3.9000,4.5000,3.7000,4.3000,4.3000,664561,0.0000
2017-09-15,3.2000,5.0000,3.2000,3.9500,3.9500,1844194,0.0000
2017-09-08,3.2000,3.5000,3.0000,3.1500,3.1500,391652,0.0000
2017-09-01,3.2000,3.6000,2.6000,3.4500,3.4500,1413654,0.0000
2017-08-25,2.4500,3.3100,2.3500,3.1500,3.1500,1073649,0.0000
2017-08-18,2.0700,2.7500,2.0000,2.5000,2.5000,918380,0.0000
2017-08-11,1.5500,2.1500,1.5200,2.0000,2.0000,1918077,0.0000
2017-08-04,2.6500,2.7400,1.5000,1.5000,1.5000,2462274,0.0000
2017-07-28,2.7500,2.8500,2.6400,2.6500,2.6500,352970,0.0000
2017-07-21,2.7500,2.9500,2.5500,2.7000,2.7000,642023,0.0000
2017-07-14,3.0500,3.2000,2.5000,2.6500,2.6500,1067007,0.0000
2017-07-07,3.6000,3.7500,3.0000,3.0000,3.0000,538917,0.0000
2017-06-30,3.7500,3.8500,3.4200,3.7000,3.7000,545232,0.0000
2017-06-23,3.3500,3.8500,3.2000,3.7000,3.7000,1576891,0.0000
2017-06-16,3.8000,4.0000,3.3000,3.3500,3.3500,1112770,0.0000
2017-06-09,4.0500,4.1500,3.5000,3.8000,3.8000,860530,0.0000
2017-06-02,4.0000,4.2000,3.8000,4.0500,4.0500,331385,0.0000
2017-05-26,4.2000,4.3000,3.9500,4.0500,4.0500,628896,0.0000
2017-05-19,5.0000,5.0500,4.2000,4.2500,4.2500,750004,0.0000
2017-05-12,5.4000,5.4000,4.5500,5.0000,5.0000,935900,0.0000
2017-05-05,5.7000,5.7800,5.3100,5.3500,5.3500,713500,0.0000
2017-04-28,5.5000,6.1000,5.4000,5.7000,5.7000,396200,0.0000
2017-04-21,5.5000,5.5500,5.2000,5.4000,5.4000,555300,0.0000
2017-04-13,5.6500,5.7000,5.4500,5.4500,5.4500,203800,0.0000
2017-04-07,6.2500,6.5000,5.3500,5.6500,5.6500,862500,0.0000
2017-03-31,5.8000,6.5000,5.8000,6.3000,6.3000,708800,0.0000
2017-03-24,6.2000,6.3000,5.7500,5.8000,5.8000,669800,0.0000
2017-03-17,6.2500,6.4000,6.0000,6.2500,6.2500,319100,0.0000
2017-03-10,6.1000,6.5000,6.1000,6.2500,6.2500,853200,0.0000
2017-03-03,7.9000,7.9000,6.1300,6.1500,6.1500,1079400,0.0000
2017-02-24,8.3500,8.3500,7.6500,7.9000,7.9000,285700,0.0000
2017-02-17,8.8000,8.8000,8.2000,8.3000,8.3000,325700,0.0000
2017-02-10,8.7000,9.5000,8.5000,8.7500,8.7500,524100,0.0000
2017-02-03,9.0000,9.3500,8.3500,8.7500,8.7500,563300,0.0000
2017-01-27,8.6500,9.9250,8.5500,9.1000,9.1000,568500,0.0000
2017-01-20,9.5500,9.5500,8.6000,8.6500,8.6500,376200,0.0000
2017-01-13,12.1000,12.1000,9.4500,9.5000,9.5000,776500,0.0000
2017-01-06,12.7000,13.1000,11.9000,12.0500,12.0500,228000,0.0000
2016-12-30,12.6500,13.0000,12.4000,12.5500,12.5500,119600,0.0000
2016-12-23,13.0500,13.2000,12.3900,12.7500,12.7500,195400,0.0000
2016-12-16,12.8000,13.5000,12.7250,13.1500,13.1500,195000,0.0000
2016-12-09,12.4500,13.0000,11.8000,12.7500,12.7500,158300,0.0000
2016-12-02,12.5000,13.0950,11.5000,11.7500,11.7500,319600,0.0000
2016-11-25,11.7500,12.6500,11.1000,12.6500,12.6500,223400,0.0000
2016-11-18,11.6000,12.4500,11.1500,11.7500,11.7500,225700,0.0000
2016-11-11,10.3000,11.4500,10.0000,11.4500,11.4500,492300,0.0000
2016-11-04,10.9500,10.9500,9.7500,10.1000,10.1000,547300,0.0000
2016-10-28,11.6000,11.7500,10.5000,10.9000,10.9000,365300,0.0000
2016-10-21,11.3500,11.9500,11.1000,11.5000,11.5000,271000,0.0000
2016-10-14,11.9100,12.1650,11.0500,11.2500,11.2500,348900,0.0000
2016-10-07,12.4700,12.5500,11.7900,11.8100,11.8100,595300,0.0000
2016-09-30,13.8700,14.0700,12.4200,12.5700,12.5700,448900,0.0000
2016-09-23,13.9000,14.0900,13.4300,13.9700,13.9700,274900,0.0000
2016-09-16,13.7800,14.1350,13.2500,13.9700,13.9700,317900,0.0000
2016-09-09,13.2300,14.4400,13.2100,13.8600,13.8600,391000,0.0000
2016-09-02,12.6200,13.4000,12.5000,13.3200,13.3200,444200,0.0000
2016-08-26,12.7300,13.3800,12.0410,12.9000,12.9000,381400,0.0000
2016-08-19,11.8700,12.8000,11.8700,12.7000,12.7000,394000,0.0000
2016-08-12,12.3200,12.6200,11.5900,11.8800,11.8800,967700,0.0000
2016-08-05,12.4800,12.5800,11.9908,12.0200,12.0200,571200,0.0000
2016-07-29,11.4700,13.0700,10.5701,12.5000,12.5000,942100,0.0000
2016-07-22,11.2600,11.5600,11.1100,11.5300,11.5300,277900,0.0000
2016-07-15,10.9900,11.7100,10.8300,11.2600,11.2600,443900,0.0000
2016-07-08,10.8500,11.0200,9.9000,10.9700,10.9700,639300,0.0000
2016-07-01,11.6100,11.8600,10.2500,10.9300,10.9300,656800,0.0000
2016-06-24,12.7100,12.8500,11.4000,11.8200,11.8200,586300,0.0000
2016-06-17,12.4600,13.0100,12.0900,12.4700,12.4700,748600,0.0000
2016-06-10,12.6200,13.3600,12.3000,12.4500,12.4500,551200,0.0000
2016-06-03,12.3500,12.8350,11.8800,12.6100,12.6100,371700,0.0000
