timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-17,0.2980,0.3149,0.2650,0.2899,0.2899,612642,0.0000
2019-04-12,0.2901,0.3189,0.2803,0.3121,0.3121,1785227,0.0000
2019-04-05,0.2810,0.3092,0.2805,0.2939,0.2939,890466,0.0000
2019-03-29,0.3010,0.3010,0.2521,0.2909,0.2909,974939,0.0000
2019-03-22,0.3240,0.3300,0.3000,0.3100,0.3100,862064,0.0000
2019-03-15,0.3449,0.3541,0.3050,0.3151,0.3151,499462,0.0000
2019-03-08,0.3500,0.3759,0.3300,0.3400,0.3400,397266,0.0000
2019-03-01,0.4000,0.4200,0.3500,0.3545,0.3545,702655,0.0000
2019-02-22,0.3675,0.4099,0.3500,0.3800,0.3800,1130253,0.0000
2019-02-15,0.3600,0.3699,0.3306,0.3500,0.3500,253359,0.0000
2019-02-08,0.3760,0.3800,0.3301,0.3408,0.3408,287652,0.0000
2019-02-01,0.3260,0.3800,0.3260,0.3581,0.3581,632525,0.0000
2019-01-25,0.3110,0.3300,0.3000,0.3282,0.3282,359422,0.0000
2019-01-18,0.3300,0.3300,0.3000,0.3010,0.3010,328418,0.0000
2019-01-11,0.3300,0.3300,0.2977,0.3200,0.3200,536715,0.0000
2019-01-04,0.2750,0.3578,0.2500,0.3100,0.3100,849499,0.0000
2018-12-28,0.2400,0.3200,0.2100,0.2750,0.2750,506527,0.0000
2018-12-21,0.3000,0.3196,0.2306,0.2310,0.2310,1146400,0.0000
2018-12-14,0.3200,0.3400,0.2905,0.2979,0.2979,435210,0.0000
2018-12-07,0.3385,0.3592,0.3100,0.3100,0.3100,599694,0.0000
2018-11-30,0.3500,0.3530,0.3000,0.3246,0.3246,967207,0.0000
2018-11-23,0.3100,0.4700,0.3100,0.3403,0.3403,11265764,0.0000
2018-11-16,0.2900,0.3640,0.2700,0.3040,0.3040,2184077,0.0000
2018-11-09,0.2970,0.3150,0.2800,0.2906,0.2906,510609,0.0000
2018-11-02,0.3330,0.3360,0.2611,0.2982,0.2982,1065973,0.0000
2018-10-26,0.3750,0.3809,0.3305,0.3360,0.3360,580783,0.0000
2018-10-19,0.3724,0.4080,0.3500,0.3650,0.3650,1811963,0.0000
2018-10-12,0.4283,0.4283,0.3232,0.3547,0.3547,1175221,0.0000
2018-10-05,0.3300,0.4500,0.3202,0.4155,0.4155,3401736,0.0000
2018-09-28,0.3877,0.3900,0.3200,0.3214,0.3214,1657536,0.0000
2018-09-21,0.4260,0.4399,0.3808,0.3918,0.3918,993546,0.0000
2018-09-14,0.4336,0.4735,0.3800,0.4260,0.4260,1806697,0.0000
2018-09-07,0.4490,0.5049,0.3802,0.4201,0.4201,2575362,0.0000
2018-08-31,0.2949,0.5250,0.2885,0.4389,0.4389,9983206,0.0000
2018-08-24,0.2830,0.3195,0.2200,0.2949,0.2949,2129503,0.0000
2018-08-17,0.3550,0.3800,0.2600,0.2810,0.2810,1546359,0.0000
2018-08-10,0.3907,0.4000,0.2919,0.3361,0.3361,1472221,0.0000
2018-08-03,0.4090,0.4150,0.3600,0.3872,0.3872,545382,0.0000
2018-07-27,0.4160,0.4300,0.3850,0.4000,0.4000,766776,0.0000
2018-07-20,0.5100,0.5200,0.4131,0.4200,0.4200,2476945,0.0000
2018-07-13,0.4472,0.5200,0.3830,0.4590,0.4590,3060378,0.0000
2018-07-06,0.4280,0.4690,0.3860,0.4338,0.4338,1062185,0.0000
2018-06-29,0.4593,0.4751,0.3690,0.4150,0.4150,2742962,0.0000
2018-06-22,0.5500,0.5688,0.4250,0.4373,0.4373,6808107,0.0000
2018-06-15,0.5100,0.5800,0.4900,0.5294,0.5294,14204050,0.0000
2018-06-08,0.4975,0.5295,0.4450,0.5100,0.5100,2723759,0.0000
2018-06-01,0.4651,0.5060,0.4211,0.4740,0.4740,1378062,0.0000
2018-05-25,0.5400,0.5600,0.4601,0.4651,0.4651,6934724,0.0000
2018-05-18,0.9751,1.1700,0.4996,0.5201,0.5201,9980920,0.0000
2018-05-11,1.5400,1.6800,1.0100,1.0700,1.0700,1373067,0.0000
2018-05-04,1.5200,1.5600,1.4500,1.4900,1.4900,396371,0.0000
2018-04-27,1.6200,1.6660,1.3600,1.4800,1.4800,550143,0.0000
2018-04-20,1.6500,1.8000,1.5000,1.6400,1.6400,628947,0.0000
2018-04-13,1.5000,1.6794,1.4500,1.5800,1.5800,1013274,0.0000
2018-04-06,2.0100,2.3990,1.5000,1.6600,1.6600,1111089,0.0000
2018-03-29,2.3000,2.3000,1.9200,2.0101,2.0101,631142,0.0000
2018-03-23,2.9100,2.9500,2.6702,2.6800,2.6800,151271,0.0000
2018-03-16,2.9600,3.3400,2.7000,2.8100,2.8100,518259,0.0000
2018-03-09,2.8300,3.0500,2.8300,3.0000,3.0000,104093,0.0000
2018-03-02,2.9900,2.9900,2.7900,2.8300,2.8300,53692,0.0000
2018-02-23,2.9700,2.9999,2.8000,2.8600,2.8600,52954,0.0000
2018-02-16,2.5900,3.0200,2.5448,2.9400,2.9400,231943,0.0000
2018-02-09,2.7800,2.8900,2.5700,2.5700,2.5700,219601,0.0000
2018-02-02,2.9200,2.9400,2.7000,2.8000,2.8000,183473,0.0000
2018-01-26,3.0200,3.2000,2.9201,2.9499,2.9499,200322,0.0000
2018-01-19,3.2000,3.2000,2.9210,3.0000,3.0000,205894,0.0000
2018-01-12,3.2500,3.9200,3.1000,3.1395,3.1395,1683276,0.0000
2018-01-05,3.0700,3.8000,3.0310,3.2100,3.2100,840214,0.0000
2017-12-29,2.8800,3.2000,2.7700,3.0000,3.0000,277871,0.0000
2017-12-22,2.6300,2.9638,2.6300,2.8600,2.8600,240851,0.0000
2017-12-15,2.8800,2.8800,2.6200,2.6400,2.6400,150286,0.0000
2017-12-08,2.9400,2.9700,2.7200,2.8476,2.8476,235077,0.0000
2017-12-01,3.6400,3.9700,2.8000,2.9400,2.9400,986804,0.0000
2017-11-24,3.4000,4.1400,3.1700,3.6500,3.6500,596103,0.0000
2017-11-17,3.7000,4.0600,3.0100,3.4300,3.4300,818990,0.0000
2017-11-10,3.8700,3.9200,3.5800,3.6600,3.6600,158721,0.0000
2017-11-03,4.0000,4.0300,3.8400,3.8800,3.8800,110327,0.0000
2017-10-27,3.9300,4.1000,3.8900,3.9300,3.9300,65297,0.0000
2017-10-20,3.9500,4.1300,3.8600,3.9600,3.9600,94879,0.0000
2017-10-13,4.5000,4.6300,3.9500,3.9700,3.9700,312978,0.0000
2017-10-06,3.5900,6.4400,3.5800,4.5300,4.5300,4508034,0.0000
2017-09-29,3.5100,3.6000,3.4000,3.5600,3.5600,32699,0.0000
2017-09-22,3.4100,3.7500,3.2400,3.5900,3.5900,172337,0.0000
2017-09-15,3.3100,3.4000,3.1600,3.4000,3.4000,58845,0.0000
2017-09-08,3.4200,3.4400,3.2100,3.3100,3.3100,61716,0.0000
2017-09-01,3.3800,3.4900,3.2200,3.4300,3.4300,77209,0.0000
2017-08-25,3.3900,3.4600,3.0600,3.3500,3.3500,112653,0.0000
2017-08-18,3.1500,3.4500,3.1300,3.3300,3.3300,82174,0.0000
2017-08-11,3.4500,3.5000,3.0000,3.1000,3.1000,176369,0.0000
2017-08-04,3.7500,3.7900,3.3100,3.4700,3.4700,331853,0.0000
2017-07-28,3.6300,4.2400,3.4400,3.8500,3.8500,3250866,0.0000
2017-07-21,3.4600,3.7500,3.4600,3.5600,3.5600,62727,0.0000
2017-07-14,3.7000,3.8500,3.2800,3.5200,3.5200,1414417,0.0000
2017-07-07,3.1300,3.2500,3.1000,3.2200,3.2200,39832,0.0000
2017-06-30,3.1000,3.2200,3.0900,3.1700,3.1700,67434,0.0000
2017-06-23,3.0200,3.1200,2.9200,3.1200,3.1200,81431,0.0000
2017-06-16,3.0400,3.0700,2.9400,2.9400,2.9400,71361,0.0000
2017-06-09,3.0400,3.1100,3.0100,3.0300,3.0300,60993,0.0000
2017-06-02,3.1500,3.1600,3.0100,3.0400,3.0400,103410,0.0000
2017-05-26,3.0600,3.1500,3.0100,3.1200,3.1200,68725,0.0000
2017-05-19,3.1300,3.1800,3.0000,3.0200,3.0200,89962,0.0000
2017-05-12,3.2200,3.3000,2.8400,3.0600,3.0600,131581,0.0000
2017-05-05,3.0500,3.2800,3.0300,3.2300,3.2300,120227,0.0000
2017-04-28,3.1000,3.1800,2.9500,3.0900,3.0900,117063,0.0000
2017-04-21,3.0600,3.2200,3.0200,3.0600,3.0600,68933,0.0000
2017-04-13,3.2200,3.2800,3.0100,3.0600,3.0600,90532,0.0000
2017-04-07,3.2900,3.3700,3.0500,3.1400,3.1400,209632,0.0000
2017-03-31,3.0700,3.5500,3.0300,3.2500,3.2500,464850,0.0000
2017-03-24,3.2000,3.2900,2.9300,3.0700,3.0700,283695,0.0000
2017-03-17,2.9200,3.8000,2.7900,3.0600,3.0600,619520,0.0000
2017-03-10,2.7500,2.9500,2.7200,2.9000,2.9000,192772,0.0000
2017-03-03,2.9000,3.0000,2.8800,2.9300,2.9300,143866,0.0000
2017-02-24,2.9600,3.0000,2.8000,2.8900,2.8900,99510,0.0000
2017-02-17,3.0100,3.3900,2.7800,2.9500,2.9500,308536,0.0000
2017-02-10,3.0300,3.0500,2.9200,3.0100,3.0100,100708,0.0000
2017-02-03,2.9700,3.1500,2.9000,3.0300,3.0300,273429,0.0000
2017-01-27,2.7900,3.0800,2.7900,2.9600,2.9600,134982,0.0000
2017-01-20,3.1000,3.1550,2.7500,2.7600,2.7600,315919,0.0000
2017-01-13,3.3000,3.4007,2.9600,3.0200,3.0200,386393,0.0000
2017-01-06,3.4400,4.5500,3.1300,3.3100,3.3100,1483520,0.0000
2016-12-30,2.5500,4.8399,2.5300,3.4500,3.4500,7148441,0.0000
2016-12-23,2.7900,2.9054,2.4100,2.5200,2.5200,136015,0.0000
2016-12-16,3.0400,3.1100,2.7400,2.7400,2.7400,154553,0.0000
2016-12-09,3.0400,3.2000,2.9500,3.1300,3.1300,175099,0.0000
2016-12-02,3.1000,3.1900,2.8800,3.0900,3.0900,143040,0.0000
2016-11-25,3.2100,3.4200,2.8639,3.0600,3.0600,433361,0.0000
2016-11-18,3.0000,3.7000,2.7000,3.2100,3.2100,384019,0.0000
2016-11-11,3.0600,3.0759,2.6182,3.0000,3.0000,228829,0.0000
2016-11-04,3.1900,3.1900,2.7100,2.9500,2.9500,400061,0.0000
2016-10-28,3.8700,4.6000,3.0156,3.1100,3.1100,7250479,0.0000
2016-10-21,3.1400,3.2700,2.9100,3.0700,3.0700,265897,0.0000
2016-10-14,3.4700,3.6201,3.1200,3.1700,3.1700,351865,0.0000
2016-10-07,3.9000,3.9600,3.4500,3.4504,3.4504,247682,0.0000
2016-09-30,3.9800,4.1400,3.9200,3.9200,3.9200,208260,0.0000
2016-09-23,4.0700,4.3400,3.9000,3.9900,3.9900,354624,0.0000
2016-09-16,4.0100,4.2500,3.8500,3.9500,3.9500,269584,0.0000
2016-09-09,4.1000,4.3800,3.9100,4.0600,4.0600,514997,0.0000
2016-09-02,3.8800,4.3500,3.8300,4.1000,4.1000,716165,0.0000
2016-08-26,4.1800,4.9200,3.6500,3.9100,3.9100,3089085,0.0000
2016-08-19,3.9600,4.4000,3.6900,4.1600,4.1600,1468509,0.0000
2016-08-12,4.3100,4.5000,3.6800,3.9600,3.9600,1274747,0.0000
2016-08-05,4.8500,7.3900,4.1400,4.2400,4.2400,9788402,0.0000
2016-07-29,3.0800,6.8400,3.0400,4.1800,4.1800,15540745,0.0000
2016-07-22,3.0099,3.2200,2.9755,3.1400,3.1400,126786,0.0000
2016-07-15,2.9100,3.0401,2.8900,3.0199,3.0199,122872,0.0000
2016-07-08,2.8200,3.0300,2.7000,2.9600,2.9600,163911,0.0000
2016-07-01,2.8100,3.2500,2.7500,2.8600,2.8600,627033,0.0000
2016-06-24,2.8300,3.3400,2.7000,2.8500,2.8500,428804,0.0000
2016-06-17,3.4600,3.5210,2.8000,2.8000,2.8000,485269,0.0000
2016-06-10,2.9600,3.8800,2.7989,3.5000,3.5000,3070853,0.0000
2016-06-03,3.3000,3.7900,2.8100,2.9600,2.9600,1310869,0.0000
2016-05-27,3.1100,3.7000,2.5000,3.3300,3.3300,2789456,0.0000
2016-05-20,1.9400,4.3000,1.8501,3.1400,3.1400,9073366,0.0000
