timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,1.1000,1.6300,1.0900,1.3000,1.3000,23024616,0.0000
2019-04-05,1.1500,1.1800,1.0900,1.1200,1.1200,498412,0.0000
2019-03-29,1.1100,1.2000,1.0700,1.2000,1.2000,848172,0.0000
2019-03-22,1.2500,1.3000,1.0900,1.1300,1.1300,1520672,0.0000
2019-03-15,1.2100,1.7200,1.2000,1.2500,1.2500,11356718,0.0000
2019-03-08,1.0900,1.2366,1.0200,1.2000,1.2000,1445758,0.0000
2019-03-01,1.1300,1.1372,1.0000,1.0800,1.0800,1450490,0.0000
2019-02-22,1.1200,1.1700,1.1200,1.1400,1.1400,706250,0.0000
2019-02-15,1.2000,1.2100,1.1200,1.1300,1.1300,1289737,0.0000
2019-02-08,1.1600,1.2799,1.1300,1.1700,1.1700,3875015,0.0000
2019-02-01,1.3300,1.3499,1.1200,1.1800,1.1800,4403945,0.0000
2019-01-25,1.5000,1.5200,1.1400,1.3600,1.3600,5231790,0.0000
2019-01-18,1.0700,2.9200,1.0200,1.3300,1.3300,85554226,0.0000
2019-01-11,1.0700,1.1000,0.9700,1.0850,1.0850,1129508,0.0000
2019-01-04,0.6775,1.3500,0.6211,1.0900,1.0900,16976006,0.0000
2018-12-28,0.6501,0.7379,0.5600,0.6221,0.6221,625289,0.0000
2018-12-21,0.9550,1.0180,0.6500,0.7400,0.7400,449108,0.0000
2018-12-14,1.0900,1.2000,0.8418,0.9150,0.9150,279086,0.0000
2018-12-07,1.2100,1.2300,1.0700,1.0900,1.0900,138791,0.0000
2018-11-30,1.2300,1.2600,1.1400,1.2100,1.2100,206096,0.0000
2018-11-23,1.1700,1.2300,1.0300,1.2300,1.2300,338618,0.0000
2018-11-16,1.3500,1.3900,1.1500,1.2200,1.2200,233734,0.0000
2018-11-09,1.3350,1.4175,1.2900,1.3300,1.3300,134449,0.0000
2018-11-02,1.3200,1.4300,1.2500,1.3100,1.3100,191360,0.0000
2018-10-26,1.4600,1.5400,1.3000,1.3300,1.3300,313332,0.0000
2018-10-19,1.6045,1.6367,1.2400,1.4773,1.4773,630234,0.0000
2018-10-12,1.6910,1.7500,1.5500,1.6200,1.6200,263297,0.0000
2018-10-05,1.7500,1.8100,1.6400,1.7000,1.7000,424701,0.0000
2018-09-28,1.7300,1.8800,1.7000,1.7300,1.7300,271543,0.0000
2018-09-21,1.8796,1.9500,1.6000,1.7200,1.7200,701594,0.0000
2018-09-14,1.9800,1.9890,1.7810,1.9400,1.9400,338329,0.0000
2018-09-07,2.0500,2.0900,1.9000,1.9800,1.9800,310875,0.0000
2018-08-31,1.7500,2.0500,1.7100,2.0400,2.0400,637977,0.0000
