timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,0.0116,0.0121,0.0105,0.0105,0.0105,20256,0.0000
2019-04-03,0.0180,0.0187,0.0120,0.0124,0.0124,37740,0.0000
2019-03-21,0.0235,0.0250,0.0180,0.0201,0.0201,2000,0.0000
2019-03-14,0.0234,0.0234,0.0181,0.0181,0.0181,6001,0.0000
2019-03-08,0.0189,0.0191,0.0181,0.0191,0.0191,6487,0.0000
2019-02-19,0.0269,0.0269,0.0268,0.0268,0.0268,8000,0.0000
2019-02-12,0.0200,0.0209,0.0200,0.0209,0.0209,4900,0.0000
2019-02-07,0.0500,0.0500,0.0500,0.0500,0.0500,3601,0.0000
2019-02-04,0.0500,0.0500,0.0500,0.0500,0.0500,5000,0.0000
2019-02-01,0.0210,0.0600,0.0181,0.0250,0.0250,62505,0.0000
2019-01-25,0.0700,0.0700,0.0300,0.0300,0.0300,38096,0.0000
2019-01-18,0.0180,0.1500,0.0180,0.0625,0.0625,386659,0.0000
2019-01-07,0.0130,0.0289,0.0130,0.0181,0.0181,28500,0.0000
2019-01-04,0.0050,0.0100,0.0050,0.0100,0.0100,72200,0.0000
2018-12-27,0.0017,0.0200,0.0017,0.0094,0.0094,92900,0.0000
2018-12-21,0.0027,0.0027,0.0011,0.0012,0.0012,70860,0.0000
2018-12-18,0.0031,0.0031,0.0031,0.0031,0.0031,127,0.0000
2018-12-14,0.0019,0.0019,0.0019,0.0019,0.0019,40,0.0000
2018-12-11,0.0057,0.0057,0.0018,0.0019,0.0019,21633,0.0000
2018-12-07,0.0021,0.0063,0.0021,0.0063,0.0063,702,0.0000
2018-12-03,0.0066,0.0100,0.0020,0.0100,0.0100,8210,0.0000
2018-11-29,0.0094,0.0094,0.0066,0.0094,0.0094,4329,0.0000
2018-11-23,0.0058,0.0094,0.0047,0.0094,0.0094,40052,0.0000
2018-11-14,0.0059,0.0061,0.0059,0.0060,0.0060,3300,0.0000
2018-11-05,0.0060,0.0060,0.0060,0.0060,0.0060,250,0.0000
2018-10-30,0.0329,0.0329,0.0055,0.0078,0.0078,11960,0.0000
2018-10-22,0.0374,0.0374,0.0150,0.0258,0.0258,11500,0.0000
2018-10-19,0.0400,0.0400,0.0015,0.0208,0.0208,136650,0.0000
2018-10-15,0.0390,0.0390,0.0388,0.0388,0.0388,200,0.0000
2018-10-12,0.0300,0.0300,0.0300,0.0300,0.0300,1400,0.0000
2018-10-04,0.0698,0.0698,0.0698,0.0698,0.0698,500,0.0000
2018-10-01,0.0996,0.0996,0.0800,0.0800,0.0800,1227,0.0000
2018-09-26,0.0209,0.0550,0.0209,0.0550,0.0550,19900,0.0000
2018-09-18,0.0211,0.0211,0.0211,0.0211,0.0211,150,0.0000
2018-09-10,0.0209,0.0211,0.0209,0.0211,0.0211,2000,0.0000
