timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,5.0900,5.2300,5.0400,5.1200,5.1200,1793835,0.0000
2019-04-12,5.3500,5.3698,5.0411,5.0600,5.0600,3716511,0.0000
2019-04-05,5.0500,5.4000,4.9700,5.3300,5.3300,5773900,0.0000
2019-03-29,5.6000,5.6900,4.9450,5.0300,5.0300,5365676,0.0000
2019-03-22,5.4000,5.7700,5.2600,5.6000,5.6000,5345541,0.0000
2019-03-15,5.4900,5.9100,5.3000,5.4100,5.4100,5904835,0.0000
2019-03-08,6.2500,6.2699,4.8300,5.4600,5.4600,12876645,0.0000
2019-03-01,6.0600,6.2500,5.7550,6.1700,6.1700,5592043,0.0000
2019-02-22,5.5800,6.0800,5.5050,6.0000,6.0000,4112485,0.0000
2019-02-15,5.8900,5.8900,5.1300,5.5700,5.5700,5333365,0.0000
2019-02-08,5.7300,6.1900,5.6900,5.8700,5.8700,6964675,0.0000
2019-02-01,5.6400,5.9300,5.3300,5.7200,5.7200,3646724,0.0000
2019-01-25,5.4600,5.9000,5.4300,5.6800,5.6800,5028980,0.0000
2019-01-18,5.4100,5.6600,5.2500,5.4400,5.4400,5240720,0.0000
2019-01-11,4.8900,6.0000,4.8700,5.3500,5.3500,11874003,0.0000
2019-01-04,4.6100,4.9600,4.4900,4.8900,4.8900,5758566,0.0000
2018-12-28,3.7500,4.6200,3.5100,4.5000,4.5000,4427492,0.0000
2018-12-21,3.7000,4.1800,3.3300,3.8400,3.8400,6988640,0.0000
2018-12-14,3.9700,4.0000,3.7000,3.7100,3.7100,2643984,0.0000
2018-12-07,4.1000,4.1600,3.9300,3.9500,3.9500,3382849,0.0000
2018-11-30,3.9900,4.1390,3.9600,4.0300,4.0300,2952245,0.0000
2018-11-23,4.0000,4.0650,3.6600,3.9600,3.9600,3636914,0.0000
2018-11-16,3.8500,4.0400,3.6800,3.7600,3.7600,4312092,0.0000
2018-11-09,4.4600,4.8500,3.8000,3.8600,3.8600,7361345,0.0000
2018-11-02,4.2500,4.6075,4.0700,4.4900,4.4900,3888015,0.0000
2018-10-26,4.3400,4.5100,4.1000,4.1200,4.1200,4099181,0.0000
2018-10-19,4.7600,4.9200,4.3400,4.3500,4.3500,3637683,0.0000
2018-10-12,5.4000,5.6300,4.2400,4.8200,4.8200,5260117,0.0000
2018-10-05,4.9300,5.5900,4.7500,5.3900,5.3900,5822139,0.0000
2018-09-28,4.7300,5.1400,4.6500,4.9500,4.9500,2108944,0.0000
2018-09-21,4.6700,5.0800,4.3900,4.8200,4.8200,4068144,0.0000
2018-09-14,5.0500,5.0985,4.7700,4.7700,4.7700,3501803,0.0000
2018-09-07,5.0500,5.2150,4.8300,5.0700,5.0700,3999929,0.0000
2018-08-31,4.6000,5.3500,4.5600,5.1000,5.1000,7506312,0.0000
2018-08-24,4.0000,4.5700,3.9600,4.5300,4.5300,3652104,0.0000
2018-08-17,4.1900,4.3601,3.9600,4.0200,4.0200,3412354,0.0000
2018-08-10,3.9900,4.3400,3.9399,4.1600,4.1600,3129087,0.0000
2018-08-03,4.1000,4.5800,3.7000,4.0000,4.0000,7055909,0.0000
2018-07-27,4.2800,4.4100,4.0500,4.1000,4.1000,4130095,0.0000
2018-07-20,3.9300,4.7400,3.8200,4.3400,4.3400,5514058,0.0000
2018-07-13,4.5700,4.5700,3.9100,3.9400,3.9400,5576891,0.0000
2018-07-06,4.4200,4.8900,4.3500,4.5800,4.5800,4268414,0.0000
2018-06-29,4.3500,4.6000,4.1300,4.4800,4.4800,5447776,0.0000
2018-06-22,4.2900,4.5600,4.2000,4.3500,4.3500,6823654,0.0000
2018-06-15,3.9400,4.4300,3.9400,4.2900,4.2900,8436038,0.0000
2018-06-08,3.9900,4.0900,3.8300,3.9400,3.9400,5229675,0.0000
2018-06-01,3.3800,4.0100,3.2600,4.0000,4.0000,6686239,0.0000
2018-05-25,3.2200,3.3700,3.1150,3.3400,3.3400,3027490,0.0000
2018-05-18,2.8300,3.3500,2.7910,3.2500,3.2500,6224115,0.0000
2018-05-11,2.8900,3.0200,2.7800,2.7900,2.7900,5941232,0.0000
2018-05-04,2.3200,2.9292,2.2600,2.7900,2.7900,8080385,0.0000
2018-04-27,2.3900,2.4100,2.2700,2.3100,2.3100,2633822,0.0000
2018-04-20,2.2400,2.4800,2.1900,2.3700,2.3700,4357565,0.0000
2018-04-13,2.0600,2.4100,2.0200,2.2200,2.2200,11235142,0.0000
2018-04-06,2.0900,2.1700,1.8400,1.9400,1.9400,6559628,0.0000
2018-03-29,1.9900,2.2300,1.8500,2.0900,2.0900,6139894,0.0000
2018-03-23,2.2300,2.2500,1.9500,1.9700,1.9700,5435585,0.0000
2018-03-16,2.4600,2.5100,2.1900,2.2500,2.2500,8529188,0.0000
2018-03-09,2.6900,3.2400,2.4000,2.4600,2.4600,15475675,0.0000
2018-03-02,2.6200,2.7099,2.4800,2.6800,2.6800,4013028,0.0000
2018-02-23,2.7000,2.9200,2.5400,2.5900,2.5900,3015878,0.0000
