timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,1.9700,2.8700,1.9100,2.3100,2.3100,2540727,0.0000
2019-04-05,1.7000,2.1900,1.4500,2.0000,2.0000,1129616,0.0000
2019-03-29,1.6200,1.6700,1.3700,1.6700,1.6700,164382,0.0000
2019-03-22,1.5000,2.2400,1.4200,1.6400,1.6400,1492909,0.0000
2019-03-15,2.1800,2.1900,1.4700,1.4700,1.4700,533184,0.0000
2019-03-08,2.4000,2.4000,2.1500,2.1900,2.1900,44718,0.0000
2019-03-01,2.4000,2.4300,2.2400,2.3800,2.3800,90062,0.0000
2019-02-22,2.0000,2.5000,1.9200,2.3700,2.3700,153114,0.0000
2019-02-15,2.7100,2.7500,1.9600,2.0000,2.0000,262660,0.0000
2019-02-08,2.7600,2.9000,2.5559,2.6700,2.6700,406378,0.0000
2019-02-01,2.5200,2.8500,2.2415,2.7700,2.7700,890212,0.0000
2019-01-25,1.6700,2.5400,1.6300,2.5200,2.5200,353653,0.0000
2019-01-18,1.7900,2.1200,1.6300,2.1100,2.1100,494363,0.0000
2019-01-11,1.6000,1.8200,1.5900,1.7300,1.7300,101940,0.0000
2019-01-04,1.4900,1.6300,1.2521,1.6000,1.6000,175125,0.0000
2018-12-28,1.2763,1.5900,0.9500,1.4900,1.4900,533248,0.0000
2018-12-21,1.2200,1.3500,1.2200,1.3000,1.3000,254408,0.0000
2018-12-14,1.3100,1.3580,1.2400,1.2600,1.2600,52117,0.0000
2018-12-07,1.3300,1.5700,1.2300,1.3100,1.3100,370894,0.0000
2018-11-30,1.2600,1.3800,1.2300,1.2900,1.2900,391423,0.0000
2018-11-23,1.5000,1.5000,1.1628,1.1628,1.1628,109302,0.0000
2018-11-16,1.6100,1.6600,1.4700,1.4800,1.4800,264842,0.0000
2018-11-09,1.9300,1.9900,1.4300,1.6000,1.6000,602658,0.0000
2018-11-02,2.3000,2.3600,1.9400,1.9900,1.9900,491762,0.0000
