timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,7.9000,10.2791,7.8794,9.9600,9.9600,1153029,0.0000
2019-04-05,7.0000,8.4432,6.9800,7.8400,7.8400,1104049,0.0000
2019-03-29,6.9800,7.0200,6.5700,6.9300,6.9300,959646,0.0000
2019-03-22,6.8500,7.0000,6.6800,6.9700,6.9700,771962,0.0000
2019-03-15,6.1700,7.1000,6.1400,6.8300,6.8300,503974,0.0000
2019-03-08,6.3500,6.4500,5.7303,6.1400,6.1400,395223,0.0000
2019-03-01,6.4000,7.2800,6.0000,6.3100,6.3100,447653,0.0000
2019-02-22,6.2200,6.6276,6.1700,6.3900,6.3900,197202,0.0000
2019-02-15,6.3200,6.4670,6.1400,6.2100,6.2100,221310,0.0000
2019-02-08,6.1500,6.7400,5.9961,6.3000,6.3000,295240,0.0000
2019-02-01,5.4500,6.2250,5.1300,5.9500,5.9500,252016,0.0000
2019-01-25,5.2000,5.6800,5.0000,5.5500,5.5500,398530,0.0000
2019-01-18,5.5400,5.7400,5.1800,5.2000,5.2000,445783,0.0000
2019-01-11,5.8800,6.0200,5.6900,5.7000,5.7000,238732,0.0000
2019-01-04,5.7300,6.2000,5.6490,6.0200,6.0200,178566,0.0000
2018-12-28,5.8900,6.0300,5.4350,5.7000,5.7000,263502,0.0000
2018-12-21,6.5000,6.7300,5.8500,5.8500,5.8500,279220,0.0000
2018-12-14,5.6700,7.2000,5.6000,6.5000,6.5000,628972,0.0000
2018-12-07,6.2900,6.5840,5.5000,5.7000,5.7000,141374,0.0000
2018-11-30,5.8900,6.3400,5.5500,6.1500,6.1500,245643,0.0000
2018-11-23,6.0100,6.3000,5.0600,5.7600,5.7600,453663,0.0000
2018-11-16,6.8900,6.8900,5.5000,5.9900,5.9900,423681,0.0000
2018-11-09,7.1600,7.6900,6.6700,6.9900,6.9900,338137,0.0000
2018-11-02,8.9800,8.9800,7.1500,7.2200,7.2200,546186,0.0000
2018-10-26,8.9500,9.3400,8.3500,8.7000,8.7000,1259831,0.0000
2018-10-19,7.7600,9.1000,7.5852,9.1000,9.1000,602680,0.0000
2018-10-12,8.9800,9.0400,7.0600,7.7400,7.7400,463577,0.0000
2018-10-05,8.7800,9.2694,8.5000,9.0900,9.0900,211292,0.0000
2018-09-28,8.9300,9.6400,8.0500,8.7400,8.7400,554086,0.0000
2018-09-21,9.7700,9.7700,7.4272,9.1000,9.1000,889146,0.0000
2018-09-14,11.8400,11.8400,9.7000,9.7500,9.7500,794080,0.0000
2018-09-07,12.9500,12.9500,11.5400,11.6000,11.6000,238535,0.0000
2018-08-31,14.5200,14.5962,12.8500,13.0500,13.0500,522052,0.0000
2018-08-24,14.1500,16.1500,12.6400,14.5000,14.5000,2132332,0.0000
2018-08-17,14.2800,15.3900,13.8500,14.1500,14.1500,671598,0.0000
2018-08-10,16.0300,16.7000,15.3200,15.4800,15.4800,318870,0.0000
2018-08-03,18.9200,19.3300,15.7132,16.0300,16.0300,800238,0.0000
2018-07-27,19.0900,19.9300,18.5200,18.9300,18.9300,718581,0.0000
2018-07-20,20.2000,20.4280,18.4500,18.9300,18.9300,1084693,0.0000
2018-07-13,19.2400,20.9700,18.7500,20.2400,20.2400,1785741,0.0000
2018-07-06,21.2300,21.2968,18.7000,19.0400,19.0400,981824,0.0000
2018-06-29,18.2400,23.7000,18.2000,21.4000,21.4000,4514031,0.0000
2018-06-22,23.6400,35.0000,18.7500,18.7500,18.7500,12591695,0.0000
