timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,98.2600,99.5100,95.5782,98.2800,98.2800,44831,0.0000
2019-04-05,98.6200,99.4900,95.8100,98.6800,98.6800,65594,0.0000
2019-03-29,94.1400,98.4200,92.5850,97.8900,97.8900,61832,0.0000
2019-03-22,98.1550,99.1234,94.1834,95.4000,95.4000,67260,0.0000
2019-03-15,98.1500,101.4557,95.0000,97.1400,97.1400,91896,0.0000
2019-03-08,103.6100,104.3000,96.2712,98.4000,98.4000,107339,0.0000
2019-03-01,102.7600,103.9693,101.0050,103.5100,103.5100,79264,0.0000
2019-02-22,97.9300,103.1000,97.2000,102.8000,102.8000,71139,0.0000
2019-02-15,96.2800,99.6395,94.8900,98.1900,98.1900,75975,0.0000
2019-02-08,95.3400,99.4126,94.0100,96.0500,96.0500,102221,0.0000
2019-02-01,94.6000,96.7000,92.0100,95.9200,95.9200,120040,1.0000
2019-01-25,97.0000,97.7000,85.0088,95.3000,94.3167,133691,0.0000
2019-01-18,91.2800,98.0900,88.8800,97.2500,96.2466,102374,0.0000
2019-01-11,86.2700,91.9887,85.0600,91.3000,90.3580,71353,0.0000
2019-01-04,87.5900,88.9467,85.0000,86.2700,85.3799,57380,0.0000
2018-12-28,86.3900,91.2100,82.9101,87.5800,86.6764,52261,0.0000
2018-12-21,93.9400,95.0450,86.0000,86.7100,85.8153,176828,0.0000
2018-12-14,93.6100,96.9600,92.5100,94.5000,93.5250,87087,0.0000
2018-12-07,96.7500,101.2899,92.3900,94.2300,93.2578,99778,0.0000
2018-11-30,89.4500,95.9400,86.1200,95.5400,94.5542,166891,0.0000
2018-11-23,82.6200,89.9300,82.0000,88.9700,88.0520,99643,0.0000
2018-11-16,84.6200,86.0300,80.0300,84.6800,83.8063,83980,0.0000
2018-11-09,87.1700,88.7500,84.2101,84.7200,83.8459,74211,0.0000
2018-11-02,86.2900,88.6000,83.1000,87.4000,86.4982,85719,0.0000
2018-10-26,92.3000,92.5000,83.2000,85.1000,84.2220,112259,1.0000
2018-10-19,87.5000,98.3250,85.6000,91.8100,89.8074,132586,0.0000
2018-10-12,98.0300,99.1650,85.0400,87.7500,85.8360,125807,0.0000
2018-10-05,106.0000,106.0000,97.1300,98.5700,96.4200,62834,0.0000
2018-09-28,104.6700,109.9500,98.4600,105.8800,103.5705,93635,0.0000
2018-09-21,111.2800,113.4200,103.5150,104.7800,102.4945,87435,0.0000
2018-09-14,116.7200,117.1547,106.6200,111.3000,108.8723,62945,0.0000
