timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,1.0200,1.0200,0.9800,1.0190,1.0190,37050,0.0000
2019-04-12,1.0200,1.0200,0.9500,0.9800,0.9800,101916,0.0000
2019-04-05,0.9200,1.0300,0.8801,1.0300,1.0300,374538,0.0000
2019-03-29,0.7550,0.9900,0.7500,0.8800,0.8800,515458,0.0000
2019-03-22,0.9100,0.9102,0.7550,0.7550,0.7550,152308,0.0000
2019-03-15,0.7700,0.9617,0.7500,0.9110,0.9110,428543,0.0000
2019-03-08,0.7900,0.8300,0.7900,0.8010,0.8010,68153,0.0000
2019-03-01,0.8500,0.8500,0.7900,0.8300,0.8300,55193,0.0000
2019-02-22,0.8200,0.8699,0.8200,0.8375,0.8375,86061,0.0000
2019-02-15,0.6600,0.8800,0.6400,0.8127,0.8127,325882,0.0000
2019-02-08,0.6800,0.6900,0.6500,0.6500,0.6500,102445,0.0000
2019-02-01,0.7100,0.7294,0.6222,0.6802,0.6802,117594,0.0000
2019-01-25,0.7300,0.7300,0.6975,0.7100,0.7100,86408,0.0000
2019-01-18,0.7700,0.7700,0.6800,0.7205,0.7205,116042,0.0000
2019-01-11,0.6449,0.7535,0.6300,0.7400,0.7400,221897,0.0000
2019-01-04,0.4500,0.6500,0.4500,0.6250,0.6250,283363,0.0000
2018-12-28,0.4301,0.5600,0.4200,0.4677,0.4677,413761,0.0000
2018-12-21,0.7301,0.9200,0.4100,0.4600,0.4600,798768,0.0000
2018-12-14,0.9300,0.9700,0.7700,0.8000,0.8000,221607,0.0000
2018-12-07,1.0410,1.0500,0.9100,0.9310,0.9310,174789,0.0000
2018-11-30,1.0400,1.0800,0.9420,0.9900,0.9900,153566,0.0000
2018-11-23,0.9299,1.0400,0.8200,1.0400,1.0400,175030,0.0000
2018-11-16,1.1900,1.2250,0.8213,0.9011,0.9011,649810,0.0000
2018-11-09,1.2700,1.3081,1.1600,1.2600,1.2600,350609,0.0000
2018-11-02,1.3100,1.4400,1.1986,1.2500,1.2500,343837,0.0000
2018-10-26,1.4144,1.4163,1.2707,1.3500,1.3500,154901,0.0000
2018-10-19,1.5400,1.5800,1.4000,1.4100,1.4100,206192,0.0000
2018-10-12,1.7200,1.7386,1.4200,1.5400,1.5400,237282,0.0000
2018-10-05,1.7100,1.7700,1.6800,1.7200,1.7200,125489,0.0000
2018-09-28,1.7500,1.8200,1.7000,1.7400,1.7400,89944,0.0000
2018-09-21,1.7200,1.7600,1.6800,1.7500,1.7500,109518,0.0000
2018-09-14,1.7100,1.7600,1.7000,1.7000,1.7000,81079,0.0000
2018-09-07,1.7700,1.7800,1.6925,1.7400,1.7400,112628,0.0000
2018-08-31,1.8700,1.8800,1.7500,1.7800,1.7800,119686,0.0000
2018-08-24,1.7400,1.8800,1.6300,1.8450,1.8450,393749,0.0000
2018-08-17,1.8600,1.9800,1.6200,1.6900,1.6900,790305,0.0000
2018-08-10,1.8400,1.8600,1.7700,1.8355,1.8355,74749,0.0000
2018-08-03,1.8000,1.8800,1.7700,1.8500,1.8500,144524,0.0000
2018-07-27,1.8200,1.8400,1.7300,1.8000,1.8000,134438,0.0000
2018-07-20,1.7600,1.8500,1.7600,1.8300,1.8300,153990,0.0000
2018-07-13,1.7000,1.8500,1.6300,1.7800,1.7800,118090,0.0000
2018-07-06,1.6700,1.7700,1.6200,1.6900,1.6900,79074,0.0000
2018-06-29,1.7500,1.8200,1.6500,1.6700,1.6700,157060,0.0000
2018-06-22,1.8200,1.8600,1.7200,1.7900,1.7900,102901,0.0000
2018-06-15,1.8200,1.8664,1.7400,1.8200,1.8200,268675,0.0000
2018-06-08,1.8400,1.9800,1.7900,1.8200,1.8200,233147,0.0000
2018-06-01,1.8823,1.9000,1.8100,1.8400,1.8400,104505,0.0000
2018-05-25,1.8800,2.0200,1.8700,1.8900,1.8900,415380,0.0000
2018-05-18,1.9000,1.9130,1.7700,1.8800,1.8800,493402,0.0000
2018-05-11,1.9000,1.9500,1.8100,1.9500,1.9500,423700,0.0000
2018-05-04,1.7400,1.8800,1.6700,1.8600,1.8600,471620,0.0000
