timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,269.9000,275.2074,266.4500,267.7600,267.7600,46732,0.0000
2019-04-05,264.1000,271.0000,262.2600,270.6000,270.6000,58823,0.0000
2019-03-29,256.4000,268.4500,255.0000,262.4700,262.4700,56089,0.0000
2019-03-22,276.2783,286.3680,256.8000,256.8000,256.8000,26962,0.0000
2019-03-15,280.8200,285.6000,278.1900,279.2300,279.2300,74462,0.0000
2019-03-08,303.0100,303.0100,277.8300,277.8300,277.8300,23463,0.0000
2019-03-01,308.9000,314.2500,300.1100,302.0000,302.0000,23818,0.0000
2019-02-22,303.0000,312.5000,303.0000,308.4400,308.4400,24615,0.0000
2019-02-15,296.5800,310.7300,292.8200,305.9800,305.9800,51039,0.0000
2019-02-08,301.8830,302.9604,295.1000,296.2000,296.2000,23037,0.0000
2019-02-01,301.0000,305.2000,292.4565,300.9800,300.9800,32335,0.0000
2019-01-25,301.0000,306.0000,299.0500,302.7000,302.7000,22221,0.0000
2019-01-18,294.0000,309.8000,293.4000,301.5000,301.5000,39853,0.0000
2019-01-11,303.0200,305.3400,293.9900,295.4000,295.4000,38686,0.0000
2019-01-04,298.6900,306.3000,295.0000,302.5500,302.5500,55701,0.0000
2018-12-28,284.0200,296.0000,282.7200,294.8700,294.8700,25499,0.0000
2018-12-21,296.5000,297.8400,284.0000,287.7100,287.7100,48126,0.0000
2018-12-14,301.0000,308.7200,291.5625,298.0900,298.0900,63440,0.0000
2018-12-07,310.2800,316.7000,285.7022,300.3600,300.3600,54485,0.0000
2018-11-30,301.0000,316.5673,298.2000,307.2000,307.2000,72087,0.0000
2018-11-23,291.1600,300.8000,289.3300,297.6000,297.6000,30307,0.0000
2018-11-16,285.9400,302.2500,284.5800,292.1300,292.1300,62640,0.0000
2018-11-09,272.3800,294.6940,268.0000,284.4800,284.4800,21665,0.3600
2018-11-02,269.6800,275.0000,260.6450,271.9000,271.5386,43856,0.0000
2018-10-26,284.6700,285.0000,264.9000,267.4200,267.0646,51981,0.0000
2018-10-19,286.4900,297.8453,282.5000,283.5500,283.1731,31653,0.0000
2018-10-12,314.5500,329.0000,284.2000,286.3500,285.9694,53757,0.0000
2018-10-05,320.0500,323.5700,313.3900,314.3400,313.9222,35819,0.0000
2018-09-28,320.2300,325.5000,316.3000,319.2000,318.7758,24621,0.0000
2018-09-21,324.0000,325.0000,317.3200,319.7600,319.3350,30434,0.0000
2018-09-14,321.4975,323.9100,314.0100,322.5000,322.0714,29521,0.0000
2018-09-07,321.2000,326.1000,316.0700,320.1200,319.6945,17488,0.0000
2018-08-31,325.1200,330.0750,316.9070,325.9500,325.5168,34454,0.0000
2018-08-24,326.4800,332.8450,323.4700,325.1200,324.6879,31815,0.0000
2018-08-17,331.0000,335.0000,324.3800,327.1100,326.6752,44966,0.0000
2018-08-10,327.2100,334.8300,310.6800,332.2900,331.8484,40269,0.0000
2018-08-03,319.9500,335.0000,318.9965,326.6300,326.1959,39870,0.0000
2018-07-27,311.6200,326.5200,311.0000,322.4600,322.0314,62321,0.0000
2018-07-20,308.8100,317.2300,304.6500,312.7500,312.3343,57086,0.0000
2018-07-13,314.0000,319.8000,310.4800,310.7900,310.3769,31041,0.0000
2018-07-06,305.9700,316.5000,305.9700,313.8700,313.4528,23485,0.0000
2018-06-29,318.5000,318.5000,304.0000,307.2600,306.8516,41915,0.0000
2018-06-22,314.6400,324.8000,313.0010,319.2900,318.8656,51281,0.0000
2018-06-15,318.8900,318.8900,306.4200,314.5000,314.0820,53217,0.0000
2018-06-08,314.8400,318.8784,309.7500,316.5500,316.1293,35365,0.0000
2018-06-01,307.0200,315.4900,305.3300,313.2800,312.8636,19697,0.0000
2018-05-25,304.6700,312.0100,302.3100,307.7300,307.3210,24013,0.0000
2018-05-18,296.2100,304.8800,287.0000,303.9000,303.4961,67940,0.0000
2018-05-11,314.9451,317.0400,291.7500,294.0400,293.6492,64359,0.0000
2018-05-04,318.3212,321.8900,308.6700,317.6500,317.2278,38696,0.0000
2018-04-27,323.9801,328.5300,314.3500,320.6000,320.1739,47312,0.0000
2018-04-20,315.0000,323.0000,314.9600,320.5000,320.0740,49657,0.0000
2018-04-13,307.6900,320.3100,306.9900,314.3000,313.8823,46513,0.0000
2018-04-06,304.0000,311.9900,299.1000,306.7000,306.2924,56911,0.0000
2018-03-29,303.0000,309.0000,300.0000,304.8800,304.4748,57128,0.0000
2018-03-23,312.0200,317.1800,300.1000,300.1000,299.7011,65777,0.0000
2018-03-16,319.3900,323.3500,310.4750,316.8900,316.4688,34870,0.0000
2018-03-09,305.6000,320.6444,303.1000,320.5800,320.1539,39803,0.0000
2018-03-02,302.8000,311.0000,301.2200,305.0000,304.5946,36655,0.0000
2018-02-23,313.6700,326.9287,298.1250,304.3100,303.9055,32300,0.0000
2018-02-16,303.0900,320.9167,293.7700,314.9900,314.5713,33724,0.0000
2018-02-09,323.0000,324.9800,276.0000,301.7400,301.3390,45435,0.0000
2018-02-02,332.3300,333.7250,319.3400,320.5550,320.1290,26944,0.0000
2018-01-26,336.3400,339.5500,332.4500,332.6900,332.2478,16585,0.0000
2018-01-19,337.6100,342.2300,333.2000,337.0000,336.5521,28799,0.0000
2018-01-12,332.8500,343.2200,331.6300,336.8900,336.4422,43437,0.0000
2018-01-05,332.7400,338.0000,331.6500,333.8000,333.3563,18963,0.0000
2017-12-29,336.7200,339.6350,330.5600,331.0200,330.5800,25531,0.0000
2017-12-22,336.2300,344.0000,332.5500,337.0300,336.5821,31251,0.0000
2017-12-15,340.5900,341.0100,329.5300,333.4000,332.9569,67629,0.0000
2017-12-08,346.1400,353.3000,333.3200,338.6500,338.1999,42955,0.0000
2017-12-01,345.9000,361.3450,339.9900,343.2400,342.7838,52444,0.0000
2017-11-24,344.1300,349.5600,338.8900,346.6000,346.1393,22759,0.0000
2017-11-17,335.0500,346.1000,333.7600,344.0000,343.5428,24823,0.0000
2017-11-10,357.2100,357.2100,334.9700,337.5300,337.0814,16923,0.3600
2017-11-03,361.5700,362.6000,354.0300,354.0300,353.1894,16617,0.0000
2017-10-27,364.6100,365.4000,358.1827,365.0000,364.1333,20360,0.0000
2017-10-20,367.5450,368.0000,361.7150,364.7600,363.8939,29516,0.0000
2017-10-13,362.2833,367.9900,356.9100,363.1300,362.2678,30991,0.0000
2017-10-06,354.5000,364.6775,350.6900,360.3900,359.5343,53970,0.0000
2017-09-29,345.0000,352.0300,336.5000,349.0000,348.1713,44722,0.0000
2017-09-22,336.4900,347.4200,336.4900,345.2000,344.3803,24794,0.0000
2017-09-15,330.8300,338.0000,323.4893,335.0000,334.2046,50331,0.0000
2017-09-08,338.6600,339.5000,326.1200,326.5400,325.7646,22438,0.0000
2017-09-01,336.0000,340.7500,332.0000,340.7500,339.9409,21495,0.0000
2017-08-25,332.0900,342.0000,332.0900,336.7800,335.9803,29186,0.0000
2017-08-18,342.2700,346.9900,329.9560,333.6300,332.8378,32662,0.0000
2017-08-11,339.0000,349.8900,337.2400,341.1400,340.3300,54013,0.0000
2017-08-04,334.7300,340.7500,332.3003,339.7000,338.8934,21682,0.0000
2017-07-28,332.2500,335.5500,330.1400,332.7900,331.9998,22235,0.0000
2017-07-21,329.8550,333.4250,327.5000,332.1100,331.3214,19456,0.0000
2017-07-14,321.7000,333.7700,318.8400,329.0600,328.2787,51896,0.0000
2017-07-07,321.9000,325.5200,320.0350,325.2700,324.4977,15724,0.0000
2017-06-30,322.7100,324.2200,318.0528,319.6200,318.8611,44474,0.0000
2017-06-23,325.3500,328.8300,317.9300,320.5600,319.7988,54287,0.0000
2017-06-16,325.0000,332.0000,318.3750,324.9400,324.1684,57272,0.0000
2017-06-09,322.1000,324.6700,308.2600,324.6700,323.8991,49658,0.0000
2017-06-02,303.0000,327.0000,302.5400,323.6800,322.9114,51511,0.0000
2017-05-26,300.8750,307.1500,297.5000,304.1600,303.4378,68187,0.0000
2017-05-19,309.5000,312.3700,294.3900,299.6000,298.8886,75301,0.0000
2017-05-12,302.4200,317.6400,300.3000,309.5000,308.7651,57473,0.0000
2017-05-05,310.0000,315.1200,303.0500,303.5000,302.7794,51401,0.0000
2017-04-28,316.5000,322.5500,304.8400,306.2400,305.5128,45928,0.0000
2017-04-21,302.6100,314.2100,297.3000,312.9500,312.2069,60529,0.0000
2017-04-13,303.9500,307.2950,298.8500,300.9100,300.1955,44825,0.0000
2017-04-07,303.5500,310.0000,299.0000,305.3200,304.5950,70170,0.0000
2017-03-31,292.2000,306.7000,292.2000,304.1600,303.4378,33629,0.0000
2017-03-24,315.2600,317.4300,296.6000,297.3000,296.5941,28616,0.0000
2017-03-17,320.1300,323.8400,303.0400,316.6100,315.8582,61234,0.0000
2017-03-10,327.0000,331.7000,317.0000,320.9400,320.1779,25944,0.0000
2017-03-03,323.0000,330.9100,317.2000,327.0000,326.2236,47396,0.0000
2017-02-24,314.3250,324.9900,314.0710,323.1400,322.3727,30429,0.0000
2017-02-17,307.4500,316.0000,307.4500,313.2000,312.4563,34452,0.0000
2017-02-10,303.0150,318.3700,294.2100,306.9800,306.2511,23441,0.0000
2017-02-03,292.8100,302.3300,287.1000,302.2400,301.5223,23404,0.0000
2017-01-27,300.2000,311.0000,298.0000,303.3000,302.5798,26975,0.0000
2017-01-20,308.5200,309.3100,295.5950,302.0300,301.3128,24509,0.0000
2017-01-13,305.0500,312.0100,305.0500,308.9000,308.1665,19050,0.0000
2017-01-06,308.5010,315.3100,307.3600,310.9900,310.2516,23120,0.0000
2016-12-30,315.9100,318.4800,304.1000,310.8000,310.0620,33789,0.0000
2016-12-23,304.3500,325.9000,304.3500,314.0000,313.2544,69327,0.0000
2016-12-16,297.4465,309.8700,292.6300,305.5200,304.7946,58788,0.0000
2016-12-09,271.6000,303.2050,271.6000,298.3000,297.5917,72072,0.0000
2016-12-02,258.4400,271.6000,250.7800,269.7000,269.0596,45788,0.0000
2016-11-25,247.0000,259.7300,233.2040,255.2200,254.6140,30085,0.0000
2016-11-18,247.8500,253.3684,239.0300,245.7900,245.2064,64818,0.0000
2016-11-11,218.0000,246.1900,216.8090,245.7500,245.1665,74647,0.3600
