timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,2.0100,2.0400,1.9500,2.0000,2.0000,1186305,0.0000
2019-04-05,1.8600,2.0600,1.7900,2.0000,2.0000,1854896,0.0000
2019-03-29,1.8400,1.9300,1.7450,1.8200,1.8200,2076594,0.0000
2019-03-22,2.0100,2.0600,1.8000,1.8500,1.8500,3662982,0.0000
2019-03-15,2.0500,2.0500,1.9100,2.0100,2.0100,5301070,0.0000
2019-03-08,2.1000,2.2100,1.9700,2.0500,2.0500,2773521,0.0000
2019-03-01,2.0000,2.2765,1.7200,2.1100,2.1100,6517600,0.0000
2019-02-22,2.0600,2.4500,1.3700,2.0000,2.0000,6175872,0.0000
2019-02-15,1.8600,2.0700,1.8000,2.0200,2.0200,2014556,0.0000
2019-02-08,1.7600,1.8401,1.6800,1.8100,1.8100,2074899,0.0000
2019-02-01,1.7300,1.8300,1.6250,1.7700,1.7700,2333293,0.0000
2019-01-25,1.8500,1.8800,1.7000,1.7400,1.7400,1981185,0.0000
2019-01-18,1.7700,1.9900,1.7600,1.8600,1.8600,3339071,0.0000
2019-01-11,1.5800,1.8850,1.5000,1.7900,1.7900,4840877,0.0000
2019-01-04,1.3600,1.5800,1.3000,1.5500,1.5500,4975179,0.0000
2018-12-28,1.2300,1.4150,1.2000,1.3400,1.3400,5053686,0.0000
2018-12-21,1.4100,1.5750,1.2200,1.2400,1.2400,10424717,0.0000
2018-12-14,1.7700,1.7800,1.3700,1.4100,1.4100,9256211,0.0000
2018-12-07,2.1700,2.1700,1.7350,1.7900,1.7900,10447562,0.0000
2018-11-30,2.2900,2.3600,2.0200,2.1100,2.1100,7394396,0.0000
2018-11-23,2.4100,2.5250,2.1700,2.2500,2.2500,5512766,0.0000
2018-11-16,2.8400,2.8500,2.3100,2.4400,2.4400,8332929,0.0000
2018-11-09,3.7900,3.8200,2.8000,2.8300,2.8300,12112199,0.0000
2018-11-02,3.6600,3.8000,3.3000,3.8000,3.8000,13825169,0.0000
2018-10-26,3.9800,4.0100,3.4600,3.6300,3.6300,21714334,0.0000
2018-10-19,3.7100,3.9800,3.5100,3.9800,3.9800,17485752,0.0000
2018-10-12,4.1000,4.1100,3.7200,3.7200,3.7200,5834031,0.0000
2018-10-05,3.9600,4.2700,3.9000,4.0900,4.0900,4295266,0.0000
2018-09-28,3.9500,4.0500,3.6900,3.9400,3.9400,5177536,0.0000
2018-09-21,4.0600,4.1400,3.9100,3.9700,3.9700,2494634,0.0000
2018-09-14,4.2000,4.2100,3.9800,4.0400,4.0400,3161718,0.0000
2018-09-07,4.1800,4.1800,4.0400,4.1700,4.1700,1464343,0.0000
2018-08-31,4.3000,4.3100,4.0700,4.1800,4.1800,2163849,0.0000
2018-08-24,4.3000,4.3500,4.2350,4.3100,4.3100,1670661,0.0000
2018-08-17,4.2200,4.3100,4.1050,4.3000,4.3000,2469258,0.0000
2018-08-10,4.0800,4.2400,4.0300,4.2200,4.2200,2658041,0.0000
2018-08-03,3.9100,4.1500,3.7300,4.1100,4.1100,7787622,0.0000
2018-07-27,4.3900,4.4550,3.5501,3.9300,3.9300,6878193,0.0000
2018-07-20,4.1100,4.4600,4.0900,4.4200,4.4200,2437001,0.0000
2018-07-13,4.1100,4.2000,4.0200,4.1200,4.1200,1765854,0.0000
2018-07-06,3.9200,4.2100,3.9000,4.1000,4.1000,1690145,0.0000
2018-06-29,4.4700,4.4900,3.9400,3.9600,3.9600,3711206,0.0000
2018-06-22,4.3100,4.7000,4.3100,4.5000,4.5000,4316656,0.0000
2018-06-15,4.5000,4.6000,4.2250,4.3800,4.3800,3925174,0.0000
2018-06-08,4.4900,4.6200,4.4500,4.5100,4.5100,2489212,0.0000
2018-06-01,4.4500,4.4800,4.3600,4.4800,4.4800,2800317,0.0000
2018-05-25,4.6000,4.6807,4.4150,4.4900,4.4900,3239121,0.0000
2018-05-18,4.7000,4.7500,4.5400,4.6000,4.6000,2873473,0.0000
2018-05-11,4.7500,4.8400,4.6400,4.6800,4.6800,4247975,0.0000
2018-05-04,4.0500,4.7900,4.0300,4.6900,4.6900,10445225,0.0000
2018-04-27,4.0700,4.2500,4.0341,4.0500,4.0500,2706478,0.0000
2018-04-20,4.1100,4.2100,4.0400,4.0600,4.0600,2787735,0.0000
2018-04-13,4.3400,4.3700,4.0800,4.0900,4.0900,3263498,0.0000
2018-04-06,4.0900,4.4250,4.0500,4.3400,4.3400,5478396,0.0000
2018-03-29,4.0200,4.2600,3.9600,4.1200,4.1200,4336722,0.0000
2018-03-23,4.4700,4.4700,3.9120,3.9900,3.9900,6099876,0.0000
2018-03-16,4.2500,4.4500,4.2500,4.4500,4.4500,6314411,0.0000
2018-03-09,3.7100,4.3000,3.6500,4.2500,4.2500,18038728,0.0000
2018-03-02,3.4500,3.7000,3.3500,3.6900,3.6900,8611820,0.0000
2018-02-23,3.7000,3.7300,3.4000,3.4200,3.4200,3999857,0.0000
2018-02-16,3.2400,3.7700,3.2100,3.7300,3.7300,7462690,0.0000
2018-02-09,3.2100,3.4700,3.0600,3.2000,3.2000,12472198,0.0000
2018-02-02,3.4400,3.4900,3.1900,3.2500,3.2500,4614096,0.0000
2018-01-26,3.1000,3.5400,3.0950,3.4700,3.4700,8686836,0.0000
2018-01-19,3.0400,3.1500,2.9600,3.1100,3.1100,6825280,0.0000
2018-01-12,3.0600,3.1000,2.9900,3.0500,3.0500,4836488,0.0000
2018-01-05,3.1400,3.1500,3.0000,3.0500,3.0500,4541218,0.0000
2017-12-29,3.1900,3.2150,3.0500,3.1300,3.1300,5996204,0.0000
2017-12-22,3.2400,3.2900,3.1000,3.2000,3.2000,4811589,0.0000
2017-12-15,3.0200,3.2300,3.0000,3.2300,3.2300,8034284,0.0000
2017-12-08,3.3000,3.3250,2.9700,3.0100,3.0100,11143393,0.0000
2017-12-01,3.1300,3.3200,3.0400,3.2600,3.2600,6051293,0.0000
2017-11-24,3.2200,3.2900,3.0900,3.1500,3.1500,6600808,0.0000
2017-11-17,3.1000,3.2800,2.9500,3.2400,3.2400,7164702,0.0000
2017-11-10,3.4700,3.4800,3.0700,3.1300,3.1300,7376208,0.0000
2017-11-03,3.4900,3.6100,3.2900,3.4600,3.4600,11851084,0.0000
2017-10-27,3.8800,3.9600,3.1600,3.5200,3.5200,10049688,0.0000
2017-10-20,3.6700,4.1300,3.6100,3.8900,3.8900,9507492,0.0000
2017-10-13,3.6800,3.7700,3.5600,3.6500,3.6500,5376165,0.0000
2017-10-06,3.4400,3.7000,3.4400,3.6400,3.6400,7808344,0.0000
2017-09-29,3.1900,3.5900,3.1400,3.4400,3.4400,8318815,0.0000
2017-09-22,3.0500,3.2000,2.9900,3.1900,3.1900,4303177,0.0000
2017-09-15,2.9700,3.0700,2.9400,3.0300,3.0300,4486827,0.0000
2017-09-08,2.9500,2.9900,2.8400,2.9400,2.9400,4596784,0.0000
2017-09-01,2.9000,2.9700,2.7400,2.9500,2.9500,6085131,0.0000
2017-08-25,2.7800,2.9200,2.6600,2.9000,2.9000,5498325,0.0000
2017-08-18,2.8600,2.9200,2.6800,2.7900,2.7900,6760927,0.0000
2017-08-11,2.8200,2.9900,2.7100,2.8400,2.8400,5985060,0.0000
2017-08-04,2.8400,3.0600,2.7400,2.8300,2.8300,6288802,0.0000
2017-07-28,2.7800,3.1600,2.6900,2.8400,2.8400,8110360,0.0000
2017-07-21,2.7800,2.8800,2.6500,2.7200,2.7200,4850187,0.0000
2017-07-14,2.7000,2.8600,2.6600,2.8000,2.8000,2899334,0.0000
2017-07-07,2.7000,2.8500,2.6500,2.7200,2.7200,2603399,0.0000
2017-06-30,2.7700,2.8900,2.6900,2.6900,2.6900,4760856,0.0000
2017-06-23,2.7600,2.8300,2.6000,2.7700,2.7700,5158454,0.0000
2017-06-16,2.6700,2.9500,2.6400,2.8200,2.8200,6620478,0.0000
2017-06-09,2.6700,2.7500,2.5200,2.6700,2.6700,5436646,0.0000
2017-06-02,2.6400,2.7200,2.4600,2.6900,2.6900,8171078,0.0000
2017-05-26,2.5900,2.7500,2.5600,2.6600,2.6600,8736173,0.0000
2017-05-19,2.7400,2.8100,2.4800,2.5800,2.5800,12375039,0.0000
2017-05-12,2.5200,2.8300,2.4100,2.7100,2.7100,16345248,0.0000
2017-05-05,2.9300,3.3800,2.3800,2.4900,2.4900,92088304,0.0000
2017-04-28,2.3500,2.4700,2.1200,2.2900,2.2900,45131131,0.0000
2017-04-21,5.3800,5.5300,2.1200,2.4200,2.4200,37667651,0.0000
2017-04-13,5.3500,5.5600,5.3100,5.3500,5.3500,5825027,0.0000
2017-04-07,5.4600,5.6900,5.1500,5.3500,5.3500,13632097,0.0000
2017-03-31,4.7000,5.5500,4.6200,5.4700,5.4700,14203107,0.0000
2017-03-24,4.8700,4.9300,4.4800,4.8100,4.8100,12341084,0.0000
2017-03-17,4.4500,4.9500,4.4100,4.8700,4.8700,11749804,0.0000
2017-03-10,4.7600,4.7700,4.4100,4.4500,4.4500,18896085,0.0000
2017-03-03,4.2500,4.9500,4.1400,4.8300,4.8300,22954519,0.0000
2017-02-24,5.7500,5.9500,4.0600,4.2400,4.2400,29254919,0.0000
2017-02-17,5.4800,5.9700,5.1100,5.2400,5.2400,18033199,0.0000
2017-02-10,5.3100,5.5000,5.1800,5.4100,5.4100,14336649,0.0000
2017-02-03,5.2600,5.4700,5.0950,5.3300,5.3300,9500331,0.0000
2017-01-27,4.9100,5.4000,4.8100,5.3300,5.3300,13843771,0.0000
2017-01-20,5.0000,5.1600,4.6500,4.9000,4.9000,11550038,0.0000
2017-01-13,5.7100,5.9000,4.8200,5.0400,5.0400,17178074,0.0000
2017-01-06,5.4400,5.9800,5.4400,5.7600,5.7600,6930325,0.0000
2016-12-30,5.6300,5.7500,5.3110,5.3900,5.3900,9083772,0.0000
2016-12-23,5.1500,5.7750,5.1500,5.6000,5.6000,12122294,0.0000
2016-12-16,5.8800,5.9400,5.1500,5.1700,5.1700,18257822,0.0000
2016-12-09,5.0800,6.1500,5.0600,5.8700,5.8700,15149125,0.0000
2016-12-02,5.2100,5.2700,4.8500,5.0500,5.0500,14132316,0.0000
2016-11-25,5.0900,5.1895,4.9900,5.1500,5.1500,5773355,0.0000
2016-11-18,4.8300,5.1000,4.5193,5.0600,5.0600,16278941,0.0000
2016-11-11,4.3605,5.0100,4.2390,4.7300,4.7300,24271661,0.0000
2016-11-04,4.2700,4.4200,4.1599,4.2600,4.2600,15649857,0.0000
2016-10-28,4.0300,4.5100,3.5000,4.1900,4.1900,38327772,0.0000
2016-10-21,3.6700,4.2800,3.5500,4.0000,4.0000,19018511,0.0000
2016-10-14,3.7400,3.8200,3.4800,3.6800,3.6800,14654569,0.0000
2016-10-07,3.7000,4.1200,3.5800,3.7400,3.7400,19940229,0.0000
2016-09-30,3.4700,3.7500,3.3499,3.6700,3.6700,8230774,0.0000
2016-09-23,3.5700,3.6600,3.4500,3.5100,3.5100,9210487,0.0000
2016-09-16,3.3000,3.5500,3.1800,3.5200,3.5200,14321758,0.0000
2016-09-09,3.4000,3.5200,3.2200,3.3500,3.3500,6864007,0.0000
2016-09-02,3.4300,3.7211,3.2400,3.4400,3.4400,17108749,0.0000
2016-08-26,3.1500,3.4293,3.0900,3.3900,3.3900,7921898,0.0000
2016-08-19,3.0700,3.4400,3.0600,3.1800,3.1800,14066950,0.0000
2016-08-12,2.2500,3.1700,2.2400,3.0500,3.0500,28916597,0.0000
2016-08-05,2.0200,2.2800,1.9800,2.2300,2.2300,9890391,0.0000
2016-07-29,1.6100,2.1400,1.5700,2.0000,2.0000,14724247,0.0000
2016-07-22,1.7900,1.8800,1.5900,1.6000,1.6000,6182947,0.0000
2016-07-15,1.6400,1.8600,1.6400,1.8100,1.8100,7130509,0.0000
2016-07-08,1.7400,1.7400,1.2900,1.6300,1.6300,9669276,0.0000
2016-07-01,1.6800,1.7800,1.5300,1.7400,1.7400,7000228,0.0000
2016-06-24,1.6400,1.7850,1.5500,1.7000,1.7000,15698305,0.0000
2016-06-17,1.7400,1.7500,1.5000,1.5800,1.5800,7030165,0.0000
2016-06-10,2.2700,2.3400,1.7400,1.7600,1.7600,11391258,0.0000
2016-06-03,2.0100,2.2800,1.9400,2.2200,2.2200,7270341,0.0000
2016-05-27,1.5900,2.1100,1.4700,1.9800,1.9800,24409613,0.0000
2016-05-20,2.0400,2.1100,1.4400,1.5900,1.5900,16492820,0.0000
2016-05-13,2.0200,2.1650,1.9000,2.0100,2.0100,8970178,0.0000
2016-05-06,2.2500,2.2600,1.9900,2.0200,2.0200,14290112,0.0000
2016-04-29,2.6200,2.9200,2.0800,2.2600,2.2600,20753712,0.0000
2016-04-22,2.4500,2.6100,2.3500,2.6000,2.6000,12732005,0.0000
2016-04-15,2.4400,2.5600,2.4300,2.5200,2.5200,7464608,0.0000
2016-04-08,2.4500,2.5300,2.3150,2.4100,2.4100,7616837,0.0000
2016-04-01,2.5200,2.6300,2.3100,2.4500,2.4500,7733951,0.0000
2016-03-24,2.7900,2.8850,2.4200,2.4800,2.4800,8779519,0.0000
2016-03-18,2.9100,3.0900,2.6200,2.8100,2.8100,13224862,0.0000
2016-03-11,2.4700,3.0000,2.4300,2.9500,2.9500,21996676,0.0000
2016-03-04,5.0200,5.6900,2.0500,2.3800,2.3800,73933275,0.0000
2016-02-26,5.7500,6.4100,5.5400,6.1500,6.1500,8408419,0.0000
2016-02-19,5.2000,5.8000,5.1975,5.6700,5.6700,4660583,0.0000
2016-02-12,5.1500,5.2100,4.5700,5.1300,5.1300,8543718,0.0000
2016-02-05,5.3600,5.6150,4.9400,5.2500,5.2500,11706985,0.0000
2016-01-29,5.4100,5.4700,4.9500,5.4100,5.4100,13327031,0.0000
2016-01-22,5.9500,5.9500,4.4375,5.4400,5.4400,17476687,0.0000
2016-01-15,6.8100,6.8800,5.4300,5.9000,5.9000,14058013,0.0000
2016-01-08,6.9400,7.4700,6.6500,6.7900,6.7900,11346565,0.0000
2015-12-31,7.4600,7.5000,6.8250,6.9700,6.9700,5779727,0.0000
2015-12-24,6.8400,7.6300,6.8400,7.4800,7.4800,9147287,0.0000
2015-12-18,5.8900,6.8700,5.7600,6.8400,6.8400,15457918,0.0000
2015-12-11,6.2700,6.4900,5.8400,5.9100,5.9100,13642270,0.0000
2015-12-04,7.0200,7.2800,6.2200,6.2800,6.2800,15278953,0.0000
2015-11-27,6.5700,7.0300,6.3900,6.9600,6.9600,5341931,0.0000
2015-11-20,6.3300,7.4902,6.2150,6.6100,6.6100,7524752,0.0000
2015-11-13,7.3000,7.4400,6.1750,6.2900,6.2900,9821817,0.0000
2015-11-06,6.9800,7.3500,6.6300,7.2700,7.2700,10466352,0.0000
2015-10-30,7.4700,7.6700,6.5100,6.9900,6.9900,13497041,0.0000
2015-10-23,7.9200,8.3400,7.2600,7.5100,7.5100,12114719,0.0000
2015-10-16,8.0100,8.2300,7.2500,7.8800,7.8800,10848715,0.0000
2015-10-09,7.4100,8.2300,7.3700,7.9500,7.9500,18093668,0.0000
2015-10-02,6.8900,7.4000,6.6000,7.2700,7.2700,12206374,0.0000
2015-09-25,7.2800,7.4700,6.6700,6.9200,6.9200,11474678,0.0000
2015-09-18,8.2400,8.2900,7.0500,7.1500,7.1500,8694617,0.0000
2015-09-11,7.9500,8.5400,7.9400,8.2400,8.2400,6508598,0.0000
2015-09-04,7.1600,7.9000,7.0800,7.7900,7.7900,8367225,0.0000
2015-08-28,6.7000,7.4100,6.4100,7.2600,7.2600,13260672,0.0000
2015-08-21,7.1600,7.5400,6.7500,6.9500,6.9500,11188500,0.0000
2015-08-14,7.1500,7.7400,7.1400,7.2300,7.2300,13464514,0.0000
2015-08-07,8.5700,8.6800,6.9700,7.1700,7.1700,36730466,0.0000
2015-07-31,10.7600,11.8200,7.9800,8.4300,8.4300,29513099,0.0000
2015-07-24,10.2300,11.4000,10.1500,10.8200,10.8200,8344363,0.0000
2015-07-17,10.2600,10.5500,10.0250,10.2400,10.2400,7673533,0.0000
2015-07-10,9.8900,10.4800,9.7400,10.1800,10.1800,12301086,0.0000
2015-07-02,10.5900,10.6700,9.9400,10.0500,10.0500,5740007,0.0000
2015-06-26,10.5300,10.9200,10.2500,10.7800,10.7800,16005471,0.0000
2015-06-19,10.9100,11.0500,10.0900,10.4500,10.4500,10482228,0.0000
2015-06-12,9.3700,11.2050,9.3400,11.0200,11.0200,17690654,0.0000
2015-06-05,10.1800,10.5100,9.2500,9.3700,9.3700,17306276,0.0000
2015-05-29,10.2600,10.7700,9.9700,10.1600,10.1600,9285104,0.0000
2015-05-22,10.0700,10.4900,9.7000,10.3400,10.3400,12817884,0.0000
2015-05-15,10.4000,11.2900,9.8100,10.0300,10.0300,15954308,0.0000
2015-05-08,10.2300,11.1800,9.8900,10.4700,10.4700,22190236,0.0000
2015-05-01,7.7500,10.4500,7.7300,10.2600,10.2600,33724285,0.0000
