timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,38.5000,38.8500,37.9700,38.8200,38.8200,1534440,0.0000
2019-04-05,38.5600,38.8500,37.9200,38.4700,38.4700,2410918,0.0000
2019-03-29,37.4200,38.8500,37.1700,38.4300,38.4300,2074593,0.0000
2019-03-22,38.5900,38.7700,37.3200,37.4400,37.4400,2345240,0.0000
2019-03-15,37.6400,38.3300,37.4900,38.1000,38.1000,2041912,0.0000
2019-03-08,37.9800,38.3000,37.0100,37.5700,37.5700,1782952,0.0000
2019-03-01,38.0000,38.4200,37.9000,38.0700,38.0700,1777959,0.1518
2019-02-22,37.4600,37.9800,37.2700,37.8900,37.7389,1612531,0.0000
2019-02-15,37.0100,37.6000,36.6100,37.5600,37.4102,2810227,0.0000
2019-02-08,37.0500,37.9400,36.6800,37.0300,36.8824,3016116,0.0000
2019-02-01,35.5500,38.2300,34.7900,37.2400,37.0915,4055191,0.0000
2019-01-25,34.6500,36.1600,34.2400,35.8100,35.6672,1936873,0.0000
2019-01-18,34.1900,35.3500,33.8700,35.2900,35.1493,1414173,0.0000
2019-01-11,32.2200,34.5850,32.0400,34.4900,34.3525,2234503,0.0000
2019-01-04,32.7400,32.7823,31.4300,32.2100,32.0816,1570772,0.0000
2018-12-28,31.4100,32.8400,30.9900,32.4400,32.3107,1705053,0.0000
2018-12-21,32.6400,33.6400,31.3300,31.4400,31.3146,2951192,0.0000
2018-12-14,33.0500,34.6500,32.6200,32.7400,32.6095,2287534,0.0000
2018-12-07,34.9300,34.9300,32.8200,33.0600,32.9282,2309066,0.0000
2018-11-30,33.7200,34.7600,33.6300,34.3100,34.1732,1860644,0.1518
2018-11-23,33.2300,33.7900,32.0000,33.5000,33.2181,2015953,0.0000
2018-11-16,32.9300,33.4700,32.3300,33.2000,32.9206,2413976,0.0000
2018-11-09,33.1800,33.8800,32.7200,33.0500,32.7719,1936784,0.0000
2018-11-02,33.6700,34.2700,31.9800,33.1600,32.8810,3091546,0.0000
2018-10-26,34.1600,34.6100,32.6550,33.1100,32.8314,2130306,0.0000
2018-10-19,34.6800,35.1000,33.8900,33.9900,33.7040,1801269,0.0000
2018-10-12,36.2100,37.2300,33.8900,34.7800,34.4873,2832384,0.0000
2018-10-05,38.2300,38.5800,36.0100,36.2200,35.9152,1917627,0.0000
2018-09-28,38.0200,38.5500,37.7700,38.0400,37.7199,1712248,0.0000
2018-09-21,38.6200,38.8500,37.7100,38.1700,37.8488,1630081,0.0000
2018-09-14,38.4400,38.8300,37.9500,38.6200,38.2950,2154901,0.0000
2018-09-07,39.2100,39.4500,38.0610,38.3700,38.0471,1649851,0.0000
2018-08-31,39.1100,39.7500,38.8200,39.2500,38.9197,2570570,0.1518
2018-08-24,38.9200,39.1300,38.2400,38.9400,38.4654,2248363,0.0000
2018-08-17,39.0000,39.3900,38.3200,38.8300,38.3567,2550128,0.0000
2018-08-10,39.2400,39.6900,38.2900,38.9800,38.5049,3306190,0.0000
2018-08-03,37.9300,40.0150,36.8900,39.2700,38.7914,3896871,0.0000
2018-07-27,37.8600,38.5800,37.3500,37.8300,37.3689,2372480,0.0000
2018-07-20,37.8300,38.2300,37.0300,37.9100,37.4479,2053687,0.0000
2018-07-13,36.5800,38.1400,36.4200,37.9200,37.4578,2165994,0.0000
2018-07-06,34.9900,36.4800,34.9312,36.4400,35.9958,1195492,0.0000
2018-06-29,35.5200,35.5200,34.5000,35.1900,34.7611,2292112,0.0000
2018-06-22,35.7200,36.1700,35.2900,35.7800,35.3439,2383342,0.0000
2018-06-15,35.8000,36.5800,35.3700,35.9200,35.4822,2204506,0.0000
2018-06-08,35.4000,35.7800,35.0010,35.6700,35.2352,1452002,0.1518
2018-06-01,34.3800,35.5050,33.8800,35.3100,34.7307,1564524,0.0000
2018-05-25,34.1700,35.1900,33.9000,34.7300,34.1602,1604149,0.0000
2018-05-18,34.8600,35.1400,33.8100,34.0000,33.4422,2604528,0.0000
2018-05-11,36.3600,36.7700,33.2600,34.8400,34.2684,5547631,0.0000
2018-05-04,35.6900,36.3700,35.2400,36.1800,35.5865,1416761,0.0000
2018-04-27,35.2700,35.9900,34.5900,35.5300,34.9471,1584304,0.0000
2018-04-20,34.2700,36.4600,34.2100,35.3000,34.7209,3165738,0.0000
2018-04-13,34.2200,35.0890,33.9500,34.1800,33.6193,1628690,0.0000
2018-04-06,34.6600,35.0400,33.5900,34.1600,33.5996,2002759,0.0000
2018-03-29,34.3300,34.8900,33.7826,34.8000,34.2291,2198244,0.0000
2018-03-23,36.2200,36.3200,34.2100,34.2400,33.6783,2402839,0.0000
2018-03-16,36.2800,36.8400,36.0000,36.3100,35.7143,2218438,0.0000
2018-03-09,34.5500,36.3600,34.4100,36.2200,35.6258,2950609,0.0000
2018-03-02,35.5700,35.8750,34.2403,34.8400,34.2684,2507825,0.1320
2018-02-23,35.0100,35.4300,34.4250,35.4100,34.6970,2202170,0.0000
2018-02-16,34.6800,35.6800,34.3000,35.1100,34.4031,2936827,0.0000
2018-02-09,36.3400,36.9850,33.4800,34.4300,33.7368,5937200,0.0000
2018-02-02,34.2000,40.3100,33.9100,36.5000,35.7651,7990007,0.0000
2018-01-26,33.5800,34.6800,33.4500,34.2100,33.5212,2020569,0.0000
2018-01-19,33.8100,33.9300,33.4100,33.6600,32.9823,1789391,0.0000
2018-01-12,34.2500,34.2900,33.1900,33.8100,33.1292,2521631,0.0000
2018-01-05,35.6700,35.6700,34.1100,34.3100,33.6192,3202947,0.0000
2017-12-29,32.7500,35.8000,32.7000,35.6700,34.9518,5595778,0.0000
2017-12-22,32.8400,33.0000,32.3300,32.7600,32.1004,1883657,0.0000
2017-12-15,32.6100,33.0500,32.4555,32.7900,32.1298,1990751,0.0000
2017-12-08,32.5500,32.7700,32.0500,32.5300,31.8750,2428393,0.0000
2017-12-01,33.0800,33.3600,32.1100,32.4700,31.8162,3214759,0.1320
2017-11-24,33.0700,33.9250,32.7900,33.0200,32.2247,3081461,0.0000
2017-11-17,33.2600,33.4100,32.8200,33.0600,32.2637,2705277,0.0000
2017-11-10,34.3800,34.5600,32.5601,33.4200,32.6151,2535522,0.0000
2017-11-03,34.7400,35.4500,33.9900,34.4800,33.6495,3163960,0.0000
2017-10-27,33.8700,34.8300,33.7500,34.7200,33.8838,1884636,0.0000
2017-10-20,33.4700,34.0700,33.4700,33.7900,32.9762,2209629,0.0000
2017-10-13,33.3000,33.8500,33.1100,33.6800,32.8688,1607843,0.0000
2017-10-06,32.2800,33.2750,32.2204,33.2500,32.4492,2217787,0.0000
2017-09-29,32.0600,32.4300,31.2100,32.2900,31.5123,2338419,0.0000
