timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,1.2800,1.3500,1.0200,1.0450,1.0450,3564218,0.0000
2019-04-12,1.1300,1.2700,1.0300,1.2000,1.2000,3219694,0.0000
2019-04-05,1.3500,1.3600,1.0000,1.0700,1.0700,2892529,0.0000
2019-03-29,1.4300,1.4600,1.3000,1.3500,1.3500,1482337,0.0000
2019-03-22,1.6600,1.7500,1.3700,1.4200,1.4200,1807417,0.0000
2019-03-15,1.5500,1.8400,1.5400,1.6500,1.6500,1688616,0.0000
2019-03-08,1.6500,1.6800,1.5000,1.5600,1.5600,347742,0.0000
2019-03-01,1.6100,1.6800,1.5100,1.6100,1.6100,440454,0.0000
2019-02-22,1.5300,1.7500,1.5000,1.6200,1.6200,892232,0.0000
2019-02-15,1.3300,1.6700,1.3000,1.5300,1.5300,1334920,0.0000
2019-02-08,1.3400,1.3900,1.2300,1.3100,1.3100,562341,0.0000
2019-02-01,1.2900,1.4600,1.2300,1.3500,1.3500,1116853,0.0000
2019-01-25,1.3600,1.3676,1.1400,1.2800,1.2800,1383547,0.0000
2019-01-18,1.5800,1.6000,1.2500,1.3400,1.3400,2249027,0.0000
2019-01-11,1.6400,1.8500,1.5200,1.6000,1.6000,5354920,0.0000
2019-01-04,1.6000,1.7900,1.5100,1.6000,1.6000,1838038,0.0000
2018-12-28,1.9600,2.0000,1.4600,1.5600,1.5600,2160143,0.0000
2018-12-21,2.4200,2.4200,1.9200,1.9400,1.9400,657216,0.0000
2018-12-14,2.5700,2.6000,2.2000,2.3868,2.3868,1306687,0.0000
2018-12-07,2.8600,2.8600,2.2500,2.3700,2.3700,1126050,0.0000
2018-11-30,3.7000,4.6900,2.6500,2.7700,2.7700,2795405,0.0000
2018-11-23,3.5400,3.8000,3.3700,3.7400,3.7400,284123,0.0000
2018-11-16,3.7800,3.8850,3.4170,3.5300,3.5300,292497,0.0000
2018-11-09,3.5000,3.8900,3.4900,3.7800,3.7800,292248,0.0000
2018-11-02,3.7000,3.7770,3.2200,3.5000,3.5000,359115,0.0000
2018-10-26,3.6000,3.8700,3.6000,3.6900,3.6900,255189,0.0000
2018-10-19,3.5300,3.7500,3.3800,3.5700,3.5700,279709,0.0000
2018-10-12,4.0300,4.0500,3.5600,3.6094,3.6094,527096,0.0000
2018-10-05,3.8800,4.1700,3.8800,4.0104,4.0104,660725,0.0000
2018-09-28,3.7800,4.0900,3.7800,3.8800,3.8800,441114,0.0000
2018-09-21,3.9300,4.1100,3.5600,3.8600,3.8600,601595,0.0000
2018-09-14,3.6600,4.2300,3.5800,3.8300,3.8300,1459179,0.0000
2018-09-07,3.3400,3.8300,3.3400,3.5600,3.5600,968270,0.0000
2018-08-31,3.0500,3.4900,2.9900,3.3400,3.3400,1101650,0.0000
2018-08-24,2.8700,3.0782,2.8700,3.0253,3.0253,237447,0.0000
2018-08-17,3.0500,3.1500,2.9112,2.9500,2.9500,360460,0.0000
2018-08-10,3.0000,3.0900,2.8500,2.9500,2.9500,514133,0.0000
2018-08-03,3.0300,3.1300,2.9300,2.9900,2.9900,410170,0.0000
2018-07-27,2.9500,3.8400,2.9100,3.0500,3.0500,2452949,0.0000
2018-07-20,4.2800,4.4600,3.0300,3.1000,3.1000,6784344,0.0000
2018-07-13,2.6400,5.3700,2.5400,4.6200,4.6200,35616251,0.0000
2018-07-06,2.5943,2.6800,2.5500,2.5900,2.5900,92016,0.0000
2018-06-29,2.8100,3.0500,2.5601,2.6100,2.6100,648516,0.0000
2018-06-22,2.5500,2.9000,2.5500,2.8600,2.8600,546702,0.0000
2018-06-15,2.7000,3.1790,2.5200,2.5700,2.5700,879131,0.0000
2018-06-08,2.5200,2.7190,2.4500,2.6600,2.6600,489784,0.0000
2018-06-01,2.4900,2.6800,2.4000,2.4900,2.4900,456726,0.0000
2018-05-25,2.5800,2.5999,2.3700,2.4700,2.4700,458135,0.0000
2018-05-18,2.5600,2.7690,2.5300,2.5300,2.5300,526566,0.0000
2018-05-11,2.4300,2.6290,2.3600,2.5300,2.5300,629037,0.0000
2018-05-04,2.6500,3.3000,2.3100,2.4200,2.4200,3187292,0.0000
2018-04-27,3.2000,3.2000,2.5500,2.5900,2.5900,702909,0.0000
2018-04-20,3.5900,3.5900,3.0000,3.1800,3.1800,760311,0.0000
2018-04-13,2.7000,4.1400,2.6501,3.1800,3.1800,2410992,0.0000
2018-04-06,2.8500,2.9802,2.6000,2.6800,2.6800,646276,0.0000
2018-03-29,2.9300,3.5594,2.7835,2.8500,2.8500,1699496,0.0000
2018-03-23,3.0200,3.3900,2.8100,2.8300,2.8300,774319,0.0000
2018-03-16,4.5500,4.6900,2.8800,3.1000,3.1000,4281510,0.0000
2018-03-09,2.6200,6.3500,2.5100,4.6200,4.6200,31368317,0.0000
2018-03-02,2.5900,2.8058,2.2001,2.6200,2.6200,221340,0.0000
2018-02-23,2.5100,2.6500,2.5100,2.5900,2.5900,44384,0.0000
2018-02-16,2.7873,2.9808,2.5600,2.5600,2.5600,163573,0.0000
2018-02-09,2.9300,3.1431,2.5687,2.8100,2.8100,247839,0.0000
2018-02-02,3.3500,3.5000,2.8861,3.0200,3.0200,232951,0.0000
2018-01-26,3.9600,4.3600,3.1600,3.3500,3.3500,884021,0.0000
2018-01-19,3.4900,3.8499,3.1601,3.8300,3.8300,373885,0.0000
2018-01-12,3.1300,3.6700,3.0800,3.3700,3.3700,499804,0.0000
2018-01-05,2.8800,3.2909,2.7800,3.1100,3.1100,319499,0.0000
2017-12-29,3.4900,3.4900,2.7500,2.8800,2.8800,435223,0.0000
2017-12-22,4.3400,4.3400,3.0400,3.4900,3.4900,2368422,0.0000
2017-12-15,2.1010,6.1699,2.0000,3.9000,3.9000,8124561,0.0000
2017-12-08,2.4800,2.6140,2.0000,2.0500,2.0500,309575,0.0000
2017-12-01,2.9600,3.0100,2.4800,2.4800,2.4800,185151,0.0000
