timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,3.3300,3.3300,2.6869,2.7400,2.7400,70041,0.0000
2019-04-05,3.4700,3.4900,3.3000,3.3000,3.3000,12406,0.0000
2019-03-29,3.8500,3.8600,3.4100,3.4200,3.4200,53468,0.0000
2019-03-22,3.7300,3.9500,3.5900,3.8700,3.8700,85217,0.0000
2019-03-15,3.7300,4.0200,3.5400,3.7800,3.7800,223489,0.0000
2019-03-08,3.6700,3.8000,3.3600,3.7400,3.7400,131233,0.0000
2019-03-01,3.7000,3.7401,3.4100,3.6702,3.6702,89432,0.0000
2019-02-22,3.5300,3.7000,3.5000,3.6625,3.6625,73376,0.0000
2019-02-15,3.1600,3.5100,3.1000,3.5000,3.5000,92025,0.0000
2019-02-08,3.0900,3.2000,3.0200,3.0500,3.0500,48671,0.0000
2019-02-01,3.0000,3.1100,2.8600,3.0900,3.0900,62719,0.0000
2019-01-25,2.9100,3.0000,2.6000,2.9900,2.9900,28112,0.0000
2019-01-18,2.8500,3.0000,2.6100,2.9800,2.9800,18913,0.0000
2019-01-11,2.5000,2.9900,2.5000,2.8500,2.8500,22104,0.0000
2019-01-04,2.2500,2.5000,1.9500,2.4500,2.4500,65844,0.0000
2018-12-28,2.5500,2.7100,1.9717,2.2500,2.2500,102495,0.0000
2018-12-21,2.8300,2.9090,2.5000,2.5500,2.5500,143985,0.0000
2018-12-14,2.9600,3.0400,2.7901,2.8900,2.8900,61915,0.0000
2018-12-07,3.0700,3.0900,2.8400,2.9100,2.9100,67703,0.0000
2018-11-30,2.6000,3.0800,2.4700,3.0500,3.0500,188132,0.0000
2018-11-23,2.9000,2.9500,2.5100,2.5100,2.5100,57661,0.0000
2018-11-16,2.8900,3.0300,2.8200,2.9400,2.9400,35797,0.0000
2018-11-09,3.0500,3.1000,2.7135,2.9000,2.9000,86480,0.0000
2018-11-02,2.8200,3.1000,2.7182,3.0000,3.0000,129231,0.0000
2018-10-26,2.9500,3.0000,2.5000,2.8000,2.8000,86236,0.0000
2018-10-19,2.8200,3.1500,2.8000,3.0000,3.0000,29617,0.0000
2018-10-12,2.7600,2.9200,2.6000,2.8000,2.8000,130415,0.0000
2018-10-05,3.3400,3.3400,2.7600,2.7600,2.7600,181758,0.0000
2018-09-28,3.6500,4.1817,3.0600,3.3900,3.3900,395766,0.0000
2018-09-21,3.5400,3.7600,3.4884,3.7100,3.7100,204567,0.0000
2018-09-14,3.5600,3.8000,3.2424,3.5400,3.5400,207608,0.0000
2018-09-07,3.3600,3.8600,3.2400,3.4100,3.4100,202240,0.0000
2018-08-31,2.5500,3.7700,2.5500,3.1600,3.1600,474618,0.0000
2018-08-24,2.3600,2.5890,2.3600,2.5400,2.5400,88676,0.0000
2018-08-17,2.4500,2.5000,2.2220,2.3800,2.3800,98333,0.0000
2018-08-10,2.0800,2.7000,2.0539,2.4900,2.4900,515002,0.0000
2018-08-03,2.0400,2.1300,1.9700,2.1000,2.1000,41852,0.0000
2018-07-27,2.0000,2.1000,1.9300,2.0400,2.0400,159176,0.0000
2018-07-20,2.1800,2.1800,2.0500,2.0700,2.0700,50955,0.0000
2018-07-13,2.0500,2.2100,2.0000,2.1200,2.1200,150517,0.0000
2018-07-06,2.0800,2.1799,1.9300,2.0500,2.0500,57217,0.0000
2018-06-29,2.3000,2.3500,1.9401,2.0000,2.0000,196884,0.0000
2018-06-22,2.5000,2.5300,2.2400,2.2800,2.2800,657389,0.0000
2018-06-15,2.9100,2.9354,2.4500,2.5300,2.5300,128930,0.0000
2018-06-08,2.8600,2.8900,2.6798,2.8500,2.8500,40471,0.0000
2018-06-01,2.7900,2.9100,2.6100,2.8300,2.8300,86652,0.0000
2018-05-25,2.6800,2.8704,2.6600,2.8000,2.8000,120264,0.0000
2018-05-18,2.4700,3.2499,2.3300,2.6800,2.6800,219332,0.0000
2018-05-11,2.7400,2.7799,2.2300,2.4700,2.4700,165282,0.0000
2018-05-04,2.6500,2.8600,2.5700,2.7400,2.7400,85373,0.0000
2018-04-27,2.5200,2.6800,2.3600,2.6300,2.6300,116392,0.0000
2018-04-20,2.4700,2.8300,2.4600,2.4900,2.4900,146711,0.0000
2018-04-13,2.5500,2.5800,2.4000,2.4600,2.4600,104592,0.0000
2018-04-06,3.0200,3.0500,2.5500,2.5500,2.5500,112459,0.0000
2018-03-29,3.0008,3.2500,2.8600,3.0150,3.0150,279976,0.0000
2018-03-23,3.0900,3.0900,2.9900,3.0300,3.0300,137876,0.0000
2018-03-16,3.0500,3.5000,3.0000,3.0900,3.0900,164312,0.0000
2018-03-09,2.5500,3.1000,2.5200,3.0800,3.0800,266672,0.0000
2018-03-02,2.7800,2.8290,2.5200,2.5600,2.5600,115444,0.0000
2018-02-23,2.5300,2.8737,2.5200,2.7800,2.7800,94764,0.0000
2018-02-16,2.7300,2.9500,2.5287,2.5600,2.5600,243132,0.0000
2018-02-09,2.6500,2.8100,2.4510,2.7000,2.7000,181665,0.0000
2018-02-02,3.0800,3.1000,2.5700,2.6500,2.6500,589754,0.0000
2018-01-26,3.3500,3.3700,2.9500,3.0900,3.0900,262870,0.0000
2018-01-19,3.4700,3.5500,3.3000,3.3300,3.3300,220332,0.0000
2018-01-12,4.0000,4.0000,3.2028,3.4800,3.4800,597894,0.0000
2018-01-05,3.6800,4.2600,3.6100,4.0700,4.0700,644045,0.0000
2017-12-29,3.5500,3.8700,3.4000,3.6700,3.6700,641157,0.0000
2017-12-22,0.8900,4.5000,0.7500,3.6000,3.6000,3532494,0.0000
2017-12-15,0.8000,1.0500,0.7500,0.8606,4.3030,3982713,0.0000
2017-12-08,0.8616,0.8900,0.7900,0.7938,3.9690,763737,0.0000
2017-12-01,0.9400,0.9400,0.8500,0.8521,4.2605,1145583,0.0000
2017-11-24,0.9500,0.9500,0.8544,0.9029,4.5145,804280,0.0000
2017-11-17,0.9400,0.9500,0.7785,0.9400,4.7000,1620047,0.0000
2017-11-10,1.1000,1.1100,0.9000,0.9119,4.5595,1939664,0.0000
2017-11-03,1.1900,1.1900,0.9900,1.0700,5.3500,1581976,0.0000
2017-10-27,1.1500,1.2800,1.1300,1.1700,5.8500,2106404,0.0000
2017-10-20,1.4000,1.4200,1.1200,1.1900,5.9500,2072685,0.0000
2017-10-13,1.1600,1.5600,1.1300,1.3700,6.8500,5919964,0.0000
2017-10-06,1.1500,1.2200,1.0900,1.1300,5.6500,1602657,0.0000
2017-09-29,1.0200,1.2900,1.0200,1.1800,5.9000,3998610,0.0000
2017-09-22,1.0300,1.0500,0.9600,1.0100,5.0500,1507826,0.0000
