timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,138.4800,139.7900,138.0000,139.1882,139.1882,61972,0.0000
2019-04-05,136.1400,139.3000,136.0400,138.9199,138.9199,156570,0.0000
2019-03-29,132.8800,135.5596,132.0000,134.7400,134.7400,107006,0.0000
2019-03-22,134.0000,137.2400,133.2000,133.3100,133.3100,100501,0.0000
2019-03-15,130.4400,134.7200,130.4400,133.8900,133.8900,116463,0.0000
2019-03-08,132.2700,133.4718,127.5100,129.7700,129.7700,150992,0.0000
2019-03-01,132.1900,132.6045,130.6100,131.5100,131.5100,105701,0.0000
2019-02-22,128.7300,131.0400,128.2205,130.6500,130.6500,89789,0.0000
2019-02-15,127.7200,129.9900,126.5800,129.0700,129.0700,87708,0.0000
2019-02-08,126.4300,129.8300,124.9600,126.7300,126.7300,131165,0.0000
2019-02-01,121.5200,126.9800,120.3900,126.3400,126.3400,142725,0.0000
2019-01-25,121.9900,123.3900,118.1500,123.0600,123.0600,143119,0.0000
2019-01-18,116.9600,123.6200,116.2500,122.6800,122.6800,200538,0.0000
2019-01-11,113.6900,118.7400,113.6060,118.2500,118.2500,186649,0.0000
2019-01-04,110.5500,113.5727,107.5400,113.0600,113.0600,162541,0.0000
2018-12-28,103.0200,111.2800,102.2600,109.4900,109.4900,229916,0.0000
2018-12-21,115.5300,115.5300,103.4319,104.0700,104.0700,257841,0.0000
2018-12-14,115.4000,120.6100,114.5100,116.1400,116.1400,138708,0.0000
2018-12-07,121.9100,122.8400,114.8500,115.6901,115.6901,132540,0.0000
2018-11-30,113.1000,119.5322,113.1000,119.3600,119.3600,119476,0.0000
2018-11-23,117.1100,117.1100,108.8674,111.6500,111.6500,163633,0.0000
2018-11-16,118.9000,118.9000,115.7701,117.4300,117.4300,193631,0.0000
2018-11-09,121.7700,124.5199,118.2300,119.3500,119.3500,164029,0.0000
2018-11-02,117.5100,124.6500,110.9600,121.7700,121.7700,355269,0.0000
2018-10-26,121.2500,122.0300,113.7000,115.6500,115.6500,454254,0.0000
2018-10-19,122.0800,126.7600,119.6200,119.9600,119.9600,202775,0.0000
2018-10-12,127.0200,127.6700,117.3200,122.6400,122.6400,447243,0.0000
2018-10-05,135.4700,135.8948,126.3410,127.6000,127.6000,198225,0.0000
2018-09-28,133.6600,135.9700,131.3710,134.6700,134.6700,88173,0.0000
2018-09-21,134.2200,135.6700,131.5500,133.6100,133.6100,139218,0.0000
2018-09-14,132.8500,135.7600,131.2700,134.7400,134.7400,96523,0.0000
2018-09-07,137.4500,137.5000,130.8200,132.1500,132.1500,208808,0.0000
2018-08-31,138.0000,139.5749,137.6200,138.3800,138.3800,158326,0.0000
2018-08-24,132.7000,136.8100,132.0200,136.7700,136.7700,128491,0.0000
2018-08-17,136.5000,137.0000,131.1800,132.4500,132.4500,260519,0.0000
2018-08-10,136.0100,139.0100,136.0100,136.6500,136.6500,129295,0.0000
2018-08-03,138.7300,138.7300,133.3500,136.1300,136.1300,238471,0.0000
2018-07-27,142.3600,145.4400,138.0176,139.0100,139.0100,244839,0.0000
2018-07-20,145.0600,145.6890,141.6200,142.3500,142.3500,117510,0.0000
2018-07-13,144.9500,146.2800,141.6310,144.6200,144.6200,141665,0.0000
2018-07-06,137.8200,143.5630,137.4595,143.2600,143.2600,203975,0.0000
2018-06-29,143.4500,143.4500,136.7300,139.2400,139.2400,344557,0.0000
2018-06-22,145.8300,147.7500,143.0000,144.3500,144.3500,209937,0.0000
2018-06-15,140.7300,146.1100,140.7300,145.8600,145.8600,174443,0.0000
2018-06-08,138.3200,141.6600,138.0200,140.8300,140.8300,198911,0.0000
2018-06-01,133.0300,137.6754,132.8066,137.4700,137.4700,173521,0.0000
2018-05-25,132.8300,134.2500,131.0000,133.8200,133.8200,172613,0.0000
2018-05-18,134.2100,134.7100,131.0000,131.6600,131.6600,92895,0.0000
2018-05-11,130.2400,134.1100,130.2400,133.6300,133.6300,146077,0.0000
2018-05-04,129.3900,130.3200,126.6600,130.0900,130.0900,167727,0.0000
2018-04-27,130.8900,131.4300,123.6800,128.9100,128.9100,256667,0.0000
2018-04-20,127.2700,132.6100,126.3000,130.6500,130.6500,221077,0.0000
2018-04-13,125.6000,129.0500,124.9700,126.9050,126.9050,179804,0.0000
2018-04-06,127.2200,127.8700,121.3900,124.4800,124.4800,265551,0.0000
2018-03-29,131.1700,133.3900,123.9600,127.8200,127.8200,265356,0.0000
2018-03-23,137.8400,137.8400,128.8801,128.9400,128.9400,334214,0.0000
2018-03-16,141.1000,141.1000,137.3700,138.8400,138.8400,390315,0.0000
2018-03-09,131.3400,139.8100,130.8900,139.8100,139.8100,236825,0.0000
2018-03-02,133.0300,133.2700,127.1900,131.5500,131.5500,269012,0.0000
2018-02-23,129.0700,132.1099,128.8600,132.0700,132.0700,171046,0.0000
2018-02-16,122.9800,130.5000,120.9600,129.2300,129.2300,255295,0.0000
2018-02-09,125.6400,128.8400,116.5904,121.0500,121.0500,534270,0.0000
2018-02-02,131.9600,131.9600,127.9300,127.9700,127.9700,301207,0.0000
2018-01-26,124.7000,131.3400,123.7585,131.3400,131.3400,245956,0.0000
2018-01-19,125.2000,125.5008,122.8557,124.1800,124.1800,105843,0.0000
2018-01-12,122.4700,123.9200,121.3400,123.7700,123.7700,121889,0.0000
2018-01-05,116.9000,121.5800,116.6000,121.5500,121.5500,118152,0.0000
2017-12-29,116.8600,116.9300,115.6500,115.7100,115.7100,39824,0.0000
2017-12-22,117.3500,117.9800,116.4200,116.7200,116.7200,112871,0.0269
