timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,218.4200,221.0600,216.6550,220.5400,220.5400,2690527,0.0000
2019-04-05,217.3500,220.1400,216.1000,218.5700,218.5700,3464444,0.0000
2019-03-29,222.6300,224.9500,217.5300,217.7800,217.7800,5114329,0.0000
2019-03-22,217.3200,226.0600,215.2900,222.1200,222.1200,4998586,0.0000
2019-03-15,214.7300,220.2600,214.7300,217.6200,217.6200,6404789,2.0000
2019-03-08,212.5300,215.9895,209.4700,214.3200,212.3740,4564743,0.0000
2019-03-01,201.3600,213.0500,199.5875,212.0000,210.0751,6488420,0.0000
2019-02-22,208.0000,208.2200,199.5300,201.1400,199.3137,3759136,0.0000
2019-02-15,210.0400,211.1400,206.1950,207.7400,205.8538,3467580,0.0000
2019-02-08,208.9800,212.5000,207.4300,210.5700,208.6581,5297344,0.0000
2019-02-01,205.9500,213.1444,204.6700,209.5000,207.5978,4019360,0.0000
2019-01-25,203.3700,205.6800,198.4200,205.6400,203.7728,3352734,0.0000
2019-01-18,200.8300,205.3200,199.7600,203.1300,201.2856,2935519,0.0000
2019-01-11,196.4000,202.3200,195.1300,200.7000,198.8777,4375049,0.0000
2019-01-04,202.1900,202.8000,193.8900,196.6000,194.8149,4633363,0.0000
2018-12-28,203.0500,205.0900,195.7000,201.9000,200.0668,4088196,0.0000
2018-12-21,203.5100,209.3300,199.1600,203.3000,201.4541,8249996,0.0000
2018-12-14,214.2600,214.7100,198.5300,203.4700,201.6225,7770198,2.0000
2018-12-07,213.2500,216.7000,209.9900,214.1400,210.2008,5954969,0.0000
2018-11-30,208.1700,213.2900,205.5100,213.2600,209.3370,4700171,0.0000
2018-11-23,211.7000,214.9900,207.0000,207.6600,203.8400,2638461,0.0000
2018-11-16,206.8800,211.4200,206.2100,211.3700,207.4817,3977322,0.0000
2018-11-09,199.3700,207.9100,199.3700,206.3500,202.5541,5070203,0.0000
2018-11-02,202.1700,211.5000,197.7100,199.2300,195.5651,7885337,0.0000
2018-10-26,200.4900,203.3850,194.0900,200.8200,197.1258,5040984,0.0000
2018-10-19,196.3400,200.6500,196.3100,199.9600,196.2816,4242156,0.0000
2018-10-12,199.2100,202.5100,194.5300,196.8500,193.2288,4844967,0.0000
2018-10-05,202.2100,202.2100,194.7900,199.0100,195.3491,4568915,0.0000
2018-09-28,204.2800,204.5800,199.1500,201.6300,197.9209,3994164,0.0000
2018-09-21,206.8700,209.1714,203.0500,204.2300,200.4731,4530746,0.0000
2018-09-14,210.7200,212.4800,205.4100,206.5800,202.7798,4178985,2.0000
2018-09-07,212.9100,216.9400,208.8300,209.1100,203.3116,3583681,0.0000
2018-08-31,213.9150,214.8300,210.8700,212.5800,206.6854,4014885,0.0000
