timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,11.1800,11.1800,10.5200,10.6650,10.6650,182737,0.0000
2019-04-12,12.9800,12.9800,11.0200,11.1100,11.1100,764900,0.0000
2019-04-05,12.6100,13.1400,12.1400,12.9600,12.9600,1294517,0.0000
2019-03-29,13.7200,14.3600,12.1800,12.5700,12.5700,1458009,0.0000
2019-03-22,11.5200,14.0000,11.5200,13.7400,13.7400,1514093,0.0000
2019-03-15,9.1900,11.5400,8.9700,11.5200,11.5200,1217738,0.0000
2019-03-08,8.5000,9.4200,8.3500,9.1300,9.1300,563557,0.0000
2019-03-01,8.1000,8.6000,7.7200,8.3900,8.3900,743619,0.0000
2019-02-22,7.2450,8.1300,7.0800,8.0300,8.0300,316793,0.0000
2019-02-15,7.0800,7.7250,6.9750,7.3500,7.3500,352823,0.0000
2019-02-08,8.4300,8.7319,6.9500,7.1000,7.1000,494770,0.0000
2019-02-01,7.9300,8.5100,7.8800,8.4400,8.4400,998020,0.0000
2019-01-25,8.0400,8.4000,7.7100,8.0000,8.0000,399864,0.0000
2019-01-18,7.2700,8.5000,6.8310,8.1500,8.1500,1039385,0.0000
2019-01-11,6.7900,7.6000,6.7900,7.3500,7.3500,580531,0.0000
2019-01-04,6.4200,7.1600,6.3800,6.9400,6.9400,377647,0.0000
2018-12-28,6.5700,6.8100,6.2300,6.3600,6.3600,186802,0.0000
2018-12-21,6.8900,7.1200,6.4452,6.6700,6.6700,548605,0.0000
2018-12-14,6.6100,7.4500,6.6100,6.8900,6.8900,324098,0.0000
2018-12-07,6.7800,7.2000,6.1800,6.7300,6.7300,401320,0.0000
2018-11-30,7.3300,7.4400,5.4927,6.4700,6.4700,1438558,0.0000
2018-11-23,8.6800,9.1900,7.0800,7.3200,7.3200,150735,0.0000
2018-11-16,9.7000,10.1500,7.8400,8.7700,8.7700,565688,0.0000
2018-11-09,8.1000,9.8500,7.8700,9.7000,9.7000,487325,0.0000
2018-11-02,8.2900,8.7200,7.6200,8.0700,8.0700,294152,0.0000
2018-10-26,8.6800,9.2025,7.8100,8.1500,8.1500,447350,0.0000
