timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,5.8700,6.0400,5.7326,5.7326,5.7326,12183,0.0000
2019-04-05,5.5500,6.0200,5.4200,5.8200,5.8200,35498,0.0000
2019-03-29,5.7000,5.7799,4.9500,5.4796,5.4796,42116,0.0000
2019-03-22,5.4498,5.8850,5.4100,5.7459,5.7459,18512,0.0000
2019-03-15,5.6000,5.9400,5.4300,5.5500,5.5500,56289,0.0000
2019-03-08,6.5700,6.9500,5.2800,5.5800,5.5800,67149,0.0000
2019-03-01,6.7279,6.7490,6.4211,6.6075,6.6075,26259,0.0000
2019-02-22,6.4481,6.7499,6.4101,6.5100,6.5100,20950,0.0000
2019-02-15,5.7700,6.7900,5.7700,6.4200,6.4200,47820,0.0000
2019-02-08,5.6800,5.9500,5.6000,5.9500,5.9500,10906,0.0000
2019-02-01,5.6000,5.8200,5.5800,5.7699,5.7699,37010,0.0000
2019-01-25,5.7800,5.8390,5.5400,5.6200,5.6200,35921,0.0000
2019-01-18,6.0100,6.0665,5.3600,5.9000,5.9000,67862,0.0000
2019-01-11,5.7800,6.9500,5.7500,6.0100,6.0100,71781,0.0000
2019-01-04,5.1500,6.0799,5.0200,5.7500,5.7500,97237,0.0000
2018-12-28,4.7200,5.2075,4.7200,5.1500,5.1500,70508,0.0000
2018-12-21,5.4100,5.5220,4.8500,4.8523,4.8523,50588,0.0000
2018-12-14,5.6900,5.6900,5.2800,5.5500,5.5500,55295,0.0000
2018-12-07,5.0600,5.8400,4.6300,5.8136,5.8136,85369,0.0000
2018-11-30,4.9900,5.8345,4.9800,5.0000,5.0000,54384,0.0000
2018-11-23,5.2000,5.2700,4.5100,4.9100,4.9100,45345,0.0000
2018-11-16,5.5300,5.6398,5.1200,5.2080,5.2080,77860,0.0000
2018-11-09,6.2900,7.0800,5.1200,5.5350,5.5350,162719,0.0000
2018-11-02,6.2316,6.4900,6.1200,6.2800,6.2800,50723,0.0000
2018-10-26,6.7680,6.7680,6.0740,6.0801,6.0801,38081,0.0000
2018-10-19,6.8400,7.2000,6.8000,6.8300,6.8300,28803,0.0000
2018-10-12,7.4100,7.4169,6.5600,6.8600,6.8600,47738,0.0000
2018-10-05,8.0300,8.0300,7.3800,7.4000,7.4000,29615,0.0000
2018-09-28,7.9400,8.0000,7.7400,7.9100,7.9100,33550,0.0000
2018-09-21,8.0100,8.1500,7.8500,7.9100,7.9100,23372,0.0000
2018-09-14,7.9000,8.1429,7.8500,7.8500,7.8500,30040,0.0000
2018-09-07,8.2500,8.2500,7.7635,7.8500,7.8500,38534,0.0000
2018-08-31,8.1900,8.3000,8.1200,8.1500,8.1500,24757,0.0000
2018-08-24,8.3200,8.4900,8.1317,8.2326,8.2326,22670,0.0000
2018-08-17,8.2353,8.5000,8.2000,8.4000,8.4000,16823,0.0000
2018-08-10,7.4600,9.1750,7.4200,8.1500,8.1500,170791,0.0000
2018-08-03,7.2569,7.7300,7.2569,7.5200,7.5200,24049,0.0000
2018-07-27,7.4680,8.0500,7.4429,7.4900,7.4900,77449,0.0000
2018-07-20,7.5700,7.7800,7.3334,7.6200,7.6200,46662,0.0000
2018-07-13,7.4700,7.9199,7.4200,7.6000,7.6000,101462,0.0000
2018-07-06,7.7000,7.9200,7.2000,7.6100,7.6100,43682,0.0000
2018-06-29,8.0600,8.2654,7.3800,7.7500,7.7500,98505,0.0000
2018-06-22,8.5700,8.6000,8.0560,8.1100,8.1100,47455,0.0000
2018-06-15,8.9200,9.3894,8.4100,8.5400,8.5400,86799,0.0000
2018-06-08,9.2400,9.4852,8.8600,8.9800,8.9800,106503,0.0000
2018-06-01,9.2010,9.3900,9.1500,9.2900,9.2900,28798,0.0000
2018-05-25,9.9000,9.9000,9.2500,9.2700,9.2700,68371,0.0000
2018-05-18,9.8000,10.1200,9.1414,9.9900,9.9900,74533,0.0000
2018-05-11,10.7000,11.1969,9.5700,9.9200,9.9200,129568,0.0000
2018-05-04,10.5000,10.7700,10.3600,10.6900,10.6900,33208,0.0000
2018-04-27,10.8600,10.9800,10.2000,10.4600,10.4600,60773,0.0000
2018-04-20,10.9900,11.3200,10.6000,10.9000,10.9000,88255,0.0000
2018-04-13,10.9400,11.4990,10.7100,10.9600,10.9600,158642,0.0000
2018-04-06,11.0600,11.1800,10.5000,10.8000,10.8000,111594,0.0000
2018-03-29,11.8200,11.8890,10.4800,11.3000,11.3000,126331,0.0000
2018-03-23,11.5300,12.2500,11.0900,11.6200,11.6200,213786,0.0000
2018-03-16,9.5000,11.9000,8.9792,11.4700,11.4700,528254,0.0000
2018-03-09,8.7800,10.4900,8.7800,9.5500,9.5500,335335,0.0000
2018-03-02,13.0000,13.1486,8.7900,8.9000,8.9000,399063,0.0000
2018-02-23,11.2400,13.4999,11.1360,13.0000,13.0000,406531,0.0000
2018-02-16,11.7900,12.6600,10.0500,11.1400,11.1400,274521,0.0000
2018-02-09,10.9800,12.7490,10.1300,11.7000,11.7000,406544,0.0000
2018-02-02,8.7800,10.9900,8.5500,10.9900,10.9900,311544,0.0000
2018-01-26,7.8200,8.8000,7.8066,8.7850,8.7850,174698,0.0000
2018-01-19,8.2700,8.3200,7.5000,7.7800,7.7800,171400,0.0000
2018-01-12,7.9300,8.7000,7.8100,8.1400,8.1400,159477,0.0000
2018-01-05,8.5600,8.6600,7.7600,8.1500,8.1500,110946,0.0000
2017-12-29,7.7000,8.8990,7.3100,8.4000,8.4000,324312,0.0000
2017-12-22,7.7000,8.9120,7.2600,7.9000,7.9000,267690,0.0000
2017-12-15,7.1750,7.6877,6.5500,7.4900,7.4900,283334,0.0000
2017-12-08,7.3800,7.4000,6.6700,7.2470,7.2470,108713,0.0000
2017-12-01,7.8900,7.9000,7.2900,7.3300,7.3300,116495,0.0000
2017-11-24,7.9000,8.0700,7.6100,7.8900,7.8900,86676,0.0000
2017-11-17,9.6200,9.6200,7.0000,7.9300,7.9300,385254,0.0000
2017-11-10,8.8400,10.3600,7.9800,9.5400,9.5400,787780,0.0000
2017-11-03,7.1800,9.2900,6.8000,8.7600,8.7600,452510,0.0000
2017-10-27,6.7300,7.3500,6.7100,7.2400,7.2400,223562,0.0000
2017-10-20,6.7300,6.7600,6.2300,6.7300,6.7300,131011,0.0000
2017-10-13,6.7700,7.2000,6.4800,6.7900,6.7900,137225,0.0000
2017-10-06,6.9100,8.0000,6.6000,6.8700,6.8700,272315,0.0000
2017-09-29,5.8400,7.2000,5.7100,6.7300,6.7300,208050,0.0000
2017-09-22,6.1800,6.3400,5.5500,5.8200,5.8200,153684,0.0000
2017-09-15,7.2900,7.4300,6.0500,6.2400,6.2400,211476,0.0000
2017-09-08,7.0300,7.7600,7.0300,7.3500,7.3500,136390,0.0000
2017-09-01,6.7900,7.2000,6.5400,7.1900,7.1900,129462,0.0000
2017-08-25,7.5000,7.8100,6.6600,6.6900,6.6900,168500,0.0000
2017-08-18,7.4900,8.8100,7.4700,7.5100,7.5100,316564,0.0000
2017-08-11,7.1100,7.5000,6.5000,7.3200,7.3200,302426,0.0000
2017-08-04,7.7700,8.1100,6.3000,7.3100,7.3100,830694,0.0000
2017-07-28,9.1000,13.2000,7.7800,8.0000,8.0000,1657881,0.0000
2017-07-21,6.8000,8.9400,6.6300,8.9400,8.9400,725119,0.0000
2017-07-14,5.3700,6.7500,5.2600,6.6500,6.6500,329057,0.0000
2017-07-07,5.1800,5.5400,5.1600,5.5300,5.5300,111393,0.0000
2017-06-30,5.2900,5.5900,5.0500,5.1200,5.1200,230488,0.0000
2017-06-23,5.5700,5.7000,4.9600,5.2300,5.2300,157410,0.0000
2017-06-16,5.5100,5.8800,5.2500,5.4900,5.4900,191301,0.0000
2017-06-09,6.9100,6.9100,5.2800,5.5100,5.5100,210368,0.0000
2017-06-02,5.0000,6.7900,4.9100,6.6800,6.6800,273457,0.0000
2017-05-26,5.9000,6.0100,4.7700,5.1400,5.1400,169963,0.0000
2017-05-19,5.8500,6.5000,5.2600,5.9500,5.9500,457620,0.0000
2017-05-12,9.0600,9.4700,5.7500,5.9200,5.9200,820275,0.0000
2017-05-05,7.1000,9.0800,6.9200,8.9200,8.9200,898949,0.0000
2017-04-28,5.2700,7.1400,5.2500,7.0900,7.0900,426692,0.0000
2017-04-21,4.1400,5.9000,4.1200,5.4900,5.4900,359654,0.0000
