timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-17,11.0000,11.0200,10.0600,10.2100,10.2100,3129322,0.0000
2019-04-12,10.5000,11.3200,10.3400,11.0000,11.0000,4590612,0.0000
2019-04-05,9.7100,10.5000,9.4800,10.5000,10.5000,4217017,0.0000
2019-03-29,9.8500,10.0300,9.3000,9.6700,9.6700,4027062,0.0000
2019-03-22,9.9000,10.2400,9.8400,9.8800,9.8800,6007273,0.0000
2019-03-15,9.2300,10.1400,9.1000,9.9000,9.9000,4883902,0.0000
2019-03-08,10.0000,10.0000,8.8400,9.2400,9.2400,5392533,0.0000
2019-03-01,10.1300,10.1900,9.6950,9.9800,9.9800,6168805,0.0000
2019-02-22,9.5500,10.0000,9.1700,9.9900,9.9900,6506781,0.0000
2019-02-15,8.8600,9.7000,8.8500,9.6000,9.6000,4460969,0.0000
2019-02-08,8.3400,8.8400,8.2000,8.8000,8.8000,3591125,0.0000
2019-02-01,7.8800,8.3100,7.5827,8.2900,8.2900,3515581,0.0000
2019-01-25,8.3300,8.3550,7.9300,7.9800,7.9800,2984051,0.0000
2019-01-18,8.3200,8.4600,7.9400,8.3100,8.3100,2744682,0.0000
2019-01-11,8.0300,8.9700,8.0300,8.4000,8.4000,5383915,0.0000
2019-01-04,7.9600,8.1250,7.4600,7.9700,7.9700,3465253,0.0000
2018-12-28,7.6700,8.2300,7.1000,7.8900,7.8900,3727959,0.0000
2018-12-21,8.4500,8.5600,7.6400,7.6800,7.6800,4761784,0.0000
2018-12-14,8.8700,9.1700,8.4200,8.5200,8.5200,2654282,0.0000
2018-12-07,9.3400,9.4000,8.6050,8.7000,8.7000,2325803,0.0000
2018-11-30,8.9800,9.8200,8.9000,9.1600,9.1600,5198654,0.0000
2018-11-23,8.5300,9.1650,7.7500,8.8400,8.8400,3925954,0.0000
2018-11-16,8.6200,8.8400,8.1200,8.5600,8.5600,3953348,0.0000
2018-11-09,8.4000,9.5100,7.4801,8.7600,8.7600,7217062,0.0000
2018-11-02,8.8000,8.8500,8.1100,8.3700,8.3700,5474603,0.0000
2018-10-26,8.6500,8.8700,8.2700,8.6700,8.6700,5053957,0.0000
2018-10-19,8.0800,8.8100,7.9100,8.5800,8.5800,3406942,0.0000
2018-10-12,9.2500,9.3900,8.0000,8.1200,8.1200,4194089,0.0000
2018-10-05,10.2000,10.3900,8.9600,9.2600,9.2600,3574350,0.0000
2018-09-28,9.6300,10.1900,9.3600,10.1600,10.1600,4211048,0.0000
2018-09-21,9.7900,9.8525,9.2800,9.6100,9.6100,3072424,0.0000
2018-09-14,9.3000,10.0550,9.0600,9.9000,9.9000,3182841,0.0000
2018-09-07,10.3800,11.0000,9.1400,9.2100,9.2100,3847110,0.0000
2018-08-31,9.2000,10.0600,9.1900,9.9700,9.9700,4406659,0.0000
2018-08-24,8.2100,9.2500,8.1100,9.1900,9.1900,2819478,0.0000
2018-08-17,9.2900,9.4400,8.3000,8.4200,8.4200,3462076,0.0000
2018-08-10,8.6500,9.5300,8.2000,9.4000,9.4000,4310987,0.0000
2018-08-03,8.9500,8.9900,7.5700,8.6400,8.6400,5122479,0.0000
2018-07-27,9.0000,9.3200,8.6800,8.9900,8.9900,2295842,0.0000
2018-07-20,8.5200,9.1500,8.5000,9.0000,9.0000,2046437,0.0000
2018-07-13,8.9200,9.3100,8.1700,8.5200,8.5200,4625199,0.0000
2018-07-06,8.6800,8.9600,8.4250,8.9200,8.9200,1489133,0.0000
2018-06-29,8.5600,9.3950,8.2900,8.6800,8.6800,4176181,0.0000
2018-06-22,8.8400,8.9800,8.4200,8.5200,8.5200,3370092,0.0000
2018-06-15,8.7000,9.0000,8.1900,8.9200,8.9200,3550757,0.0000
2018-06-08,7.9600,9.2700,7.6650,8.6900,8.6900,4836182,0.0000
2018-06-01,8.0100,8.4000,7.7600,7.9400,7.9400,4524286,0.0000
2018-05-25,8.7000,8.7076,7.7100,8.0400,8.0400,2755949,0.0000
2018-05-18,8.3300,8.8300,8.1400,8.6200,8.6200,3143134,0.0000
2018-05-11,8.1100,8.8200,8.1000,8.3500,8.3500,3822812,0.0000
2018-05-04,7.5900,8.1500,7.1200,7.9800,7.9800,2503024,0.0000
2018-04-27,8.0400,8.1000,7.4700,7.6000,7.6000,2289219,0.0000
2018-04-20,7.3100,8.2000,7.1800,8.0400,8.0400,2815474,0.0000
2018-04-13,7.4500,7.6500,7.1100,7.2800,7.2800,2007524,0.0000
2018-04-06,7.0800,7.4000,6.9500,7.1000,7.1000,1943588,0.0000
2018-03-29,7.4700,7.7700,7.0801,7.1400,7.1400,1817108,0.0000
2018-03-23,7.7300,7.9900,7.3450,7.4000,7.4000,2306296,0.0000
2018-03-16,6.7600,7.8400,6.6950,7.7700,7.7700,4743101,0.0000
2018-03-09,6.2900,6.6900,6.1300,6.5500,6.5500,1940790,0.0000
2018-03-02,5.5800,6.7500,5.5800,6.3100,6.3100,3171803,0.0000
2018-02-23,5.2700,5.3400,5.0200,5.1700,5.1700,994713,0.0000
2018-02-16,4.8500,5.3400,4.5792,5.2800,5.2800,1119096,0.0000
2018-02-09,4.8500,4.9700,4.3700,4.8500,4.8500,1273230,0.0000
2018-02-02,5.2500,5.4300,4.8700,4.9100,4.9100,1439645,0.0000
2018-01-26,4.2900,5.2600,4.2589,5.1900,5.1900,990696,0.0000
2018-01-19,4.4200,4.5400,4.2000,4.2800,4.2800,469190,0.0000
2018-01-12,4.1100,4.5000,4.0476,4.4500,4.4500,751874,0.0000
2018-01-05,4.4200,4.5000,3.9710,4.1900,4.1900,1006896,0.0000
2017-12-29,4.4800,4.6400,4.3100,4.4100,4.4100,862607,0.0000
2017-12-22,4.4900,4.5800,4.2900,4.5000,4.5000,1054450,0.0000
2017-12-15,3.9100,4.4500,3.9000,4.4200,4.4200,2354627,0.0000
2017-12-08,4.0500,4.1300,3.9000,3.9600,3.9600,818935,0.0000
2017-12-01,3.9200,4.1800,3.7100,4.0000,4.0000,1875323,0.0000
2017-11-24,3.8400,3.9400,3.6410,3.9000,3.9000,683772,0.0000
2017-11-17,3.6500,3.9000,3.5800,3.8700,3.8700,732171,0.0000
2017-11-10,3.8900,3.8900,3.5600,3.6500,3.6500,1431635,0.0000
2017-11-03,3.8900,3.9740,3.7300,3.8700,3.8700,1605040,0.0000
2017-10-27,3.7000,4.0000,3.6100,3.8900,3.8900,1109974,0.0000
2017-10-20,3.5700,3.7100,3.4900,3.6800,3.6800,686966,0.0000
2017-10-13,3.7800,3.9500,3.4200,3.5300,3.5300,1372931,0.0000
2017-10-06,3.6600,3.8200,3.6100,3.7200,3.7200,1042293,0.0000
2017-09-29,3.5900,3.7900,3.4080,3.7100,3.7100,1326451,0.0000
2017-09-22,3.2400,3.7100,3.2200,3.5900,3.5900,1193840,0.0000
2017-09-15,3.3000,3.3000,3.0900,3.2900,3.2900,1466331,0.0000
2017-09-08,3.2900,3.3100,3.1600,3.2600,3.2600,687378,0.0000
2017-09-01,3.2000,3.3300,3.1700,3.2700,3.2700,780715,0.0000
2017-08-25,3.1800,3.2400,3.0900,3.2000,3.2000,1020312,0.0000
2017-08-18,3.1200,3.3500,3.0500,3.1700,3.1700,1265521,0.0000
2017-08-11,3.1600,3.3100,3.0600,3.0800,3.0800,1567119,0.0000
2017-08-04,3.3000,3.6500,3.2000,3.2000,3.2000,3989581,0.0000
2017-07-28,3.4400,3.5800,3.2850,3.3000,3.3000,3163532,0.0000
2017-07-21,3.6500,3.7900,3.4100,3.4600,3.4600,2377207,0.0000
2017-07-14,3.6600,3.8000,3.6000,3.7100,3.7100,1375096,0.0000
2017-07-07,3.7200,3.8600,3.5100,3.6800,3.6800,2038025,0.0000
2017-06-30,3.7500,3.9900,3.6450,3.7500,3.7500,2671262,0.0000
2017-06-23,3.9800,4.1800,3.5000,3.7500,3.7500,14356732,0.0000
2017-06-16,3.7700,4.3700,3.7200,3.9900,3.9900,6404363,0.0000
2017-06-09,3.7000,3.8000,3.5600,3.7300,3.7300,1335085,0.0000
