timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-17,6.6500,7.3300,6.5600,7.0000,7.0000,3482083,0.0000
2019-04-12,6.3400,6.6699,6.1800,6.6200,6.6200,1963261,0.0000
2019-04-05,6.3400,6.4700,6.2200,6.3300,6.3300,1740430,0.0000
2019-03-29,5.5700,6.3500,5.4600,6.3000,6.3000,2144810,0.0000
2019-03-22,6.1400,6.1994,5.6200,5.6300,5.6300,1985059,0.0000
2019-03-15,5.7800,6.4100,5.7700,6.1000,6.1000,2680380,0.0000
2019-03-08,6.4000,6.4800,5.8200,5.8900,5.8900,1962713,0.0000
2019-03-01,6.0000,6.4532,5.9800,6.3900,6.3900,2299755,0.0000
2019-02-22,6.1200,6.1300,5.5700,5.9600,5.9600,2876048,0.0000
2019-02-15,5.3500,6.1500,5.2100,5.9800,5.9800,2997528,0.0000
2019-02-08,4.9500,5.4400,4.9000,5.4000,5.4000,1036067,0.0000
2019-02-01,4.9000,5.0500,4.8000,4.9400,4.9400,826244,0.0000
2019-01-25,5.1000,5.1300,4.8400,4.8800,4.8800,1128276,0.0000
2019-01-18,4.7500,5.2200,4.6000,5.2000,5.2000,801637,0.0000
2019-01-11,4.2700,4.8000,4.1400,4.7500,4.7500,1563227,0.0000
2019-01-04,4.1700,4.3400,4.1100,4.2100,4.2100,584929,0.0000
2018-12-28,4.1100,4.4000,4.0600,4.1800,4.1800,398278,0.0000
2018-12-21,4.7300,4.8400,4.1000,4.1100,4.1100,1620005,0.0000
2018-12-14,5.0100,5.2300,4.6970,4.7300,4.7300,933179,0.0000
2018-12-07,5.4400,5.5100,4.9900,5.0500,5.0500,926102,0.0000
2018-11-30,5.7400,5.7600,5.3300,5.4400,5.4400,984517,0.0000
2018-11-23,5.9800,6.0400,5.5500,5.6700,5.6700,432098,0.0000
2018-11-16,5.7000,6.1500,5.6999,5.9800,5.9800,1564117,0.0000
2018-11-09,5.4000,5.9100,5.1550,5.6900,5.6900,915069,0.0000
2018-11-02,5.3200,5.6700,5.1600,5.4100,5.4100,950240,0.0000
2018-10-26,5.0500,5.4400,5.0000,5.3200,5.3200,883764,0.0000
2018-10-19,5.1700,5.5400,5.0500,5.1100,5.1100,1927300,0.0000
2018-10-12,5.6700,5.8500,5.0650,5.2200,5.2200,1737626,0.0000
2018-10-05,5.9200,6.0900,5.5200,5.6700,5.6700,2179006,0.0000
2018-09-28,5.5200,5.9400,5.3100,5.9100,5.9100,2139672,0.0000
2018-09-21,5.3400,5.6500,5.2000,5.4000,5.4000,2534406,0.0000
2018-09-14,4.5100,5.4000,4.4000,5.1500,5.1500,1996551,0.0000
2018-09-07,4.3100,4.5100,4.2100,4.4800,4.4800,677751,0.0000
2018-08-31,4.3000,4.3738,4.2100,4.3500,4.3500,428611,0.0000
2018-08-24,4.1200,4.2800,4.0957,4.2400,4.2400,667297,0.0000
2018-08-17,4.1500,4.2000,4.0200,4.1300,4.1300,545257,0.0000
2018-08-10,4.0800,4.1700,4.0050,4.1300,4.1300,241090,0.0000
2018-08-03,3.9600,4.1300,3.9300,4.1100,4.1100,244072,0.0000
2018-07-27,4.1800,4.3500,3.9300,3.9300,3.9300,403429,0.0000
2018-07-20,4.2500,4.2700,4.0400,4.2300,4.2300,370873,0.0000
2018-07-13,4.0000,4.2500,3.9800,4.2500,4.2500,1191219,0.0000
2018-07-06,3.9000,4.0900,3.8700,4.0000,4.0000,363663,0.0000
2018-06-29,3.8700,4.1400,3.8300,3.9100,3.9100,648404,0.0000
2018-06-22,4.0900,4.2000,3.8800,3.8800,3.8800,1419651,0.0000
2018-06-15,4.1700,4.2300,4.0800,4.1000,4.1000,439969,0.0000
2018-06-08,4.1300,4.2100,4.0000,4.1700,4.1700,280882,0.0000
2018-06-01,3.9600,4.1400,3.9600,4.1100,4.1100,154688,0.0000
2018-05-25,3.9800,4.1800,3.9800,4.0400,4.0400,601962,0.0000
2018-05-18,3.8200,4.1200,3.6800,4.0100,4.0100,704324,0.0000
2018-05-11,3.7500,3.8300,3.6600,3.7900,3.7900,296899,0.0000
2018-05-04,3.5900,3.7600,3.4600,3.7600,3.7600,301125,0.0000
2018-04-27,3.8100,3.8100,3.5500,3.5700,3.5700,280007,0.0000
2018-04-20,3.8700,4.0400,3.7600,3.7900,3.7900,320913,0.0000
2018-04-13,4.0900,4.0900,3.6600,3.8500,3.8500,375435,0.0000
2018-04-06,3.8600,4.1300,3.6100,4.0400,4.0400,485146,0.0000
2018-03-29,3.8600,4.3500,3.8000,3.8700,3.8700,603484,0.0000
2018-03-23,4.1700,4.2100,3.7700,3.8100,3.8100,323651,0.0000
2018-03-16,3.8300,4.2200,3.7400,4.1800,4.1800,574691,0.0000
2018-03-09,3.8100,3.9000,3.7300,3.8600,3.8600,434792,0.0000
2018-03-02,3.9100,3.9100,3.6400,3.8300,3.8300,543897,0.0000
2018-02-23,3.6500,4.2200,3.5100,3.9100,3.9100,662449,0.0000
2018-02-16,3.8300,3.8500,3.5400,3.6600,3.6600,1319072,0.0000
2018-02-09,4.6100,4.6900,3.8600,3.8700,3.8700,789601,0.0000
2018-02-02,5.1000,5.1000,4.6000,4.6400,4.6400,527525,0.0000
2018-01-26,4.8400,5.1500,4.8100,5.1200,5.1200,850936,0.0000
2018-01-19,4.7400,4.8500,4.5800,4.8400,4.8400,644839,0.0000
2018-01-12,4.8600,4.9200,4.6500,4.7300,4.7300,447083,0.0000
2018-01-05,4.6100,4.8900,4.5900,4.8700,4.8700,405277,0.0000
2017-12-29,4.6400,4.7000,4.5500,4.6000,4.6000,303392,0.0000
2017-12-22,4.7000,4.7800,4.3546,4.6500,4.6500,525941,0.0000
2017-12-15,4.5100,4.7300,4.4600,4.6800,4.6800,624790,0.0000
2017-12-08,4.7800,4.9200,4.5000,4.5500,4.5500,708268,0.0000
2017-12-01,4.6200,4.9300,4.5400,4.7900,4.7900,656019,0.0000
2017-11-24,4.7200,4.9100,4.5300,4.6200,4.6200,454218,0.0000
2017-11-17,5.0300,5.0300,4.3400,4.7600,4.7600,1181829,0.0000
2017-11-10,5.2000,5.4500,4.9500,5.0900,5.0900,718665,0.0000
2017-11-03,4.8900,5.2000,4.8000,5.1800,5.1800,782299,0.0000
2017-10-27,5.0300,5.0800,4.6800,5.0700,5.0700,682526,0.0000
2017-10-20,5.2000,5.2800,4.8900,4.9800,4.9800,476783,0.0000
2017-10-13,5.1700,5.3300,5.0700,5.2300,5.2300,387686,0.0000
2017-10-06,5.2400,5.3400,5.0300,5.1400,5.1400,666353,0.0000
2017-09-29,4.9300,5.3500,4.8100,5.3100,5.3100,1000489,0.0000
2017-09-22,5.0200,5.2300,4.9600,4.9800,4.9800,699329,0.0000
2017-09-15,5.0600,5.4500,4.9000,5.0500,5.0500,1779017,0.0000
2017-09-08,4.9000,5.1200,4.8500,5.0300,5.0300,464580,0.0000
2017-09-01,4.4800,5.1100,4.4700,5.0700,5.0700,751432,0.0000
2017-08-25,4.6200,4.6700,4.3600,4.4900,4.4900,564639,0.0000
