timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,0.5700,5.9900,0.4300,5.6100,5.6100,2996811,0.0000
2019-04-05,0.5100,0.5900,0.5100,0.5681,6.8172,1346511,0.0000
2019-03-29,0.5500,0.5500,0.5100,0.5100,6.1200,994917,0.0000
2019-03-22,0.5600,0.5740,0.5200,0.5300,6.3600,1091758,0.0000
2019-03-15,0.5500,0.5800,0.5230,0.5693,6.8316,1442580,0.0000
2019-03-08,0.5500,0.5900,0.5143,0.5684,6.8208,3163673,0.0000
2019-03-01,0.5400,0.5500,0.5001,0.5240,6.2880,2862980,0.0000
2019-02-22,0.5990,0.6150,0.5000,0.5355,6.4260,9179040,0.0000
2019-02-15,0.6100,0.6250,0.5600,0.5700,6.8400,3512023,0.0000
2019-02-08,0.6500,0.6550,0.5600,0.6000,7.2000,6844522,0.0000
2019-02-01,0.6200,0.6700,0.5900,0.6440,7.7280,4860894,0.0000
2019-01-25,1.1500,1.1500,0.5471,0.6210,7.4520,16932168,0.0000
2019-01-18,1.1000,1.6500,1.1000,1.2500,15.0000,6281971,0.0000
2019-01-11,0.9500,1.1000,0.9100,1.0800,12.9600,2958168,0.0000
2019-01-04,0.9900,1.0000,0.8558,0.9447,11.3364,968866,0.0000
2018-12-28,1.0100,1.0100,0.8500,0.9700,11.6400,1118897,0.0000
2018-12-21,1.0500,1.1100,1.0000,1.0300,12.3600,2080894,0.0000
2018-12-14,1.1100,1.1200,1.0000,1.0200,12.2400,710209,0.0000
2018-12-07,1.1100,1.1400,1.0800,1.1000,13.2000,416383,0.0000
2018-11-30,1.1000,1.1700,1.0800,1.0800,12.9600,1100935,0.0000
2018-11-23,1.1000,1.1500,1.0700,1.1000,13.2000,255907,0.0000
2018-11-16,1.1600,1.1700,1.0500,1.1000,13.2000,716607,0.0000
2018-11-09,1.1500,1.2100,1.1400,1.1700,14.0400,470013,0.0000
2018-11-02,1.1300,1.2100,1.1300,1.1900,14.2800,853208,0.0000
2018-10-26,1.1500,1.1700,1.0312,1.1600,13.9200,1467051,0.0000
2018-10-19,1.6500,1.8100,1.1300,1.1400,13.6800,3661424,0.0000
2018-10-12,1.7800,1.8700,1.6500,1.7100,20.5200,473940,0.0000
2018-10-05,1.8000,1.9400,1.7600,1.7917,21.5004,712655,0.0000
2018-09-28,1.7700,1.8700,1.7400,1.7800,21.3600,516753,0.0000
2018-09-21,1.7400,1.9400,1.6800,1.8000,21.6000,1287408,0.0000
2018-09-14,1.6400,1.7800,1.6200,1.6900,20.2800,510116,0.0000
2018-09-07,1.7200,1.7200,1.5800,1.6200,19.4400,387688,0.0000
2018-08-31,1.8100,1.8400,1.6400,1.7200,20.6400,539196,0.0000
2018-08-24,1.6100,1.8500,1.5900,1.8000,21.6000,1065976,0.0000
2018-08-17,1.6000,1.6300,1.5610,1.6000,19.2000,275020,0.0000
2018-08-10,1.5400,1.6200,1.4510,1.6000,19.2000,509283,0.0000
2018-08-03,1.3300,1.5886,1.3001,1.4500,17.4000,557899,0.0000
2018-07-27,1.5000,1.5100,1.2300,1.3300,15.9600,705473,0.0000
2018-07-20,1.5300,1.5700,1.4500,1.4950,17.9400,286129,0.0000
2018-07-13,1.4600,1.5900,1.4300,1.5401,18.4812,472009,0.0000
2018-07-06,1.4100,1.4484,1.3510,1.4300,17.1600,328216,0.0000
2018-06-29,1.5700,1.5790,1.3910,1.4100,16.9200,651820,0.0000
2018-06-22,1.8000,1.8300,1.5400,1.5700,18.8400,1511469,0.0000
2018-06-15,1.8500,1.9700,1.7900,1.8500,22.2000,573922,0.0000
2018-06-08,2.2100,2.2800,1.7500,1.8600,22.3200,1525067,0.0000
2018-06-01,2.1900,2.2800,2.1500,2.2100,26.5200,694003,0.0000
2018-05-25,2.3800,2.3800,2.1100,2.2300,26.7600,1322662,0.0000
2018-05-18,2.1800,2.3800,2.0600,2.3800,28.5600,2642189,0.0000
2018-05-11,2.2000,2.2500,1.9800,2.1400,25.6800,3363619,0.0000
2018-05-04,1.7900,2.3000,1.7000,2.2100,26.5200,3859926,0.0000
2018-04-27,1.6300,1.8500,1.5100,1.7100,20.5200,2763456,0.0000
2018-04-20,1.6100,1.7000,1.5500,1.6500,19.8000,851438,0.0000
2018-04-13,1.6200,1.6700,1.5000,1.6300,19.5600,464432,0.0000
2018-04-06,1.5400,1.7360,1.4500,1.6200,19.4400,1025957,0.0000
2018-03-29,1.6400,1.6400,1.4200,1.5100,18.1200,935444,0.0000
2018-03-23,1.7100,1.7300,1.5600,1.6200,19.4400,957761,0.0000
2018-03-16,1.6900,1.7500,1.6200,1.6700,20.0400,1113305,0.0000
2018-03-09,1.6200,1.8200,1.5600,1.6600,19.9200,1663366,0.0000
2018-03-02,1.8200,1.8200,1.5100,1.6100,19.3200,1616975,0.0000
2018-02-23,1.7800,1.8000,1.7100,1.7400,20.8800,1186098,0.0000
2018-02-16,1.9500,1.9632,1.7100,1.7800,21.3600,1557438,0.0000
2018-02-09,1.9900,2.1127,1.8000,1.9000,22.8000,1832136,0.0000
2018-02-02,2.2900,2.3500,1.9400,2.0100,24.1200,1634619,0.0000
2018-01-26,2.4400,2.5200,2.2000,2.2900,27.4800,2087611,0.0000
2018-01-19,2.1300,2.7000,2.0000,2.4000,28.8000,5215448,0.0000
2018-01-12,2.1100,2.3260,2.0500,2.1200,25.4400,1362776,0.0000
2018-01-05,2.0900,2.2400,2.0200,2.1400,25.6800,1019073,0.0000
2017-12-29,2.1600,2.2500,2.0000,2.0200,24.2400,1560635,0.0000
2017-12-22,1.8800,2.3000,1.8400,2.1700,26.0400,1985375,0.0000
2017-12-15,2.0600,2.0900,1.9100,1.9200,23.0400,1263879,0.0000
2017-12-08,2.1100,2.1800,2.0300,2.0600,24.7200,838083,0.0000
2017-12-01,2.3500,2.3700,2.0800,2.1400,25.6800,1410941,0.0000
2017-11-24,2.0700,2.3742,2.0000,2.3200,27.8400,1493893,0.0000
2017-11-17,2.1400,2.2400,1.9200,2.0800,24.9600,2495584,0.0000
2017-11-10,1.9100,2.2734,1.8100,2.0800,24.9600,4688959,0.0000
2017-11-03,1.9300,1.9900,1.6900,1.9100,22.9200,2748820,0.0000
2017-10-27,1.8500,2.0600,1.8000,1.9200,23.0400,3719583,0.0000
2017-10-20,2.2000,2.2000,1.8000,1.8500,22.2000,2966588,0.0000
2017-10-13,2.8100,3.1900,2.0300,2.1700,26.0400,7566808,0.0000
2017-10-06,2.4400,2.7600,2.3800,2.7200,32.6400,1155438,0.0000
2017-09-29,2.4300,2.5290,2.3110,2.4200,29.0400,615200,0.0000
2017-09-22,2.2500,2.4800,2.2500,2.4600,29.5200,799920,0.0000
2017-09-15,3.0000,3.0600,2.2500,2.2800,27.3600,1630825,0.0000
2017-09-08,2.3000,3.0000,2.1532,2.6100,31.3200,1588938,0.0000
2017-09-01,1.9100,2.5500,1.8900,2.3400,28.0800,2291084,0.0000
2017-08-25,1.8400,1.9900,1.7800,1.8800,22.5600,426293,0.0000
2017-08-18,1.9300,2.0500,1.8200,1.8600,22.3200,576539,0.0000
2017-08-11,1.8900,2.0200,1.7610,1.8900,22.6800,836320,0.0000
2017-08-04,2.2400,2.2657,1.7000,1.8400,22.0800,1267619,0.0000
2017-07-28,2.2700,2.4100,2.2000,2.2400,26.8800,584002,0.0000
2017-07-21,2.4700,2.5900,2.2000,2.2700,27.2400,617725,0.0000
2017-07-14,2.5000,2.5001,2.2200,2.4600,29.5200,1000263,0.0000
2017-07-07,2.8400,2.8600,2.3000,2.4600,29.5200,909109,0.0000
2017-06-30,3.1400,3.1500,2.8000,2.8600,34.3200,989091,0.0000
2017-06-23,3.0200,3.1700,2.9500,3.1500,37.8000,890601,0.0000
2017-06-16,3.2800,3.3000,2.9100,3.0300,36.3600,1293448,0.0000
2017-06-09,4.3100,4.3100,3.2000,3.3000,39.6000,3053323,0.0000
2017-06-02,3.9800,4.3743,3.7100,4.1900,50.2800,1257604,0.0000
2017-05-26,4.0300,4.0900,3.8300,4.0400,48.4800,1156353,0.0000
2017-05-19,4.3600,4.5100,3.6100,4.1000,49.2000,2626016,0.0000
2017-05-12,3.7900,4.7400,2.9100,4.2600,51.1200,5406186,0.0000
2017-05-05,0.4300,3.9900,0.3850,3.8500,46.2000,10602970,0.0000
2017-04-28,0.4275,0.4840,0.4100,0.4303,51.6360,16329061,0.0000
2017-04-21,0.4200,0.4489,0.3550,0.4200,50.4000,28838616,0.0000
2017-04-13,0.6600,0.7100,0.3823,0.4550,54.6000,76523750,0.0000
2017-04-07,0.5250,0.6600,0.5203,0.6600,79.2000,62327714,0.0000
2017-03-31,0.4500,0.5248,0.4450,0.5100,61.2000,20408106,0.0000
2017-03-24,0.4889,0.4889,0.4064,0.4500,54.0000,17302152,0.0000
2017-03-17,0.4058,0.5620,0.3850,0.4795,57.5400,67009012,0.0000
2017-03-10,0.2489,0.4300,0.2301,0.3782,45.3840,46683815,0.0000
2017-03-03,0.2500,0.2669,0.2280,0.2371,28.4520,8556563,0.0000
2017-02-24,0.2500,0.2549,0.2050,0.2379,28.5480,9228846,0.0000
2017-02-17,0.2200,0.3050,0.2193,0.2499,29.9880,25862380,0.0000
2017-02-10,0.1736,0.2098,0.1700,0.2036,24.4320,7955772,0.0000
2017-02-03,0.1800,0.1840,0.1671,0.1701,20.4120,4103285,0.0000
2017-01-27,0.1735,0.1850,0.1675,0.1788,21.4560,6567539,0.0000
2017-01-20,0.1675,0.2039,0.1600,0.1840,22.0800,10390777,0.0000
2017-01-13,0.1612,0.1850,0.1561,0.1660,19.9200,7391422,0.0000
2017-01-06,0.1480,0.1645,0.1360,0.1580,18.9600,3920581,0.0000
2016-12-30,0.1649,0.1650,0.1270,0.1419,17.0280,12347910,0.0000
2016-12-23,0.1450,0.1600,0.1440,0.1596,19.1520,3932954,0.0000
2016-12-16,0.1601,0.1620,0.1400,0.1489,17.8680,6264259,0.0000
2016-12-09,0.1700,0.1710,0.1516,0.1616,19.3920,4986053,0.0000
2016-12-02,0.1700,0.1789,0.1601,0.1669,20.0280,3841959,0.0000
2016-11-25,0.1898,0.1920,0.1702,0.1713,20.5560,3530150,0.0000
2016-11-18,0.1698,0.2000,0.1635,0.1920,23.0400,7924430,0.0000
2016-11-11,0.1523,0.1700,0.1457,0.1680,20.1600,4027473,0.0000
2016-11-04,0.1700,0.1775,0.1360,0.1523,18.2760,6608926,0.0000
2016-10-28,0.1716,0.1806,0.1670,0.1682,20.1840,5397129,0.0000
2016-10-21,0.1800,0.1850,0.1608,0.1724,20.6880,4561395,0.0000
2016-10-14,0.2290,0.2290,0.1710,0.1800,21.6000,11792083,0.0000
2016-10-07,0.2200,0.2200,0.2058,0.2100,25.2000,8442473,0.0000
2016-09-30,0.2150,0.2299,0.2092,0.2100,25.2000,5450527,0.0000
2016-09-23,0.2200,0.2299,0.2016,0.2184,26.2080,4304770,0.0000
2016-09-16,0.2700,0.2700,0.2025,0.2153,25.8360,8599424,0.0000
2016-09-09,0.2600,0.2645,0.2450,0.2529,30.3480,1851098,0.0000
2016-09-02,0.2500,0.2600,0.2450,0.2577,30.9240,1861330,0.0000
2016-08-26,0.2630,0.2800,0.2500,0.2501,30.0120,2844372,0.0000
2016-08-19,0.2730,0.2730,0.2501,0.2599,31.1880,1934788,0.0000
2016-08-12,0.2750,0.2790,0.2600,0.2630,31.5600,1425472,0.0000
2016-08-05,0.2650,0.2800,0.2606,0.2747,32.9640,2422619,0.0000
2016-07-29,0.2600,0.2745,0.2503,0.2625,31.5000,3504497,0.0000
2016-07-22,0.2630,0.2630,0.2520,0.2588,31.0560,1450375,0.0000
2016-07-15,0.2600,0.2744,0.2525,0.2598,31.1760,2825392,0.0000
2016-07-08,0.2599,0.2650,0.2500,0.2545,30.5400,1181447,0.0000
2016-07-01,0.2600,0.2635,0.2400,0.2590,31.0800,3571107,0.0000
2016-06-24,0.2510,0.2800,0.2505,0.2599,31.1880,4094075,0.0000
2016-06-17,0.2750,0.2791,0.2500,0.2500,30.0000,6019531,0.0000
2016-06-10,0.3300,0.3318,0.2700,0.2719,32.6280,5279819,0.0000
2016-06-03,0.3015,0.3318,0.3011,0.3131,37.5720,2937521,0.0000
2016-05-27,0.2820,0.3100,0.2750,0.3010,36.1200,2399045,0.0000
2016-05-20,0.2603,0.2800,0.2502,0.2719,32.6280,1845673,0.0000
2016-05-13,0.2765,0.2900,0.2600,0.2603,31.2360,2424716,0.0000
