timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,40.7400,41.3700,40.3300,40.7500,40.7500,529409,0.0000
2019-04-05,40.8600,41.5000,39.9200,40.7300,40.7300,591397,0.0000
2019-03-29,39.1000,40.9300,39.0100,40.6100,40.6100,724849,0.0000
2019-03-22,39.7900,40.8900,39.0800,39.0800,39.0800,720065,0.0000
2019-03-15,39.2100,40.2500,39.0100,39.7400,39.7400,763067,0.0000
2019-03-08,40.5700,40.9300,38.8200,39.2000,39.2000,625876,0.0000
2019-03-01,42.2000,43.4800,39.4500,40.5600,40.5600,1020993,0.0000
2019-02-22,38.2800,42.2600,37.7400,42.2400,42.2400,953875,0.0000
2019-02-15,36.9000,38.5600,36.7600,38.5300,38.5300,918013,0.0000
2019-02-08,36.5300,37.8100,35.9200,36.8900,36.8900,752632,0.0000
2019-02-01,34.9000,37.4700,33.9300,36.5300,36.5300,1160525,0.0000
2019-01-25,36.2500,36.8100,34.8500,35.1200,35.1200,377256,0.0000
2019-01-18,36.4000,36.8300,35.4164,36.5300,36.5300,650420,0.0000
2019-01-11,38.8200,38.8200,35.7000,36.4000,36.4000,1129459,0.0000
2019-01-04,35.2700,37.1300,33.4161,36.4700,36.4700,713017,0.0000
2018-12-28,34.0400,35.5400,32.6700,35.0900,35.0900,628129,0.0000
2018-12-21,33.9100,35.0700,31.9600,34.2900,34.2900,1476456,0.0000
2018-12-14,34.7600,35.7300,33.7700,33.9300,33.9300,874045,0.0000
2018-12-07,36.8500,36.9100,34.6323,34.7600,34.7600,962255,0.0000
2018-11-30,35.0800,36.2600,33.6700,36.1600,36.1600,534552,0.0000
2018-11-23,35.0100,35.3900,33.8700,34.7700,34.7700,418262,0.0000
2018-11-16,33.5200,35.7314,32.7300,35.0300,35.0300,913988,0.0000
2018-11-09,32.8000,35.5200,32.5600,33.5300,33.5300,1075600,0.0000
2018-11-02,36.1600,36.8000,32.6100,32.8600,32.8600,1790157,0.0000
2018-10-26,38.8400,39.1500,33.8575,35.5850,35.5850,744695,0.0000
2018-10-19,39.7400,41.0100,38.4300,38.5000,38.5000,701728,0.0000
