timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,23.4800,23.9800,23.3050,23.9800,23.9800,168216,0.0000
2019-04-12,23.3200,23.9200,23.1400,23.4300,23.4300,553177,0.0000
2019-04-05,23.0700,23.8500,22.7500,23.4800,23.4800,542330,0.0000
2019-03-29,22.3200,22.9300,21.9000,22.8000,22.8000,650011,0.0000
2019-03-22,22.7500,23.5200,22.2500,22.3000,22.3000,731359,0.0000
2019-03-15,22.1100,23.1400,21.9500,22.6900,22.6900,869766,0.0000
2019-03-08,22.6800,22.9700,21.7000,21.9700,21.9700,674100,0.0000
2019-03-01,23.0900,23.8800,22.4700,22.6100,22.6100,1118225,0.0000
2019-02-22,22.7900,23.2600,22.5300,22.8400,22.8400,468869,0.0000
2019-02-15,22.1800,23.1600,21.9900,22.8200,22.8200,757215,0.0000
2019-02-08,21.8700,22.8700,20.9100,22.2400,22.2400,1453749,0.0000
2019-02-01,21.3500,22.1300,21.2000,21.9300,21.9300,574958,0.0000
2019-01-25,21.0300,21.9600,20.1600,21.8100,21.8100,734894,0.0000
2019-01-18,21.0300,21.6300,20.4150,21.2300,21.2300,763975,0.0000
2019-01-11,20.7400,21.3200,20.1100,21.2000,21.2000,963839,0.0000
2019-01-04,20.2500,20.9100,19.4700,20.7400,20.7400,1050850,0.0000
2018-12-28,18.3800,20.3200,18.1400,20.0400,20.0400,902874,0.0000
2018-12-21,19.4700,20.2100,18.1300,18.5000,18.5000,2499706,0.0000
2018-12-14,19.6300,20.5600,19.3100,19.5100,19.5100,1114485,0.0000
2018-12-07,21.6000,21.6200,19.6100,19.6500,19.6500,855547,0.0000
2018-11-30,20.0000,21.4000,19.7290,21.2200,21.2200,1017323,0.0000
2018-11-23,19.9500,20.1300,19.0500,19.7800,19.7800,622701,0.0000
2018-11-16,20.3900,20.6350,19.5300,20.0500,20.0500,1112375,0.0000
2018-11-09,21.3500,21.9700,20.4600,20.6200,20.6200,1171245,0.0000
2018-11-02,19.9600,21.9800,19.2300,21.2800,21.2800,1795223,0.0000
2018-10-26,20.0200,20.2800,19.0600,19.5300,19.5300,1340700,0.0000
2018-10-19,19.9000,21.4000,19.7800,19.9100,19.9100,1467897,0.0000
